  0:   77| [45] [――付き合ってみると、風見はとても可愛い女だった。]
105: 1706| [47] [渡瀬]
106: 1709| [45] [「……行こうか、風見」]
107: 1717| [47] [風見]
108: 1720| [45] [「……はい」]
109: 1725| [45] [行き先を告げずに言う渡瀬に、風見がそっと頷く。]
110: 1810| [45] [言葉を交わさずとも、互いを求める気持ちが通じた気がした。]
111: 1818| [45] [言葉を交わさずとも、気持ちが通じた気がした。]
112: 1823| [45] [――その時、穏やかな夜風が吹き抜け、渡瀬たちを包んだ。]
113: 1828| [47] [渡瀬]
114: 1829| [45] [（……明後日からはまた、戦争のような日々が始まる）]
115: 1834| [47] [渡瀬]
116: 1835| [45] [（だけどせめて、今だけは……）]
117: 1840| [45] [風見の横顔を見つめながら、渡瀬は静かに願う。]
118: 1845| [45] [叶うならば、この一瞬の平穏が、永遠に続く事を……。]
