  0:   70| [45] [――それからましろは、足しげく夏彦の見舞いに行った。]
 65:  981| [45] [「……なんかこたえてよ、夏彦……！」]
 66:  986| [45] [心の奥から搾り出されるような声が、病室に響いた。]
 67: 1080| [47] [夏彦]
 68: 1081| [45] [「……」]
 69: 1086| [47] [ましろ]
 70: 1089| [45] [「私もまってるよ……夏彦がもどってくるのを……」]
 71: 1102| [47] [ましろ]
 72: 1105| [45] [「悠里がいなくなっちゃったから……ひとりで、ずっと……」]
 73: 1110| [45] [自分の声が震えている事に、ましろは気付いた。]
 74: 1115| [45] [いつの間にか、視界が滲んでいる。]
 75: 1120| [47] [ましろ]
 76: 1123| [45] [「……夏彦……」]
 77: 1128| [45] [ましろは夏彦の頬に触れた。]
 78: 1133| [45] [ここに彼は存在するのに、言葉を交わす事ができない。]
 79: 1138| [45] [彼が何を思っているのか、うかがい知る事ができない。]
 80: 1143| [45] [この狭い病室で、ましろは独り呟く。]
 81: 1148| [47] [ましろ]
 82: 1151| [45] [「……さびしいよ、夏彦……」]
 83: 1156| [47] [ましろ]
 84: 1159| [45] [「……まえみたいに、夏彦とあそびたいよ」]
 85: 1164| [47] [ましろ]
 86: 1167| [45] [「つまんないことで、けんかしたりしたいよ……！」]
 87: 1172| [45] [ましろはもはや、答えを期待してはいなかった。]
 88: 1178| [45] [静寂に満ちた病室に、ましろのすすり泣く声が響く。]
 89: 1224| [45] [――だが、その時――]
 90: 1229| [47] [夏彦]
 91: 1230| [45] [「……」]
 92: 1235| [47] [夏彦]
 93: 1238| [45] [「……ぅ……」]
 94: 1243| [45] [待ち望んでいた声が聞こえた。]
 95: 1297| [47] [ましろ]
 96: 1300| [45] [「――え？」]
 97: 1305| [45] [ましろは息を呑んだ。]
 98: 1324| [45] [信じられない思いで、夏彦を見る。]
 99: 1329| [47] [夏彦]
100: 1332| [45] [「……っ、ぁ……？」]
101: 1337| [45] [夏彦が戸惑うように、視線を動かす。]
102: 1342| [45] [その目には、光が戻っていた。]
103: 1347| [45] [やがて夏彦は、ましろに目を止め――]
104: 1352| [47] [夏彦]
105: 1355| [45] [「……ま……ましろ……？」]
106: 1360| [45] [彼女の名を呼んだ。]
107: 1365| [47] [ましろ]
108: 1368| [45] [「――――な」]
109: 1373| [47] [ましろ]
110: 1376| [45] [「夏彦ッ！」]
111: 1381| [45] [思わず声を上げると、夏彦はびくんと身じろぎした。]
112: 1392| [47] [夏彦]
113: 1395| [45] [「え、な、なに……？　っていうか、ここは……？」]
114: 1400| [45] [夏彦はここが病院だともわかっていないようだ。]
115: 1405| [45] [ましろは夏彦の手を握って答える。]
116: 1410| [47] [ましろ]
117: 1413| [45] [「病院だよ！　おぼえてない！？」]
118: 1418| [47] [夏彦]
119: 1421| [45] [「あ……そ、そうか……」]
120: 1426| [47] [夏彦]
121: 1429| [45] [「ぼく、悠里といっしょに、ラボで火事にあって……」]
122: 1434| [47] [ましろ]
123: 1437| [45] [「うん、うん……！」]
124: 1442| [45] [徐々に事の顛末を、思い出してきたらしい。]
125: 1447| [45] [ましろは溢れそうな言葉を抑えながら、彼にそっと語りかけた。]
126: 1452| [47] [ましろ]
127: 1455| [45] [「夏彦、あれからずっとにゅういんしてたんだよ？」]
128: 1460| [47] [ましろ]
129: 1463| [45] [「私、なんかいもおみまいに来てたんだから……」]
130: 1519| [47] [夏彦]
131: 1522| [45] [「そ、そうか……ありがとう」]
132: 1527| [47] [ましろ]
133: 1530| [45] [「いいんだよそんなの。夏彦がもどってきてくれただけで……」]
134: 1586| [47] [夏彦]
135: 1589| [45] [「ごめん……しんぱいさせちゃったんだな」]
136: 1594| [45] [夏彦が申し訳なさそうに言う。]
137: 1599| [45] [ましろは涙を拭い、笑って見せた。]
138: 1604| [47] [ましろ]
139: 1607| [45] [「いいっていいって」]
140: 1612| [47] [ましろ]
141: 1615| [45] [「そんなことより、はかせにれんらくしなきゃ。夏彦が目をさましたってさ！」]
142: 1669| [47] [夏彦]
143: 1672| [45] [「そうだな、それに――」]
144: 1678| [45] [夏彦は笑みを返し、それから言った。]
145: 1683| [47] [夏彦]
146: 1686| [45] [「悠里もしんぱいしてるだろうからな」]
147: 1691| [45] [――その瞬間、病室の空気が凍りついた。]
148: 1696| [47] [ましろ]
149: 1699| [45] [「……え？」]
150: 1704| [47] [夏彦]
151: 1707| [45] [「悠里だよ。いえでまってるはずだからさ」]
152: 1712| [47] [ましろ]
153: 1715| [45] [「な、夏彦……？」]
154: 1726| [45] [不吉な予感が、ざわざわと湧き上がってくる。]
155: 1731| [45] [かすれた声で、ましろは問いを返した。]
156: 1736| [47] [ましろ]
157: 1739| [45] [「どうして、そんなことを……」]
158: 1793| [47] [夏彦]
159: 1796| [45] [「いや、おもいだしたんだよ。びょういんにはこばれたときのこと」]
160: 1801| [47] [夏彦]
161: 1804| [45] [「ぼくはけむりをいっぱいすって、死んじゃいそうだったけど……悠里はぶじだったはずだろ？」]
162: 1858| [47] [夏彦]
163: 1861| [45] [「だからにゅういんもしなくてすむって、母さんが言ってたもん」]
164: 1866| [47] [ましろ]
165: 1869| [45] [「……！」]
166: 1874| [45] [――そんな記憶はありえない。]
167: 1879| [45] [夏彦は悠里の死を知ったから、心を閉ざしてしまったというのに。]
168: 1884| [45] [だがその話を、彼は心から信じているようだ。]
169: 1889| [47] [ましろ]
170: 1892| [45] [「あ、あの、夏彦……？　まさかわすれたの？」]
171: 1946| [47] [夏彦]
172: 1949| [45] [「ん？　なにを？」]
173: 1954| [47] [ましろ]
174: 1957| [45] [「悠里はね、もうね……」]
175: 1962| [47] [ましろ]
176: 1965| [45] [「し……死んじゃったんだよ……？」]
177: 2019| [47] [夏彦]
178: 2022| [45] [「――？」]
179: 2027| [45] [夏彦が虚ろな目で、ましろを見た。]
180: 2032| [47] [夏彦]
181: 2035| [45] [「シンジャッタってなに？」]
182: 2040| [47] [ましろ]
183: 2043| [45] [「え……だから、その火事で……」]
184: 2048| [47] [ましろ]
185: 2051| [45] [「悠里は、けむりをすって……死んじゃったの……」]
186: 2056| [45] [ましろがそう繰り返した時、]
187: 2112| [47] [夏彦]
188: 2115| [45] [「……うっ！」]
189: 2120| [45] [夏彦が急に顔をしかめた。]
190: 2125| [47] [ましろ]
191: 2128| [45] [「な、夏彦！？　どうしたの！？」]
192: 2133| [47] [夏彦]
193: 2136| [45] [「な、なんか、きゅうに頭が……！」]
194: 2141| [47] [夏彦]
195: 2144| [45] [「うぅぅう……！　いたいよぅ……！」]
196: 2149| [47] [ましろ]
197: 2152| [45] [「夏彦！　だいじょうぶ、夏彦！？」]
198: 2157| [45] [夏彦はしばらく苦しんでいたが――]
199: 2162| [45] [やがて治まったらしく、表情を緩めた。]
200: 2218| [47] [夏彦]
201: 2221| [45] [「あ……いたくなくなってきた……」]
202: 2226| [47] [ましろ]
203: 2229| [45] [「そ、そう、よかった……」]
204: 2234| [47] [夏彦]
205: 2237| [45] [「なんだったんだろ、いまの……？」]
206: 2242| [45] [夏彦が首を傾げる。]
207: 2296| [47] [ましろ]
208: 2297| [45] [「……」]
209: 2302| [45] [ましろは何も答えたくなかった。]
210: 2307| [45] [夏彦の訴えたものが、ただの頭痛ではない――そんな予感がしたからだ。]
211: 2312| [45] [正体不明の恐怖を感じ、ましろの体が震える。]
212: 2403| [47] [夏彦]
213: 2406| [45] [「……まぁいいや。それより母さんたちにれんらくしなくちゃな」]
214: 2411| [47] [ましろ]
215: 2414| [45] [「え……！？」]
216: 2419| [47] [夏彦]
217: 2422| [45] [「ぼくが目をさましたことを、おしえなきゃだろ？　それに……」]
218: 2427| [47] [夏彦]
219: 2430| [45] [「『悠里も、しんぱいしてるだろうしさ』」]
220: 2435| [45] [――その言葉を聞いた時、ましろはようやく悟った。]
221: 2440| [45] [夏彦がまだ、現実に戻ってきていない事を。]
222: 2445| [45] [彼が心の平衡を失ってしまった事を……！]
223: 2458| [47] [ましろ]
224: 2461| [45] [「……夏彦」]
225: 2466| [45] [ましろは彼の名を呼んだ。]
226: 2471| [45] [姿かたちは同じでも、変わり果ててしまった彼の名を。]
227: 2476| [45] [さきほど拭った涙が、また滲んでくる。]
228: 2522| [47] [夏彦]
229: 2525| [45] [「……？」]
230: 2530| [45] [そんなましろを、夏彦は不思議そうに見た。]
231: 2535| [47] [夏彦]
232: 2538| [45] [「……ましろ、どうして泣いてるの？」]
233: 2544| [45] [――――――]
234: 2549| [45] [――――]
235: 2554| [45] [――]
236: 2589| [45] [――ましろの９年前の記憶。]
237: 2594| [45] [それを覗き込んだ現在の夏彦は――驚愕に精神を揺さぶられていた。]
238: 2599| [47] [夏彦]
239: 2600| [45] [（な……なんだこれ……！）]
240: 2605| [47] [夏彦]
241: 2606| [45] [（こんな事があったのか！？　ぼくが知らない間に！）]
242: 2611| [45] [夏彦自身にも、あの火事の後、入院していた記憶はあった。]
243: 2616| [45] [だが夏彦の覚えている内容とはまるで違う。]
244: 2621| [47] [夏彦]
245: 2622| [45] [（ぼくは丸３ヵ月も、完全に自失してたって言うのか……？）]
246: 2627| [47] [夏彦]
247: 2628| [45] [（じゃ、じゃあその後は……）]
248: 2633| [47] [夏彦]
249: 2634| [45] [（ましろはどういう風に、ぼくに接してきたんだ……！？）]
250: 2639| [45] [夏彦がそれを知りたいと思った時、]
251: 2644| [45] [また別の光景が眼前に浮かんだ。]
