  0:  170| [55] [√Current Chapter 1]
 81: 1464| [47] [Lieutenant]
 82: 1467| [45] ["Please hold out your arm."]
 83: 1493| [47] [Yuuri]
 84: 1496| [45] ["N-no... I don't want that shot..."]
 85: 1522| [47] [Lieutenant]
 86: 1525| [45] ["You can't be like that! You'll be in grave danger without it!"]
 87: 1557| [47] [Yuuri]
 88: 1560| [45] ["Aah...!"]
 89: 1565| [45] [The lieutenant forcefully injected the girl.]
 90: 1618| [47] [Watase]
 91: 1621| [45] ["... What's that drug?"]
 92: 1647| [47] [Lieutenant]
 93: 1650| [45] ["It's called AD. Put in simple terms, it's an 'anti-radiation' drug."]
 94: 1655| [45] [According to the lieutenant's explanation:]
 95: 1787| [45] [AD was a drug provided by LABO that would serve as protection against certain levels of radiation for about 60 minutes.]
 96: 1847| [45] [Furthermore, LABO also provided the rescue squad members with radiation measurement devices known as "Procyons", which the squad apparently carried as they conducted their relief efforts.]
 97: 1903| [45] [And during the lieutenant's explanation, she told the man this:]
 98: 1911| [47] [Lieutenant]
 99: 1914| [45] ["And nearly two hours ago, that very same reactor-- went through a 'meltdown'."]
100: 2001| [45] [That revelation gave both the man and Natsuhiko a great shock.]
101: 2006| [47] [Natsuhiko]
102: 2007| [45] [(No... In the end, the meltdown still happened...!?)]
103: 2012| [47] [Natsuhiko]
104: 2013| [45] [(Dammit! I thought things would work out if I just defeated this bastard!)]
105: 2018| [45] [The man's comrades probably blew up the nuclear reactor.]
106: 2023| [47] [Natsuhiko]
107: 2024| [45] [(Then what have I... What have we been fighting for...?)]
108: 2039| [45] [As Natsuhiko wallowed in his helplessness, the man checked his own pockets.]
109: 2044| [45] [He then found a single ampule of AD.]
110: 2091| [47] [Jun]
111: 2094| [45] ["Using it's a piece of cake! It comes with its own cartridge, so just put it in that--"]
112: 2141| [47] [Jun]
113: 2144| [45] ["Now all you've gotta do is break off the tip, put it against a vein, and then just press the end!"]
114: 2156| [45] [The man administered the medicine as told--]
115: 2280| [45] [and a sudden change occured in Natsuhiko's consciousness.]
116: 2360| [47] [Natsuhiko]
117: 2361| [45] [(!?)]
118: 2413| [45] [He was struck with an abrupt, intense feeling of loss.]
119: 2429| [45] [The same sensation he felt after he fought with the man-- the sensation that he was fading away!]
120: 2445| [47] [Natsuhiko]
121: 2446| [45] [(Wh-what is this!?)]
122: 2462| [47] [Natsuhiko]
123: 2463| [45] [(Am I going to disappear just like this!?)]
124: 2479| [45] [His five senses rapidly faded into the distance.]
125: 2529| [45] [Death soundlessly drew near for the second time that day.]
126: 2543| [45] [And that's when Natsuhiko prayed from the bottom of his heart.]
127: 2587| [45] [That until he could confirm Mashiro's and Salyu's safety,]
128: 2641| [45] [until he could discern that girl's true identity...]
129: 2655| [47] [Natsuhiko]
130: 2656| [45] [(Don't... don't let me... disappear...!!)]
131: 2670| [45] [But that prayer was in vain--]
132: 2684| [45] [Natsuhiko's consciousness was buried in the darkness.]
