  0:   57| [45] [――『明日からランニングをしよう！』と亘に提案された後――]
256: 2748| [45] [不意に真剣な口調で言う渡瀬に、亘が息を呑む。]
257: 2774| [47] [亘]
258: 2777| [45] [「そ、そうだね……特にお母さんを悲しませちゃダメだよね……」]
259: 2785| [47] [渡瀬]
260: 2788| [45] [「当たり前だ」]
261: 2793| [45] [――渡瀬と亘は二卵性の双生児だが、その出産は相当な難産だったと言う。]
262: 2798| [45] [母体の安全も、一時は危ぶまれたほどだったのだ。]
263: 2803| [45] [そうして生まれたせいか、渡瀬たちに対する両親の愛情は深い。]
264: 2808| [45] [それを蔑ろにするような亘の発言に、渡瀬が怒るのも当然だった。]
265: 2834| [47] [亘]
266: 2837| [45] [「わ、わかったよ。自分の命を軽んずるような発言はやめるよ」]
267: 2845| [47] [渡瀬]
268: 2848| [45] [「あぁ、それでいい」]
269: 2874| [47] [亘]
270: 2877| [45] [「でもさ、『命を護る仕事に就く』っていう夢は諦めないし」]
271: 2885| [47] [亘]
272: 2888| [45] [「どのみちあんたの身がピンチになったら、その時だけは、私は命に替えてでもあんたを助けるよ」]
273: 2896| [47] [渡瀬]
274: 2899| [45] [「なっ……」]
275: 2907| [47] [渡瀬]
276: 2910| [45] [「お前、俺の話聞いてたか？　そんなこと言ったら、お袋が――」]
277: 2936| [47] [亘]
278: 2939| [45] [「そのお母さんから生まれた者同士、護り合うくらいはいいじゃない？」]
279: 2947| [47] [亘]
280: 2950| [45] [「それにホラ、私あんたのお姉ちゃんだからさ」]
281: 2955| [45] [にっこり笑う亘に、渡瀬はやれやれと首を振った。]
282: 2963| [47] [渡瀬]
283: 2966| [45] [「ま……そんな日が来ないことを祈ってるよ」]
284: 2992| [47] [亘]
285: 2995| [45] [「そだね、縁起でもないし」]
286: 3000| [45] [２人は笑みを交わす。]
287: 3008| [47] [渡瀬]
288: 3011| [45] [「……さ、すっかり体が冷えちまった。ランニングの続きをしようぜ」]
289: 3019| [47] [亘]
290: 3022| [45] [「うん、帰りがてら競走しよう」]
291: 3048| [47] [亘]
292: 3051| [45] [「負けた方、アイスオゴリね」]
293: 3059| [47] [渡瀬]
294: 3062| [45] [「やめとけ、その賭けは成立しねぇよ」]
295: 3082| [45] [渡瀬たちはそう言って、家に向けて駆け出した。]
296: 3217| [45] [２ｋｍほどの道を走ると、渡瀬たちの住むマンションが見えてきた。]
297: 3222| [45] [するとそれまで、渡瀬と亘は併走していたのだが――]
298: 3257| [47] [亘]
299: 3260| [45] [「お先！」]
300: 3265| [45] [亘がそう言って、いきなりダッシュした。]
301: 3291| [47] [亘]
302: 3294| [45] [「油断したね渡瀬、アイスはいただきだよ！」]
303: 3311| [47] [渡瀬]
304: 3314| [45] [「な、汚ぇぞ！」]
305: 3319| [45] [渡瀬が慌てて追おうとした時。]
306: 3327| [45] [――不意に道路のわき道から、車が現れた。]
307: 3332| [47] [渡瀬]
308: 3333| [45] [（！？）]
309: 3356| [45] [亘が驚いて立ちすくむ。]
310: 3367| [45] [ブレーキ音が聞こえたが、車は止まりきらず、亘の方に――！]
311: 3372| [47] [渡瀬]
312: 3373| [45] [（轢かれる！？）]
313: 3378| [45] [そう思った時には、体が動いていた。]
314: 3386| [47] [渡瀬]
315: 3389| [45] [「亘ッ！！」]
316: 3474| [47] [亘]
317: 3477| [45] [「あっ！！」]
318: 3482| [45] [渡瀬は弾かれたように亘に駆け寄り、彼女を突き飛ばしていた。]
319: 3527| [45] [一瞬の後、腿の辺りに衝撃が走る。]
320: 3532| [47] [渡瀬]
321: 3533| [45] [（ッ！！）]
322: 3538| [45] [渡瀬は車に撥ね飛ばされ、地面に叩きつけられた。]
323: 3606| [47] [渡瀬]
324: 3609| [45] [「ぐっ……ぅ」]
325: 3614| [45] [仰向けに倒れたまま、渡瀬はうめく。]
326: 3619| [45] [視界一杯に、綺麗な茜空が見えた。]
327: 3627| [47] [亘]
328: 3630| [45] [「わ……渡瀬ッ！！」]
329: 3635| [45] [どこかで亘の声が聞こえた。]
330: 3640| [45] [続いて車のドアが開く音と、運転手らしき男の声がする。]
331: 3645| [47] [運転手]
332: 3648| [45] [「あ、あ、たた大変だ……！」]
333: 3656| [47] [亘]
334: 3659| [45] [「きゅ、救急車呼んでください！　渡瀬が！　渡瀬が死んじゃう！！」]
335: 3664| [45] [渡瀬は彼女のわめき声を聞きながら、内心で呆れた。]
336: 3669| [47] [渡瀬]
337: 3670| [45] [（死なねぇよ……なんか脚スゲェ痛いけど）]
338: 3675| [45] [死の危険は感じない。]
339: 3680| [45] [だが轢かれた直後はさほど痛まなかった脚は、急速かつ猛烈に痛み始めていた。]
340: 3743| [45] [脳震盪も起こしたのか、意識が薄れていく。]
341: 3751| [47] [亘]
342: 3754| [45] [「いま救急車がくるから！　死なないで渡瀬！！」]
343: 3759| [47] [渡瀬]
344: 3760| [45] [（はっ……なにが『命に替えても俺を助ける』だよ）]
345: 3765| [47] [渡瀬]
346: 3766| [45] [（逆に俺に助けられてちゃ……世話、ない……）]
347: 3826| [45] [そんな事を考えながら――]
348: 3831| [45] [渡瀬は、気を失った。]
