  0:   69| [45] [――ゆりかごに揺られているような感覚があった。]
129: 1335| [47] [サリュ]
130: 1338| [45] [「……便利」]
131: 1364| [47] [美夜子]
132: 1367| [45] [「よかった、気にいったみたいね」]
133: 1372| [45] [博士は微笑み、それから話を替えた。]
134: 1398| [47] [美夜子]
135: 1401| [45] [「さて、近くにホテルを取ってあるの。今日はそこで、私と寝泊りしましょう」]
136: 1406| [47] [サリュ]
137: 1409| [45] [「博士の家に行くのではないの？」]
138: 1417| [47] [美夜子]
139: 1420| [45] [「いきなりだと、環境の変化に戸惑うと思うから……段階的に、慣らしていきましょう」]
140: 1425| [45] [博士はそう言って、サリュの手を引いて歩き出した。]
141: 1488| [45] [博士と共に、街中を歩く。]
142: 1493| [45] [故郷では見た事もないほど人がいて、サリュは身を震わせた。]
143: 1498| [47] [サリュ]
144: 1499| [45] [（なんだか……怖い……）]
145: 1504| [47] [サリュ]
146: 1507| [45] [「……あの、博士、ホテルにはまだ着かないの？」]
147: 1540| [47] [美夜子]
148: 1543| [45] [「いえ、先にこのショッピングエリアで、生活必需品を買おうと思ったのだけど――」]
149: 1548| [45] [博士がそう言った時。]
150: 1553| [45] [サリュの頭の中で、声が響いた。]
151: 1618| [85] [《離れろましろ！！　ガソリンだッ！！》]
152: 1619| [86] [？？]
153: 1620| [86] [《離れろましろ！！　ガソリンだッ！！》]
154: 1681| [47] [サリュ]
155: 1684| [45] [「ッ！？」]
156: 1695| [45] [突然の大声に、サリュは息を呑んだ。]
157: 1700| [47] [サリュ]
158: 1703| [45] [「博士、今のは？」]
159: 1708| [45] [博士にそう尋ねると――彼女の表情は、凍り付いていた。]
160: 1716| [47] [美夜子]
161: 1719| [45] [「い……今のは……！」]
162: 1727| [47] [美夜子]
163: 1730| [45] [「まさか、夏彦の！？」]
164: 1735| [45] [博士は慌てた様子で、あたりを見回した。]
165: 1761| [47] [美夜子]
166: 1764| [45] [「とうとう能力が……！？　いや、それよりどこで……！」]
167: 1769| [47] [サリュ]
168: 1772| [45] [「あの、博士？」]
169: 1798| [47] [美夜子]
170: 1801| [45] [「まずいわ……この事が上に知られたら……」]
171: 1806| [45] [博士がぶつぶつと呟く。かなり動転しているらしく、サリュの言葉も耳に入ってないようだ。]
172: 1817| [45] [やがて博士のＰＤＡが鳴った。]
173: 1840| [45] [博士ははっとして、電話に出る。]
174: 1873| [47] [美夜子]
175: 1876| [45] [「はい、天川です……」]
176: 1902| [47] [美夜子]
177: 1905| [45] [「……えぇ、さきほど私も知覚しました。恐らく特監ナ２号のテレパシーです……」]
178: 1931| [47] [美夜子]
179: 1934| [45] [「……処置を？　そんな、早計過ぎます！」]
180: 1960| [47] [美夜子]
181: 1963| [45] [「まだテレパシーだけですよ！？　超科局基準に照らせば――」]
182: 1968| [45] [博士は電話相手と、何事か議論を始めた。]
183: 2011| [45] [サリュはしばらくそこで待っていたが、１０分経っても２０分経っても終わらない。]
184: 2016| [47] [サリュ]
185: 2017| [45] [（何か問題でも起きたの……？）]
186: 2022| [45] [サリュにはまるでわからない。]
187: 2065| [45] [退屈しながら待っていると、やがて通りの向こうで人々のざわめきが聞こえた。]
188: 2070| [47] [サリュ]
189: 2071| [45] [（……なんだろう）]
190: 2076| [45] [サリュは博士からあまり離れないように気をつけながら、ざわめきの方に向けて歩き出した。]
191: 2210| [45] [通りを抜けた所には、街灯にぶつかって壊れている車があった。]
192: 2215| [45] [どうやら自動車事故があったらしい。消防車が走り去っていくのが遠くに見える。]
193: 2301| [45] [そして、野次馬の群れの中の１人に――サリュは目を止めた。]
194: 2306| [47] [サリュ]
195: 2307| [45] [（あの少年は、天川博士の息子……？）]
196: 2312| [45] [初めて見るはずの彼に、なぜか見覚えがあったのだ。]
197: 2317| [45] [いつか博士から、写真でも見せられたのだろうか。]
198: 2340| [45] [その時、彼もサリュの方を振り返った。]
199: 2402| [45] [目が合い、じっと睨まれる。]
200: 2407| [47] [アリス]
201: 2410| [45] [「きゅうきゅう！　きゅうきゅう！」]
202: 2415| [45] [すぐにＡＲＭＳが激しく鳴き出した。警報に近いような声だった。]
203: 2420| [47] [サリュ]
204: 2421| [45] [（いけない、敵視されてる……？）]
205: 2469| [45] [サリュはまた怖くなり、その場を素早く離れた。]
206: 2538| [45] [博士のところに戻ると、ちょうど彼女が電話を終えるところだった。]
207: 2546| [47] [美夜子]
208: 2549| [45] [「……ええ、ええ。わかりました、それではそのように……」]
209: 2554| [45] [博士がため息をつき、電話を切る。]
210: 2559| [45] [そしてサリュに気付き、言った。]
211: 2591| [47] [美夜子]
212: 2594| [45] [「……ごめんなさい、待たせたわね」]
213: 2599| [47] [サリュ]
214: 2602| [45] [「電話はもういいの？」]
215: 2628| [47] [美夜子]
216: 2631| [45] [「……ちょっと忙しくなりそうだけど……大丈夫よ、心配ないわ」]
217: 2657| [47] [美夜子]
218: 2660| [45] [「今の電話の件については、今後夏彦に会った時も、話さないでちょうだい」]
219: 2665| [47] [サリュ]
220: 2668| [45] [「？　……わからないけど、わかった」]
221: 2694| [47] [美夜子]
222: 2697| [45] [「ありがとう。とにかく一度、ホテルに行きましょう。買い物はあとで私がするから」]
223: 2702| [45] [博士はサリュの手を握り、また歩き始めた。]
224: 2707| [45] [歩きながら、サリュは博士に問う。]
225: 2712| [47] [サリュ]
226: 2715| [45] [「ところで博士、先ほどの話だけど」]
227: 2741| [47] [美夜子]
228: 2744| [45] [「え？」]
229: 2749| [47] [サリュ]
230: 2752| [45] [「博士の息子を護るという件について。なぜ私にそんな役目を？」]
231: 2757| [47] [サリュ]
232: 2760| [45] [「博士ほどの地位や財産があれば、いくらでも有能なボディーガードを雇えるはず。なのになぜ、この私に？」]
233: 2765| [45] [サリュがそう尋ねると、博士は静かに答えた。]
234: 2791| [47] [美夜子]
235: 2794| [45] [「あなたに、役目を与えたいのよ」]
236: 2799| [47] [サリュ]
237: 2802| [45] [「……役目？」]
238: 2810| [47] [美夜子]
239: 2813| [45] [「そう、役目」]
240: 2839| [47] [美夜子]
241: 2842| [45] [「この役目は息子のためだけじゃない。あなたのためでもあるの」]
242: 2850| [47] [美夜子]
243: 2853| [45] [「あなたも夏彦も、心に欠けた部分がある。でもだからこそ、共に補完しあえるはず」]
244: 2879| [47] [美夜子]
245: 2882| [45] [「私は期待しているの。私が夏彦に与えられないものを、優衣が与えてくれる事を」]
246: 2890| [47] [美夜子]
247: 2893| [45] [「私が優衣に与えられないものを、夏彦が与えてくれる事を」]
248: 2898| [47] [サリュ]
249: 2901| [45] [「……？　よくわからない」]
250: 2927| [47] [美夜子]
251: 2930| [45] [「そうよね……でも、いずれきっとわかるはずよ」]
252: 2956| [47] [美夜子]
253: 2959| [45] [「この役目を果たした時、あなたの空洞は埋まるんだって」]
254: 2964| [45] [博士はそう言って、微笑んだ。]
255: 3048| [45] [博士の真意はわからなかったが――その言葉には、心が強く惹きつけられた。]
256: 3053| [47] [サリュ]
257: 3054| [45] [（役目か……）]
258: 3059| [45] [警護などというつまらなそうな事に、なぜそんなにも惹きつけられるかはわからない。]
259: 3064| [45] [だがサリュは自覚した。自分がそれを渇望していた事を。]
260: 3069| [47] [サリュ]
261: 3070| [45] [（自信はないけれど……一生懸命、がんばってみよう）]
