  0:   53| [45] [------]
 65: 1079| [45] [The heat was so intense that it was difficult to breathe.]
 66: 1084| [45] [A heat haze rose from the entire floor, warping the sight of Yuuri's surroundings.]
 67: 1089| [45] [As she watched the haze, all of the preparation Yuuri had made to accept her death--]
 68: 1094| [45] [--turned into fear.]
 69: 1110| [47] [Yuuri]
 70: 1113| [45] ["N-no..."]
 71: 1121| [47] [Yuuri]
 72: 1124| [45] ["No, no, no... I don't want to die... I don't want to die...!"]
 73: 1129| [45] [She kept screaming in solitude.]
 74: 1134| [45] [The fear of actual impending death blew away what little resolve to die Yuuri thought she had.]
 75: 1139| [45] [A heat wave blew through like a windstorm.]
 76: 1144| [45] [Smoke filled the room.]
 77: 1167| [47] [Yuuri]
 78: 1170| [45] ["*cough*! *cough*!"]
 79: 1175| [45] [Yuuri coughed violently. Her eyes watered.]
 80: 1180| [45] [But then-- she heard voices from somewhere in the distance.]
 81: 1200| [47] [???]
 82: 1203| [45] ["Get a hose ready!"]
 83: 1211| [47] [???]
 84: 1214| [45] ["Roger!"]
 85: 1234| [47] [Yuuri]
 86: 1235| [45] [(!?)]
 87: 1240| [45] [They were female voices.]
 88: 1248| [47] [???]
 89: 1251| [45] ["Whoa-- outta the way, Captain!"]
 90: 1259| [47] [???]
 91: 1262| [45] ["Commence water release!"]
 92: 1270| [47] [???]
 93: 1273| [45] ["Roger! Here it comes!!"]
 94: 1278| [45] [Judging by their conversation, they seemed to be firefighters or something.]
 95: 1283| [45] [When Yuuri lifted her head, she heard the sound of water coming from the other side of the crushed door.]
 96: 1294| [45] [They were extinguishing the fires outside.]
 97: 1299| [45] [The violent heat wave rapidly died down.]
 98: 1304| [47] [Yuuri]
 99: 1305| [45] [(Th-there's no doubt about it... They're firefighters!)]
100: 1313| [47] [Yuuri]
101: 1316| [45] ["S-someone..."]
102: 1324| [47] [Yuuri]
103: 1327| [45] ["He... help me...!"]
104: 1332| [45] [She heard a voice in response.]
105: 1340| [47] [???]
106: 1343| [45] ["Someone's... in that room!?"]
107: 1348| [45] [Yuuri called out once more to whomever it was that was rushing over to her.]
108: 1356| [47] [Yuuri]
109: 1359| [45] ["Someone... help... me..."]
110: 1364| [45] [And finally, the owner of the footsteps came running into the room.]
111: 1398| [47] [???]
112: 1401| [45] ["Are you okay!?"]
113: 1406| [45] [Yuuri desperately reached out her hand.]
114: 1411| [45] [But as soon as she made eye contact with the owner of the voice--]
115: 1440| [47] [Yuuri]
116: 1443| [45] ["--!?"]
117: 1448| [45] [Yuuri gasped in shock.]
118: 1537| [45] [Standing there was the man who had just attacked her earlier.]
119: 1542| [47] [Yuuri]
120: 1543| [45] [(Why!? Why did he come to save me!?)]
121: 1548| [45] [She was thoroughly confused and understood nothing of the situation.]
122: 1586| [45] [The man's face stiffened too for some reason, and he froze in place.]
123: 1591| [45] [Meanwhile, the fires drew closer to Yuuri.]
124: 1596| [45] [Eventually the man shot off like a bullet--]
125: 1628| [45] [--straight into the room to save Yuuri.]
