  0:   65| [45] [――夏彦は、風見の記憶を読み進めた。]
 97: 1045| [45] [いつも通りの自分を演じたつもりだった。]
 98: 1050| [45] [だがなぜか皆、風見を見て、怯えたような表情を浮かべる。]
 99: 1076| [47] [悠里]
100: 1079| [45] [「あ、あの、副隊長さん……？」]
101: 1105| [47] [恵那]
102: 1108| [45] [「その……大丈夫なの？」]
103: 1113| [47] [風見]
104: 1116| [45] [「ご心配をおかけしました。もう大丈夫です」]
105: 1121| [45] [内心の変調を見破られないよう、風見は冷静に言葉を重ねた。]
106: 1164| [45] [だが胸の内には、陰鬱な気持ちが渦巻いていた。]
107: 1169| [47] [風見]
108: 1170| [45] [（この子は凪沙じゃない……）]
109: 1175| [47] [風見]
110: 1176| [45] [（だけど、この事故の犠牲者である事は間違いない）]
111: 1181| [47] [風見]
112: 1182| [45] [（また１人……犠牲者を出してしまった……！）]
113: 1187| [45] [そう思いつつ、小部屋を出ようとする風見の背後で――]
114: 1192| [45] [不意に、声がした。]
115: 1251| [85] [《……行っちゃうの？》]
116: 1252| [86] [？？]
117: 1253| [86] [《……行っちゃうの？》]
118: 1296| [47] [風見]
119: 1299| [45] [「！？」]
120: 1310| [45] [風見ははっとして振り返った。]
121: 1315| [45] [一瞬、少女が生き返ったのだと思って――]
122: 1365| [45] [だがそこには、少女の死体があるだけだった。]
123: 1370| [45] [その体は、先ほどまでと同じく、生命を全く感じられない。]
124: 1375| [47] [風見]
125: 1378| [45] [「……あの、もし？」]
126: 1383| [45] [声をかけても、答えはなかった。]
127: 1388| [47] [風見]
128: 1389| [45] [（……気のせい、気のせいよ……）]
129: 1394| [47] [風見]
130: 1395| [45] [（今の私は冷静じゃない……！　願望が現実を歪ませたんだわ……）]
131: 1400| [45] [風見はそう自分に言い聞かせ、死体から目を逸らした。]
132: 1429| [45] [――その記憶を読んで、夏彦は戸惑っていた。]
133: 1434| [47] [夏彦]
134: 1435| [45] [（な……なんだこれ……！）]
135: 1440| [47] [夏彦]
136: 1441| [45] [（これ、橘さんの、本物の記憶なのか！？）]
137: 1446| [45] [被験体Ｎは、この時まで生きていて、皆の記憶操作を行った。]
138: 1451| [45] [だから風見の記憶が歪められているとしたら、この時点より前の記憶が歪められているという事になる。]
139: 1456| [45] [だが、この記憶の中では、花の香りはしなかった。]
140: 1461| [45] [そして渡瀬たちの心の中にいたような、『被験体Ｎの魂』も現れなかった。]
141: 1466| [47] [夏彦]
142: 1467| [45] [（……どういう事なんだ……）]
143: 1472| [47] [夏彦]
144: 1473| [45] [（あいつは、もっと先の記憶にいるのか……？）]
145: 1478| [45] [夏彦はわけがわからないまま、さらに記憶を読み進めた。]
146: 1521| [45] [次に異様な事が起きたのは、もう少し先の記憶――]
147: 1526| [45] [悠里が消えた直後の事だ。]
148: 1604| [45] [――突如逃げ出したユウリを、風見たちは見つける事ができなかった。]
149: 1609| [45] [傍らの渡瀬が、心配げに言う。]
150: 1635| [47] [渡瀬]
151: 1638| [45] [「ＡＤの効果はまだ１時間近くある。それまでに探さなきゃまずい」]
152: 1643| [47] [風見]
153: 1646| [45] [「……えぇ……」]
154: 1672| [47] [渡瀬]
155: 1675| [45] [「もっともユウリは、カードを隠し持っていたように、ＡＤも隠し持っている可能性は――……」]
156: 1680| [47] [風見]
157: 1681| [45] [「……」]
158: 1686| [45] [渡瀬の声が、また遠くなった。]
159: 1719| [47] [風見]
160: 1720| [45] [（どうして……？　こんな危険な状況なのに、１人でどこかへ行くなんて……！）]
161: 1725| [47] [風見]
162: 1728| [45] [「お願い、無事でいて……！」]
163: 1733| [45] [そう呟き、風見は駆け出す。]
164: 1738| [45] [――その耳に、またさきほどの声が聞こえた。]
165: 1795| [85] [《……早く探さなきゃ……》]
166: 1796| [86] [？？]
167: 1797| [86] [《……早く探さなきゃ……》]
168: 1812| [85] [《あの子も私みたいに、死んじゃうよ……？》]
169: 1813| [86] [？？]
170: 1814| [86] [《あの子も私みたいに、死んじゃうよ……？》]
171: 1842| [47] [風見]
172: 1845| [45] [「……！」]
173: 1850| [45] [それは頭の中から響く声のように思えた。]
174: 1855| [45] [風見は奥歯を噛み、密かに思う。]
175: 1860| [47] [風見]
176: 1861| [45] [（……わかってるわよ……）]
177: 1866| [47] [風見]
178: 1867| [45] [（幻聴なのね、これ……？）]
179: 1872| [47] [風見]
180: 1873| [45] [（あなたを救えなかった罪悪感が、ありもしない声を聞かせているのね？）]
181: 1928| [85] [《……》]
182: 1929| [86] [？？]
183: 1930| [86] [《……》]
184: 1958| [45] [幻聴が黙り込む。]
185: 1963| [45] [風見は罪悪感に耐えつつ、心の中で続けた。]
186: 1968| [47] [風見]
187: 1969| [45] [（ごめんなさい……本当に、ごめんなさい……）]
188: 1974| [47] [風見]
189: 1975| [45] [（全てが終わったら、あなたをちゃんと弔うから……今だけは、責めないで……）]
190: 1980| [45] [――だが、幻聴はもう聞こえなかった。]
191: 1985| [45] [風見はそれに安堵すると同時に――]
192: 1990| [45] [かすかな寂しさを、感じていた。]
193: 2058| [47] [夏彦]
194: 2059| [45] [（ちょ、ちょっと待ってくれ！）]
195: 2064| [47] [夏彦]
196: 2065| [45] [（おかしいぞこれ！　何が起きてるんだ！？）]
197: 2070| [45] [愕然とする夏彦の頭に、悠里の声が響く。]
198: 2094| [47] [悠里]
199: 2097| [45] [《へ、変だよひこりん！　なんか変！》]
200: 2102| [47] [夏彦]
201: 2103| [45] [（あぁ！　幻聴ってなんだ！？　なんでこんな事が起こる！？）]
202: 2127| [47] [悠里]
203: 2130| [45] [《まさかＮちゃんが、テレパシーを……！？》]
204: 2154| [47] [悠里]
205: 2157| [45] [《ひこりんが、隊長さんにテレパシーを使っていたみたいに！？》]
206: 2162| [47] [夏彦]
207: 2163| [45] [（いや、それはありえない！）]
208: 2168| [47] [夏彦]
209: 2169| [45] [（被験体Ｎは、もう死んでいるんだから……ありえないはずなんだ……！）]
210: 2202| [45] [そしてこの記憶の中にも、花の香りはしなかった。]
211: 2207| [45] [記憶操作でもない、テレパシーでもない、不可解な現象――]
212: 2212| [45] [だが夏彦は、その現象を良く知っている。]
213: 2217| [47] [夏彦]
214: 2218| [45] [（まさか、橘さんは……！）]
215: 2223| [45] [夏彦の心に、１つの疑惑が生まれた。]
216: 2268| [45] [そしてもう少し先の時点では――]
217: 2273| [45] [さらに異様な事が起きた。]
218: 2348| [45] [風見が足を怪我して、監視ルームにいた時の事。]
219: 2353| [45] [彼女は１人、モニターを眺めていた。]
220: 2358| [45] [体が回復するまでの間、モニターをチェックしておこうと思っていたのだが――]
221: 2363| [45] [その作業には、まるで力が入らなかった。]
222: 2368| [47] [風見]
223: 2369| [45] [（人殺しが施設内に、いるかもしれないなんて……！）]
224: 2374| [45] [風見の心には、怯えと恐怖が浮かんでいた。]
225: 2379| [45] [初めて体験するＮ災害への出場とは言え、いつも通り人命救助に専心すればいいと思っていた。]
226: 2384| [45] [だが、状況は急速に変わりつつある。]
227: 2389| [45] [搬出リフトが破壊されていたとわかった時、恵那が言っていた。]
228: 2394| [45] [『これはただの災害じゃない。誰かが意図的に起こした事だ』と。]
229: 2399| [45] [洵も言っていた。『街にテロリストが入り込んでいた』と。]
230: 2404| [45] [正直、風見も２人の意見には、同意するところもあったが――]
231: 2409| [45] [それはおくびにも出さず、否定し続けていた。]
232: 2414| [47] [風見]
233: 2415| [45] [（この極めて厳しい状況下、一番怖いのは、皆が疑心暗鬼に陥る事……！）]
234: 2420| [47] [風見]
235: 2421| [45] [（力を合わせなければ、生き残れないかもしれないのに……）]
236: 2426| [45] [だが施設内に９人しかいない以上、恵那たちの考えをつきつめていけば、やがて１つの疑惑につきあたってしまう。]
237: 2431| [45] [即ち、『私たちの中に、犯人がいる』という考え――]
238: 2436| [45] [だからこそ風見は、殺人者の存在など、認めるわけにはいかなかったのだ。]
239: 2441| [47] [風見]
240: 2442| [45] [（でも、だったら……あの少女は誰に殺されたの？）]
241: 2447| [47] [風見]
242: 2448| [45] [（ユウリさんは、どうして姿を消したの？）]
243: 2453| [47] [風見]
244: 2454| [45] [（本当に犯人は、すでに逃げたの……？）]
245: 2459| [45] [疑問が湧き上がり、心を満たす。]
246: 2464| [45] [風見は頭を振って、それを否定した。]
247: 2469| [47] [風見]
248: 2470| [45] [（ダメよ、こんな事を考えちゃ！）]
249: 2475| [47] [風見]
250: 2476| [45] [（私は今、心のバランスが崩れてる！　こんな思考に支配されたら、それこそ危険――）]
251: 2481| [45] [風見がそう思った時。]
252: 2486| [45] [――背後で声がした。]
253: 2544| [85] [《本当にそれでいいの？》]
254: 2545| [86] [？？]
255: 2546| [86] [《本当にそれでいいの？》]
256: 2574| [47] [風見]
257: 2577| [45] [「ッ！？」]
258: 2582| [45] [風見ははっとして、振り返り――]
259: 2605| [45] [そして、目を疑った。]
260: 2616| [47] [風見]
261: 2619| [45] [「ひっ……！」]
262: 2624| [45] [かすれた声が口から漏れる。]
263: 2629| [45] [部屋の隅に、先ほどリフトの前で死んでいた少女が立っていた。]
264: 2634| [47] [風見]
265: 2637| [45] [「あ、あなたは……！」]
266: 2642| [45] [驚愕に言葉を失う風見に、彼女が言う。]
267: 2697| [47] [被験体Ｎ]
268: 2700| [45] [《……驚かして、ごめんね》]
269: 2705| [47] [被験体Ｎ]
270: 2708| [45] [《あなたが間違った方向に進もうとしているから、見ていられなくなって……》]
271: 2713| [45] [それは先ほど聞こえた幻聴と、同じ声だった。]
272: 2718| [45] [信じがたい思いが押し寄せる。]
273: 2723| [47] [風見]
274: 2726| [45] [「ゆ、幽霊……！？」]
275: 2750| [47] [被験体Ｎ]
276: 2753| [45] [《そのようなものかもね……自分でもよくわからないの》]
277: 2758| [47] [風見]
278: 2761| [45] [「わからないって……！」]
279: 2766| [47] [風見]
280: 2767| [45] [（幽霊じゃないとしたら――幻覚！？）]
281: 2772| [47] [風見]
282: 2773| [45] [（だとしたら、私の精神はそこまで……！）]
283: 2778| [45] [だがそれは幽霊や幻覚などといった、曖昧な存在だとは思えなかった。]
284: 2783| [45] [混乱する風見に、少女が続ける。]
285: 2807| [47] [被験体Ｎ]
286: 2810| [45] [《そんなに怯えないで……私、あなたの力になりたいの》]
287: 2815| [47] [風見]
288: 2818| [45] [「ど、どうして？」]
289: 2842| [47] [被験体Ｎ]
290: 2845| [45] [《それもわからないけど、あなたが気に入ったのかも》]
291: 2850| [47] [風見]
292: 2853| [45] [「……？」]
293: 2877| [47] [被験体Ｎ]
294: 2880| [45] [《とにかくあなたに教えておきたい事があるの。生き残るためには、周りを疑わなきゃだめだって》]
295: 2885| [47] [風見]
296: 2888| [45] [「疑う？　誰を？」]
297: 2893| [47] [被験体Ｎ]
298: 2896| [45] [《自分以外の皆を……特に、そう、渡瀬さんをね》]
299: 2901| [47] [風見]
300: 2904| [45] [「な、何を言ってるの！？」]
301: 2928| [47] [被験体Ｎ]
302: 2931| [45] [《自分でもわかってるんじゃないかな……？》]
303: 2936| [47] [被験体Ｎ]
304: 2939| [45] [《あの人の記憶喪失には、不自然な点があるって》]
305: 2944| [47] [風見]
306: 2947| [45] [「あ、それは……！」]
307: 2971| [47] [被験体Ｎ]
308: 2974| [45] [《私ね、思うんだけど……ひょっとしたら、犯人って……》]
309: 2998| [47] [被験体Ｎ]
310: 3001| [45] [《渡瀬さんなんじゃないかなぁ？》]
311: 3006| [47] [風見]
312: 3009| [45] [「止めて！　どうしてそんな事を言うの！」]
313: 3014| [45] [その言葉に、風見は反射的に叫んだ。]
314: 3019| [47] [風見]
315: 3022| [45] [「あの人は、そんな人じゃないわ！」]
316: 3046| [47] [被験体Ｎ]
317: 3049| [45] [《でもよく考えて。あの人は嘘をついている可能性があるんだよ？》]
318: 3054| [47] [被験体Ｎ]
319: 3057| [45] [《どうしてそんな嘘をつかなきゃならないのか……あなたにも隠したい事があるからじゃないかな》]
320: 3062| [47] [風見]
321: 3065| [45] [「そんなの私は信じない……」]
322: 3070| [47] [風見]
323: 3073| [45] [「あなたはいったい誰なの？　どうしてそんな事を私に言うのよ……！」]
324: 3078| [47] [被験体Ｎ]
325: 3081| [45] [《……わからない。私には記憶がないの。自分についての事、何も覚えてないのよ》]
326: 3086| [45] [少女が不意に、寂しそうな表情を浮かべる。]
327: 3110| [47] [被験体Ｎ]
328: 3113| [45] [《……ただずっと長いこと、どこか真っ暗なところにいた気がする》]
329: 3137| [47] [被験体Ｎ]
330: 3140| [45] [《そこできっと私の心は、ドロドロに腐っちゃったんだね》]
331: 3145| [47] [被験体Ｎ]
332: 3148| [45] [《人を憎む気持ちと、疑う気持ちと、殺したいって気持ちと……そういうものばかりが、私の中にあるの》]
333: 3153| [47] [風見]
334: 3156| [45] [「そんな……？」]
335: 3161| [47] [風見]
336: 3164| [45] [「でも、私とはこうして、普通に話しているじゃない」]
337: 3188| [47] [被験体Ｎ]
338: 3191| [45] [《そうだよね。なんでかなぁ……？》]
339: 3196| [47] [風見]
340: 3199| [45] [「……？」]
341: 3223| [47] [被験体Ｎ]
342: 3226| [45] [《……ごめんね。戸惑わせて》]
343: 3250| [47] [被験体Ｎ]
344: 3253| [45] [《私、もう行くね》]
345: 3258| [45] [少女はそう言って微笑んだ。]
346: 3263| [47] [風見]
347: 3266| [45] [「ま、待って！」]
348: 3305| [45] [風見がそう声を上げた瞬間、]
349: 3317| [45] [部屋の扉が開いた。]
350: 3322| [47] [風見]
351: 3325| [45] [「……っ！」]
352: 3330| [45] [風見は我に返り、扉の方を見た。]
353: 3406| [45] [そこには渡瀬と洵、そして要救助者たちが立っていた。]
354: 3411| [47] [風見]
355: 3414| [45] [「た、隊長……それに皆さんも……！」]
356: 3422| [47] [渡瀬]
357: 3425| [45] [「橘……１人か？」]
358: 3430| [47] [風見]
359: 3433| [45] [「そうですけど……誰かいるように見えますか？」]
360: 3438| [45] [風見は表情も感情も殺し、静かに答える。]
361: 3443| [45] [渡瀬たちには、今の出来事を、絶対に知られたくなかった。]
362: 3614| [47] [夏彦]
363: 3615| [45] [（……ッ！！）]
364: 3620| [45] [夏彦は言葉を失っていた。]
365: 3625| [45] [悠里の虚ろな声が聞こえる。]
366: 3649| [47] [悠里]
367: 3652| [45] [《こ、これって、橘さん……まさか、ひこりんと同じく……》]
368: 3657| [47] [夏彦]
369: 3658| [45] [（ああ……）]
370: 3663| [45] [夏彦は呆然と答える。]
371: 3668| [47] [夏彦]
372: 3669| [45] [（橘さんは、この時……被験体Ｎの幻を見ていたんだ）]
373: 3674| [45] [――９年間、夏彦が悠里の幻を見続けてきたように。]
374: 3679| [45] [そこにいるとしか思えない、実在感を伴った幻覚を、風見もずっと見ていたのだ。]
375: 3684| [47] [夏彦]
376: 3685| [45] [（で、でもどうして橘さんだけが幻を……）]
377: 3690| [47] [夏彦]
378: 3691| [45] [（渡瀬の時とかと、全然違うじゃないか！？）]
379: 3696| [45] [被験体Ｎの口調も、風見のものとは違っていた。]
380: 3701| [45] [悠里の幻が、夏彦の口調で喋ってはいなかったように。]
381: 3725| [47] [悠里]
382: 3728| [45] [《そう言えばひこりんの時と、条件はよく似てるよね……》]
383: 3733| [47] [悠里]
384: 3736| [45] [《副隊長さんは過去に妹さんを亡くして、自失状態に陥った事があって――その上で、記憶操作を受けたんだから》]
385: 3741| [47] [悠里]
386: 3744| [45] [《幻を見るようになっても、おかしくないのかも……？》]
387: 3749| [47] [夏彦]
388: 3750| [45] [（いや……それだけじゃ説明がつかない気がする……！）]
389: 3755| [45] [だが明確な答えは出ない。]
390: 3760| [45] [夏彦はさらに記憶を読み進める。]
391: 3830| [45] [そして次に、幻影が現れたのは――]
392: 3890| [45] [風見たちが、Ｎエリアで火災が起きていない事に気付き、]
393: 3950| [45] [排水パイプからの脱出を試み――]
394: 3995| [45] [そしてそれに、失敗した後。]
395: 4055| [45] [『渡瀬はテロリストだ』と、サリュに言われた時の事だった。]
396: 4090| [47] [風見]
397: 4093| [45] [「――もう、やめて！」]
398: 4098| [45] [風見は思わず、サリュを力いっぱい振りほどいた。]
399: 4205| [47] [サリュ]
400: 4208| [45] [「！」]
401: 4286| [47] [渡瀬]
402: 4289| [45] [「――サリュ！」]
403: 4435| [45] [渡瀬がサリュに駆け寄り、容態を確認する。]
404: 4440| [47] [風見]
405: 4441| [45] [（あ、あ……私、なんて事を……！）]
406: 4446| [45] [風見は呆然と、渡瀬たちに歩み寄った。]
407: 4451| [47] [風見]
408: 4454| [45] [「隊長……三ノ宮さんは……？」]
409: 4480| [47] [渡瀬]
410: 4483| [45] [「大丈夫、気を失っているだけだ」]
411: 4488| [47] [風見]
412: 4491| [45] [「そ、そうですか……」]
413: 4496| [45] [その事には安堵しつつも――]
414: 4501| [45] [風見は先ほどのサリュの言葉を、思い返していた。]
415: 4506| [45] [『この男は、テロリスト。私たちは昨夜も今朝も、この男の襲撃を受けた』]
416: 4511| [45] [『ここで起こっていることは、全部あの男のせい』]
417: 4516| [45] [『あなたにだって、思い当たることはいくつもあるはず』]
418: 4521| [45] [――その言葉が心を深く抉る。]
419: 4526| [45] [風見の体が、恐怖に震え始めた。]
420: 4552| [47] [渡瀬]
421: 4555| [45] [「橘……？」]
422: 4560| [45] [渡瀬が戸惑うように問う。]
423: 4565| [45] [風見は身の震えを抑え、彼に答えようと思った。]
424: 4570| [47] [風見]
425: 4573| [45] [「隊長、私は…………」]
426: 4578| [45] [『あなたを信じます』]
427: 4583| [45] [そう言いたかった。]
428: 4588| [45] [だが、その時――]
429: 4717| [85] [《信じちゃダメだよ》]
430: 4718| [86] [被験体Ｎ]
431: 4719| [86] [《信じちゃダメだよ》]
432: 4747| [45] [そんな声が、頭の中に響いた。]
433: 4829| [47] [風見]
434: 4830| [45] [（……！）]
435: 4835| [45] [気付けば風見のすぐそばに、先ほどの少女が立っていた。]
436: 4840| [45] [少女は風見と共に、渡瀬を見据えて言う。]
437: 4851| [47] [被験体Ｎ]
438: 4854| [45] [《三ノ宮って子の言う通りだよ……》]
439: 4865| [47] [被験体Ｎ]
440: 4868| [45] [《テロリストは実在したの。そして渡瀬さんは、テロリストだったんだよ》]
441: 4873| [45] [その言葉を聞いた瞬間、風見の脳内に思考が明滅した。]
442: 4884| [47] [風見]
443: 4885| [45] [（そう言えば近頃、街で『ＢＣ排斥派団体』が、騒ぎを起こしていた……！）]
444: 4890| [47] [風見]
445: 4891| [45] [（ずっと昔、鹿鳴市同時多発火災を起こした人たちが、もう１度テロを……）]
446: 4896| [47] [風見]
447: 4897| [45] [（でもだったらどうして、ＢＣ排斥派がこの施設を狙うの？）]
448: 4902| [45] [その問いに、傍らの少女が答える。]
449: 4926| [47] [被験体Ｎ]
450: 4929| [45] [《ねぇ、ここには原子炉はなかったよね》]
451: 4934| [47] [被験体Ｎ]
452: 4937| [45] [《ここが原子力研究所じゃないとしたら、なんなのかな……？》]
453: 4942| [47] [被験体Ｎ]
454: 4945| [45] [《この街で、原子力と双璧をなす、重要な産業……それはなんだったかな？》]
455: 4951| [45] [そう問われた瞬間、風見は気付いた。]
456: 4956| [47] [風見]
457: 4957| [45] [（まさか、ここは……）]
458: 4962| [47] [風見]
459: 4963| [45] [（ＢＣの研究所なの！？）]
460: 4996| [45] [そう言えば、渡瀬はＢＣを嫌っていた。]
461: 5001| [45] [風見もそのせいで、彼とはほとんどＢＣの話ができなかった。]
462: 5006| [45] [自分にわずかながら、適性度がある事も――そして、妹の事も。]
463: 5011| [47] [風見]
464: 5012| [45] [（渡瀬は何らかの理由から、ＢＣへの憎悪を昂ぶらせ、テロリストとなり……この施設を狙った！？）]
465: 5017| [47] [風見]
466: 5018| [45] [（それを止めようとした堂島さんと桧山さんを、殺害した！？）]
467: 5023| [47] [風見]
468: 5024| [45] [（さらに研究員や、あの少女も巻き添えに……！？）]
469: 5029| [45] [信じたくはない考えだった。]
470: 5034| [45] [だがそうでなければ、なぜサリュは渡瀬をテロリストだなどと言ったのだろうか？]
471: 5039| [45] [なぜ渡瀬は銃を持っていたのだろうか？]
472: 5044| [45] [なぜ彼は嘘をついたのだろうか？]
473: 5049| [45] [――明確な回答は、何一つ思いつかなかった。]
474: 5054| [47] [風見]
475: 5055| [45] [（彼が犯行を行ったとしたら、記憶を失う前――）]
476: 5060| [47] [風見]
477: 5061| [45] [（記憶を失って、自分の罪も忘れてしまっているの……？）]
478: 5066| [45] [そう思う風見を、渡瀬が怯えたように見る。]
479: 5092| [47] [渡瀬]
480: 5095| [45] [「……橘、どうして……そんな眼で、オレを見るんだ」]
481: 5121| [47] [渡瀬]
482: 5124| [45] [「まさか、サリュの言った事を信じてるのか？」]
483: 5150| [47] [渡瀬]
484: 5153| [45] [「バカな！　オレがテロリストのわけがないだろ？　記憶喪失だろうとなんだろうと――」]
485: 5179| [47] [渡瀬]
486: 5182| [45] [「オレが以前からずっとレスキュー隊員だったって事は、お前たちが一番よく知っているじゃないか！」]
487: 5187| [45] [――その通りだった。]
488: 5192| [45] [厳しくて、優しくて、いつも人の命を護るために戦い続けてきた彼。]
489: 5197| [45] [凪沙の死に胸を痛め、風見に強い生き方を教えてくれた、真のレスキュー隊員だったはずの渡瀬。]
490: 5202| [47] [風見]
491: 5203| [45] [（私の英雄は……人殺しだったの？）]
492: 5208| [45] [それでも風見は最後に、渡瀬に尋ねた。]
493: 5213| [47] [風見]
494: 5216| [45] [「……隊長。もう１度だけ質問しても、よろしいでしょうか」]
495: 5242| [47] [渡瀬]
496: 5245| [45] [「……なんだ」]
497: 5250| [47] [風見]
498: 5253| [45] [「隊長は、この事故が起きた直後の、６時４２分頃。どうして地下に降りてきたんですか……？」]
499: 5279| [47] [渡瀬]
500: 5282| [45] [「それは――だから、堂島と桧山に無線で呼ばれて……」]
501: 5287| [47] [風見]
502: 5290| [45] [「だったら無線は、通じていたということですよね？」]
503: 5295| [47] [風見]
504: 5298| [45] [「だけど……だけど、隊長」]
505: 5303| [47] [風見]
506: 5306| [45] [「私はね、その少し前に、隊長に無線通信を試みていたんですよ……！」]
507: 5332| [47] [渡瀬]
508: 5335| [45] [「……っ！」]
509: 5340| [47] [風見]
510: 5343| [45] [「堂島たちの無線は通じたのに、どうして私からの無線には出なかったんですか……？」]
511: 5348| [47] [風見]
512: 5351| [45] [「何か理由があって……意図的に、出なかったんじゃないですか……？」]
513: 5359| [47] [渡瀬]
514: 5362| [45] [「お、お前――いつからそんなこと考えていたんだ？」]
515: 5367| [47] [風見]
516: 5370| [45] [「隊長が『記憶が少し戻った』と言った時から……地下に降りた理由を聞いた時からです」]
517: 5375| [47] [風見]
518: 5378| [45] [「だけど、言えなかった……あなたを信じたかったから……」]
519: 5383| [47] [風見]
520: 5386| [45] [「時刻の不整合については、きっとあなたの記憶間違いだって思って……！」]
521: 5391| [45] [風見は目を伏せ、震える声で続けた。]
522: 5396| [47] [風見]
523: 5399| [45] [「私……必死に隊長を信じようとしていたんです」]
524: 5404| [47] [風見]
525: 5407| [45] [「ずっとずっと昔から、あなたを信じ続けていたんです」]
526: 5412| [45] [――しかし、その信義は――]
527: 5417| [45] [少女の一言で、砕け散った。]
528: 5447| [47] [被験体Ｎ]
529: 5450| [45] [《……でも、裏切られちゃったね》]
