  0:   77| [45] [――それから、３週間が過ぎた。]
103:  979| [47] [美夜子]
104:  980| [45] [「…………」]
105: 1006| [47] [美夜子]
106: 1009| [45] [「……教えたら、この事についてはもう触れないでくれる？」]
107: 1014| [47] [サリュ]
108: 1017| [45] [「触れない」]
109: 1042| [45] [サリュがそう答えると、天川博士は息をついて答えた。]
110: 1069| [47] [美夜子]
111: 1072| [45] [「……あなたの母親は、アリス・アンフラメというフランス人女性」]
112: 1080| [47] [美夜子]
113: 1083| [45] [「１３年前、ＢＣが世界中で確認され始めた時代に発見された、世界で最初の適性度Ｓコミュニケーター」]
114: 1091| [47] [美夜子]
115: 1094| [45] [「……コミュニケーターＡと呼ばれ、ラボ設立のきっかけとなった人よ」]
116: 1099| [47] [サリュ]
117: 1102| [45] [「母は今どこに？」]
118: 1129| [47] [美夜子]
119: 1132| [45] [「あなたの出産時に……産褥死で亡くなってしまったわ」]
120: 1137| [47] [サリュ]
121: 1140| [45] [「では父は？」]
122: 1167| [47] [美夜子]
123: 1170| [45] [「あなたの父親は、安曇衛士という、ラボの研究員。当時のアリスの担当管理者」]
124: 1178| [47] [美夜子]
125: 1181| [45] [「彼は幽閉中のアリスに、恋をしてしまったの……」]
126: 1186| [47] [サリュ]
127: 1189| [45] [「恋……？」]
128: 1215| [47] [美夜子]
129: 1218| [45] [「……アリスはラボに幽閉された時、すでに心にひどい疾患を抱えていたのよ」]
130: 1226| [47] [美夜子]
131: 1229| [45] [「だけど時々、正気に戻る事があった。彼女は繰り返し私たちに『もうころしてください』と訴えたわ」]
132: 1237| [47] [美夜子]
133: 1240| [45] [「私も耐えがたかったけど……担当研究員の安曇さんは、なお辛かったのでしょうね」]
134: 1266| [47] [美夜子]
135: 1269| [45] [「やがて同情と憐憫は、彼女への想いに変わった。人目を忍んで２人は、個人的に密会した」]
136: 1277| [47] [美夜子]
137: 1280| [45] [「アリスも断続的な意識の中、彼と心を通わせ、そして……あなたが宿ったの」]
138: 1285| [47] [サリュ]
139: 1288| [45] [「そう。父はその後は？」]
140: 1314| [47] [美夜子]
141: 1317| [45] [「………………」]
142: 1325| [47] [美夜子]
143: 1328| [45] [「……あなたの誕生を待たずして、実験中に事故死したわ」]
144: 1333| [45] [それらの情報を、サリュは頭の中でまとめる。]
145: 1338| [45] [すぐに自分の出自に関する結論が出た。]
146: 1343| [47] [サリュ]
147: 1346| [45] [「つまり、こういう事？」]
148: 1351| [47] [サリュ]
149: 1354| [45] [「研究員が幽閉中の被験体を妊娠させた。ラボは研究員の起こしたその不祥事を、隠そうとした」]
150: 1359| [47] [サリュ]
151: 1362| [45] [「しかしその被験体は、優れたコミュニケーターだった。ならば生まれてくる子供も、コミュニケーターかもしれない」]
152: 1367| [47] [サリュ]
153: 1370| [45] [「ラボは生まれながらの被験体が欲しくて、堕胎させるより、出産させる事を選んだ」]
154: 1375| [47] [サリュ]
155: 1378| [45] [「それでできたのが私。そういうこと？」]
156: 1406| [47] [美夜子]
157: 1409| [45] [「ち、違うわ……！　当時のラボは、そこまで倫理が壊れていなかった」]
158: 1435| [47] [美夜子]
159: 1438| [45] [「アリスの妊娠が発覚したのは、６ヶ月を過ぎてからだったの」]
160: 1446| [47] [美夜子]
161: 1449| [45] [「そこまでおなかが大きくなってしまっては、堕胎は不可能だから……」]
162: 1454| [47] [サリュ]
163: 1457| [45] [「なるほど、理解した」]
164: 1483| [47] [美夜子]
165: 1486| [45] [「……安曇さんの死から、この施設はおかしくなりはじめたのよ」]
166: 1512| [47] [美夜子]
167: 1515| [45] [「あの人はラボの良心だったから……」]
168: 1520| [47] [サリュ]
169: 1523| [45] [「だけどその後も、私はこうして被験体として幽閉されている。その理由は？」]
170: 1531| [47] [美夜子]
171: 1534| [45] [「……あなたが天涯孤独で……外で独りで生きていくのは、難しいと思われたから……」]
172: 1542| [47] [美夜子]
173: 1545| [45] [「それと……上層部が、あなたが外で暮らすことを望まなかったから……」]
174: 1573| [47] [美夜子]
175: 1576| [45] [「……ごめんなさい。全て言い訳ね」]
176: 1581| [45] [天川博士が苦しげに呟く。]
177: 1586| [45] [サリュはため息をついて、問いを重ねた。]
178: 1591| [47] [サリュ]
179: 1594| [45] [「……私は適性を一切持たなかった。ラボとしては持て余したでしょう」]
180: 1620| [47] [美夜子]
181: 1623| [45] [「そうならないように、あなたに役目を与えたの」]
182: 1631| [47] [美夜子]
183: 1634| [45] [「例えばＷＸ粒子照射実験がそう。あれはあなたの体に致命的な悪影響が起きないよう、エネルギー量を調整して行ってた」]
184: 1642| [47] [美夜子]
185: 1645| [45] [「建前でもそういう実験をしておけば、あなたの存在意義が保てると思ったの」]
186: 1650| [45] [ならば『記憶伝達実験』も同様だろう。]
187: 1655| [45] [サリュは以前から、あれはさほど意義のある実験だとは思っていなかった。]
188: 1660| [45] [ラボから出られない被験体が、天才になったところで無意味だ。]
189: 1665| [45] [しかし存在意義がなくなった被験体がどうなるのかなど、サリュもさすがに考えたくない。]
190: 1670| [45] [思考を停止するサリュに、博士が言う。]
191: 1698| [47] [美夜子]
192: 1701| [45] [「……ねぇ、優衣。これだけは信じて」]
193: 1709| [47] [美夜子]
194: 1712| [45] [「あなたは望まれない子ではなかった。ご両親が愛し合って生まれた子なの」]
195: 1717| [47] [サリュ]
196: 1720| [45] [「それはどちらでもいいけど――両親がいないのなら、名前は誰が？」]
197: 1746| [47] [美夜子]
198: 1749| [45] [「え？」]
199: 1754| [47] [サリュ]
200: 1757| [45] [「私の名前『優衣』。この名前は誰がつけたの？」]
201: 1762| [45] [サリュの識別名は、『被験体Ｙ』である。]
202: 1767| [45] [だが天川博士だけは彼女の事を、２人きりでいる時に限り、『優衣』と呼んだ。]
203: 1795| [47] [美夜子]
204: 1798| [45] [「……私よ。ご両親はあなたに名をつける前に、亡くなってしまったから」]
205: 1803| [47] [サリュ]
206: 1806| [45] [「由来は？」]
207: 1832| [47] [美夜子]
208: 1835| [45] [「もし私に娘が生まれたら、そんな名前をつけようと思っていたの」]
209: 1843| [47] [美夜子]
210: 1846| [45] [「優しく包み込むような、そんな女の子に育って欲しいと」]
211: 1872| [47] [美夜子]
212: 1875| [45] [「……嫌だったかしら」]
213: 1880| [47] [サリュ]
214: 1883| [45] [「嫌じゃない」]
215: 1888| [47] [サリュ]
216: 1891| [45] [「ここの居心地も、別に悪くない。博士も優しいし」]
217: 1896| [47] [サリュ]
218: 1899| [45] [「何より、名前をくれた。私はこの名前を気にいっている」]
219: 1922| [45] [そう言うと、博士は目を見開いた。]
220: 1945| [45] [それから何も言わず、俯く。]
221: 1950| [47] [サリュ]
222: 1953| [45] [「……？」]
223: 1978| [45] [サリュは博士の顔を覗きこんだ。]
224: 1983| [47] [サリュ]
225: 1986| [45] [「博士、どうして泣くの？」]
226: 1991| [45] [博士は何も答えない。]
227: 1996| [45] [静寂の中、涙の落ちる音だけが、かすかに響いた。]
