  0:   65| [45] [――部屋の中に、サリュの声が響く。]
110: 1253| [47] [悠里]
111: 1256| [45] [「わたしは悠里。琴乃悠里」]
112: 1306| [47] [美夜子]
113: 1309| [45] [「あなたの記憶改竄を行うコミュニケーターよ」]
114: 1335| [47] [悠里]
115: 1338| [45] [「残念ながらすぐにお別れになるし、わたしの記憶も消えちゃうけど……」]
116: 1364| [47] [悠里]
117: 1367| [45] [「でも、わたしは忘れないよ、あなたの事」]
118: 1372| [47] [サリュ]
119: 1375| [45] [「……ごめんなさい」]
120: 1380| [45] [サリュは必死で悠里の気持ちを考え、その言葉を口にした。]
121: 1385| [45] [自分が自由になれるのに、悠里は自由になれない。それは不公平である。]
122: 1390| [45] [ならば悠里は『悲しんでいる』のではないかと思ったのだが――]
123: 1416| [47] [悠里]
124: 1419| [45] [「謝らないで、ね？　わたしは本当に嬉しいの」]
125: 1445| [47] [悠里]
126: 1448| [45] [「わたしの力で、あなたを自由にしてあげられる事が」]
127: 1453| [45] [彼女がなぜ喜んでいるのか、そしてその言葉が嘘か真か、サリュにはまるでわからない。]
128: 1458| [45] [だがサリュは心から、彼女の言葉が本当であればいいと願っていた。]
129: 1463| [45] [やがて博士が、懐から薬を取り出して言う。]
130: 1489| [47] [美夜子]
131: 1492| [45] [「……優衣、この薬を飲んで」]
132: 1497| [47] [サリュ]
133: 1500| [45] [「これは？」]
134: 1508| [47] [美夜子]
135: 1511| [45] [「ラボが度々使用している、強力な睡眠薬よ。これを飲んで眠っている間に、全ては終るわ」]
136: 1537| [47] [美夜子]
137: 1540| [45] [「目が覚めたらあなたは、私の遠縁の親戚として、外の世界で暮らすの」]
138: 1548| [47] [美夜子]
139: 1551| [45] [「三ノ宮・ルイーズ・優衣という名前で、日仏ハーフの戸籍も用意したわ」]
140: 1556| [47] [サリュ]
141: 1559| [45] [「三ノ宮……？」]
142: 1586| [47] [美夜子]
143: 1589| [45] [「三ノ宮は、私の旧姓。ルイーズは――『気高き戦い』という意味よ」]
144: 1594| [47] [サリュ]
145: 1597| [45] [「ん……悪くない」]
146: 1602| [45] [サリュは薬を受け取った。]
147: 1607| [45] [わずかな逡巡の後、それを飲む。]
148: 1617| [45] [するとすぐに、急に頭がぼーっとしてきた。]
149: 1643| [47] [悠里]
150: 1646| [45] [「優衣ちゃん、わたしのベッドに横になって」]
151: 1651| [47] [サリュ]
152: 1654| [45] [「う……うん」]
153: 1722| [45] [悠里に言われるままに、サリュはベッドに倒れこんだ。]
154: 1727| [45] [その耳に、博士と悠里の声が聞こえてくる。]
155: 1732| [47] [美夜子]
156: 1735| [45] [「１３年分の記憶改竄となると、生半可な量じゃないけど……」]
157: 1740| [47] [悠里]
158: 1743| [45] [「やってみます」]
159: 1748| [45] [その声も遠くなっていく。]
160: 1753| [45] [悠里の顔をもう１度見届けようと、サリュは目をこらしたが――]
161: 1758| [45] [意思に反して、まぶたが下りてきた。]
162: 1795| [45] [視界も意識も、暖かな闇に落ちていこうとする中、サリュは博士の言葉を聞いた気がした。]
163: 1800| [47] [美夜子]
164: 1803| [45] [「お休みなさい、優衣」]
165: 1808| [47] [美夜子]
166: 1811| [45] [「明日からあなたの、本当の人生が始まるのよ……」]
167: 1816| [45] [その言葉に、サリュがかすかな微笑を浮かべた時――]
168: 1821| [45] [彼女は深い眠りについた。]
