  0:  140| [55] [√Double Chapter6]
122: 1933| [45] [「そこから全てが狂い始めた」]
123: 1959| [47] [恵那]
124: 1962| [45] [「橘さんは今や、コミュニケーターＡに限りなく近い存在になっている」]
125: 1970| [47] [恵那]
126: 1973| [45] [「私はそれを、見過ごすわけにはいかないの。超科局の職員として」]
127: 1978| [45] [恵那は銃を握り締める。その目はもう、教師のそれではなかった。]
128: 2004| [47] [恵那]
129: 2007| [45] [「ごめんなさい……もう、先生には戻れないわね」]
130: 2033| [47] [恵那]
131: 2036| [45] [「さようなら、私の生徒たち。短い間だったけど楽しかったわ」]
132: 2041| [45] [恵那はそう言って――]
133: 2079| [45] [Ｎエリアに向けて、駆け出した。]
134: 2087| [47] [夏彦]
135: 2090| [45] [「先生！　待ってください先生！」]
136: 2095| [45] [夏彦が叫んでも、恵那は止まらず、そして闇の中に消えた。]
137: 2121| [47] [ましろ]
138: 2124| [45] [「お、追おう２人とも！」]
139: 2150| [47] [悠里]
140: 2153| [45] [「うん！」]
141: 2158| [45] [夏彦たちは悠里に肩を借り、走り出した。]
142: 2215| [45] [一足ごとに、全身の銃創に痛みが走る。]
143: 2220| [45] [悪意に感染した渡瀬につけられた傷が。]
144: 2225| [45] [夏彦にはもう、何が正しいのかわからなかった。]
145: 2230| [47] [夏彦]
146: 2231| [45] [（だけど、それでも――）]
147: 2236| [47] [夏彦]
148: 2237| [45] [（必ずあるはずだ！　皆を生かす道が！）]
149: 2243| [45] [そう信じて、３人のコミュニケーターは走る。]
150: 2293| [45] [やがて彼らの目に、Ｎエリアのゲートが見えてきた。]
151: 2298| [47] [夏彦]
152: 2299| [45] [（まだ生きていてくれ――！）]
153: 2304| [45] [夏彦はそう思いながら、そのゲートを開けた。]
154: 2414| [45] [――そこで、夏彦たちが見たのは――]
155: 2538| [47] [夏彦]
156: 2541| [45] [「！！」]
157: 2555| [45] [銃を構えている風見の姿だった。]
158: 2561| [45] [その前方に、宇喜多が倒れている。だがどこにも傷がない。]
159: 2567| [45] [撃たれるより一瞬早く、渡瀬に突き飛ばされたらしい。]
160: 2573| [45] [彼らの前には、渡瀬たちを庇う洵の姿。]
161: 2579| [45] [その脇には、身構えているサリュがいる。]
162: 2585| [45] [そして――彼らの傍で、恵那もまた銃を構えていた。]
163: 2593| [47] [恵那]
164: 2596| [45] [「やめなさい橘さん……！」]
165: 2604| [47] [恵那]
166: 2607| [45] [「今度は威嚇はしないわ！　今すぐ銃を下ろさないと、撃つわよ！」]
167: 2616| [47] [風見]
168: 2619| [45] [「……椿山さん、今だけは邪魔しないで下さい」]
169: 2627| [47] [風見]
170: 2630| [45] [「私が殺したいのは、ただ２人だけなんです」]
171: 2638| [47] [風見]
172: 2641| [45] [「宇喜多さんと、渡瀬。この２人を殺し、妹の仇を討ったら――」]
173: 2649| [47] [風見]
174: 2652| [45] [「私は自分で、自分に始末をつけます」]
175: 2674| [47] [夏彦]
176: 2677| [45] [「ッ！！」]
177: 2682| [45] [その言葉に、その場の空気が凍結した。]
178: 2691| [47] [洵]
179: 2694| [45] [「やめてお姉ちゃん！　殺すのも死ぬのもやめてよ！」]
180: 2703| [47] [渡瀬]
181: 2706| [45] [「待て、守部」]
182: 2714| [47] [渡瀬]
183: 2717| [45] [「俺が死ぬのは別にいい。それだけの事をしでかしたんだ……」]
184: 2726| [47] [洵]
185: 2729| [45] [「隊長！？」]
186: 2738| [47] [渡瀬]
187: 2741| [45] [「だが風見、おっさんは勘弁してくれ。そしてもちろん――」]
188: 2749| [47] [渡瀬]
189: 2752| [45] [「お前も、死ぬな」]
190: 2758| [45] [その言葉を聞いて、宇喜多は自嘲気味に笑う。]
191: 2766| [47] [宇喜多]
192: 2769| [45] [「いや、殺すなら僕も殺したまえ……それが僕の贖罪だ」]
193: 2777| [47] [宇喜多]
194: 2780| [45] [「動機はどうあれ、僕らはたくさんの犠牲者を――」]
195: 2786| [45] [その宇喜多の言葉を、サリュが遮る。]
196: 2794| [47] [サリュ]
197: 2797| [45] [「橘風見、言っておくが時間が無い」]
198: 2805| [47] [サリュ]
199: 2808| [45] [「こんなところで余計な時間を取らせるなら、私があなたを倒す」]
200: 2814| [47] [風見]
201: 2815| [45] [「……」]
202: 2820| [45] [風見はサリュに目もくれず、渡瀬を睨んでいる。]
203: 2866| [45] [６人の意思が対立し合っていた。]
204: 2916| [47] [夏彦]
205: 2917| [45] [（ど……どうすればいいんだ！？）]
206: 2949| [45] [このまま放っておけば、渡瀬は確実に死ぬだろう。]
207: 2981| [45] [すると当然、悠里との約束も破棄され、彼女は自由になる。]
208: 3077| [47] [夏彦]
209: 3078| [45] [（でもその場合、橘さんも宇喜多のおじさんも死んでしまう……！）]
210: 3083| [47] [夏彦]
211: 3084| [45] [（悠里のために、３人を見捨てるのか！？）]
212: 3142| [45] [そんな事はできるわけがなかった。]
213: 3174| [47] [夏彦]
214: 3175| [45] [（やっぱり橘さんの悪意を、消去するしか……！）]
215: 3180| [45] [やれるのは夏彦だけだ。]
216: 3238| [45] [この距離で風見にセンシズシンパシーを使えるのは、夏彦しかいない。]
217: 3243| [45] [だができるのだろうか、そんな事が？]
218: 3248| [45] [夏彦が凪沙に敗北すれば、本当に全てが終わる。]
219: 3253| [47] [夏彦]
220: 3254| [45] [（……時間をかければかけるほど、危険だ……）]
221: 3259| [47] [夏彦]
222: 3260| [45] [（被験体Ｎが、橘さんの記憶内のどこにいるのか、探すのだってヤバいだろう）]
223: 3265| [47] [夏彦]
224: 3266| [45] [（だったら、いっそ……橘さんの記憶を全て、無差別に消してしまえば……！）]
225: 3271| [45] [それは夏彦が、自ら禁じていた手段だった。]
226: 3393| [45] [確かにその方が安全なのは間違いない。以前、渡瀬にそうしたように。]
227: 3398| [45] [だがそうすれば、風見は記憶喪失に陥るだろう。]
228: 3450| [45] [夏彦がそう思った時――]
229: 3455| [45] [またも頭の中で、声が響いた。]
230: 3513| [85] [《彼女を助けろ！》]
231: 3514| [86] [？？]
232: 3515| [86] [《彼女を助けろ！》]
233: 3561| [47] [夏彦]
234: 3564| [45] [「！！」]
235: 3569| [45] [――それはもう８時間以上も前に、夏彦が送ったテレパシーだった。]
236: 3627| [85] [《彼女を助けろ！》]
237: 3628| [86] [？？]
238: 3629| [86] [《彼女を助けろ！》]
239: 3657| [45] [炎に囲まれた悠里を救うために、渡瀬に送ったメッセージ。]
240: 3715| [85] [《彼女を助けろ！》]
241: 3716| [86] [？？]
242: 3717| [86] [《彼女を助けろ！》]
243: 3745| [45] [その情報エネルギーは残留し、いま再び夏彦の元に戻ってきた。]
244: 3750| [45] [彼の決断を、後押しするように。]
245: 3755| [45] [偶然に過ぎないのだろうが、誰かがそう命じた気さえした。]
246: 3881| [47] [夏彦]
247: 3882| [45] [（っ……！）]
248: 3887| [45] [周りを見ると、そのテレパシーを聞いたのは夏彦だけらしかった。]
249: 3892| [47] [夏彦]
250: 3893| [45] [（……言われなくてもわかってる！）]
251: 3898| [47] [夏彦]
252: 3899| [45] [（ぼくがすべき事は、１つしかない！）]
253: 3906| [45] [そうして夏彦は――決断を下した。]
254: 3951| [47] [夏彦]
255: 3952| [45] [（決めるんだ……！　ぼくが何をするべきかを！）]
256: 3959| [45] [――夏彦は考え、そして――]
257: 3964| [45] [決断を下した。]
258: 4085| [47] [夏彦]
259: 4088| [45] [「――悠里！！」]
260: 4149| [45] [夏彦はとっさに悠里の手を握り、風見の記憶に潜った。]
