  0:   61| [45] [――それは渡瀬が、Ｑに入る事を決めた日の記憶だった。]
 77: 1516| [45] [「……ラボのやり口に、嫌気がさしただけさ」]
 78: 1524| [47] [渡瀬]
 79: 1527| [45] [「なに？　コミュニケーターを拉致し、人体実験をやっているのは、あんたらなんだろ？」]
 80: 1553| [47] [宇喜多]
 81: 1556| [45] [「いや、それはごく一部の職員――『シニアフェロー』と呼ばれる、上級研究員だけだ」]
 82: 1582| [47] [宇喜多]
 83: 1585| [45] [「僕ら一般研究員は、ラボがＢＣの研究施設だと知っていても、被験体の存在については知らされていない」]
 84: 1611| [47] [宇喜多]
 85: 1614| [45] [「だが僕はふとした拍子に、それを知ってしまってね……」]
 86: 1622| [47] [宇喜多]
 87: 1625| [45] [「僕の前にも、それを知ってしまった者がいたらしいが、その人物は殺された」]
 88: 1651| [47] [宇喜多]
 89: 1654| [45] [「ラボは僕ら一般研究員の命など、なんとも思っていないのさ」]
 90: 1680| [47] [宇喜多]
 91: 1683| [45] [「だったら『やられる前にやってやろう』って事だ」]
 92: 1691| [47] [渡瀬]
 93: 1694| [45] [「自分の身を護るために……か」]
 94: 1720| [47] [宇喜多]
 95: 1723| [45] [「君の理由よりは、だいぶ弱いとは思うが――納得いったかい？」]
 96: 1728| [47] [渡瀬]
 97: 1729| [45] [「…………」]
 98: 1737| [47] [渡瀬]
 99: 1740| [45] [「……あぁ」]
100: 1745| [45] [渡瀬には、宇喜多の理由が弱いなどとは思えなかった。]
101: 1750| [45] [自分の命が脅かされているのなら、それを回避するのは当然の事だ。]
102: 1755| [47] [渡瀬]
103: 1756| [45] [（誰も彼を非難する事なんかできまい……）]
104: 1804| [45] [――その記憶は、以前見たものと、何も変わっていなかった。]
105: 1809| [47] [夏彦]
106: 1810| [45] [（修復に失敗したのか……）]
107: 1815| [47] [夏彦]
108: 1816| [45] [（もっとコミュニケーターに対する好意を、強力に与えなければダメなのか？）]
109: 1821| [47] [夏彦]
110: 1822| [45] [（渡瀬がコミュニケーターだと思っている人に対しては、最大限の好意を……）]
111: 1827| [45] [夏彦はそう思いつつ、ひとまずその記憶を離れた……。]
