  0:  326| [55] [√Double Chapter7]
 58:  930| [45] [恵那は彼女の手を取って言った。]
 59:  957| [47] [恵那]
 60:  960| [45] [「博士……お気持ち、お察しします」]
 61:  986| [47] [恵那]
 62:  989| [45] [「しかし今は、今だけは、後悔している時ではありません」]
 63:  997| [47] [恵那]
 64: 1000| [45] [「我々にはやる事が、たくさんあるのですから」]
 65: 1026| [47] [美夜子]
 66: 1029| [45] [「……そうですね」]
 67: 1034| [45] [美夜子は恵那の手を握り返して、言った。]
 68: 1060| [47] [美夜子]
 69: 1063| [45] [「凪沙ちゃんたちの仇討ちを」]
 70: 1071| [47] [恵那]
 71: 1074| [45] [「そして今までに殺され、踏みにじられてきた、あらゆる人々の仇を取るために――」]
 72: 1138| [45] [その時、不意に都市ゲートの方から、またも車の走行音が聞こえてきた。]
 73: 1143| [45] [１台や２台ではない。]
 74: 1148| [45] [超科局の局員を乗せた１０台以上もの車が、ゲートを潜って鹿鳴市に侵入してきた。]
 75: 1174| [47] [恵那]
 76: 1177| [45] [「――始めましょう、この街の大掃除を」]
 77: 1203| [47] [美夜子]
 78: 1206| [45] [「はい」]
 79: 1255| [45] [彼女たちはそう言って、街の方に目をやる。]
 80: 1260| [45] [その視線の先には、欺瞞と悪意が渦巻く、政令指定機密都市の街並みが広がっていた……。]
 81: 1348| [45] [――鹿鳴市原子力生物学機構・第６研究所で起きたあの事件は――]
 82: 1353| [45] [世の中に衝撃を巻き起こした。]
 83: 1390| [45] [そしてこの１６年間に起き、隠蔽されてきた様々な事件や、ラボの実態などが次々に明らかになっていった。]
 84: 1395| [45] [事件の後、鹿鳴市に戻れなくなった夏彦たちは、ひとまず追っ手などの目から逃れるため、全国各地に散らばり……]
 85: 1440| [45] [そこからそれぞれ、様々な活動に乗り出した。]
 86: 1641| [45] [夏彦・悠里・ましろ・サリュは、事件の生き証人として、メディアを通じ世論に真実を訴えかけた。]
 87: 1784| [45] [渡瀬と宇喜多はテロリストとして、法の裁きを受けたが――Ｑの撲滅に全面協力する見返りに、彼らの刑は大幅に軽減された。]
 88: 1852| [45] [洵は市議会議員である父親に直訴し、鹿鳴市の体質を抜本的に改めるよう動いている。]
 89: 1884| [45] [道のりは遠いが、風見が洵の支えになっていた。]
 90: 2003| [45] [そして恵那は天川博士と共に鹿鳴市に残り、ラボ及び鹿鳴市の余罪追及を、超科局全局を挙げて行っている。]
 91: 2034| [45] [出所した宇喜多も、博士たちと協力し、社会正義に根ざしたＢＣ研究施設の設立をするよう活動中だ。]
 92: 2067| [45] [社会は一時期混乱したが、徐々にそれも収まり――]
 93: 2072| [45] [世に平穏が、戻って来つつあった……。]
 94: 2161| [45] [――そしてこれは、その１年の間に起きた出来事の――]
 95: 2166| [45] [記憶の、断片だ。]
