  0:   68| [45] [堂島の遺体を発見した後も、風見たちは捜索を続行した。]
 46: 1128| [45] [「ＡＤの投与時間が迫っているし、手持ちのＡＤはほとんどない」]
 47: 1191| [47] [渡瀬]
 48: 1194| [45] [「厳しい事を言うようだが……オレたちは、生きなければならない」]
 49: 1261| [45] [――その偽りの記憶を、夏彦は修正した。]
 50: 1314| [47] [渡瀬]
 51: 1317| [45] [「なに、本来の役割に戻るだけだ」]
 52: 1343| [47] [渡瀬]
 53: 1346| [45] [「とにかく少しオレを頼れ。特に橘、お前は色々背負い込み過ぎだ」]
 54: 1351| [47] [風見]
 55: 1352| [45] [「……」]
 56: 1357| [45] [風見は渡瀬を見つめた。]
 57: 1362| [47] [風見]
 58: 1363| [45] [（そんな、だって、仕方ないじゃない……！　今は私がリーダーなんだから）]
 59: 1368| [47] [風見]
 60: 1369| [45] [（記憶を失ったあなたに、任せるわけには……！）]
 61: 1374| [45] [そう口にしようとした時、渡瀬が鋭く続けた。]
 62: 1401| [47] [渡瀬]
 63: 1404| [45] [「聞けないか？　それじゃ命令する――シリウスの隊長としてな」]
 64: 1430| [47] [渡瀬]
 65: 1433| [45] [「現刻を以って橘風見副隊長、守部洵隊員は、笠鷺渡瀬隊長の指揮下に入れ！」]
 66: 1480| [47] [風見・洵]
 67: 1483| [45] [「！！」]
 68: 1488| [45] [風見はその言葉に、身を震わせる。]
 69: 1493| [45] [その声に、表情に、いつもの頼れる渡瀬の姿が重なった。]
 70: 1519| [47] [渡瀬]
 71: 1522| [45] [「復唱ッ！」]
 72: 1527| [47] [風見]
 73: 1530| [45] [「はっ！　橘風見副隊長、笠鷺渡瀬隊長の指揮下に入ります！」]
 74: 1556| [47] [洵]
 75: 1559| [45] [「も、守部洵隊員、隊長の指揮下に入ります！」]
 76: 1585| [47] [渡瀬]
 77: 1588| [45] [「よろしい！」]
 78: 1593| [45] [そこで渡瀬はにっと笑い、風見の肩を叩いた。]
 79: 1619| [47] [渡瀬]
 80: 1622| [45] [「……なんてな。まぁ形だけのもんだ。基本的には今までどおりで頼む」]
 81: 1627| [45] [緊張をほぐすために、あえて砕けた口調で言っているのだろう。]
 82: 1632| [45] [だがその心遣いが嬉しかった。]
 83: 1637| [47] [風見]
 84: 1640| [45] [「い、え……お願いします」]
 85: 1645| [45] [風見の声に呼応するかのように、洵もぽつりと呟く。]
 86: 1671| [47] [洵]
 87: 1674| [45] [「そうだね……いつまでも落ち込んではいられないよ」]
 88: 1682| [47] [洵]
 89: 1685| [45] [「火は消えた。カードも見つかった。だからもう第６エリアまで、あたしたちを遮るものはない」]
 90: 1711| [47] [渡瀬]
 91: 1714| [45] [「そうだ、その意気さ！」]
 92: 1719| [45] [渡瀬は満足げに微笑む。]
 93: 1724| [45] [風見は彼の肩に、そっと手を触れ――]
 94: 1729| [47] [風見]
 95: 1732| [45] [「……ありがとうございます、隊長」]
 96: 1737| [45] [そう言って、微笑みを返した。]
 97: 1844| [45] [それから風見たちは、第５エリア、第６エリアと捜索を進めた。]
 98: 1905| [45] [途中、ファクトリーで天井が崩れ、渡瀬とユウリが下敷きになるというアクシデントがあったが――]
 99: 1911| [45] [渡瀬のとっさの判断と、鍛え上げられた肉体のおかげで、ユウリは事なきを得た。]
100: 1916| [47] [風見]
101: 1917| [45] [（よかった……本当に、よかった）]
102: 1925| [45] [そして脱出口と思しき搬出リフトの扉を開く方法も、渡瀬が発見した。]
103: 1936| [45] [それに従い、クレーンで扉を開く。]
104: 1941| [45] [まだ要救助者たちを全て見つけられたわけではないが――]
105: 1947| [47] [風見]
106: 1948| [45] [（少なくともこの６人は、全員無事生き残る事ができた……）]
107: 1953| [45] [その事を風見は、渡瀬に心から感謝した。]
108: 2066| [47] [渡瀬]
109: 2069| [45] [「桧山隊員の死は、確かに残念だが……ここで時間を浪費するわけにはいかないんだ」]
110: 2077| [47] [渡瀬]
111: 2080| [45] [「ＡＤの投与時間が迫っているし、手持ちのＡＤはほとんどない」]
112: 2106| [47] [渡瀬]
113: 2109| [45] [「厳しい事を言うようだが……オレたちは、生きなければならない」]
114: 2114| [47] [風見]
115: 2117| [45] [「しかし――」]
116: 2122| [45] [渡瀬の言う事は正論だが、突き放した言い方のように思えた。]
117: 2127| [45] [だが口を開こうとした風見を、渡瀬は鋭く遮る。]
118: 2180| [47] [渡瀬]
119: 2183| [45] [「聞けないか？　それじゃ命令する――シリウスの隊長としてな」]
120: 2209| [47] [渡瀬]
121: 2212| [45] [「現刻を以って橘風見副隊長、守部洵隊員は、笠鷺渡瀬隊長の指揮下に入れ！」]
122: 2217| [45] [有無を言わせない、厳しい言い方だった。]
123: 2222| [45] [その迫力に押され、風見は思わず答える。]
124: 2227| [47] [風見]
125: 2230| [45] [「……了解しました。橘風見副隊長、笠鷺渡瀬隊長の指揮下に入ります」]
126: 2271| [47] [洵]
127: 2274| [45] [「も、守部洵隊員、隊長の指揮下に入ります」]
128: 2300| [47] [渡瀬]
129: 2303| [45] [「それでいい」]
130: 2308| [45] [そう告げる彼の心情が、風見にはいま一つわからなかった。]
131: 2313| [47] [風見]
132: 2314| [45] [（まるで桧山さんの死を、さほど気にも留めてないような……！）]
133: 2319| [47] [風見]
134: 2320| [45] [（……これも記憶喪失だから……？　それとも……）]
135: 2325| [45] [その時、一瞬風見の脳裏に、不吉な予感がよぎった。]
136: 2330| [45] [だが彼女は頭を振り、その想像を追い払う。]
137: 2335| [47] [風見]
138: 2336| [45] [（い、いいえ、違うわ。私たちを心配するあまり、厳しい態度を見せているだけよ……！）]
139: 2341| [45] [風見はそう信じる事にした。]
140: 2392| [45] [――その記憶を見終えた夏彦は、思った。]
141: 2397| [47] [夏彦]
142: 2398| [45] [（渡瀬に対する信義が、ちょっと足りないような……？）]
143: 2403| [47] [夏彦]
144: 2404| [45] [（もっとうまく感情を調整しなきゃいけないな）]
