  0:   61| [45] [――それは今から、ほんの２ヶ月ほど前の記憶だった。]
 42:  640| [45] [記憶を少しいじっただけで、夏彦は強固にそれを信じ、現実認識さえも歪ませるようになったのだ。]
 43:  645| [45] [記憶操作が精神に及ぼす影響の大きさを、この９年間悠里は痛感してきた。]
 44:  653| [47] [悠里]
 45:  656| [45] [「……ねぇ博士、わたしがやった事は、正しかったんでしょうか？」]
 46:  682| [47] [美夜子]
 47:  685| [45] [「正しいとは断言できないけど、ああする以外に方法がなかったのも事実だわ」]
 48:  711| [47] [美夜子]
 49:  714| [45] [「そもそも夏彦の脳内にあるあなたの記憶を、完全に消去するのは難しかったでしょうしね」]
 50:  722| [47] [悠里]
 51:  725| [45] [「え？」]
 52:  751| [47] [美夜子]
 53:  754| [45] [「あの頃はまだよくわかっていなかったけど、研究が進むにつれ、記憶消去の問題点が判明したじゃない？」]
 54:  762| [47] [美夜子]
 55:  765| [45] [「『消去した記憶はたいていの場合、いずれは蘇ってしまう』という事が」]
 56:  773| [47] [悠里]
 57:  776| [45] [「確かに……」]
 58:  781| [45] [記憶とは、強力な情報エネルギーの塊だ。]
 59:  786| [45] [そして記憶消去は、その情報エネルギーの塊に、さらに強力なエネルギーをぶつけて破壊する能力なのだ。]
 60:  791| [45] [すると記憶は散り散りになり、思い出す事が不可能なほど断片化する。]
 61:  796| [45] [しかし断片化してしまっても、記憶そのものが、完全に消えてしまうわけではないらしい。]
 62:  801| [45] [時間の経過や何らかのきっかけによって、脳が断片化した情報を再構築し、記憶が蘇ってしまう事がある。]
 63:  806| [45] [それに対象者の反応も大きい。]
 64:  811| [45] [誰だって『記憶喪失』になったら愕然とし、なんとしても消えた記憶を思い出そうとするからだ。]
 65:  837| [47] [美夜子]
 66:  840| [45] [「……それに夏彦はあなたと出会ってから、いつもあなたと一緒にいたもの」]
 67:  848| [47] [美夜子]
 68:  851| [45] [「無理に記憶を消したとしても、いずれ誰かの口から、必ずあなたの話が出てしまう」]
 69:  877| [47] [美夜子]
 70:  880| [45] [「そうすれば夏彦は、自分の記憶と事実の矛盾に気付き、やがてはまた真実に行き当たるでしょう」]
 71:  888| [47] [美夜子]
 72:  891| [45] [「その繰り返しに陥らない方法は、あれしかなかったのよ……」]
 73:  896| [45] [博士の言う通り――記憶操作は記憶消去より、はるかに扱いやすい能力だと結論付けられている。]
 74:  901| [45] [ある記憶を改竄し、別の記憶に差し替えた際は、人間の脳は素直にそれを受け入れる。]
 75:  906| [45] [なぜなら『記憶喪失』という現象はめったに起こらないが、『記憶の捻じ曲げ・覚え違い』などは、いくらでも起こりうるからだ。]
 76:  911| [45] [だが、悠里は自覚している。]
 77:  916| [47] [悠里]
 78:  917| [45] [（ごめんなさい博士……それだけじゃないんです）]
 79:  922| [45] [幼い頃の悠里は、夏彦が自分を忘れてしまうという事に、耐えられなかっただけなのだ。]
 80:  927| [45] [だからこそ、己のした事の後始末をし続けなければならない。]
 81:  932| [45] [そう思った時、博士がふと腕時計を見た。]
 82:  958| [47] [美夜子]
 83:  961| [45] [「……あら、そろそろあの子が来る時間だわ」]
 84:  969| [47] [悠里]
 85:  972| [45] [「あ、はい」]
 86:  998| [47] [美夜子]
 87: 1001| [45] [「行きましょう悠里ちゃん。１年ぶりの逢瀬よ」]
 88: 1015| [45] [悠里はうなずき、博士と一緒に部屋を出た。]
 89: 1064| [45] [――そして第５エリアの脳科学実験室に向かう。]
 90: 1074| [45] [そこで悠里は、夏彦と再会した。]
 91: 1135| [47] [悠里]
 92: 1138| [45] [「１年ぶりだね、ひこりん」]
 93: 1143| [45] [悠里たちの前には、薬で眠らされている夏彦がいる。]
 94: 1148| [45] [ラボの職員が、彼をここまで連れてきたのだ。]
 95: 1156| [47] [美夜子]
 96: 1159| [45] [「悠里ちゃん、２人きりの方がいいでしょう？　私は外で待っているわね」]
 97: 1167| [47] [悠里]
 98: 1170| [45] [「あ……は、はい。ありがとうございますっ」]
 99: 1181| [45] [博士は不敵に笑い、部屋を出て行った。]
100: 1229| [45] [――ラボに幽閉される事を承諾したあの夜――]
101: 1234| [45] [悠里は博士に１つの願い事をした。]
102: 1302| [47] [悠里]
103: 1305| [45] [「ほんのたまにでいいから……いちねんにいちどとかでもいいから、ひこりんにあわせてください」]
104: 1313| [47] [悠里]
105: 1316| [45] [「それだけでわたしは、じゅうぶんです」]
106: 1342| [47] [美夜子]
107: 1345| [45] [「……約束するわ」]
108: 1394| [45] [――あの時の約束を、博士は守ってくれた。]
109: 1399| [45] [１年に１度、例の事故が起きた７月７日が来るたび、こうして彼と会わせてくれる。]
110: 1404| [45] [むろん夏彦は、この逢瀬を自覚していない。]
111: 1409| [45] [『年に１度の定期健診のため、鹿鳴市立病院に泊まっている』と思っている。]
112: 1414| [45] [そこで睡眠薬を投与された上で、ラボに移送され――目が覚める前に、また病院に戻されるのだ。]
113: 1514| [47] [悠里]
114: 1515| [45] [（こういう形でしか会えないけれど……それでも充分だよ）]
115: 1520| [45] [この再会は、ただ顔を見る事だけが目的ではない。]
116: 1525| [45] [１年に１度、彼の中にある『悠里の記憶』を更新するために、ここまで連れてきてもらっているのだ。]
117: 1530| [45] [夏彦が脳内に作り上げた幻影は、しょせんは幻に過ぎない。]
118: 1535| [45] [放置していれば、現実の悠里とは徐々にかけ離れていってしまう。]
119: 1540| [45] [その変化と差異を埋めるための、いわばメンテナンス――それが夏彦が受ける『年に１度の定期健診』の正体だった。]
120: 1545| [47] [悠里]
121: 1546| [45] [（……これがひこりんのためになるのか、わたしにもわからないけど……）]
122: 1551| [47] [悠里]
123: 1552| [45] [（正直、会える事が嬉しいの）]
124: 1557| [47] [悠里]
125: 1558| [45] [（許してね、ひこりん……）]
126: 1565| [45] [悠里は夏彦にそっと頭を下げ、歩み寄る。]
127: 1573| [47] [悠里]
128: 1576| [45] [「今年はどんな年だったかな……？」]
129: 1640| [45] [そうして悠里は、夏彦の記憶に潜った。]
130: 1797| [45] [――１年分の記憶が、夏彦の脳裏に浮かぶ。]
131: 1802| [45] [それはどうという事のない、日常の情景だった。]
132: 1865| [47] [ましろ]
133: 1868| [45] [「夏彦っ！　ごはん作りに来たよー！」]
134: 1876| [47] [夏彦]
135: 1879| [45] [「ああ、いつもすまないな」]
136: 1905| [47] [ましろ]
137: 1908| [45] [「いいのいいの、夏彦の喜ぶ顔が見たくてやってるんだからさ～」]
138: 1913| [45] [学校に行く前の、朝の情景だ。]
139: 1921| [47] [悠里]
140: 1922| [45] [（あ、ましろんだ！）]
141: 1927| [45] [悠里はましろの事も大好きである。]
142: 1932| [45] [記憶の中でとはいえ、ましろと再会できたことを、悠里は素直に喜んだ。]
143: 1943| [47] [夏彦]
144: 1946| [45] [「また適当なこと言って。ぼくのためってより、悠里のためだろ」]
145: 1972| [47] [ましろ]
146: 1975| [45] [「あ、バレた？」]
147: 1980| [45] [ましろはこの春から、夏彦の家に食事を作りに通っているらしい。]
148: 1985| [45] [だから近頃の記憶は、ましろの記憶で埋まっていた。]
149: 2141| [47] [ましろ]
150: 2144| [45] [「ほらほら夏彦、遅刻しちゃうよ」]
151: 2152| [47] [夏彦]
152: 2155| [45] [「わ、悪い。朝から食い過ぎた……」]
153: 2160| [45] [１つ１つは、些細な記憶だ。]
154: 2302| [47] [ましろ]
155: 2305| [45] [「夏彦、買い物つき合ってよ。ちょっと買いたいものあるからさ」]
156: 2313| [47] [夏彦]
157: 2316| [45] [「なんだよ、またアニメショップにでもいくのか？」]
158: 2342| [47] [ましろ]
159: 2345| [45] [「いーじゃん、暇でしょ？」]
160: 2350| [45] [だが記憶の中に映るましろの表情に、ひっかかるものを感じた。]
161: 2538| [47] [ましろ]
162: 2541| [45] [「夏彦夏彦、これ見てよ、可愛くない？」]
163: 2549| [47] [夏彦]
164: 2552| [45] [「『買いたいもの』って服かよ。ぼく女の子の服とか、よくわからないよ」]
165: 2578| [47] [ましろ]
166: 2581| [45] [「男の子の意見も聞きたいんだよ、一般論として」]
167: 2586| [45] [ましろが夏彦に向ける、視線にも言動にも態度にも――]
168: 2591| [45] [彼女の夏彦に対する恋慕は、色濃く滲んでいた。]
169: 2794| [45] [夏彦の記憶の中で、ましろは幻に語りかける。]
170: 2827| [47] [ましろ]
171: 2830| [45] [「ねぇ悠里、今日のごはんはどうかな？」]
172: 2863| [47] [悠里]
173: 2866| [45] [《おいしいよ～、ましろんどんどんお料理上手になってくね》]
174: 2874| [47] [悠里]
175: 2877| [45] [《かわいくてお料理上手で……理想のお嫁さんって感じだよぅ》]
176: 2903| [47] [ましろ]
177: 2906| [45] [「嬉しいこと言ってくれるじゃないの。どう、悠里？　私と結婚するかい？」]
178: 2911| [45] [――会話は問題なく成立していた。]
179: 2916| [45] [まるでそこに悠里が、本当に存在しているかのように。]
180: 2946| [45] [それがどれだけ凄い事なのか、悠里には痛いほどわかっている。]
181: 2951| [45] [ましろはその会話を成立させるためだけに、エンパシーを日常的に使えるまで、能力を磨いたのだ。]
182: 2956| [45] [その理由は恐らく、１つしかない。]
183: 2961| [47] [悠里]
184: 2962| [45] [（ましろんは、ひこりんの事が……）]
185: 2967| [47] [悠里]
186: 2968| [45] [（ひこりんと一緒にいたくて、それで……！）]
187: 3001| [47] [悠里]
188: 3002| [45] [（ましろん……）]
189: 3007| [47] [悠里]
190: 3008| [45] [（ましろんは、ひこりんの事を……？）]
191: 3161| [45] [――現実に戻ってきた悠里は、夏彦の寝顔を見つめながら呟く。]
192: 3211| [47] [悠里]
193: 3214| [45] [「……そうだよね」]
194: 3222| [47] [悠里]
195: 3225| [45] [「いつまでもわたしが、ひこりんを独占してたらダメなんだ……」]
196: 3230| [45] [それではましろが、あまりにも可哀想だ。]
197: 3284| [47] [悠里]
198: 3285| [45] [（わたしなんかより、ましろんの方がずっといい娘だし……）]
199: 3290| [47] [悠里]
200: 3291| [45] [（ひこりんはましろんと一緒になった方が……）]
201: 3306| [45] [どうせ自分は一生、まともな形では、夏彦に会えないだろう。]
202: 3311| [45] [そもそもこうして会っている事が、不自然なくらいなのだ。]
203: 3316| [45] [ならば夏彦もましろも、悠里の事など忘れてしまった方が幸せになれる。]
204: 3321| [45] [その思いは急速に、悠里の中で大きくなり始めていた。]
205: 3376| [45] [悠里が肩を落とし、実験室を出ると、廊下に博士が待っていた。]
206: 3409| [47] [美夜子]
207: 3412| [45] [「悠里ちゃん、１年ぶりの逢瀬はどうだった？」]
208: 3420| [47] [悠里]
209: 3423| [45] [「博士……」]
210: 3477| [47] [悠里]
211: 3480| [45] [「ひこりんの中にある、わたしの記憶……全部ましろんとの記憶に差し替えたほうがいいんじゃ……」]
212: 3506| [47] [美夜子]
213: 3509| [45] [「……え？　どうしてまたそんな事を？」]
214: 3517| [47] [悠里]
215: 3520| [45] [「だってそうじゃないと、ましろんが……」]
216: 3546| [47] [美夜子]
217: 3549| [45] [「……ましろちゃんの事を、気にかけているの？」]
218: 3554| [45] [こくりと悠里はうなずいた。]
219: 3641| [47] [悠里]
220: 3644| [45] [「わたしたち、いつも一緒にいたから……そんなに違和感も出ないと思うんです」]
221: 3652| [47] [悠里]
222: 3655| [45] [「それに、わたし……子供の頃からあの２人には、もっと仲良くなってほしいと思ってたし……」]
223: 3663| [47] [悠里]
224: 3666| [45] [「昔はひこりんとましろんはケンカばかりしてたけど、もうそんな事しなくなったし……」]
225: 3674| [47] [悠里]
226: 3677| [45] [「そろそろ、その……２人がもっと仲良くなってもいいと、思うんですけど」]
227: 3700| [47] [美夜子]
228: 3701| [45] [「……」]
229: 3706| [45] [博士が何を言えばいいかわからないという顔をして、黙り込む。]
230: 3711| [45] [しかしやがて、ため息をついて言った。]
231: 3719| [47] [美夜子]
232: 3722| [45] [「気持ちはわかるけど……それも恐らく、まずいわ」]
233: 3730| [45] [だが、博士は少し考えた後、首を振って言う。]
234: 3756| [47] [美夜子]
235: 3759| [45] [「それも恐らく、まずいわ……」]
236: 3767| [47] [悠里]
237: 3770| [45] [「どうしてですか？」]
238: 3796| [47] [美夜子]
239: 3799| [45] [「悠里ちゃんに関する記憶を操作すれば、恐らく夏彦の心には、重大な問題が出ると思うの」]
240: 3807| [47] [悠里]
241: 3810| [45] [「そんな……？　でも、丁寧にやれば……」]
242: 3836| [47] [美夜子]
243: 3839| [45] [「いいえ、夏彦にとって悠里ちゃんの存在は大きすぎる」]
244: 3865| [47] [美夜子]
245: 3868| [45] [「そうでなくとも夏彦の精神は、すでに無数の問題を抱えているのよ」]
246: 3876| [47] [悠里]
247: 3879| [45] [「え？」]
248: 3887| [47] [美夜子]
249: 3890| [45] [「これまでに夏彦は幾度となく、悠里ちゃんの不在に気付きかけたんだけど、それを認めようとしない」]
250: 3898| [47] [美夜子]
251: 3901| [45] [「そのあまりに、奇妙な行動をとる事もあるわ」]
252: 3909| [47] [悠里]
253: 3912| [45] [「奇妙な行動……？」]
254: 3938| [47] [美夜子]
255: 3941| [45] [「例えば我が家のリビングで、夏彦が悠里ちゃんのためにホットミルクを入れるとするでしょう？」]
256: 3949| [47] [悠里]
257: 3952| [45] [「は、はい」]
258: 3960| [47] [美夜子]
259: 3963| [45] [「でも現実には悠里ちゃんはそこに存在しないから、悠里ちゃんのコップの中のミルクは、減りはしないわよね」]
260: 3989| [47] [美夜子]
261: 3992| [45] [「だけどその事に対し、夏彦は何の疑問も持たないの」]
262: 4000| [47] [美夜子]
263: 4003| [45] [「全く減らないまま冷めたミルクを、黙ってシンクに捨てるだけ」]
264: 4029| [47] [美夜子]
265: 4032| [45] [「試みに夏彦に『そのミルク、減ってないわね』と聞くと、『え、何が？』と心から不思議そうな顔をするわ」]
266: 4040| [47] [悠里]
267: 4043| [45] [「そ……そんな事ってあるんですか？」]
268: 4052| [47] [美夜子]
269: 4055| [45] [「あるのよ。『否認シンドローム』って言うんだけどね……」]
270: 4081| [47] [美夜子]
271: 4084| [45] [「他にも奇妙な行動は多いわ」]
272: 4092| [47] [美夜子]
273: 4095| [45] [「例えば毎日学校に行く前に、リビングの照明を点けてから家を出たり」]
274: 4103| [47] [悠里]
275: 4106| [45] [「照明？」]
276: 4132| [47] [美夜子]
277: 4135| [45] [「そうしないと、家に帰ってきた時、照明が消えたままになってしまうでしょう」]
278: 4143| [47] [美夜子]
279: 4146| [45] [「悠里ちゃんが家にいるはずなのに、照明が消えていると、つじつまが合わない」]
280: 4154| [47] [美夜子]
281: 4157| [45] [「それを避ける為に、照明をつけて家を出るのよ……こういう事を夏彦は、全て無意識に行っているの」]
282: 4162| [45] [それを聞き終えた悠里は、震える声で呟く。]
283: 4170| [47] [悠里]
284: 4173| [45] [「じゃあひこりんは、わたしのせいで……！」]
285: 4199| [47] [美夜子]
286: 4202| [45] [「違うわ、悠里ちゃんのせいなんかじゃない」]
287: 4210| [47] [美夜子]
288: 4213| [45] [「否認シンドロームは、脳に何らかの機能異常が起きたとき、容易に起こりうる事なの」]
289: 4239| [47] [美夜子]
290: 4242| [45] [「こうした症例は、世界中で報告されている……夏彦の取る奇妙な行動は、全て他の患者にも見られた行動なのよ」]
291: 4268| [47] [美夜子]
292: 4271| [45] [「だから……お願い、そんなこと言わないで」]
293: 4276| [45] [そう言われても、涙が出てきた。]
294: 4281| [45] [９年前に自分がした事の重さに、悠里は押しつぶされそうになる。]
295: 4289| [47] [悠里]
296: 4292| [45] [「博士……どうすればいいんでしょう……」]
297: 4318| [47] [美夜子]
298: 4321| [45] [「そうね……いつか夏彦が、事実を受け止められる強さを得たら……」]
299: 4329| [47] [美夜子]
300: 4332| [45] [「その時は、真実を教えてもいいのかもしれない」]
301: 4340| [47] [悠里]
302: 4343| [45] [「だけど、その時が来る保証なんて……」]
303: 4369| [47] [美夜子]
304: 4372| [45] [「ないわ。だから私は――」]
305: 4398| [47] [美夜子]
306: 4401| [45] [「いつかあなたを、ラボから解放してみせる」]
307: 4424| [47] [悠里]
308: 4427| [45] [「！？」]
309: 4432| [45] [悠里は耳を疑った。]
310: 4437| [45] [ＢＣ研究の第一人者である彼女が、そんな事を言う事が信じられなかった。]
311: 4445| [47] [美夜子]
312: 4448| [45] [「ＢＣの謎を全て解き明かす事ができたなら、ラボはもうあなたを拘束しておく理由はなくなる」]
313: 4456| [47] [美夜子]
314: 4459| [45] [「そのために私は、人生を捧げるつもりよ」]
315: 4485| [47] [美夜子]
316: 4488| [45] [「それであなたの人生を壊した罪が、償えるとは思えないけど……」]
317: 4496| [47] [悠里]
318: 4499| [45] [「そんな……」]
319: 4507| [47] [美夜子]
320: 4510| [45] [「そしてそれが仮に、叶わなかったとしても……」]
321: 4536| [47] [美夜子]
322: 4539| [45] [「いよいよになったら、私の命に替えても、あなたたちを外に出してあげるわ」]
323: 4547| [47] [悠里]
324: 4550| [45] [「え？」]
325: 4576| [47] [美夜子]
326: 4579| [45] [「実はね、密かにそのための準備を進めてるの」]
327: 4605| [47] [美夜子]
328: 4608| [45] [「１人ではできない事だから、難航してるんだけど……いつかは、必ず……」]
329: 4641| [45] [すまなそうに言う博士を、悠里はそっと抱きしめた。]
330: 4646| [45] [――悠里にはわかっている。]
331: 4651| [45] [それもまた叶わぬ願いだという事を。]
332: 4656| [45] [９年間も一緒に居続けたのだ。博士が絶望的な想いを抱えている事くらい、ＢＣを使わなくてもわかる。]
333: 4661| [47] [悠里]
334: 4662| [45] [（ＢＣの研究が終る事なんてない……）]
335: 4667| [47] [悠里]
336: 4668| [45] [（わたしが閉じ込められているのにも、きっと他の理由があるんだ）]
337: 4673| [47] [悠里]
338: 4674| [45] [（想像もつかないけど……）]
339: 4679| [45] [しかし、では自分はいつまでここにいなければならないのか。]
340: 4684| [45] [どうすれば夏彦とましろは、自分の呪縛から逃れられるのか。]
341: 4689| [45] [数々の疑問の答えは、何ひとつ見つからないまま――]
342: 4694| [45] [日々は過ぎていった。]
343: 4901| [45] [――悠里は幾度となく記憶を遡り、そしてその過程で、微細な己の想いを再確認した。]
344: 4906| [45] [夏彦たちに対する想い。]
345: 4911| [45] [そして――『彼女』に対する想い。]
346: 4916| [45] [誰とも触れ合うことのできない、真に孤独な少女。]
347: 4921| [45] [彼女の存在について考えた時、悠里の心の奥底から、新たな記憶が湧き上がってきた……。]
