  0:   60| [45] [――渡瀬と言う仲間を得た宇喜多は――]
 67:  734| [47] [宇喜多]
 68:  737| [45] [「なっ……！？　あなたはそれでも、母親ですか！？」]
 69:  742| [45] [そう問うと博士は、僕を睨んで声を上げた。]
 70:  768| [47] [美夜子]
 71:  771| [45] [「それでも母親か、ですって……！？　あなたに何がわかるのよ！」]
 72:  779| [47] [宇喜多]
 73:  782| [45] [「っ！」]
 74:  790| [47] [美夜子]
 75:  793| [45] [「私は息子を愛してる。世界中の誰よりかけがえのない存在だわ」]
 76:  819| [47] [美夜子]
 77:  822| [45] [「でもあの子がこれからの人生を平穏に生きていくためには、鹿鳴市もラボも私の研究も、全て必要な事なのよ」]
 78:  848| [47] [美夜子]
 79:  851| [45] [「だから、私は……！」]
 80:  856| [45] [博士はそう言って、辛そうに唇を噛む。まるで自分にそう言い聞かせているようにも見えた。]
 81:  861| [47] [宇喜多]
 82:  862| [45] [（もしかして夏彦くんは……彼女にとって、人質のようなものなのか？）]
 83:  867| [45] [だとしたら宇喜多がこれからしようとしている事は、天川博士の救いにもなるはずだった。]
 84:  872| [45] [いや――そうであってほしいと、宇喜多は願った。]
 85:  926| [47] [宇喜多]
 86:  929| [45] [「……すみません、妙な質問を繰り返して」]
 87:  937| [47] [宇喜多]
 88:  940| [45] [「礼を言い遅れましたが、かばって下さった事は感謝してます」]
 89:  948| [47] [宇喜多]
 90:  951| [45] [「考え方は違っても、やはりあなたは立派な人だ……」]
 91:  977| [47] [美夜子]
 92:  980| [45] [「……宇喜多さん」]
 93:  988| [47] [宇喜多]
 94:  991| [45] [「僕はね、天川博士。もし叶うならば……あなたとまた一緒に、仕事がしたかったですよ」]
 95: 1075| [45] [そう呟いた時、ほんの一瞬だけ、迷いが生じた。]
 96: 1080| [47] [宇喜多]
 97: 1081| [45] [（……何も知らなければ、幸せだったのかもしれない……）]
 98: 1086| [47] [宇喜多]
 99: 1087| [45] [（天川博士と共に、真理の追究に専心できたのかもしれない）]
100: 1092| [47] [宇喜多]
101: 1093| [45] [（だけど――）]
102: 1098| [45] [宇喜多は知ってしまったのだ。このラボの真実を。]
103: 1103| [45] [その事を噛み締めながら、宇喜多は彼女に言う。]
104: 1111| [47] [宇喜多]
105: 1114| [45] [「博士、どうか……良心だけは忘れないで下さい」]
106: 1122| [47] [宇喜多]
107: 1125| [45] [「科学者としてのではなく、人間としての」]
108: 1151| [47] [美夜子]
109: 1154| [45] [「……言われずとも、わかってるわ」]
110: 1187| [45] [その言葉に少しだけ救われた気がして、宇喜多は彼女の元を去った。]
111: 1192| [47] [宇喜多]
112: 1193| [45] [（博士……いつかあなたがその良心に従って下さることを、僕は期待しています）]
113: 1203| [45] [宇喜多はそう言い残し、その場を去った。]
114: 1208| [45] [背中に彼女の視線を感じたが、それを振り切って。]
115: 1213| [47] [宇喜多]
116: 1214| [45] [（……叶うならば、か）]
117: 1219| [47] [宇喜多]
118: 1220| [45] [（でも……やはりその夢は、永遠に叶いませんね）]
119: 1225| [45] [宇喜多は知ってしまったのだ。このラボの真実を。]
120: 1230| [47] [宇喜多]
121: 1231| [45] [（僕はもう引き返す事はできないんですよ、博士……）]
122: 1313| [45] [――だがその日の帰り道、異変が起きた。]
123: 1373| [45] [宇喜多の車を、不審な車が追いかけてくる事に気付いたのだ。]
124: 1378| [47] [宇喜多]
125: 1379| [45] [（あの車……ずっと僕の後をつけて来ている……？）]
126: 1384| [45] [車の速度を落としても上げても、尾行者は的確に宇喜多にくっついてきていた。]
127: 1389| [47] [宇喜多]
128: 1390| [45] [（まさかあれが、博士が言っていた、保安六課とかいう連中か？）]
129: 1401| [45] [そう思った時、不意に電話の音が響いた。]
130: 1423| [47] [宇喜多]
131: 1426| [45] [「！！」]
132: 1431| [45] [突如鳴り響いた携帯の音に、宇喜多の心臓が跳ね上がった。]
133: 1442| [45] [宇喜多は慌てて運転をＡＤＳモードに戻し、ＰＤＡに耳を当てる。]
134: 1450| [47] [宇喜多]
135: 1453| [45] [「もしもし」]
136: 1458| [45] [すると受話器から、Ｑの男の声が聞こえた。]
137: 1463| [47] [曽根崎]
138: 1466| [45] [「……どうやら、監視がついたようだな」]
139: 1474| [47] [宇喜多]
140: 1477| [45] [「なっ……なぜあなたがそれを！？」]
141: 1482| [47] [曽根崎]
142: 1485| [45] [「保安課の中に、協力者がいるんだよ。それで連中の動向は多少わかるんだ」]
143: 1490| [47] [曽根崎]
144: 1493| [45] [「それより車に盗聴器が仕掛けられているかもしれないから、返事には注意してくれ。普通の通話を装うんだ」]
145: 1501| [47] [宇喜多]
146: 1504| [45] [「あ、あぁ……！」]
147: 1509| [47] [曽根崎]
148: 1512| [45] [「さて用件を手短に話そう。この大事な時期に、計画の中核である君に監視がついたのは非常にまずい」]
149: 1517| [47] [曽根崎]
150: 1520| [45] [「だが向こうも君がシロかクロか、まだ判断しかねているようだ」]
151: 1525| [47] [曽根崎]
152: 1528| [45] [「そこで監視の目を外すために、君に我々のテロの『被害者』になって頂きたい」]
153: 1536| [47] [宇喜多]
154: 1539| [45] [「え？」]
155: 1544| [47] [曽根崎]
156: 1547| [45] [「我々は明日から、計画の成功率を上げるため、鹿鳴市内の各所で陽動作戦を開始する」]
157: 1552| [47] [曽根崎]
158: 1555| [45] [「君はそのうちの１つに巻き込まれた、善意の一般人を装うんだ」]
159: 1560| [47] [曽根崎]
160: 1563| [45] [「多少の危険は伴うが、了解していただけるかな？」]
161: 1571| [47] [宇喜多]
162: 1574| [45] [「それは……了解だ、まぁなんとかしよう」]
163: 1579| [45] [どのみち危険な状況なのには変わりないのだ。]
164: 1584| [47] [曽根崎]
165: 1587| [45] [「では詳細はＰＤＡに送っておく。自宅にも盗聴器やカメラが設置されている可能性があるので、外で確認するように」]
166: 1598| [45] [その言葉と共に、電話は切れた。]
167: 1609| [45] [バックミラーを確認すると、追跡は変わらず続けられているようだ。]
168: 1614| [47] [宇喜多]
169: 1615| [45] [（ここに来て、難局だな……！）]
170: 1620| [45] [宇喜多はハンドルをきつく握り、バックミラーを睨みつけた。]
171: 1676| [45] [――そして、数日後――]
172: 1681| [45] [宇喜多を『被害者』に偽装する作戦が、実行された。]
173: 1711| [45] [車のＡＤＳとブレーキに細工を施し、わざと交通事故を起こす。]
174: 1716| [45] [それがＱによるものであるように見せかければ、宇喜多の監視も解かれると思ったのだが――]
175: 1759| [47] [宇喜多]
176: 1760| [45] [（ぐ、ぅ……ま、まさか、これほどの事故になるとは……）]
177: 1765| [45] [フレーム全体がぐしゃぐしゃになり、車に閉じ込められてしまったのは、まったく想定外だった。]
178: 1772| [45] [しかも、それだけではなく――]
179: 1789| [45] [漂ってきた刺激臭に、宇喜多の背筋はぞっとした。]
180: 1794| [47] [宇喜多]
181: 1795| [45] [（この匂い――ガ、ガソリン！？）]
182: 1800| [47] [宇喜多]
183: 1801| [45] [（い、いかんッ！）]
184: 1806| [45] [陽動のために引き起こされた事故で爆死するなどと、そんな馬鹿げた話はない。]
185: 1825| [45] [だが逃げ出そうにも、宇喜多は身じろぎすら満足にできない状態だった。]
186: 1830| [47] [宇喜多]
187: 1831| [45] [（まずい、このままでは本当に――ッ！）]
188: 1836| [45] [――その時。]
189: 1894| [85] [《離れろましろ！！　ガソリンだッ！！》]
190: 1895| [86] [？？]
191: 1896| [86] [《離れろましろ！！　ガソリンだッ！！》]
192: 1942| [47] [宇喜多]
193: 1945| [45] [「っ！？」]
194: 1950| [45] [脳内に響いたその声は、確かに聞き覚えのあるものだった。]
195: 2083| [45] [――その後、駆けつけて来たレスキュー隊員の手によって、宇喜多は無事に救出された。]
196: 2147| [45] [だが先ほどのテレパシーが夏彦のものだと知り、宇喜多は言葉を失った。]
197: 2227| [47] [宇喜多]
198: 2228| [45] [（まさか僕が原因で、夏彦くんがＢＣ能力を発現してしまうなんて――！）]
199: 2282| [45] [そう思った宇喜多は、夏彦に告げた。]
200: 2290| [47] [宇喜多]
201: 2293| [45] [「いいか、良く聞いてくれ。大事な話だ」]
202: 2301| [47] [宇喜多]
203: 2304| [45] [「これから君の周りで、おかしな事が起こるかもしれない」]
204: 2330| [47] [宇喜多]
205: 2333| [45] [「杞憂ならいい。いや……きっと杞憂になるはずだ」]
206: 2338| [45] [それは夏彦への警告であり、自分への戒めでもあった。]
207: 2343| [45] [これでもし自分の計画が失敗したら、ラボと鹿鳴市の悪事は暴かれず、夏彦も幽閉されてしまうだろう。]
208: 2348| [47] [宇喜多]
209: 2349| [45] [（何としても、計画を成功させなければ！）]
210: 2354| [45] [宇喜多は密かに、そう決意した。]
211: 2411| [45] [――その後、数日に渡り、Ｑの陽動作戦は続いた。]
212: 2416| [45] [それでようやく宇喜多につけられていた監視体制も解かれたのだが……。]
213: 2464| [45] [陽動の中には、放火事件や超心研の爆破など被害規模が大きなものもあり、宇喜多は胸を痛めていた。]
214: 2469| [47] [宇喜多]
215: 2470| [45] [（これも計画成功のためには、仕方ないのか……！？）]
216: 2475| [45] [そう思いつつも、流れは止められなかった。]
217: 2530| [45] [――そして計画実行を翌日に控えた、９月１５日――]
218: 2535| [45] [予想外のアクシデントが起きた。]
219: 2540| [45] [夏彦たちが、Ｑのテロ計画について察知してしまったのだ！]
220: 2613| [47] [夏彦]
221: 2616| [45] [「――さっき１人、そのテロリストを捕まえました」]
222: 2621| [45] [そう言う夏彦に、宇喜多は戦慄していた。]
223: 2626| [47] [宇喜多]
224: 2627| [45] [（まさか助けるべき対象が、障害として立ちはだかるなんて……！）]
225: 2632| [45] [宇喜多は内心の動揺を隠しつつ、夏彦たちと『ラボの警備を一層厳しくしてもらう』という約束をし、ひとまずその場を去った。]
226: 2689| [47] [宇喜多]
227: 2690| [45] [（まずい、これはまずいぞ！　彼らを止めねば、計画が――！）]
228: 2701| [45] [宇喜多は車を走らせながら、渡瀬のＰＤＡに連絡した。]
229: 2731| [47] [渡瀬]
230: 2734| [45] [「――はい」]
231: 2742| [47] [宇喜多]
232: 2745| [45] [「隊長さんか！？　すまない、緊急事態だ！」]
233: 2750| [45] [宇喜多が要件を伝えると、渡瀬は固い声で言った。]
234: 2758| [47] [渡瀬]
235: 2761| [45] [「――口を塞ぐのか」]
236: 2769| [47] [宇喜多]
237: 2772| [45] [「止むを得ないだろう……」]
238: 2780| [47] [渡瀬]
239: 2783| [45] [「俺たちに、子どもを殺せと？」]
240: 2791| [47] [宇喜多]
241: 2794| [45] [「そこまではするな。脅しをかけ、縛り上げればいい」]
242: 2802| [47] [宇喜多]
243: 2805| [45] [「……頼むよ、隊長さん。お互い気が進まない話だが……これも彼らのためなんだ」]
244: 2810| [45] [宇喜多はそう言って、通話を切った。]
245: 2916| [45] [ラボの駐車場で、渡瀬からの連絡を待つ。]
246: 2927| [45] [するとやがて、ＰＤＡが鳴った。]
247: 2941| [47] [渡瀬]
248: 2944| [45] [「終わったぜ」]
249: 2952| [47] [宇喜多]
250: 2955| [45] [「まさか怪我を負わせたりしてないだろうな？」]
251: 2963| [47] [渡瀬]
252: 2966| [45] [「心配するな。ちゃんとあんたの言う通りにしたよ」]
253: 2974| [47] [渡瀬]
254: 2977| [45] [「俺だって子供を傷つけたくなんかない」]
255: 2985| [47] [宇喜多]
256: 2988| [45] [「そうか……」]
257: 2993| [45] [やはり渡瀬は、信頼のおける男のようだった。]
258: 2998| [47] [宇喜多]
259: 2999| [45] [（それに引き換え、Ｑの連中……因縁のある超心研を爆破するなんて、まるでただの復讐ではないか？）]
260: 3004| [47] [宇喜多]
261: 3005| [45] [（もし彼らがコミュニケーターに敵意を向けるようなら、僕が何としても被験体たちを護らなければ……！）]
262: 3010| [45] [宇喜多はそう思い、渡瀬に言った。]
263: 3018| [47] [宇喜多]
264: 3021| [45] [「なあ隊長さん、１つ頼みがあるのだが……」]
265: 3029| [47] [渡瀬]
266: 3032| [45] [「なんだ？」]
267: 3040| [47] [宇喜多]
268: 3043| [45] [「改めて約束してくれないか？　どんな事が起こっても、人殺しはしないと」]
269: 3051| [47] [渡瀬]
270: 3054| [45] [「ああ、約束しよう」]
271: 3062| [47] [渡瀬]
272: 3065| [45] [「俺の姉貴の命は、鹿鳴市の思惑のために踏みにじられたんだ。だから俺は、連中と同じ真似は絶対にしない」]
273: 3073| [47] [宇喜多]
274: 3076| [45] [「そうか……ありがとう」]
275: 3088| [45] [宇喜多は電話を切り、ラボの巨影に眼をやった。]
276: 3095| [45] [――決行の時が迫る。]
