  0:   53| [45] [--July 7.]
 41:  814| [45] ["Dive? You mean like reading a mind with empathy?"]
 42:  840| [47] [Yuuri]
 43:  843| [45] ["Perhaps something like that. The terminology used was different since it was written before the Grand Discovery."]
 44:  869| [47] [Yuuri]
 45:  872| [45] ["But it's really interesting. It's kind of a warm story."]
 46:  894| [45] [--The phantom turned to Natsuhiko and said that.]
 47:  899| [45] [Yuuri thought to herself as she watched.]
 48:  904| [47] [Yuuri]
 49:  905| [45] [(You were there for Hikorin again this year, huh...)]
 50:  910| [47] [Yuuri]
 51:  911| [45] [(Thank you. Good work.)]
 52:  916| [45] [Yuuri thanked her other self from the bottom of her heart.]
 53:  921| [45] [--But not even Yuuri was exactly sure what her phantom was.]
 54:  926| [45] [According to the professor, the phantom was a hallucination caused by mental dysfunction.]
 55:  931| [45] [Yuuri recalled the explanation she had once heard.]
 56: 1005| [47] [Miyoko]
 57: 1008| [45] ["--Natsuhiko is the one controlling that hallucination himself."]
 58: 1016| [47] [Miyoko]
 59: 1019| [45] ["He's constantly forming a believable phantom based off of the information he has on you in his memory."]
 60: 1027| [47] [Miyoko]
 61: 1030| [45] ["He's making judgment calls like 'This is what Yuuri would say', or 'This is how Yuuri would act'."]
 62: 1035| [45] [The professor was right. There was not much difference between the real Yuuri and the phantom.]
 63: 1040| [45] [Which might have been a result of these "regular checkups".]
 64: 1058| [45] [During each of these regular checkups, Yuuri would fill in Natsuhiko's memories with the knowledge she had gained that year, including her impressions on books she had read.]
 65: 1063| [45] [That way, her knowledge would affect the phantom so she could express her impression of newly read books to Natsuhiko.]
 66: 1068| [47] [Yuuri]
 67: 1069| [45] [(... She's no longer just a hallucination, huh?)]
 68: 1074| [47] [Yuuri]
 69: 1075| [45] [(This girl... is my "clone".)]
 70: 1080| [45] [And for 365 days a year, she would stay beside Natsuhiko in the real Yuuri's stead.]
 71: 1085| [45] [The phantom was probably the more "real" Yuuri in Natsuhiko's eyes.]
 72: 1092| [45] [... With that thought in mind, Yuuri watched a year's worth of memories--]
 73: 1097| [45] [And at the end, she renewed the information relating to herself.]
 74: 1216| [45] [--Thus, Natsuhiko would live with a new Yuuri clone for another year.]
 75: 1221| [45] [But... Yuuri thought to herself.]
 76: 1226| [47] [Yuuri]
 77: 1227| [45] [(When I renew Hikorin's memories, the clone that worked so hard is reborn as a new clone...)]
 78: 1232| [47] [Yuuri]
 79: 1233| [45] [(So is what I'm doing... erasing an old me and replacing her with a new one?)]
 80: 1238| [45] [Perhaps that was the case. Perhaps not.]
 81: 1243| [45] [At the end of the day, not even Yuuri understood what was going on inside Natsuhiko's brain.]
 82: 1248| [45] [But in any case, she had already erased and rebirthed that phantom several times.]
 83: 1253| [45] [And when she thought about it like that, it was somehow heartrending.]
 84: 1314| [47] [Yuuri]
 85: 1315| [45] [(If Hikorin one day realizes that the phantom is just a phantom...)]
 86: 1320| [47] [Yuuri]
 87: 1321| [45] [(She might disappear for real.)]
 88: 1359| [47] [Yuuri]
 89: 1360| [45] [(That just seems... kind of sad.)]
 90: 1403| [45] [--She wanted to at least leave proof that the phantom had existed, but that would probably be difficult.]
 91: 1408| [45] [For that girl had not a single effect on the world outside of Natsuhiko's mind.]
 92: 1413| [47] [Yuuri]
 93: 1414| [45] [(... I wonder if I can come up with a way...)]
 94: 1419| [47] [Yuuri]
 95: 1420| [45] [(Like, what if I had the other me create something physical...)]
 96: 1425| [47] [Yuuri]
 97: 1426| [45] [(And then I created the same thing here in LABO...)]
 98: 1431| [47] [Yuuri]
 99: 1432| [45] [(And then I'd have the professor deliver it?)]
100: 1437| [45] [That could perhaps somewhat count as a reminder that the phantom had existed.]
101: 1442| [47] [Yuuri]
102: 1443| [45] [(Yeah, that could be a good idea. Then what should we make...?)]
103: 1448| [45] [Yuuri thought for a while, but she couldn't come up with an answer on the spot.]
104: 1454| [45] [She decided to make it her homework for the next yearly checkup.]
