  0:  139| [55] [√Double Chapter2]
 71: 1327| [45] [「えッ！？　なに、これ……ッ！」]
 72: 1335| [47] [？？]
 73: 1338| [45] [「あ、嫌……熱い、痛いよ、夏彦……！」]
 74: 1346| [47] [？？]
 75: 1349| [45] [「大丈夫かましろ！？　いま手当てを――」]
 76: 1397| [47] [？？]
 77: 1400| [45] [「……動いている的には、意外とちゃんと当たらないもんだな」]
 78: 1446| [47] [渡瀬]
 79: 1447| [45] [（――……！！？？）]
 80: 1452| [45] [突如フラッシュバックした映像、そして耳に蘇った声。]
 81: 1457| [45] [それに渡瀬は激しい動揺を覚えた。]
 82: 1465| [47] [渡瀬]
 83: 1468| [45] [「い……今のは……！！」]
 84: 1514| [45] [セキュリティゲートを抜け、どこかに向かう少年と少女。]
 85: 1519| [45] [しかしその直後響く、乾いた音。]
 86: 1524| [45] [さらに続く、男の声――]
 87: 1529| [45] [『動いている的には、意外とちゃんと当たらないもんだな』]
 88: 1537| [47] [渡瀬]
 89: 1540| [45] [「あの声……あの声は……！」]
 90: 1545| [45] [渡瀬自身の声のように思えた。]
 91: 1553| [47] [渡瀬]
 92: 1556| [45] [「ど、どういう事だ！？　なんでオレがあんな事を！？」]
 93: 1564| [47] [渡瀬]
 94: 1567| [45] [「あれじゃまるで――！」]
 95: 1572| [45] [渡瀬がその恐ろしい考えに辿り着きかけた、その時。]
 96: 1630| [85] [《渡瀬ッ！！》]
 97: 1631| [86] [幻聴]
 98: 1632| [86] [《渡瀬ッ！！》]
 99: 1682| [47] [渡瀬]
100: 1683| [45] [（ッ！！）]
101: 1688| [45] [今度は幻聴が、頭の中で響いた。]
102: 1746| [85] [《落ち着いてくれ渡瀬！　その子は死にかけてる！]
103: 1748| [85] [　すぐにその子を救助して、シェルターに戻るんだ！》]
104: 1749| [86] [幻聴]
105: 1750| [86] [《落ち着いてくれ渡瀬！　その子は死にかけてる！　すぐにその子を救助して、シェルターに戻るんだ！》]
106: 1766| [85] [《いいか、お前はレスキュー隊員なんだぞ！？]
107: 1768| [85] [　自分の使命を果たしてくれ！》]
108: 1769| [86] [幻聴]
109: 1770| [86] [《いいか、お前はレスキュー隊員なんだぞ！？　自分の使命を果たしてくれ！》]
110: 1801| [47] [渡瀬]
111: 1804| [45] [「あ……あ、ああ」]
112: 1809| [45] [渡瀬は戸惑いながらも、なんとか気を取り直す。]
113: 1814| [47] [渡瀬]
114: 1815| [45] [（そうだ……オレはこの子を救助するんだ……）]
115: 1820| [47] [渡瀬]
116: 1821| [45] [（死なせたりするわけにはいかないんだ……そんな事、絶対に……）]
117: 1826| [45] [自分に言い聞かせるように、内心で何度もその言葉を反復する。]
118: 1835| [45] [そしてましろに歩み寄り、そっと抱き上げた。]
119: 1936| [85] [《……そうだ、それでいい》]
120: 1937| [86] [幻聴]
121: 1938| [86] [《……そうだ、それでいい》]
122: 1966| [45] [幻聴が安堵したように言う。]
123: 1971| [47] [渡瀬]
124: 1972| [45] [（……）]
125: 2032| [45] [渡瀬は何も答えず、ましろを背負い、搬出リフトの部屋を飛び出した。]
126: 2083| [45] [そしてまず、第５エリアの医務室に向かう。]
127: 2140| [47] [渡瀬]
128: 2141| [45] [（この怪我の様子じゃ、輸血しなきゃまずそうだ！）]
129: 2146| [47] [渡瀬]
130: 2147| [45] [（輸血キットが、まだあればいいが……）]
131: 2181| [45] [探すと予備の輸血キットが、まだ１つだけあった。]
132: 2197| [45] [それを懐に入れ、輸血パックを全種類集め、脇に抱える。]
133: 2202| [45] [できればここで治療したいが、危険だ。]
134: 2207| [45] [ここにいれば、洵や宇喜多や風見の襲撃を受けかねない。]
135: 2212| [47] [渡瀬]
136: 2213| [45] [（やっぱりシェルターに戻ろう。あそこが１番安全だ）]
137: 2218| [45] [渡瀬は再びましろを背負い、医務室を出た。]
138: 2291| [45] [宇喜多たちに遭遇しないよう、注意しながらシェルターを目指す。]
139: 2400| [45] [やがて例の隠し扉の前に着いた。]
140: 2414| [47] [渡瀬]
141: 2417| [45] [「夏彦くん、聞こえるか！？」]
142: 2426| [47] [渡瀬]
143: 2429| [45] [「オレだ、笠鷺だ！　開けてくれ！」]
144: 2440| [45] [壁を叩きながら声を上げると――すぐに壁がスライドし、鉄扉が現れた。]
145: 2499| [45] [そしてシェルターに入るなり、ユウリが悲鳴を上げた。]
146: 2532| [47] [ユウリ]
147: 2535| [45] [「ましろん！」]
148: 2540| [45] [ましろの愛称らしきものを呼び、駆け寄ってくる。]
149: 2545| [45] [どうやらユウリは、ましろとも友達らしい。]
150: 2571| [47] [ユウリ]
151: 2574| [45] [「隊長さん！　ましろんがぐったりして……！」]
152: 2582| [47] [渡瀬]
153: 2585| [45] [「大丈夫、気を失っているだけだ」]
154: 2618| [45] [渡瀬はましろを床に横たえながら、答えた。]
155: 2626| [47] [渡瀬]
156: 2629| [45] [「だが腕を怪我してて……血を流しすぎたかもしれん」]
157: 2637| [47] [渡瀬]
158: 2640| [45] [「リフトの籠の中に、ずっと閉じ込められていたらしい。何時間も、治療も受けられず……」]
159: 2667| [47] [夏彦]
160: 2670| [45] [「……っ」]
161: 2675| [45] [夏彦が渡瀬を睨むように見つめ、低い声で言った。]
162: 2701| [47] [夏彦]
163: 2704| [45] [「……確かに、ひどい怪我ですね」]
164: 2712| [47] [渡瀬]
165: 2715| [45] [「ああ、すぐに輸血をしなきゃまずい」]
166: 2723| [47] [渡瀬]
167: 2726| [45] [「君たち、この子の血液型知らないか？」]
168: 2752| [47] [夏彦]
169: 2755| [45] [「Ｂ型です。ましろが前にそう言ってました」]
170: 2763| [47] [渡瀬]
171: 2766| [45] [「よし、Ｂだな」]
172: 2811| [45] [渡瀬は輸血キットに備え付けられていた説明書を読みながら、急性反応などをチェックし――]
173: 2816| [45] [そして何とか、ましろに輸血を開始できた。]
174: 2828| [47] [渡瀬]
175: 2831| [45] [「ふぅ……これでひとまず、安心かな……」]
176: 2836| [45] [一息つく渡瀬に、夏彦が押し殺した声で言う。]
177: 2862| [47] [夏彦]
178: 2865| [45] [「……安心って事はないでしょう」]
179: 2873| [47] [渡瀬]
180: 2876| [45] [「え？」]
181: 2884| [47] [夏彦]
182: 2887| [45] [「こんなに大怪我してるんですよ……！？　何がどう安心なんですか？」]
183: 2914| [47] [夏彦]
184: 2917| [45] [「ましろに何かあったら、どう責任とってくれるんですか！？」]
185: 2940| [47] [渡瀬]
186: 2943| [45] [「……っ」]
187: 2948| [45] [不意に怒り出した夏彦を見て、渡瀬は困惑した。]
188: 2953| [47] [渡瀬]
189: 2954| [45] [（輸血にもたついた事を怒ってるのか？）]
190: 2959| [45] [だがその時、渡瀬はふと気付いた。]
191: 2964| [45] [声を荒げた時の夏彦の雰囲気に、どことなく覚えがある事に。]
192: 3018| [45] [それはつい先ほども聞いた声。]
193: 3023| [45] [――『幻聴』の持つ雰囲気に、似ていたのだ。]
194: 3043| [47] [渡瀬]
195: 3044| [45] [（……！）]
196: 3049| [45] [そう思った瞬間、電光のように閃くものがあった。]
197: 3167| [47] [渡瀬]
198: 3168| [45] [（え……ちょっと待て、確か先生が前に……）]
199: 3173| [47] [渡瀬]
200: 3174| [45] [（って事は、まさか！？）]
201: 3194| [45] [渡瀬の背が、ぞくりと震えた。]
202: 3234| [45] [だがまずはそれを心に押し込め、夏彦に謝る。]
203: 3242| [47] [渡瀬]
204: 3245| [45] [「……すまない、軽はずみに『一安心』なんて言った事は謝る」]
205: 3271| [47] [夏彦]
206: 3274| [45] [「いや、いいんですが……」]
207: 3282| [47] [渡瀬]
208: 3285| [45] [「でも彼女の傷は、君の怪我よりは軽いように見える」]
209: 3293| [47] [渡瀬]
210: 3296| [45] [「確かな事は言えないが、きっと輸血を続けていれば大丈夫だ」]
211: 3323| [47] [夏彦]
212: 3326| [45] [「……えぇ」]
213: 3331| [45] [夏彦はまだ不満げだったが、なんとか引き下がってくれた。]
214: 3336| [45] [それを確認した上で、渡瀬は先ほどの思い付きを、そっと口にする。]
215: 3344| [47] [渡瀬]
216: 3347| [45] [「……ところで、夏彦くん。１つ聞いてもいいか？」]
217: 3373| [47] [夏彦]
218: 3376| [45] [「え？」]
219: 3384| [47] [渡瀬]
220: 3387| [45] [「実は、ユウリにはすでに話したんだが――」]
221: 3395| [47] [渡瀬]
222: 3398| [45] [「オレはこの施設の中で目覚めた時から、時々幻聴を聞いていたんだ」]
223: 3459| [47] [夏彦]
224: 3462| [45] [「……！」]
225: 3470| [47] [渡瀬]
226: 3473| [45] [「だが、その幻聴から受ける印象と、君と喋った時の印象がよく似ているんだよ。どこがどうとは言えないが……」]
227: 3499| [47] [夏彦]
228: 3502| [45] [「……何が言いたいんですか？」]
229: 3510| [47] [渡瀬]
230: 3513| [45] [「いや、その……前に先生から聞いたんだが、君たちは……テレパシーを使えるんだろう？」]
231: 3521| [47] [渡瀬]
232: 3524| [45] [「もしかしてオレが聞いていた幻聴とは、君のテレパシーだったんじゃないのか？」]
233: 3529| [45] [渡瀬はその思い付きを、一気に夏彦に告げた。]
234: 3534| [45] [そう言う間も、得体の知れない恐怖心のようなものが湧き上がってくる。]
235: 3539| [45] [だが当の夏彦は、真顔で首を振った。]
236: 3565| [47] [夏彦]
237: 3568| [45] [「ぼくがあなたにテレパシーを？　まさか、ありえませんよ」]
238: 3576| [47] [夏彦]
239: 3579| [45] [「ぼくはずっとＮエリアで、気を失っていたんですよ？」]
240: 3587| [47] [渡瀬]
241: 3590| [45] [「……まぁ、確かにそうだが……」]
242: 3616| [47] [夏彦]
243: 3619| [45] [「だいたいそんな事する理由がありません」]
244: 3627| [47] [夏彦]
245: 3630| [45] [「あなたの幻聴の原因については、ぼくにもわかりませんが……少なくとも、ぼくとは関係ないでしょうね」]
246: 3638| [47] [渡瀬]
247: 3641| [45] [「そうか……」]
248: 3646| [45] [内心では納得いかなかったが、止むを得ず引き下がった。]
249: 3651| [45] [これ以上食い下がれば、本気で変人扱いされかねない。]
250: 3659| [47] [渡瀬]
251: 3662| [45] [「……下らない事を言って申し訳ない。話を変えよう」]
252: 3689| [47] [ユウリ]
253: 3692| [45] [「そ、そうですね。その方がいいと思います」]
254: 3700| [47] [渡瀬]
255: 3703| [45] [「まずは今後、どうすべきかという話だが――」]
256: 3708| [45] [そう言いかけた途端、夏彦が遮るように言った。]
257: 3740| [47] [夏彦]
258: 3743| [45] [「サリュをここに連れてきて貰えますか？」]
259: 3751| [47] [夏彦]
260: 3754| [45] [「彼女は橘さんに階段から落とされた後、今も気絶したままの可能性があります」]
261: 3762| [47] [渡瀬]
262: 3765| [45] [「サリュを？　いや、もちろん構わないが……」]
263: 3773| [47] [渡瀬]
264: 3776| [45] [「……あの子は、その……オレを物凄く敵視しているんだ」]
265: 3781| [45] [――その理由までは、夏彦には言えない。]
266: 3786| [45] [彼女から最後に聞いた言葉は、信じたくないものだった。]
267: 3794| [47] [渡瀬]
268: 3797| [45] [「だからオレが彼女のところに行っても、また暴れられるだけかもしれないぞ？」]
269: 3823| [47] [夏彦]
270: 3826| [45] [「でも今は気絶している可能性が高いですし、ぼくのところまで連れてきてくれればもう大丈夫です」]
271: 3852| [47] [夏彦]
272: 3855| [45] [「彼女はぼくの友達です。ぼくが言えばきっと、暴れたりはしません」]
273: 3863| [47] [渡瀬]
274: 3866| [45] [「……そうなのか」]
275: 3871| [45] [渡瀬は正直気が進まなかったが、サリュをこのまま放置するのも気がひけた。]
276: 3897| [47] [ユウリ]
277: 3900| [45] [「あの、隊長さん……わたしからもお願いします」]
278: 3926| [47] [ユウリ]
279: 3929| [45] [「サリュちゃんを、どうかここまで無事に……」]
280: 3937| [47] [渡瀬]
281: 3940| [45] [「……わかったよ。任せてくれ」]
282: 3962| [45] [渡瀬は空元気を振り絞り、そしてシェルターを出て行った。]
