  0:  111| [55] [√After Chapter 4]
104: 1887| [45] [But Yuuri shook her head.]
105: 1913| [47] [Yuuri]
106: 1916| [45] ["If you don't know, then I don't know either..."]
107: 1924| [47] [Yuuri]
108: 1927| [45] ["I don't know what to believe anymore...!"]
109: 1943| [47] [Watase]
110: 1946| [45] ["..."]
111: 1951| [45] [Yuuri quietly walked over to him.]
112: 1959| [47] [Yuuri]
113: 1962| [45] ["So Captain Kasasagi... please..."]
114: 1970| [47] [Yuuri]
115: 1973| [45] ["Please let me know your mind...!"]
116: 1978| [45] [Yuuri said that and turned her palm towards Watase--]
117: 1983| [45] [--only for a bizarre scene to play back through his head.]
118: 2100| [47] [Watase]
119: 2103| [45] ["--Wha!?"]
120: 2108| [45] [It was a memory he had no recollection of.]
121: 2113| [45] [Something was grabbing his wrist.]
122: 2121| [47] [???]
123: 2124| [45] ["... Ha."]
124: 2129| [45] [It then laughed ominously.]
125: 2134| [45] [The man spotted a broken wristwatch out of the corner of his eye.]
126: 2139| [45] [And a second later,]
127: 2147| [47] [Watase]
128: 2150| [45] ["!!"]
129: 2224| [45] [he was assaulted by an intense pain akin to his brain being crushed--!]
130: 2294| [47] [Watase]
131: 2297| [45] ["Aah, aah..."]
132: 2302| [45] [Something else was also welling up inside Watase-- it was unmistakably "fear".]
133: 2307| [45] [And Watase felt that very same emotion towards the girl standing right before him.]
134: 2364| [47] [Watase]
135: 2367| [45] ["U-UWAAAAAAAAAAAH!"]
136: 2372| [45] [Watase immediately ran out of the elevator hall.]
137: 2433| [45] [Once he shut the door, he suddenly came to his senses.]
138: 2438| [47] [Watase]
139: 2439| [45] [(Sh-shit...! What the hell am I doing!?)]
140: 2444| [47] [Watase]
141: 2445| [45] [(Why do I need to run from Yuuri!?)]
142: 2450| [47] [Watase]
143: 2451| [45] [(She's Yuuri-- she's not that "monster"!)]
144: 2456| [45] [Just as he thought that,]
145: 2533| [47] [Watase]
146: 2536| [45] ["Ghh!"]
147: 2541| [45] [a sharp pain shot through his head.]
148: 2549| [47] [Watase]
149: 2552| [45] ["Ghh, agh..."]
150: 2560| [47] [Watase]
151: 2563| [45] ["GAAAAAAAAAAGH!"]
152: 2568| [45] [Watase held his head and screamed.]
153: 2573| [45] [The scream echoed in his skull, jumbling his thoughts into disorder.]
154: 2578| [47] [Watase]
155: 2579| [45] [(What the hell is this...!? I've never)]
156: 2584| [45] [felt anything like this]
157: 2589| [47] [Watase]
158: 2590| [45] [(until now! Is this)]
159: 2595| [45] [radiation damage!?]
160: 2606| [47] [Watase]
161: 2607| [45] [(Is it because I've been to contaminated zones several times!?)]
162: 2613| [45] [He had a horrible headache- like something was piercing through his head and scrambling his brain. The pain spread to his whole body, and his stomach felt like it was being stretched out.]
163: 2667| [47] [Watase]
164: 2670| [45] ["--Ghh, gaaagh!"]
165: 2675| [45] [Watase threw up. There was nothing in his stomach, so all that came up was stomach acid mixed with blood that splattered all over the hallway.]
166: 2680| [45] [His consciousness was fading away quickly.]
167: 2729| [45] [(My memori)es were shatt(ered bac)k then and my past self's]
168: 2734| [45] [memories-- my]
169: 2739| [45] [--]
170: 2744| [45] [...]
171: 2822| [47] [Watase]
172: 2825| [45] ["--AAAAAAAAAAAAAAAH!"]
173: 2875| [45] [Watase screamed again and forced his consciousness to stay where it was.]
174: 2880| [45] [His memories had been muddled by that intense headache. He looked down to find there was red vomit at his feet.]
175: 2885| [47] [Watase]
176: 2886| [45] [(What just happened to me!? What was I doing!?)]
177: 2891| [45] [He shuffled through his memories and quickly remembered that he'd been searching for Yuuri.]
178: 2896| [47] [Watase]
179: 2897| [45] [(Dammit...! If I suffered this much damage from the radiation... then Yuuri's in danger!)]
180: 2902| [45] [That frail girl could never survive in such a dangerous place.]
181: 2907| [45] [The only thing Watase felt was concern for her.]
182: 2912| [45] [It felt like he'd just been feeling some other sort of emotion for her--%Nbut whatever it was had completely vanished.]
183: 2917| [45] [Watase spat out the disgusting taste filling his mouth.]
184: 2965| [45] [He then ran back over to the elevator hall.]
185: 3017| [47] [Watase]
186: 3020| [45] ["!?"]
187: 3079| [45] [But Yuuri was no longer there.]
188: 3084| [45] [There was nowhere to run from the elevator hall, so where had she gone?]
189: 3099| [47] [Watase]
190: 3102| [45] ["--Did she climb the ladder up to B1!?"]
191: 3107| [45] [Watase opened the elevator doors with that thought.]
192: 3161| [45] [The elevator car was still up on the surface floors, just as it'd been earlier.]
193: 3166| [45] [Watase climbed up the ladder through the darkness.]
194: 3257| [45] [But when he got to B1, Yuuri was still nowhere to be found.]
195: 3311| [45] [Watase ran around the block.]
196: 3355| [45] [--However, even after looking through all the rooms, there was still no hide nor hair of Yuuri to be found.]
197: 3360| [47] [Watase]
198: 3361| [45] [(Why... where did she go!?)]
199: 3373| [45] [However, wondering why she was gone wouldn't do any good. He had to keep searching.]
200: 3427| [45] [But then the feeling that something didn't add up hit him at that moment.]
201: 3432| [47] [Watase]
202: 3433| [45] [(Yuuri was so scared about going down the elevator shaft that I had to carry her...)]
203: 3438| [47] [Watase]
204: 3439| [45] [(... yet she was totally okay with climbing up? And she got up there faster than I could catch her...?)]
205: 3456| [45] [But he didn't have time to question the seemingly impossible. He had to keep searching.]
206: 3464| [47] [Watase]
207: 3467| [45] ["Yuuri! Where are you!? Yuuri!"]
208: 3472| [45] [He ran towards the outer ring as he shouted that.]
209: 3551| [45] [Once he approached the connecting passageway, he saw Kazami and Jun.]
210: 3559| [47] [Watase]
211: 3562| [45] ["Tachibana! Moribe!"]
212: 3639| [47] [Kazami]
213: 3642| [45] ["Captain!?"]
214: 3647| [45] [The two of them rushed over to him as soon as they heard his calls.]
215: 3655| [47] [Jun]
216: 3658| [45] ["Did you find Yuuri!?"]
217: 3666| [47] [Watase]
218: 3669| [45] ["I spotted her in the inner ring just a few minutes ago, but I lost sight of her...!"]
219: 3695| [47] [Kazami]
220: 3698| [45] ["We've had no success either. We secured the perimeter around the Area 4 gate so she couldn't go through there, but..."]
221: 3724| [47] [Jun]
222: 3727| [45] ["She's not here...!?"]
223: 3732| [45] [The three of them all exchanged glances.]
224: 3740| [47] [Watase]
225: 3743| [45] ["She vanished...? But why?"]
226: 3769| [47] [Kazami]
227: 3772| [45] ["Are you positive that you didn't just miss her?"]
228: 3798| [47] [Jun]
229: 3801| [45] ["This whole thing's weird... and how the heck did Yuuri get into Area 5 to begin with?"]
230: 3809| [47] [Watase]
231: 3812| [45] ["Yeah, that's bugging me too."]
232: 3817| [45] [--It went without saying, but you needed a Level 5 or higher card to open the security gate to Area 5.]
233: 3822| [45] [But all the cards they'd acquired so far were in the possession of Watase, Kazami, and Jun.]
234: 3827| [45] [No one else should have had a card--]
235: 3853| [47] [Jun]
236: 3856| [45] ["Was Yuuri hiding a card on her...?"]
237: 3864| [47] [Watase]
238: 3867| [45] ["That's the only possibility I can think of..."]
239: 3875| [47] [Watase]
240: 3878| [45] ["But why would Yuuri hide something like that?"]
241: 3883| [45] [Yuuri's motives had suddenly become incomprehensible to them.]
242: 3888| [45] [Yet another silence descended upon them.]
243: 3893| [45] [Eventually, Kazami broke that silence with a sigh.]
244: 3919| [47] [Kazami]
245: 3922| [45] ["... We won't get an answer by standing around here and speculating. Let's head for the neuroscience laboratory for now."]
246: 3930| [47] [Kazami]
247: 3933| [45] ["It's almost time to rendezvous with the others."]
248: 3941| [47] [Watase]
249: 3944| [45] ["Wait, already?"]
250: 3949| [45] [Watase checked his watch.]
251: 3960| [45] [It was 12:35 PM. It was indeed almost time for them to meet up.]
252: 3965| [47] [Watase]
253: 3966| [45] [(Have I really been searching for that long...?)]
254: 3971| [45] [Watase followed Kazami and Jun as a vague sense of dissatisfaction coiled around him.]
255: 4074| [45] [He then called out to Kazami as they walked.]
256: 4082| [47] [Watase]
257: 4085| [45] ["Tachibana, the inner ring is contaminated... I'm worried about Yuuri's health."]
258: 4149| [47] [Kazami]
259: 4152| [45] ["Huh...?"]
260: 4160| [47] [Watase]
261: 4163| [45] ["I told her that it was a contaminated zone... but she still ran off."]
262: 4189| [47] [Kazami]
263: 4192| [45] ["Impossible! Why?"]
264: 4200| [47] [Watase]
265: 4203| [45] ["... I've got no clue either. I mean, I know she ran off that one time a few hours back, but..."]
266: 4226| [47] [Kazami]
267: 4227| [45] ["..."]
268: 4232| [45] [Kazami hung her head when Watase said that.]
269: 4240| [47] [Watase]
270: 4243| [45] ["The AD will only last about another hour. She'll be in big trouble if we don't find her before then."]
271: 4251| [47] [Kazami]
272: 4254| [45] ["... Yes..."]
273: 4262| [47] [Watase]
274: 4265| [45] ["Though that said, if Yuuri was hiding a card from us, we can't fully deny the possibility she was hiding some AD on her as well."]
275: 4270| [47] [Kazami]
276: 4271| [45] ["..."]
277: 4279| [47] [Watase]
278: 4282| [45] ["... Tachibana?"]
279: 4287| [47] [Kazami]
280: 4288| [45] ["..."]
281: 4293| [45] [Kazami was dead silent. Perhaps she hadn't heard Watase.]
282: 4298| [45] [It was then that her lips faintly moved, releasing a small whisper.]
283: 4356| [47] [Kazami]
284: 4359| [45] ["Please be safe...!"]
285: 4379| [45] [Kazami picked up the pace once she said that.]
286: 4387| [47] [Watase]
287: 4390| [45] ["H-hey?"]
288: 4395| [45] [She didn't turn around even from that.]
289: 4422| [45] [Watase turned back towards Jun. Though only faintly, he could sense something was off.]
290: 4430| [47] [Watase]
291: 4433| [45] ["H-hey, Moribe...?"]
292: 4465| [47] [Jun]
293: 4468| [45] ["Hmm?"]
294: 4476| [47] [Watase]
295: 4479| [45] ["Don't you think Tachibana's been acting a little weird... for a while now?"]
296: 4487| [47] [Watase]
297: 4490| [45] ["I remember her acting like this back when she found the girl's body at the cargo lift.%NI think she said 'Nagisa' or something like that..."]
298: 4495| [45] [Jun's face froze over.]
299: 4521| [47] [Jun]
300: 4524| [45] ["... Did she say Nagisa's name again?"]
301: 4532| [47] [Watase]
302: 4535| [45] ["No... but she feels just like she did back then."]
303: 4543| [47] [Watase]
304: 4546| [45] ["What's this 'Nagisa'? Why's someone who's always as cool-headed as Tachibana acting that way...?"]
305: 4551| [45] [Jun breathed a deep sigh at Watase's question--]
306: 4577| [47] [Jun]
307: 4580| [45] ["I don't really like talking about this... but it's probably better that you know, so I'll tell you."]
308: 4585| [45] [She then began quietly talking.]
309: 4611| [47] [Jun]
310: 4614| [45] ["Nagisa was the name of the Lieutenant's little sister."]
311: 4622| [47] [Watase]
312: 4625| [45] ["She has a sister...?"]
313: 4633| [47] [Jun]
314: 4636| [45] ["Yes. Her beloved sister who passed away almost ten years ago."]
315: 4644| [47] [Watase]
316: 4647| [45] ["..."]
317: 4652| [45] [Watase gasped at that answer.]
318: 4660| [47] [Watase]
319: 4663| [45] ["What happened to her...?"]
320: 4671| [47] [Jun]
321: 4674| [45] ["A gas explosion happened when the Lieutenant was away from home..."]
322: 4679| [47] [Watase]
323: 4680| [45] ["..."]
324: 4688| [47] [Jun]
325: 4691| [45] ["If Nagisa had lived, she'd be about as old as Yuuri or the girl who died by the lift."]
326: 4717| [47] [Jun]
327: 4720| [45] ["So there you have it: that's the one chink in the armor of the ever calm and flawless Lieutenant."]
328: 4728| [47] [Jun]
329: 4731| [45] ["Whenever she sees a girl around that age in danger or hurt, she just can't keep her cool."]
330: 4739| [47] [Watase]
331: 4742| [45] ["So that's why she acted that way before...?"]
332: 4768| [47] [Jun]
333: 4771| [45] ["Yeah... I'm sure that she still blames herself for not being home that day."]
334: 4779| [47] [Jun]
335: 4782| [45] ["... Even though it's not her fault..."]
336: 4859| [45] [Watase looked at Kazami in surprise. She was walking slightly ahead of them.]
337: 4864| [45] [It felt like she was being weighed down by the heavy weight of her past on that back of hers.]
338: 4890| [47] [Kazami]
339: 4893| [45] ["...?"]
340: 4901| [47] [Kazami]
341: 4904| [45] ["What're you two doing? Hurry up."]
342: 4909| [45] [Kazami's face was already back to the way it normally was--%Nso Watase and Jun answered the way they always did.]
343: 4917| [47] [Watase]
344: 4920| [45] ["Yeah, sorry."]
345: 4989| [47] [Jun]
346: 4992| [45] ["Roger that. Let's hurry, Captain."]
347: 4997| [45] [They then followed Kazami.]
348: 5002| [45] [All while wanting to share even the smallest bit of the bitter past that tormented their comrade.]
