  0:   60| [45] [それから悠里の生活は、一変した。]
 68:  807| [45] [「でね、Ｍ粒子は通常、人間の脳内から出る事はないんだけど――」]
 69:  903| [47] [美夜子]
 70:  906| [45] [「コミュニケーターがＢＣを発動すると、脳内のＭ粒子のエネルギーが上昇」]
 71:  953| [47] [美夜子]
 72:  956| [45] [「周囲のＷ粒子にも作用を及ぼし、Ｍ粒子に変異させていき――」]
 73: 1003| [47] [美夜子]
 74: 1006| [45] [「対象者の元まで届く。これがＢＣ能力発動の、正確な原理よ」]
 75: 1011| [45] [それは高校で習う内容よりも、より詳細な講義だったが――当然、悠里には理解できなかった。]
 76: 1047| [47] [悠里]
 77: 1050| [45] [「あ、あのはかせ……ごめんなさい」]
 78: 1058| [47] [悠里]
 79: 1061| [45] [「ＭとかＷとか、いろいろあってむずかしいですっ……！」]
 80: 1087| [47] [美夜子]
 81: 1090| [45] [「あらごめんなさい。ではもっと用語を簡略化して説明するわね」]
 82: 1116| [47] [美夜子]
 83: 1119| [45] [「とりあえず全部ひっくるめて『ＢＣ粒子』という言い方でも、基本的に問題はないから」]
 84: 1127| [47] [悠里]
 85: 1130| [45] [「あ、それならなんとかわかります……」]
 86: 1156| [47] [美夜子]
 87: 1159| [45] [「よかったわ。では次に、ＢＣ粒子と能力の関係の話をするわね」]
 88: 1185| [47] [美夜子]
 89: 1188| [45] [「例えばテレパシーの場合、ＢＣ粒子が悠里ちゃんの『心』を、私に伝える事によって成立するの」]
 90: 1196| [47] [美夜子]
 91: 1199| [45] [「エンパシーの場合はその逆。ＢＣ粒子が伝えた私の『心』を、悠里ちゃんが受け取る事によって成立するわ」]
 92: 1207| [47] [美夜子]
 93: 1210| [45] [「だけどセンシズシンパシーというのは、ＢＣ粒子を介し――」]
 94: 1218| [47] [美夜子]
 95: 1221| [45] [「他者の『思考情報』を全て、かつ継続的に、観測し続ける能力なの」]
 96: 1229| [47] [美夜子]
 97: 1232| [45] [「対象者が目で見たもの、耳で聞いた音。心で考えた事。五感の全ての情報を、能力者は知り続ける」]
 98: 1240| [47] [悠里]
 99: 1243| [45] [「えっと……ひとのこころのうごきを、まるごとぜんぶ、ずっとずっとしっちゃえるってことですか？」]
100: 1269| [47] [美夜子]
101: 1272| [45] [「正解よ。つまりあなたの頭脳を、ＢＣ粒子を媒介にして、他者の頭脳と完全に連結するって事ね」]
102: 1298| [47] [美夜子]
103: 1301| [45] [「言わばＰＣとＰＣを、ＬＡＮの回線で繋ぐかのように」]
104: 1309| [47] [美夜子]
105: 1312| [45] [「そのとき悠里ちゃん自身の感覚は消失し、代わりに他者の五感を通じて、世界を認識するのよ」]
106: 1320| [47] [悠里]
107: 1323| [45] [「うーん……『おばけになって、だれかにのりうつる』みたいなかんじなのかなぁ……」]
108: 1349| [47] [美夜子]
109: 1352| [45] [「私は幽霊など信じないけど、恐らくそうした感覚に近いでしょうね」]
110: 1378| [47] [美夜子]
111: 1381| [45] [「まずはそれができるまで、頑張ってみましょう。私がずっとつきっきりになるから」]
112: 1407| [47] [美夜子]
113: 1410| [45] [「では始めるわ。『感覚同調試行実験』第１回、フェーズ１、アクト」]
114: 1469| [45] [――博士に言われるままに、悠里はその実験に取り組んだ。]
115: 1474| [45] [次の日も、次の次の日も、次の次の次の日も……。]
116: 1558| [47] [美夜子]
117: 1561| [45] [「――それでは悠里ちゃん、再度やってみましょう」]
118: 1587| [47] [美夜子]
119: 1590| [45] [「『感覚同調試行実験』第１０２６回、フェーズ１、アクト」]
120: 1598| [47] [悠里]
121: 1601| [45] [「はいっ！　いきます！」]
122: 1653| [45] [悠里は精神を集中する。]
123: 1658| [45] [目の前の博士と、心を通じさせようと。]
124: 1663| [45] [すると、その時――]
125: 1860| [47] [悠里]
126: 1861| [45] [（！！）]
127: 1884| [45] [視界が揺れ、目の前の情景が一瞬切り替わった。]
128: 1889| [45] [――悠里は博士の視界を通じ、自分の姿を見たのだ！]
129: 2002| [47] [悠里]
130: 2005| [45] [「は……はかせ！　できました！」]
131: 2031| [47] [美夜子]
132: 2034| [45] [「え？」]
133: 2042| [47] [悠里]
134: 2045| [45] [「いま、わたしのかおがみえました。これってせいこうしたってことですよね？」]
135: 2106| [47] [美夜子]
136: 2109| [45] [「……！」]
137: 2114| [45] [博士が目を見開く。]
138: 2119| [45] [その表情がすぐに、笑顔に変わった。]
139: 2145| [47] [美夜子]
140: 2148| [45] [「す、すごいわ悠里ちゃん！　たった１ヶ月でここまで辿り着くなんて！」]
141: 2156| [47] [悠里]
142: 2159| [45] [「こ、これでいいんでしょうか？」]
143: 2167| [47] [美夜子]
144: 2170| [45] [「最高よ！　あなたは天才だわ！」]
145: 2195| [45] [博士が悠里を抱きしめる。]
146: 2200| [45] [その温かな腕に包まれながら、悠里も安堵の笑みを浮かべた。]
147: 2250| [45] [――博士は訓練中もそれ以外の時間も、いつも悠里に優しく、多くの時間を悠里のために割いてくれた。]
148: 2255| [45] [その甲斐あってか、悠里も徐々に、新しい生活に順応できた。]
149: 2260| [45] [そして実験は、さらに続く。]
150: 2329| [47] [美夜子]
151: 2332| [45] [「――昨日悠里ちゃんが身につけた『センシズシンパシー』は、ＢＣの本来の形なのよ」]
152: 2340| [47] [美夜子]
153: 2343| [45] [「実はテレパシーとエンパシーは、その能力の未熟な形に過ぎない……」]
154: 2351| [47] [美夜子]
155: 2354| [45] [「ＢＣ粒子を媒介に、対象者の頭脳を、完全に能力者の監視下に置く」]
156: 2362| [47] [美夜子]
157: 2365| [45] [「これがどういう原理で起こるのか、説明するわね」]
158: 2381| [45] [博士がそう言って、ＰＣを操作する。]
159: 2392| [45] [するとモニターには例によって、ＢＣの原理を説明する図が表示された。]
160: 2444| [47] [美夜子]
161: 2447| [45] [「脳で行うあらゆる精神活動の情報は、脳内のＢＣ粒子と、常に相互作用を及ぼしているわ」]
162: 2494| [47] [美夜子]
163: 2497| [45] [「五感で知覚した情報、頭で考えた思考、それは全て脳内のＢＣ粒子にコピーされる」]
164: 2633| [47] [美夜子]
165: 2636| [45] [「逆にＢＣ粒子が持つ情報は、常に脳に影響を及ぼす。それが『脳』と『脳内のＢＣ粒子』の関係」]
166: 2683| [47] [美夜子]
167: 2686| [45] [「それで、センシズシンパシーの能力使用者は――」]
168: 2733| [47] [美夜子]
169: 2736| [45] [「対象者の脳内のＢＣ粒子の情報を、全て知覚する事ができる」]
170: 2744| [47] [悠里]
171: 2747| [45] [「ぱわーあっぷしたエンパシーですね？」]
172: 2755| [47] [美夜子]
173: 2758| [45] [「概ね正解よ」]
174: 2766| [47] [美夜子]
175: 2769| [45] [「普通エンパシーは、対象者が心を開いていないと使えないけど、その問題もクリアできる」]
176: 2816| [47] [美夜子]
177: 2819| [45] [「エンパシー使用時のノイズは、脳にあらかじめ備えられた、自己防衛機能によるものだと考えられてるのだけど――」]
178: 2866| [47] [美夜子]
179: 2869| [45] [「感覚を完全に同調させる事によって、その防衛機能も働かなくなるらしいのね」]
180: 2877| [47] [悠里]
181: 2880| [45] [「つまりだれの心でも、じゆうによめちゃうってことですね」]
182: 2888| [47] [美夜子]
183: 2891| [45] [「そう。ただエンパシーと違うのは、それだけじゃない」]
184: 2899| [47] [美夜子]
185: 2902| [45] [「決定的に違うのは、『対象者が現在知覚している情報』だけではなく……」]
186: 2949| [47] [美夜子]
187: 2952| [45] [「『過去の記憶』まで遡って、知る事ができるっていう事」]
188: 2960| [47] [悠里]
189: 2963| [45] [「えっ、きおくも？」]
190: 2971| [47] [美夜子]
191: 2974| [45] [「そう。記憶も当然、脳内に存在する情報の一種ですもの」]
192: 3021| [47] [美夜子]
193: 3024| [45] [「能力者は、『対象者の過去を知りたい』と思うだけで、その記憶を全て見る事ができるのよ」]
194: 3032| [47] [美夜子]
195: 3035| [45] [「そして、さらには――」]
196: 3082| [47] [美夜子]
197: 3085| [45] [「自分の脳内の情報を、相手に伝える事もできる」]
198: 3093| [47] [美夜子]
199: 3096| [45] [「能力者が発した強力な情報エネルギーは、対象者の脳内のＢＣ粒子にまで伝わり――」]
200: 3143| [47] [美夜子]
201: 3146| [45] [「そのＢＣ粒子が、対象者の脳に作用を及ぼし、まやかしの知覚情報を生み出すの」]
202: 3154| [47] [美夜子]
203: 3157| [45] [「しかも聴覚情報だけではなく、視覚・嗅覚・味覚・触覚など、五感の全てを錯覚させる事もできる」]
204: 3165| [47] [悠里]
205: 3168| [45] [「こっちは、ぱわーあっぷしたテレパシー……？」]
206: 3176| [47] [美夜子]
207: 3179| [45] [「正解。幻聴を聞かせるだけではなく、その気になれば幻視なども見せる事が可能なのよ」]
208: 3187| [47] [美夜子]
209: 3190| [45] [「むろん、『現在の知覚情報』を錯覚させるだけじゃない」]
210: 3286| [47] [美夜子]
211: 3289| [45] [「『過去の記憶』の中にも、錯覚を生み出す事が可能なのよ」]
212: 3297| [47] [美夜子]
213: 3300| [45] [「これがセンシズシンパシーという能力の全てよ。理解できたかしら？」]
214: 3336| [47] [悠里]
215: 3339| [45] [「なるほど～、すごいのうりょくだってことはわかりました」]
216: 3347| [47] [美夜子]
217: 3350| [45] [「そう……凄まじい能力なのよ」]
218: 3376| [47] [美夜子]
219: 3379| [45] [「悠里ちゃん。この２つの能力を組み合わせると、とんでもない事ができる事に気付かない？」]
220: 3387| [47] [悠里]
221: 3390| [45] [「え？」]
222: 3398| [47] [美夜子]
223: 3401| [45] [「対象者の記憶を覗き見る事ができて、さらにその中に錯覚を起こせるという事は――」]
224: 3427| [47] [美夜子]
225: 3430| [45] [「『人の記憶を操作できる』って事よ」]
226: 3453| [47] [悠里]
227: 3456| [45] [「あっ……！」]
228: 3482| [47] [美夜子]
229: 3485| [45] [「本来の記憶を、別の記憶に差し替えたり。さらには記憶を消去したり」]
230: 3493| [47] [悠里]
231: 3496| [45] [「そ、そんなことができるんですか？　わたしにも？」]
232: 3504| [47] [美夜子]
233: 3507| [45] [「えぇ。全てのＢＣ能力を身につけた者だけができる、最高難度の技術よ」]
234: 3533| [47] [美夜子]
235: 3536| [45] [「私たちが知る限り、それに成功したコミュニケーターは、世界に２人しかいない」]
236: 3544| [47] [美夜子]
237: 3547| [45] [「だけどその能力は、確かに存在するの」]
238: 3552| [47] [悠里]
239: 3553| [45] [「……」]
240: 3580| [47] [美夜子]
241: 3583| [45] [「ＢＣとは、情報を操る能力。そして人の頭脳の中には、『情報』が詰まっている」]
242: 3591| [47] [美夜子]
243: 3594| [45] [「センシズシンパシーを完全にものにしたなら、人の脳内で起こるあらゆる作用を操作できるようになる」]
244: 3602| [47] [美夜子]
245: 3605| [45] [「情報を支配する、マクスウェルの悪魔のようにね」]
246: 3610| [45] [博士は悠里を見据えて言う。]
247: 3636| [47] [美夜子]
248: 3639| [45] [「悠里ちゃん、あなたは人を超えた存在になるのよ……！」]
249: 3647| [47] [悠里]
250: 3650| [45] [「ひとをこえたそんざい……」]
251: 3698| [45] [そんなものになりたいとは思わなかったが、博士が喜んでくれるのなら、頑張ってみようと思った。]
252: 3764| [45] [――そしていよいよ、マウスを使った『記憶操作』の臨床実験が始まった。]
253: 3772| [47] [美夜子]
254: 3775| [45] [「悠里ちゃん。マウスの脳は人の脳より、単純な仕組みになっているわ」]
255: 3783| [47] [美夜子]
256: 3786| [45] [「記憶している情報の数も、ずっと少ない」]
257: 3794| [47] [美夜子]
258: 3797| [45] [「その過去の情報に対し、『消えろ』と強く強く強く念じれば――」]
259: 3805| [47] [美夜子]
260: 3808| [45] [「マウスの記憶は消えてくれるはずよ」]
261: 3841| [45] [博士はそう言って、部屋の隅を指差した。]
262: 3846| [45] [そこにはマウスの入った小さな籠がある。そしてその中には、小さな迷路があった。]
263: 3872| [47] [美夜子]
264: 3875| [45] [「そのマウスはね、何度も迷路を通過させる事で、正しい順路を覚えた学習マウスよ」]
265: 3883| [47] [美夜子]
266: 3886| [45] [「今日はマウスの記憶消去をしてみましょう」]
267: 3894| [47] [悠里]
268: 3897| [45] [「えっ？　ねずみさん、せっかくおぼえたのに……」]
269: 3923| [47] [美夜子]
270: 3926| [45] [「……かわいそうだけど、このマウスは賢いから、すぐまた覚えられるわよ」]
271: 3934| [47] [悠里]
272: 3937| [45] [「う、うーん……わかりました、やります」]
273: 3942| [45] [悠里は籠に歩みより、そしてマウスにセンシズシンパシーを試みた。]
274: 4093| [45] [単純で抽象化されたマウスの思考が、悠里の脳内に流れ込んでくる。]
275: 4098| [45] [その記憶の中から、『迷路の道順』を検索する。]
276: 4103| [45] [自分で自分の記憶を思い出す時と、同じ要領で。]
277: 4108| [47] [悠里]
278: 4109| [45] [（えーと、めいろのみちじゅんはどうだっけ……）]
279: 4114| [45] [すると悠里の目の前に、迷路内を走るマウスの記憶が浮かび上がった。]
280: 4119| [47] [悠里]
281: 4120| [45] [（これを消せばいいんだよね）]
282: 4291| [45] [悠里はその記憶に対し、『消えるように』強く念じた。]
283: 4317| [45] [――するとその瞬間、激痛の感覚が走った。]
284: 4322| [47] [悠里]
285: 4323| [45] [（！！）]
286: 4444| [45] [悠里は驚いて、現実に戻った。]
287: 4449| [45] [マウスは籠の中でぐったりしている。]
288: 4457| [47] [悠里]
289: 4460| [45] [「は、はかせ！　ねずみさんが！」]
290: 4486| [47] [美夜子]
291: 4489| [45] [「心配ないわ。気絶しているだけよ」]
292: 4497| [47] [悠里]
293: 4500| [45] [「で、でもどうして……」]
294: 4526| [47] [美夜子]
295: 4529| [45] [「マウスの脳内に元々あった『記憶』というのは、強力な情報エネルギーの塊なの」]
296: 4537| [47] [美夜子]
297: 4540| [45] [「それは現在知覚している五感の情報などとは、わけが違う」]
298: 4548| [47] [美夜子]
299: 4551| [45] [「一瞬で消えていく事なく、脳内に留まり続けているものだから」]
300: 4559| [47] [美夜子]
301: 4562| [45] [「記憶消去を行う際は、その記憶に対し、さらに強力な『消えろ』という情報エネルギーをぶつけているわけ」]
302: 4588| [47] [美夜子]
303: 4591| [45] [「すると脳内では、激烈な作用が起こる」]
304: 4617| [47] [美夜子]
305: 4620| [45] [「普通は絶対に起こりえないような、『一瞬で記憶が消える』という現象を、強制的に起こすのだから当然よね」]
306: 4628| [47] [美夜子]
307: 4631| [45] [「故に記憶消去を行う際は、脳へのダメージが伴うのよ」]
308: 4639| [47] [悠里]
309: 4642| [45] [「そんな……」]
310: 4647| [45] [悠里は罪悪感を感じながら、マウスを見つめた。]
311: 4673| [47] [美夜子]
312: 4676| [45] [「……自分の力が、恐ろしい？」]
313: 4684| [47] [悠里]
314: 4687| [45] [「……はい」]
315: 4713| [47] [美夜子]
316: 4716| [45] [「脳内の情報を操作できるという事は、こんな事もできてしまうという事よ」]
317: 4724| [47] [美夜子]
318: 4727| [45] [「適性度Ｓのコミュニケーターが恐れられる理由、少しだけわかってもらえたかしら……」]
319: 4732| [47] [悠里]
320: 4733| [45] [「……」]
321: 4757| [45] [俯いたままの悠里の肩を、博士が抱いて言う。]
322: 4783| [47] [美夜子]
323: 4786| [45] [「……今日の実験はここまでにしましょう」]
324: 4791| [45] [悠里は胸の痛みと、怯えを感じつつ、そっとうなずいた。]
