  0:   53| [45] [――穏やかな時も、やがては終わる。]
 49:  812| [47] [風見]
 50:  815| [45] [「……そう」]
 51:  823| [47] [渡瀬]
 52:  826| [45] [「起こして悪かったな。もう１度寝なおそう」]
 53:  831| [45] [渡瀬は風見に軽く口づけし、そしてまた横になった。]
 54:  836| [45] [だが風見は、半身を起こしたまま、渡瀬を見つめて言う。]
 55:  844| [47] [風見]
 56:  847| [45] [「ねぇ、渡瀬……？」]
 57:  855| [47] [渡瀬]
 58:  858| [45] [「ん？」]
 59:  866| [47] [風見]
 60:  869| [45] [「近頃、あなた、少し変よ」]
 61:  877| [47] [渡瀬]
 62:  880| [45] [「……何が？」]
 63:  888| [47] [風見]
 64:  891| [45] [「だってこの間もうなされていたし……それになんだか、塞ぎこみがちじゃない」]
 65:  899| [47] [風見]
 66:  902| [45] [「悩みがあるんなら、相談に乗るわ」]
 67:  910| [47] [渡瀬]
 68:  913| [45] [「なんでもないって。考えすぎだよ」]
 69:  918| [45] [そう言ってはぐらかす渡瀬に、風見は寂しげにため息をついた。]
 70:  926| [47] [風見]
 71:  929| [45] [「……そうやって、いつも無理ばかり……」]
 72:  937| [47] [渡瀬]
 73:  940| [45] [「……？」]
 74:  945| [45] [渡瀬が眉根を寄せると、彼女は静かな声で続けた。]
 75:  953| [47] [風見]
 76:  956| [45] [「……ねぇ渡瀬、あなたは強い人だわ」]
 77:  964| [47] [風見]
 78:  967| [45] [「優しくて高潔で、心から尊敬できる……私の英雄なの」]
 79:  975| [47] [風見]
 80:  978| [45] [「でもいくら強くても、傷つかない人なんかいない」]
 81:  986| [47] [風見]
 82:  989| [45] [「傷も弱さも隠し続けて、生きていける人なんていないはずよ」]
 83:  997| [47] [風見]
 84: 1000| [45] [「だから、せめて……私の前では少しくらい、弱さを見せたっていいじゃない？」]
 85: 1005| [45] [風見が渡瀬に微笑みかける。]
 86: 1010| [45] [その笑顔が痛ましくて――渡瀬は目を逸らした。]
 87: 1018| [47] [渡瀬]
 88: 1021| [45] [「……なぁ、風見……俺たち、つきあってどれくらい経つ？」]
 89: 1029| [47] [風見]
 90: 1032| [45] [「え……突然、なんの話？」]
 91: 1040| [47] [風見]
 92: 1043| [45] [「確かもう２年になるけど……」]
 93: 1051| [47] [渡瀬]
 94: 1054| [45] [「そうか……」]
 95: 1059| [45] [それは短くとも、彼の人生の中で、最も彩りに満ちた日々だった。]
 96: 1109| [45] [――渡瀬は風見を愛していた。]
 97: 1181| [45] [安らぐ事のなかった彼の人生に、彼女は暖かな風を吹き込んでくれた。]
 98: 1186| [45] [何も知らなければ、この生活を続けられたはずなのに――]
 99: 1209| [47] [渡瀬]
100: 1210| [45] [（だけど、俺はもう……お前と一緒にいる資格がないんだ）]
101: 1260| [45] [２ヶ月前、彼は知ってしまった。]
102: 1265| [45] [鹿鳴市同時多発火災の真相と、亘の命を奪った者たちの存在を。]
103: 1331| [45] [そしてそれに復讐するために――テロ組織に入ってしまったのだ。]
104: 1336| [45] [あのテロ計画が成功すれば、渡瀬は表向きは死んだ事になる。]
105: 1386| [45] [そして失敗すれば、罪人として裁かれる。]
106: 1391| [45] [いずれにせよ、風見と一緒にいる事は許されなくなるのだ……。]
107: 1434| [45] [渡瀬は風見の体を抱き寄せて言う。]
108: 1442| [47] [渡瀬]
109: 1445| [45] [「……風見、本当に気にしなくていい」]
110: 1453| [47] [渡瀬]
111: 1456| [45] [「悩みなんてなにもないよ」]
112: 1464| [47] [風見]
113: 1467| [45] [「……そう」]
114: 1472| [45] [風見はもう１度、ため息をついた。]
115: 1477| [45] [腕の中に彼女の温もりを感じながら、渡瀬は密かに思う。]
116: 1482| [47] [渡瀬]
117: 1483| [45] [（……別れよう）]
118: 1488| [47] [渡瀬]
119: 1489| [45] [（できるだけ、自然な形で……風見に不審に思われないように……）]
120: 1494| [45] [そして今夜を限りに、今までの生活を捨てよう。]
121: 1499| [45] [風見と共に過ごした日々も、全て記憶の奥に押しやり、そして忘れてしまおう。]
122: 1504| [47] [渡瀬]
123: 1505| [45] [（……風見、俺は知っちまったんだ）]
124: 1510| [47] [渡瀬]
125: 1511| [45] [（もう戻る事はできないんだよ）]
126: 1517| [45] [渡瀬の中で、冷たい意思が固まっていく。]
127: 1523| [45] [復讐を果たす、その日に向けて――。]
