  0:   64| [45] [――そして時は過ぎ、今から２年前のこと――]
150: 1529| [45] [しかるべき理由により解放した場合は、これを特別監視対象とする。]
151: 1533| [85] [　]
152: 1536| [45] [上記の特別監視対象への対応については、また別の基準を設けたい。]
153: 1540| [85] [　%N]
154: 1543| [45] [　　　　　　　　　　　　Ｚｅｒｏエリア担当管理員　江里口修也]
155: 1572| [47] [宇喜多]
156: 1573| [45] [（……！？　『被験体として、Ｚｅｒｏエリアに収監』だと！？）]
157: 1578| [47] [宇喜多]
158: 1579| [45] [（これは……どういう意味だ！？）]
159: 1584| [47] [宇喜多]
160: 1585| [45] [（Ｚｅｒｏエリアって、なんの事だ……！？）]
161: 1590| [45] [そこまで考えた時――不意に、Ｎエリアで見たものの事を思い出した。]
162: 1665| [47] [美夜子]
163: 1668| [45] [「ごめんなさい。あれについて知る事ができるのは『シニアフェロー』以上の人間だけなのよ」]
164: 1710| [47] [宇喜多]
165: 1711| [45] [（……もしあれが、地下に降りるためのエレベーターだったとしたら……！？）]
166: 1716| [45] [Ｎエリアの下に、一般研究員の知らないスペースがあったとしても、おかしくはない。]
167: 1765| [47] [宇喜多]
168: 1766| [45] [（じゃ、じゃあ、何か……？）]
169: 1771| [47] [宇喜多]
170: 1772| [45] [（能力を発現した『特別監視対象』は、Ｎエリアのさらに地下に収監されるっていう事か！？）]
171: 1777| [45] [特別監視対象ナ２号・即ち夏彦は、能力をいまだ発現していない。]
172: 1782| [45] [だから監視が始まった２０２１年から今日まで、普通に暮らしてきたのだろうが――]
173: 1787| [47] [宇喜多]
174: 1788| [45] [（……能力が発現したら、夏彦くんは幽閉されてしまうのか？）]
175: 1793| [47] [宇喜多]
176: 1794| [45] [（しかも『現状すでに幽閉されている被験体』と書かれているという事は……）]
177: 1799| [47] [宇喜多]
178: 1800| [45] [（いま現在も、Ｚｅｒｏエリアに幽閉されている被験体がいるっていう事か！？）]
179: 1807| [45] [宇喜多は震える指で、試しに『Ｚｅｒｏエリア』というキーワードを検索した。]
180: 1825| [45] [だが、ディスプレイに表示されたのは――]
181: 1830| [47] [宇喜多]
182: 1831| [45] [（秘匿事項レベル５……！）]
183: 1836| [45] [どうやら宇喜多のＩＤパスワードでは、アクセス出来ないという事らしい。]
184: 1841| [45] [だがそれは逆に、レベル５以上の権限を持つ者なら……]
185: 1895| [45] [天川博士たち『シニアフェロー』の人間ならば、アクセス可能な事を意味していた。]
186: 1910| [47] [宇喜多]
187: 1911| [45] [（Ｚｅｒｏエリアも、『被験体』とやらの存在も、ごく一部の研究員にしか知らされてないという事か……）]
188: 1916| [47] [宇喜多]
189: 1917| [45] [（しかし……僕ら一般の研究員に隠れて、シニアフェローたちは何をやっているんだ？）]
190: 1922| [47] [宇喜多]
191: 1923| [45] [（被験体って、何なんだ！？）]
192: 1928| [45] [そもそも『被験体』という単語は、実験用マウスなどに対して使用される言葉のはずだった。]
193: 1933| [45] [だがその言葉が、人間に対して使われているという事は――]
194: 1938| [47] [宇喜多]
195: 1939| [45] [（まさか……このラボが、人体実験を行っているとでも……！？）]
196: 1944| [47] [宇喜多]
197: 1945| [45] [（……い、いや！　僕は信じない！）]
198: 1950| [47] [宇喜多]
199: 1951| [45] [（このラボが、天川博士が、そんな事に加担しているはずがない！）]
200: 1999| [45] [だが宇喜多の中に芽生えた疑惑は、日増しに成長を続け――]
201: 2004| [45] [気付けば被験体について探るようになっていた、ある日のこと。]
202: 2058| [45] [電子化されなかった紙媒体の文書が保管されている場所で、宇喜多はある文書を見つけてしまった。]
203: 2066| [47] [宇喜多]
204: 2069| [45] [「こ、これは……！」]
205: 2074| [45] [宇喜多はその文書の内容に驚愕した。]
206: 2112| [45] [『当施設内で発生した火災の件について』　２０２１年７月１０日]
207: 2116| [85] [　]
208: 2119| [45] [３日前（２０２１年７月７日）、施設内で火災が発生した一件については、関係各位も既知の事と思われる。]
209: 2120| [45] [ ]
210: 2128| [85] [　]
211: 2131| [45] [寸前で最悪の事態は回避できたものの、]
212: 2134| [45] [この際に多くの警備システムの不備が露見した。]
213: 2137| [45] [本文書では、今回の件によって示唆された問題点についてまとめる。]
214: 2141| [85] [　%N]
215: 2144| [45] [火災の原因は、当施設の上級研究員Ｓの乱心的行動にある。]
216: 2147| [85] [　]
217: 2150| [45] [Ｓは、４月１２日付で、Ｚｅｒｏエリアの担当管理員となっていた。]
218: 2153| [45] [そのため、Ｚｅｒｏエリアに秘匿されている研究成果物と直接接触する機会が極めて多かった。]
219: 2160| [85] [　%N]
220: 2163| [45] [その約３ヶ月後、Ｓは凶行に出る。]
221: 2166| [85] [　]
222: 2169| [45] [Ｚｅｒｏエリアに保管されていた発電機用ガソリンを持ち出し、施設内６箇所に散布。]
223: 2175| [85] [　]
224: 2178| [45] [自動発火装置を用いてそれらに点火すると同時に、ＷＸ粒子増幅器を意図的に暴走。]
225: 2184| [85] [　]
226: 2187| [45] [さらにＺｅｒｏエリア・Ｎエリアのゲートを開放したのである。]
227: 2191| [85] [　%N]
228: 2194| [45] [放火等の動機は、火災に乗じ、ある研究成果物を持ち出す事にあったと思われる。]
229: 2200| [85] [　]
230: 2203| [45] [Ｓが死亡した今では推察の余地を出ないが、ほぼ間違いない。]
231: 2206| [85] [　]
232: 2209| [45] [（なお研究成果物の内容については詳細を伏せるが、]
233: 2212| [45] [上級研究員各位の間で『Ｎ』と呼称されるものである）]
234: 2238| [45] [――この文書を見ただけならば、さほど気にも留めなかっただろう。]
235: 2243| [45] [しかし宇喜多がそれまでに得た知識と組み合わせると、１つの疑惑が浮かび上がってくる。]
236: 2290| [47] [宇喜多]
237: 2291| [45] [（この上級研究員のＳという男……Ｚｅｒｏエリアの担当管理員だったという事だが――）]
238: 2296| [47] [宇喜多]
239: 2297| [45] [（もしや『被験体』を助け出そうとして、この行動を起こしたのか！？）]
240: 2302| [47] [宇喜多]
241: 2303| [45] [（『Ｎ』と呼称される研究成果物ってのは、被験体の隠語なんじゃないのか！？）]
242: 2308| [45] [それは推察に過ぎないが、的外れでもないように思えた。]
243: 2362| [45] [上級研究員ともあろう者が、乱心し、ラボに火を放つ――そんな事をする理由は、多くは思いつかない。]
244: 2367| [47] [宇喜多]
245: 2368| [45] [（……恐らくＳは火災に乗じて、被験体を外に連れ出そうとしたんだ）]
246: 2373| [47] [宇喜多]
247: 2374| [45] [（だが、その行動がラボに発覚して………）]
248: 2427| [47] [宇喜多]
249: 2428| [45] [（失敗し、殺された……！）]
250: 2433| [45] [天川博士の声が、耳に蘇る。]
251: 2502| [47] [美夜子]
252: 2505| [45] [「『好奇心は猫を殺す』。ジュニアフェローの人間は、この言葉を覚えておいた方がいいわ」]
253: 2594| [45] [尊敬する女性のその言葉が、今はひどく酷薄に思えた。]
254: 2620| [47] [宇喜多]
255: 2621| [45] [（やはり、このラボは……密かに人体実験を……！）]
256: 2626| [45] [そう確信した瞬間、宇喜多の体が震え出す。]
257: 2631| [45] [深淵を覗き込んでしまった恐怖に、彼は独りさいなまれていた。]
258: 2684| [45] [――それから３日後――]
259: 2689| [45] [宇喜多は１人の科学者として、天川博士に問いただす決心をした。]
260: 2758| [47] [美夜子]
261: 2761| [45] [「どうしたの宇喜多さん？　私をこんな所に呼び出して」]
262: 2769| [47] [宇喜多]
263: 2772| [45] [「申し訳ありません。博士にどうしても、お聞きしたい事がありまして」]
264: 2780| [47] [宇喜多]
265: 2783| [45] [「科学者なら誰もが、１度は考える事だと思いますが……」]
266: 2791| [47] [宇喜多]
267: 2794| [45] [「万人を幸せにする技術を開発するため、１人の人間の幸福を奪うというのは、許される事でしょうか？」]
268: 2855| [47] [美夜子]
269: 2858| [45] [「っ……」]
270: 2863| [45] [宇喜多の真剣さに気付いたのか、博士は神妙にその問いに答えた。]
271: 2889| [47] [美夜子]
272: 2892| [45] [「人道的には、許されないでしょうね。でも……」]
273: 2918| [47] [美夜子]
274: 2921| [45] [「たとえ許されない事でも、私たちはやらなければならないわ」]
275: 2929| [47] [宇喜多]
276: 2932| [45] [「え？」]
277: 2940| [47] [美夜子]
278: 2943| [45] [「私たちが向き合っているものは、人間が扱うにはあまりにもリスクの高い『力』なの」]
279: 2951| [47] [美夜子]
280: 2954| [45] [「もし人類が、ＢＣ使用の是非を選べるのなら、使うべきではないと思う」]
281: 2980| [47] [美夜子]
282: 2983| [45] [「だけど我々が望もうと望むまいと、コミュニケーターは新たに生まれ、増え続けていく」]
283: 3009| [47] [美夜子]
284: 3012| [45] [「ならば研究をやめるわけにはいかない。それほどまでに強力な力を、そのまま放置しておくわけにはいかないから」]
285: 3020| [47] [宇喜多]
286: 3023| [45] [「確かに仰る通り、ＢＣの研究を進めることについては、是非はないかもしれません」]
287: 3031| [47] [宇喜多]
288: 3034| [45] [「しかしその手段については、もっと深く考えるべきなのではありませんか？」]
289: 3042| [47] [宇喜多]
290: 3045| [45] [「科学者としての倫理、人間としての倫理。そういったものを忘れてしまった時、技術は暴走すると思います」]
291: 3053| [47] [宇喜多]
292: 3056| [45] [「この事について、博士はどう思われますか？」]
293: 3082| [47] [美夜子]
294: 3085| [45] [「えっ……？　ちょっと待って、これはなんの質問なの？」]
295: 3093| [47] [宇喜多]
296: 3096| [45] [「いいから答えてください。お願いします」]
297: 3157| [47] [美夜子]
298: 3160| [45] [「ッ……」]
299: 3186| [47] [美夜子]
300: 3189| [45] [「確かにそうかもしれないわね。でも……」]
301: 3215| [47] [美夜子]
302: 3218| [45] [「結局のところ私たちにできる事は、真理を追究する事と、目の前の問題を解決することだけよ」]
303: 3226| [47] [美夜子]
304: 3229| [45] [「その善悪は、私たちが決める事ではない。歴史が証明してくれるはず。科学はいつもそうして進歩を続けてきた」]
305: 3237| [47] [美夜子]
306: 3240| [45] [「そして私も、自分の目的を達成するためなら何だってする、そんな科学者の１人に過ぎないわ」]
307: 3245| [45] [その言葉を聞いた時、宇喜多の中にあった大切な何かが、音を立てて崩れた。]
308: 3253| [47] [宇喜多]
309: 3256| [45] [「それでは博士……もう１つだけ、聞かせて下さい」]
310: 3264| [47] [宇喜多]
311: 3267| [45] [「もし夏彦くんがＢＣ能力を発現させたら、あなたは彼をどうなさるおつもりなのですか？」]
312: 3328| [47] [美夜子]
313: 3331| [45] [「っ！？」]
314: 3339| [47] [美夜子]
315: 3342| [45] [「……宇喜多さん、あなたもしかして……？」]
316: 3347| [47] [宇喜多]
317: 3348| [45] [「………」]
318: 3353| [45] [その問いに、宇喜多は答えなかった。]
319: 3376| [45] [やがて彼女は、ため息をついて言う。]
320: 3405| [47] [美夜子]
321: 3408| [45] [「……宇喜多さん。今日であなたの、ナ２号の監視任務を解きます」]
322: 3416| [47] [美夜子]
323: 3419| [45] [「それと明日からは、別の研究チームに異動してもらいます」]
324: 3427| [47] [宇喜多]
325: 3430| [45] [「……天川博士、それがあなたの答えなのですか？」]
326: 3468| [45] [だが天川博士は何も答えず、宇喜多の前から姿を消した。]
327: 3578| [45] [その後、宇喜多はラボを出た。]
328: 3583| [45] [夜空には厚い雲がかかり、今にも降り出しそうな気配だった。]
329: 3591| [47] [宇喜多]
330: 3594| [45] [「……はは……」]
331: 3599| [45] [気付けばひとりでに、笑いが込み上げてくる。]
332: 3607| [47] [宇喜多]
333: 3610| [45] [「は、はは、ははは……」]
334: 3618| [47] [宇喜多]
335: 3621| [45] [「コミュニケーターを救いたいと思って、これまで必死に頑張ってきたのに……」]
336: 3629| [47] [宇喜多]
337: 3632| [45] [「せっかく僕も、他人のために何かがしたいと思えるようになったというのに」]
338: 3640| [47] [宇喜多]
339: 3643| [45] [「まさかラボが、そのコミュニケーターを実験材料にしていたなんて……」]
340: 3651| [47] [宇喜多]
341: 3654| [45] [「……はは、なんて悪い冗談なんだ……」]
342: 3659| [45] [乾いた笑いが止まらない。]
343: 3664| [45] [気付けば頬に、涙が一筋流れていた。]
344: 3669| [47] [宇喜多]
345: 3670| [45] [（……僕は割り切らなければいけないのか？）]
346: 3675| [47] [宇喜多]
347: 3676| [45] [（科学者ならその程度の犠牲など、当然と思わなければいけないのか……）]
348: 3681| [45] [そう。そう思いさえすれば、宇喜多も今まで通りの生活ができる。]
349: 3686| [45] [ラボの職員として、高給に預かり、何不自由ない暮らしができる。]
350: 3691| [45] [見知らぬ被験体がどうなろうと、宇喜多には関係ないはずだ。]
351: 3696| [45] [何一つ問題はないはずなのに――]
352: 3751| [47] [宇喜多]
353: 3754| [45] [「……馬鹿な……」]
354: 3762| [47] [宇喜多]
355: 3765| [45] [「そんな事が、認められるわけがないだろう……！」]
356: 3770| [45] [宇喜多はそれを、受け入れる事ができなかった。]
357: 3778| [47] [宇喜多]
358: 3781| [45] [「科学者も被験体も、同じ人間なんだ！」]
359: 3789| [47] [宇喜多]
360: 3792| [45] [「どんな大義名分があろうと、犠牲にしていいわけがない！」]
361: 3811| [45] [そう声を上げた瞬間、ある想いが心から湧き上がった。]
362: 3816| [47] [宇喜多]
363: 3817| [45] [（やめさせなければ……！）]
364: 3822| [45] [仕事に打ち込んだ気持ちを、踏みにじられた事への怒りもある。]
365: 3827| [45] [悪事に加担するのが、単純に嫌だというのもあった。]
366: 3832| [45] [だが決してそれだけではない。]
367: 3837| [45] [宇喜多にそう思わせたのは、奇しくも天川博士が教えてくれた事。]
368: 3842| [45] [他者のために生きようとする、善なる心だった。]
369: 3850| [47] [宇喜多]
370: 3853| [45] [「……僕が、救うんだ……捕らわれの被験体を……！」]
371: 3858| [45] [恐らく被験体の存在を知り、かつ解放を望んでいる者は、この街に自分しかいないだろう。]
372: 3863| [45] [行動できる者が己しかいないのであれば、行動しない事は罪だ。]
373: 3868| [47] [宇喜多]
374: 3869| [45] [（……僕を突き動かしているのは、力を伴わない、脆弱な正義感かもしれない）]
375: 3874| [47] [宇喜多]
376: 3875| [45] [（僕もあのＳという研究員のように、ただ消される事になるかもしれない……！）]
377: 3881| [45] [それでも宇喜多は振り返り、ラボの巨影を睨みつけた。]
378: 3886| [45] [にわかに降り出した冷たい雨が、彼の身を打つ。]
379: 3892| [45] [しかし胸の奥底に灯った火は、決して消える事はなかった。]
