  0:  172| [55] [√Before Chapter 7]
320: 5878| [47] [Alice]
321: 5881| [45] ["Kyuu!"]
322: 5886| [45] [Alice's back opened, exposing her screen.]
323: 5891| [45] [The screen displayed a list of all the files she had downloaded. Salyu skimmed through them with her fingertip.]
324: 5917| [47] [Mashiro]
325: 5920| [45] ["Please be there...!"]
326: 5925| [45] [Right after Mashiro prayed for her to find the map, Salyu's eyes widened.]
327: 5952| [47] [Salyu]
328: 5955| [45] ["--This is it. Probably."]
329: 5960| [45] [The kids peeked at the screen to see a hexagonal map.]
330: 6175| [47] [Natsuhiko]
331: 6178| [45] ["Yeah... That's it, no doubt!"]
332: 6183| [45] [Just like the ground levels, the basement floors were also hexagonal-- apparently divided into six areas.]
333: 6196| [45] [Salyu pointed at the top of the map.]
334: 6204| [47] [Salyu]
335: 6207| [45] ["Judging by the placement of the entrance, we're currently here in Area 1's outer ring, B1."]
336: 6250| [47] [Salyu]
337: 6253| [45] ["I think that last broken staircase we saw was the outer ring emergency staircase."]
338: 6269| [47] [Mashiro]
339: 6272| [45] ["Looks like there's an inner ring emergency staircase nearby too, huh..."]
340: 6277| [45] [Just as Mashiro had said, each area apparently had an emergency staircase and an elevator.]
341: 6396| [47] [Natsuhiko]
342: 6399| [45] ["Okay, so let's head there first!"]
343: 6404| [45] [The kids nodded at each other and ran out of the room.]
344: 6453| [45] [They crossed through the connecting passageway and headed to the inner ring.]
345: 6458| [45] [En route to the passageway, there was what appeared to be one of those "security gates" that the security guard had mentioned, but it was left wide open.]
346: 6463| [45] [But once they reached the inner ring--]
347: 6771| [45] [--it was engulfed in fire.]
348: 6779| [47] [Natsuhiko]
349: 6782| [45] ["Fire!? How'd a fire break out here so fast!?"]
350: 6790| [47] [Mashiro]
351: 6793| [45] ["Was it because of the explosions...!?"]
352: 6801| [47] [Salyu]
353: 6804| [45] ["No, it'd be way too fast for that to have been the cause. They might have brought incendiary bombs as well and set one here."]
354: 6812| [47] [Mashiro]
355: 6815| [45] ["Don't tell me it was set here to prevent the people from escaping the facility...?"]
356: 6823| [47] [Natsuhiko]
357: 6826| [45] ["Gh... it's too dangerous here! Let's look for another path!"]
358: 6831| [45] [Natsuhiko grabbed the girls' hands and retreated to the passageway.]
359: 6946| [45] [--Their escape routes were quickly crumbling down one by one.]
360: 6954| [47] [Natsuhiko]
361: 6957| [45] ["Mashiro! Salyu! There was an elevator on the map too! Go see if it's still usable!"]
362: 6965| [47] [Mashiro]
363: 6968| [45] ["What about you, Natsuhiko!?"]
364: 6976| [47] [Natsuhiko]
365: 6979| [45] ["I'll go check if the path to Area 2 is safe!"]
366: 7005| [47] [Salyu]
367: 7008| [45] ["Roger. Be careful!"]
368: 7116| [45] [Natsuhiko split from the girls for the time being.]
369: 7185| [47] [Natsuhiko]
370: 7186| [45] [(First we need to ensure an escape route. If there's a safe emergency staircase, I can get them out through there!)]
371: 7191| [45] [With that thought in mind, Natsuhiko walked into the connecting passageway to Area 2--]
372: 7261| [45] [--but then he doubted his eyes.]
373: 7271| [47] [Natsuhiko]
374: 7274| [45] ["Huh...!?"]
375: 7358| [45] [There she stood.]
376: 7363| [45] [The girl who was supposed to be waiting for them at home. Yuuri.]
377: 7584| [47] [Natsuhiko]
378: 7587| [45] ["--Yuuri!?"]
379: 7690| [45] [Natsuhiko's voice cracked as it escaped from his mouth.]
380: 7785| [45] [He couldn't believe what his eyes were telling him.]
381: 7790| [47] [Natsuhiko]
382: 7791| [45] [(I thought she wasn't able to take a single step out from the house...!?)]
383: 7796| [45] [Natsuhiko gazed at her in shock, and--]
384: 7822| [47] [Yuuri]
385: 7825| [45] ["... Hikorin..."]
386: 7851| [47] [Yuuri]
387: 7854| [45] ["Why did you come here...!?"]
388: 7859| [45] [--she muttered sadly.]
389: 7867| [47] [Natsuhiko]
390: 7870| [45] ["What about you, Yuuri!? Why are -you- here!?"]
391: 7878| [47] [Natsuhiko]
392: 7881| [45] ["You left home!?"]
393: 7886| [45] [Right after Natsuhiko asked that question, for some reason--]
394: 8230| [45] [--his memories of the last few days came rushing back into his mind.]
395: 8576| [47] [Natsuhiko]
396: 8579| [45] ["!?"]
397: 8923| [45] [Visions of the events of September 10th up until today spun rapidly through his mind like the illustrations on a revolving lantern--]
398: 9267| [45] [--and then disappeared.]
399: 9351| [47] [Natsuhiko]
400: 9352| [45] [(Wh... what!?)]
401: 9357| [45] [Natsuhiko had no idea what happened.]
402: 9362| [45] [Yuuri gazed at him in his confusion.]
403: 9388| [47] [Yuuri]
404: 9391| [45] ["... So that's what happened..."]
405: 9396| [45] [Her expression was somehow sad, yet she smiled as if a weight had been taken off her shoulders.]
406: 9401| [47] [Natsuhiko]
407: 9402| [45] [(What does that even mean...!?)]
408: 9407| [45] [There was something clearly strange about that exchange.]
409: 9412| [45] [It was almost as if Yuuri had read Natsuhiko's mind.]
410: 9417| [45] [The same sort of thing happened a few days before, too.]
411: 9422| [47] [Natsuhiko]
412: 9423| [45] [(Don't tell me Yuuri's actually--)]
413: 9502| [45] [But before he could finish that thought, a flash flickered beside them.]
414: 9623| [47] [Natsuhiko]
415: 9626| [45] ["!! Yuuri!"]
416: 9709| [45] [Natsuhiko swiftly lunged at Yuuri. And not a second later, a shockwave struck them.]
417: 9717| [47] [Natsuhiko]
418: 9720| [45] ["Ah!!"]
419: 9725| [45] [Natsuhiko and Yuuri were blown away.]
420: 9771| [45] [In the split second before they hit the ground,]
421: 9776| [45] [a vision of that fateful morning rose up from the back of his mind.]
422: 10045| [47] [That morning six days ago. September 10, 2030.]
423: 10147| [47] [His memory of that day back when everything was still peaceful--]
424: 10304| [47] [Yuuri]
425: 10307| [45] ["... Dreadful incidents don't just happen on the other side of the TV screen."]
426: 10388| [47] [Mashiro]
427: 10391| [45] ["Natsuhiko, was that... BC?"]
428: 10468| [47] [Ukita]
429: 10471| [45] ["Hopefully I'm just being a little paranoid... no, I probably am."]
430: 10565| [47] [Natsuhiko]
431: 10568| [45] ["Peace and quiet really is the best. There's no point in putting yourself in danger."]
432: 10681| [45] [--Those memories led to the end of September 10.]
433: 10686| [45] [Yuuri looked at Natsuhiko and spoke.]
434: 10846| [47] [Yuuri]
435: 10849| [45] ["... I think a lot of things will start happening to you from now on, Hikorin."]
436: 10857| [47] [Yuuri]
437: 10860| [45] ["Fun things, painful things... and things you cannot overcome without courage."]
438: 10868| [47] [Yuuri]
439: 10871| [45] ["But they're all things you surely mustn't avoid..."]
440: 10876| [45] [--As he recalled those memories--]
441: 10881| [45] [Natsuhiko passed out.]
