  0:  180| [55] [√Before Chapter 6]
 86: 1717| [45] [The kids felt that having him as an ally would be a big support.]
 87: 1722| [47] [Salyu]
 88: 1723| [45] ["..."]
 89: 1728| [45] [Salyu obediently listened to Ukita's words.]
 90: 1754| [47] [Ukita]
 91: 1757| [45] ["Okay then, I shall be heading back to LABO now. I apologize, but we'll have to part here."]
 92: 1765| [47] [Natsuhiko]
 93: 1768| [45] ["Okay, please do!"]
 94: 1788| [47] [Alice]
 95: 1791| [45] ["Kyankyan!"]
 96: 1811| [45] [With Natsuhiko and Alice's voices at his back, Ukita returned to his car.]
 97: 1822| [45] [He then drove back towards LABO.]
 98: 1827| [45] [But as they watched the car drive off-- Salyu muttered quietly.]
 99: 1870| [47] [Salyu]
100: 1873| [45] ["... I don't understand what's on other people's minds."]
101: 1881| [47] [Natsuhiko]
102: 1884| [45] ["Hmm...? What's this all of a sudden?"]
103: 1910| [47] [Salyu]
104: 1913| [45] ["Well, there's something I want to ask you two."]
105: 1921| [47] [Salyu]
106: 1924| [45] ["Did you notice anything suspicious about Keiji Ukita's speech and conduct?"]
107: 1950| [47] [Mashiro]
108: 1953| [45] ["Huh...? Suspicious?"]
109: 1958| [45] [An unpleasant premonition quickly spread among them.]
110: 1963| [45] [Salyu petted Alice and continued.]
111: 1989| [47] [Salyu]
112: 1992| [45] ["When I said anything suspicious, I was referring to the reason Alice cried out like that."]
113: 2000| [47] [Salyu]
114: 2003| [45] ["That 'kyankyan!' cry indicates when someone's flustered."]
115: 2029| [47] [Salyu]
116: 2032| [45] ["... Why would he be flustered?"]
117: 2040| [47] [Natsuhiko]
118: 2043| [45] ["!?"]
119: 2048| [45] [Natsuhiko and Mashiro gasped at that word.]
120: 2074| [47] [Mashiro]
121: 2077| [45] ["... Wait, what do you mean by flustered...?"]
122: 2085| [47] [Natsuhiko]
123: 2088| [45] ["He didn't look that way to me."]
124: 2114| [47] [Salyu]
125: 2117| [45] ["Alice can detect nuanced changes in facial expression that may be difficult for humans to detect."]
126: 2125| [47] [Salyu]
127: 2128| [45] ["Subtle indicators such as sweat, muscle tension, and shivering..."]
128: 2154| [47] [Salyu]
129: 2157| [45] ["If her analysis is correct, then he was flustered. But I do not understand the reason why."]
130: 2162| [47] [Natsuhiko]
131: 2163| [45] [(No way... Huh...?)]
132: 2168| [47] [Natsuhiko]
133: 2169| [45] [(Wh-which is it? Is Mr. Ukita a "victim" or an "aggressor"?)]
134: 2174| [45] [As he pondered, Natsuhiko suddenly realized something.]
135: 2179| [45] [There was something bizarre about what he had heard of Ukita's mental voice.]
136: 2409| [85] [{I can't get these kids involved too...}]
137: 2410| [86] [Ukita]
138: 2411| [86] [{I can't get these kids involved too...}]
139: 2426| [85] [{But there's no time. Need to act now!}]
140: 2427| [86] [Ukita]
141: 2428| [86] [{But there's no time. Need to act now!}]
142: 2545| [47] [Natsuhiko]
143: 2548| [45] ["'There's no time'...!?"]
144: 2553| [45] [Natsuhiko had been quite relieved to find out that Ukita's heart was open, but--]
145: 2558| [45] [The more he thought about it, the stranger it seemed.]
146: 2563| [45] [Why would Ukita think "there's no time" just from hearing Salyu's conjecture?]
147: 2568| [47] [Natsuhiko]
148: 2569| [45] [(H-hold on a second...!)]
149: 2574| [45] [That wasn't all that was strange.]
150: 2579| [45] ["I can't get these kids involved too" could be taken in a way that meant he had already gotten other people involved.]
151: 2587| [47] [Natsuhiko]
152: 2590| [45] ["Th... there's two possibilities."]
153: 2598| [47] [Natsuhiko]
154: 2601| [45] ["Either Mr. Ukita really felt the gravity of the terrorist threat--"]
155: 2627| [47] [Mashiro]
156: 2630| [45] ["Or Mr. Ukita is with the terrorists... and thought that we had caught onto the plan...?"]
157: 2642| [45] [Natsuhiko's heart pounded.]
158: 2647| [47] [Natsuhiko]
159: 2648| [45] [(Q uses "sleeper agents"...!)]
160: 2653| [47] [Natsuhiko]
161: 2654| [45] [(Is Mr. Ukita the sleeper agent in their LABO terrorist plot...!?)]
162: 2662| [47] [Natsuhiko]
163: 2665| [45] ["... Oh crap! Let's chase after Mr. Ukita for now!"]
164: 2691| [47] [Mashiro]
165: 2694| [45] ["Y-yeah!"]
166: 2748| [45] [There was no time for Natsuhiko to dwell on unpleasant memories.]
167: 2753| [45] [The kids ran off in the direction they had seen Ukita leave.]
