  0:   67| [45] [――２０３０年９月１６日。]
 70: 1764| [45] [「……だけど、もうわたしがいなくても、大丈夫なはずだよ」]
 71: 1772| [47] [悠里]
 72: 1775| [45] [「この数日の間に、気づいたでしょう？　ひこりんは１人じゃないって」]
 73: 1780| [45] [――悠里は真摯に語りかけた。夏彦の心を動かそうと。]
 74: 1785| [45] [だが、その声も届かない。]
 75: 1970| [45] [悠里がテレパシーの送信を止め、幻が消えると共に――]
 76: 1978| [47] [夏彦]
 77: 1981| [45] [「……う、あ……」]
 78: 1986| [45] [夏彦はかすかにうめいて――]
 79: 1994| [47] [夏彦]
 80: 1997| [45] [「――あぁぁああああっ！！」]
 81: 2002| [45] [狂ったように絶叫した。]
 82: 2106| [47] [悠里]
 83: 2107| [45] [（そ、そんな……！　これでもだめだったの！？）]
 84: 2112| [45] [悠里もまた、絶望していた。]
 85: 2117| [45] [夏彦を縛る自分の呪縛が、これほどまでに強いものだったとは――！]
 86: 2128| [45] [そのとき部屋の扉が開き、ましろが駆け込んできた。]
 87: 2161| [47] [ましろ]
 88: 2164| [45] [「夏彦っ！？」]
 89: 2190| [47] [ましろ]
 90: 2193| [45] [「夏彦、叫んでたみたいだけど、なにかあったの！？」]
 91: 2201| [47] [夏彦]
 92: 2204| [45] [「……………悠里が……」]
 93: 2212| [47] [夏彦]
 94: 2215| [45] [「……消えた……」]
 95: 2429| [45] [――夏彦はましろに食って掛かった。]
 96: 2434| [45] [悠里を失った哀しみと、９年間騙されていた悔しさを吐き出すように。]
 97: 2442| [47] [夏彦]
 98: 2445| [45] [「悠里はいなかったんだな！？　９年前から、ずっとッ！」]
 99: 2493| [47] [夏彦]
100: 2496| [45] [「お前はおかしくなったぼくに付き合ってただけなんだろ！？　こんな滑稽な話があるか！」]
101: 2504| [47] [ましろ]
102: 2507| [45] [「そ、そんな……！」]
103: 2512| [45] [夏彦もましろも、目に涙を浮かべていた。]
104: 2517| [45] [そして夏彦の視覚を通じ、その様子を観測する悠里もまた――悲しんでいた。]
105: 2522| [47] [悠里]
106: 2523| [45] [（それじゃダメだよひこりん……！　ましろんを恨んじゃダメ……！）]
107: 2528| [47] [悠里]
108: 2529| [45] [（ましろんはずっと、ひこりんを支えてくれてたのに……！）]
109: 2534| [45] [悠里はひどく後悔していた。]
110: 2539| [47] [悠里]
111: 2540| [45] [（どうすればよかったの……？）]
112: 2545| [47] [悠里]
113: 2546| [45] [（どうすればひこりんは――）]
114: 2551| [45] [悠里がそう思った、その直後――……]
115: 2558| [45] [予想もしない事が起こった。]
116: 2709| [45] [不意に、夏彦の視界が、闇に包まれたのだ。]
117: 2715| [47] [悠里]
118: 2716| [45] [（っ！？）]
119: 2721| [45] [彼の意識は突如として、果てのない闇の中に放り出された。]
120: 2729| [47] [夏彦]
121: 2732| [45] [《え……な、なんだこれ……！？》]
122: 2737| [45] [夏彦が愕然とする。しかし悠里にはわかっていた。]
123: 2742| [47] [悠里]
124: 2743| [45] [（これは、まさか……！）]
125: 2748| [47] [悠里]
126: 2749| [45] [（ひこりんが、ましろんの心と同調したの！？）]
127: 2853| [45] [夏彦が第３の能力に――『センシズシンパシー』に目覚めたのだ。]
128: 2858| [45] [昨夜から予兆はあったとはいえ、それは願ってもいない誤算だった。]
129: 2863| [47] [悠里]
130: 2864| [45] [（や……やった！）]
131: 2869| [47] [悠里]
132: 2870| [45] [（これならひこりんも、ましろんの気持ちをわかってくれるはず……！）]
133: 2875| [45] [夏彦が戸惑いながら、ましろの記憶を覗き込む。]
134: 2923| [45] [そして彼は――ましろが９年間、夏彦を想い続けていたという事実を知った。]
135: 3096| [45] [――現実に帰ってきた夏彦は、ましろに泣きながら謝った。]
136: 3104| [47] [夏彦]
137: 3107| [45] [「ましろ……！」]
138: 3115| [47] [夏彦]
139: 3118| [45] [「ごめん……！　ごめんな……！」]
140: 3165| [47] [ましろ]
141: 3168| [45] [「え……？」]
142: 3176| [47] [夏彦]
143: 3179| [45] [「お前、ずっとぼくを支えてくれてたんだな……」]
144: 3187| [47] [夏彦]
145: 3190| [45] [「ぼくのために、ずっと一緒にいてくれてたんだな……！」]
146: 3236| [45] [そのやりとりを聞きながら、悠里も思っていた。]
147: 3283| [47] [悠里]
148: 3284| [45] [（よかった……）]
149: 3289| [47] [悠里]
150: 3290| [45] [（これで、本当に……ひこりんもましろんも、わたしから解放されるんだ）]
151: 3295| [45] [これで自分の役目は終わった。]
152: 3300| [45] [悠里はそう思い、そして――]
153: 3307| [45] [心静かに、夏彦との心の繋がりを絶った。]
154: 3417| [45] [――そして悠里は、自分の五感を取り戻した。]
155: 3422| [45] [視界に広がるのは、誰もいない部屋。]
156: 3427| [45] [その寂しい室内風景が滲んでいる。]
157: 3435| [47] [悠里]
158: 3438| [45] [「あれ……どうして……？」]
159: 3443| [45] [悠里は自分が泣いている事に気付いた。]
160: 3448| [45] [『夏彦が悠里の呪縛から解放され、ましろと結ばれる』]
161: 3453| [45] [それはずっと願っていた事のはずなのに――]
162: 3458| [45] [悠里の胸は、引き裂かれたように痛んでいた。]
163: 3463| [47] [悠里]
164: 3464| [45] [「……」]
165: 3472| [47] [悠里]
166: 3475| [45] [「ううん……これでいいんだよ……！」]
167: 3484| [45] [そう信じ、悠里は涙を拭う。]
168: 3489| [45] [――その時。]
169: 3516| [45] [シェルターの扉を、ノックする音がした。]
170: 3524| [47] [悠里]
171: 3527| [45] [「あ……博士？」]
172: 3548| [45] [悠里ははっとして、扉に駆け寄る。]
173: 3553| [45] [博士が戻ってきてくれたのなら、その胸にすがりたかった。]
174: 3558| [45] [悠里のただ１人の理解者であり、悲しみの共有者である、血の繋がらない『お母さん』に。]
175: 3565| [45] [だが、扉を開けると――]
176: 3641| [45] [そこには見知らぬ男が立っていた。]
177: 3664| [47] [悠里]
178: 3667| [45] [「……！？」]
179: 3675| [47] [渡瀬]
180: 3678| [45] [「ようやく見つけた……君はこのラボの関係者だな？」]
181: 3686| [47] [悠里]
182: 3689| [45] [「あ……あなたは？」]
183: 3697| [47] [渡瀬]
184: 3700| [45] [「レスキュー隊だ。君たちを救助に来た」]
185: 3705| [45] [その声に聞き覚えがあった。ざわざわと不安が湧いてくる。]
186: 3710| [47] [悠里]
187: 3711| [45] [（どこでこの声を……！？）]
188: 3716| [45] [考え、すぐに思い出した。]
189: 3770| [45] [それは夏彦の記憶の中で聞いた、テロリストの声――！]
190: 3778| [47] [悠里]
191: 3781| [45] [「あなたは……Ｑの！？」]
192: 3849| [47] [渡瀬]
193: 3852| [45] [「！！」]
194: 3857| [45] [思わず声を上げると、男の顔が強張った。]
195: 3862| [45] [すぐにその表情が邪悪に歪んでいく。]
196: 3888| [47] [渡瀬]
197: 3891| [45] [「おい……まさかＢＣで読んだのか？　俺の心を」]
198: 3896| [47] [悠里]
199: 3897| [45] [「……」]
200: 3923| [47] [渡瀬]
201: 3926| [45] [「まぁいい、一緒に来てもらおうか」]
202: 3956| [45] [男はそう言って、悠里の腕を掴んだ。]
203: 3979| [47] [悠里]
204: 3982| [45] [「い、いやっ！　やめて！」]
205: 4008| [47] [渡瀬]
206: 4011| [45] [「暴れないでくれ！　大人しくすれば、手荒なことはしない！」]
207: 4016| [45] [男はそう言ったが、到底信じられない。]
208: 4021| [47] [悠里]
209: 4022| [45] [（だったらこの人の記憶を――！）]
210: 4027| [45] [悠里は男の記憶を破壊して、難を逃れようと思った。]
211: 4053| [45] [が――それより一瞬早く、悠里の首筋に痛みが走った。]
212: 4061| [47] [悠里]
213: 4064| [45] [「痛っ！」]
214: 4069| [45] [なにをされたのかわからないまま、悠里はＢＣを使おうとする。]
215: 4074| [47] [悠里]
216: 4075| [45] [（……あれ？）]
217: 4080| [45] [だが、何も起こらなかった。]
218: 4085| [45] [男の記憶を破壊しようにも、センシズシンパシーそのものが使えなくなっていたのだ！]
219: 4093| [47] [悠里]
220: 4096| [45] [「ど、どうして……」]
221: 4122| [47] [渡瀬]
222: 4125| [45] [「ＢＣを封じる薬を打たせてもらった。君の能力はもう使えない」]
223: 4133| [47] [悠里]
224: 4136| [45] [「嘘……！」]
225: 4141| [45] [ＢＣが使えなくなった悠里は、ただの無力な少女に過ぎない。]
226: 4224| [45] [絶望する悠里の首に、男の腕が巻きつく。]
227: 4229| [45] [そしてそのまま、頚動脈を締め付けられた。]
228: 4237| [47] [悠里]
229: 4240| [45] [「う……」]
230: 4245| [45] [男の力は強くて、振りほどこうにもびくともしない。]
231: 4250| [45] [たちまち目の前が暗くなっていく。]
232: 4255| [47] [悠里]
233: 4256| [45] [（ひ……ひこりん……ましろん……！）]
234: 4305| [45] [悠里は薄れ行く意識の中で祈った。]
235: 4310| [45] [夏彦たちがこの男に遭わず、無事に外に脱出できる事を――]
