  0:   61| [45] [――それは約３年前のある日。]
 49:  613| [45] [「もし詳しければ、色々と知識を伝授してほしいんだけど……」]
 50:  621| [47] [洵]
 51:  624| [45] [「ごめん、全然わかんない。あたしロックしか聴かないし」]
 52:  650| [47] [風見]
 53:  653| [45] [「……そう……」]
 54:  658| [45] [風見はまたも、深いため息をついた。]
 55:  663| [45] [洵は中学に上がったあたりから、父親に反発する事が更に多くなっていた。]
 56:  668| [45] [そして父の趣味は、クラシック鑑賞である。]
 57:  674| [45] [『坊主憎けりゃ袈裟まで憎し』で、洵は父と共にクラシックをも嫌い、その反動でロックに傾倒したのだ。]
 58:  679| [47] [洵]
 59:  680| [45] [（でもなんでお姉ちゃん、いきなり恋愛とかクラシックの話を？　今まで全く興味なかったのに――）]
 60:  685| [45] [そこまで考えて、洵ははっと息を呑んだ。]
 61:  693| [47] [洵]
 62:  696| [45] [「まさか、お姉ちゃん！　好きな男ができたんじゃ！？」]
 63:  757| [47] [風見]
 64:  760| [45] [「えっ！？　な、なんでそんな事を！？」]
 65:  768| [47] [洵]
 66:  771| [45] [「いや、好きな男がクラシック好きで、話を合わせるために急遽クラシック聴こうと思ったとか」]
 67:  832| [47] [風見]
 68:  835| [45] [「ち、違うわ！　そんなのじゃなくて……」]
 69:  861| [47] [風見]
 70:  864| [45] [「えっと、つまり……そう、リラクゼーション効果よ！」]
 71:  872| [47] [洵]
 72:  875| [45] [「リラクゼーション効果ぁ？」]
 73:  901| [47] [風見]
 74:  904| [45] [「クラシックには心の疲れを取る効果があるのよ、確か」]
 75:  930| [47] [風見]
 76:  933| [45] [「私は毎日張り詰めた緊張感の中で仕事をしているから、クラシックを聴く事で、疲れを癒したいと思って……」]
 77:  941| [47] [洵]
 78:  944| [45] [「ふぅ～ん……」]
 79:  949| [45] [嘘っぽいとは思ったが、とりあえず追及はしない事にした。]
 80:  954| [45] [代わりに釘を刺しておく。]
 81:  962| [47] [洵]
 82:  965| [45] [「でもお姉ちゃん、これだけは言っておくけど――」]
 83:  973| [47] [洵]
 84:  976| [45] [「クラシック聴くような男に、ロクな奴はいないよ？」]
 85: 1037| [47] [風見]
 86: 1040| [45] [「な、なんですって！？」]
 87: 1048| [47] [洵]
 88: 1051| [45] [「だってうちの父親がそうだもん。お姉ちゃんにも話したよね？　うちの父親がロクでもない奴だって」]
 89: 1077| [47] [風見]
 90: 1080| [45] [「だ、だからってそれは、あまりに短絡的な考えだと思うけど……」]
 91: 1088| [47] [洵]
 92: 1091| [45] [「いーや、音楽の趣味には人となりが表れるの」]
 93: 1099| [47] [洵]
 94: 1102| [45] [「男を選ぶ時は、そういうのも踏まえて選ばなきゃだめだよ？」]
 95: 1128| [47] [風見]
 96: 1131| [45] [「わ……わかったわ」]
 97: 1136| [45] [神妙に答える風見を見て、洵は内心思った。]
 98: 1141| [47] [洵]
 99: 1142| [45] [（これでよし……お姉ちゃんが変な男にひっかかったら、マズイからね）]
100: 1147| [45] [風見にもし恋人ができたら、洵としては少し寂しい気もするが、むろん最終的には祝福するだろう。]
101: 1152| [45] [しかし風見の恋人となる男は、洵が認める最高の男でなければならないとも思う。]
102: 1157| [47] [洵]
103: 1158| [45] [（……あたしは凪沙の代わりに、お姉ちゃんを護るって決めたんだ）]
104: 1163| [47] [洵]
105: 1164| [45] [（悪い虫から護るのも、その一環だよ）]
106: 1169| [45] [洵は密かに、その決意を新たにした。]
