  0:   80| [45] [――それはほんの、数時間前の記憶。]
 72:  757| [45] [「むろんこの娘を外の世界に出す事は、断じて認められませんよ」]
 73:  765| [47] [美夜子]
 74:  768| [45] [「……私の責任の元に……」]
 75:  794| [47] [美夜子]
 76:  797| [45] [「ここで、育てるわ」]
 77:  856| [45] [――そこでサリュは、目を覚ました。]
 78:  911| [47] [サリュ]
 79:  912| [45] [（……変な夢）]
 80:  917| [45] [それは実に夢らしい、ありえない情景だった。]
 81:  922| [45] [夢の中に出てきたのは、ラボの脳科学実験室だったのだから。]
 82:  927| [47] [サリュ]
 83:  928| [45] [（今日初めて訪れたのに……もう夢に出てくるなんて）]
 84:  933| [45] [だが、どこか恐ろしい夢だった。]
 85:  938| [45] [サリュはため息をついて立ち上がる。]
 86:  943| [45] [そしてふらつく体を引きずるように、また歩き始めた。]
 87:  948| [45] [夏彦を探すために。]
 88: 1009| [45] [――せっかく再会した夏彦は、またどこかに消えてしまっていた。]
 89: 1014| [47] [サリュ]
 90: 1015| [45] [（恐らくあのテロリストに、連れていかれたのだろう……）]
 91: 1020| [45] [ましろは探しても探しても見つからない。]
 92: 1025| [45] [ならば隔壁が閉まる前に、無事逃げ出した――そう信じていた。]
 93: 1030| [47] [サリュ]
 94: 1031| [45] [（……とにかく夏彦を探さなければ）]
 95: 1036| [47] [サリュ]
 96: 1037| [45] [（私の役目は、彼を護る事なのだから……）]
 97: 1042| [45] [そのためには、どんな事でもすると決めていた。]
 98: 1110| [45] [――だから脳科学実験室で、２０本のＡＤを発見した時――]
 99: 1115| [45] [サリュはそのＡＤを回収し、女子トイレの用具入れに隠した。]
100: 1120| [45] [夏彦たちを発見したら、すぐにＡＤを渡そうと思っていたのだ。]
101: 1125| [45] [ＡＤには恵那の手紙が添えてあったが、信用できないので破り捨てた。]
102: 1130| [47] [サリュ]
103: 1131| [45] [（……私は、ひどい事をしているのかもしれない）]
104: 1136| [47] [サリュ]
105: 1137| [45] [（しかしあのオレンジの服を着ている連中は、恐らく全員テロリスト）]
106: 1142| [47] [サリュ]
107: 1143| [45] [（宇喜多は内通者で、恵那もテロリストの仲間である可能性が高い）]
108: 1148| [45] [１対多数では勝ち目がない。]
109: 1153| [45] [ならば放射線の影響で、敵が弱るのに賭けるしかなかった。]
110: 1222| [45] [やがてサリュは、テロリストの死体の近くで、斧を発見した。]
111: 1227| [47] [サリュ]
112: 1228| [45] [（これでようやく反撃できる……）]
113: 1273| [45] [だけどそれでも渡瀬には敵わず、負けてしまった。]
114: 1278| [45] [次に遭遇した時には、なんとしても奴を倒し、夏彦を救出しようと決めていた。]
115: 1339| [45] [――もっともテロリストには、夏彦を殺す意思はないのかもしれない。]
116: 1344| [45] [しかし夏彦に重傷を負わせたのは確かだ。]
117: 1349| [47] [サリュ]
118: 1350| [45] [（……だからあの男だけは、決して許す事ができない）]
119: 1355| [47] [サリュ]
120: 1356| [45] [（夏彦を護るという約束、それを破るわけにはいかないから）]
121: 1406| [45] [その約束だけが、孤独なサリュを支え、前に進ませていた……。]
