  0:   68| [45] [――鹿鳴市に着いた初日は、サリュはホテルに宿泊した。]
180: 2808| [45] [せっかくできた友達に、まさかそんな事を言われるなんて、思ってもみなかったのだ。]
181: 2813| [47] [サリュ]
182: 2814| [45] [（いや、でも……素直に話せばあるいは……）]
183: 2819| [45] [サリュはそう思い、自分の特質について改めて話した。]
184: 2824| [45] [脳の機能が、一部機能不全を起こしている事。]
185: 2829| [45] [そのせいで他人の気持ちが、一切わからないという事を――。]
186: 2852| [47] [サリュ]
187: 2855| [45] [「日本に来て、夏彦たちと出会い、楽しい事もあったけど……混乱する事も多く、時々怖くなる」]
188: 2860| [47] [サリュ]
189: 2863| [45] [「やっぱり他人と触れ合うべきでは、なかったのかもしれない」]
190: 2868| [45] [サリュは泣きそうな気持ちで、そう言ったが――夏彦は低い声で答えた。]
191: 2894| [47] [夏彦]
192: 2897| [45] [「……他人と触れ合うべきではなかったなんて、そんな事言うなよ」]
193: 2905| [47] [夏彦]
194: 2908| [45] [「確かに他人の気持ちなんて、ぼくらにはわからないよ」]
195: 2916| [47] [夏彦]
196: 2919| [45] [「ぼくやサリュに限った話じゃないんだ。誰だってそんな事、わかるわけないんだよ」]
197: 2924| [47] [サリュ]
198: 2927| [45] [「え……！？」]
199: 2932| [47] [サリュ]
200: 2935| [45] [「私だけじゃなくて……みんな同じなの？」]
201: 2961| [47] [夏彦]
202: 2964| [45] [「そうだよ。だけど、それでもぼくらは……わかろうとする努力をするべきなんじゃないか？」]
203: 2972| [47] [夏彦]
204: 2975| [45] [「……他人の心がわからなくても、努力し続けるのが、つまりは『人を思いやる』って事で……」]
205: 2983| [47] [夏彦]
206: 2986| [45] [「それはきっと、自分のためにも他人のためにもなる事でさ……」]
207: 2994| [47] [夏彦]
208: 2997| [45] [「そう思わなきゃ、誰にも優しくなれないじゃないか」]
209: 3002| [45] [――その言葉は、サリュの心に響いた。]
210: 3007| [47] [サリュ]
211: 3008| [45] [（そうか、みんな同じなら……私だけがやきもきしていても、空回るだけ）]
212: 3013| [47] [サリュ]
213: 3014| [45] [（ひょっとしたら夏彦も、私のように、内心ではやきもきしていたのかもしれない）]
214: 3019| [47] [サリュ]
215: 3020| [45] [（それをこらえて、夏彦は今の話をしてくれた……）]
216: 3025| [47] [サリュ]
217: 3026| [45] [（……これが、思いやりと言うこと？）]
218: 3031| [45] [その時、初めてサリュは、夏彦というわけのわからない少年の心を、少しだけ理解できた気がした。]
219: 3036| [47] [サリュ]
220: 3037| [45] [（ならば私も、それに応えよう……夏彦を思いやってみよう）]
221: 3084| [45] [サリュは夏彦と仲直りし、そして共にましろを探す事を決意した。]
222: 3117| [47] [サリュ]
223: 3120| [45] [「――落ち着いて考えよう、ましろを見つける方法を。私も一緒に考えるから」]
224: 3146| [47] [夏彦]
225: 3149| [45] [「ああ！」]
226: 3217| [45] [そして陰鬱な都市ゲートの前で、ましろと再会し――]
227: 3274| [45] [テロリストを探して、超心研に侵入した。]
228: 3334| [45] [そこで発生した誤解から、保安課の連中に追われるようになり、]
229: 3391| [45] [カラオケボックスで、夜を明かした。]
230: 3434| [45] [サリュの生活は、大きく変化し始めていた。]
231: 3439| [45] [夏彦たちが危険に踏み込む事は推奨できないが、サリュ自身は心の片隅で、それを楽しんでいた。]
232: 3444| [47] [サリュ]
233: 3445| [45] [（……なんだか、大冒険という感じ……）]
234: 3450| [47] [サリュ]
235: 3451| [45] [（役目にやや反してしまう可能性はあるけど、私はこういうのが好きなのかも知れない）]
236: 3509| [45] [――その翌日も、冒険は続く。]
237: 3557| [45] [超心研の爆破に遭遇した後、敵の真の狙いがラボの原子炉だと気付き――]
238: 3614| [45] [そしてテロリストと、廃工場で対決した。]
239: 3664| [45] [一度は敗北を喫したサリュたちだったが、気絶から目覚めると、３人で話した。]
240: 3669| [45] [夏彦はテロを阻止しに、ラボに向かうと言う。]
241: 3674| [45] [ならばサリュも、そしてましろも、それに同行すると決めた。]
242: 3770| [47] [夏彦]
243: 3773| [45] [「あぁもう……どうしてそんなに２人とも、わからず屋なんだ……！」]
244: 3781| [47] [ましろ]
245: 3784| [45] [「夏彦に言われたくないよ。３人とも考えが一緒なだけだよ」]
246: 3789| [47] [サリュ]
247: 3792| [45] [「全く同感」]
248: 3830| [45] [そう言って３人は笑い合う。]
249: 3835| [45] [やがて話はまとまった。]
250: 3861| [47] [夏彦]
251: 3864| [45] [「……それじゃいいかい、２人とも」]
252: 3869| [47] [サリュ]
253: 3872| [45] [「了解」]
254: 3898| [47] [ましろ]
255: 3901| [45] [「ん、いつでも行けるよ」]
256: 3927| [47] [夏彦]
257: 3930| [45] [「行こう、この街を護りに……！」]
258: 3935| [45] [サリュはうなずき、駆け出した。]
259: 3940| [45] [この街で巡り合えた、大切な２人の友達と共に。]
