  0:   67| [45] [--September 16, 2030.]
222: 4125| [45] ["I injected you with a BC inhibitor. Your abilities won't work on me now."]
223: 4133| [47] [Yuuri]
224: 4136| [45] ["No way...!"]
225: 4141| [45] [Without BC, Yuuri was nothing but an ordinary, powerless girl.]
226: 4224| [45] [As Yuuri despaired, the man wrapped his arm around her neck.]
227: 4229| [45] [He applied pressure to her carotid artery.]
228: 4237| [47] [Yuuri]
229: 4240| [45] ["Ugh..."]
230: 4245| [45] [Yuuri tried to shake him off, but the man was too strong for her to even budge an inch.]
231: 4250| [45] [Suddenly, her sight blacked out.]
232: 4255| [47] [Yuuri]
233: 4256| [45] [(H... Hikorin... Mashiron...!)]
234: 4305| [45] [As Yuuri's consciousness faded away, she prayed.]
235: 4310| [45] [That the others would safely escape from here without encountering this man--]
