  0:  105| [55] [√Before Chapter 6]
178: 3111| [47] [Natsuhiko]
179: 3114| [45] ["Wha...!?"]
180: 3119| [45] [Only then did Natsuhiko notice.]
181: 3165| [45] [That Salyu was collapsed at the men's feet.]
182: 3210| [45] [And that the man on the left was holding a gun.]
183: 3215| [45] [There was no room for doubt-- In no uncertain terms, these men were terrorists.]
184: 3260| [47] [Natsuhiko]
185: 3261| [45] [(Dammit, so he really did have allies...!)]
186: 3266| [45] [Natsuhiko cursed his carelessness.]
187: 3271| [45] [Once Natsuhiko tried to use BC, his five senses died out.]
188: 3276| [45] [In other words, he became oblivious to what was going on around him.]
189: 3281| [47] [Natsuhiko]
190: 3282| [45] [(Did these new guys come in from the back and knock Salyu out...!?)]
191: 3287| [45] [It seemed she was only unconscious, judging by the lack of blood.]
192: 3292| [45] [But now that Salyu, the only one among them with combat skills, was incapacitated--%Nthey had no means of a counteroffensive.]
193: 3300| [47] [Mashiro]
194: 3303| [45] ["S-Salyu..."]
195: 3308| [45] [Mashiro muttered Salyu's name in a trembling voice and tried to walk up to her,]
196: 3313| [47] [Man 2]
197: 3316| [45] ["Don't move."]
198: 3321| [45] [but that voice stopped her.]
199: 3326| [47] [Man 2]
200: 3329| [45] ["The second you move, I shoot."]
201: 3337| [47] [Natsuhiko]
202: 3340| [45] ["...!"]
203: 3345| [45] [Natsuhiko stood to cover for Mashiro.]
204: 3350| [45] [Upon which, the third man spoke.]
205: 3358| [47] [Man 3]
206: 3361| [45] ["Natsuhiko Tenkawa and Mashiro Toba, I presume?"]
207: 3369| [47] [Natsuhiko]
208: 3372| [45] ["...!"]
209: 3380| [47] [Natsuhiko]
210: 3383| [45] ["How do you know our names...!?"]
211: 3391| [47] [Man 3]
212: 3394| [45] ["We had someone look into it. We heard we had a couple of kids trying to sniff out our plan, see."]
213: 3402| [47] [Natsuhiko]
214: 3405| [45] ["...!"]
215: 3410| [45] [A cold chill ran down Natsuhiko's spine.]
216: 3415| [45] [He had never expected to be apprehended by the enemy so easily.]
217: 3420| [47] [Natsuhiko]
218: 3421| [45] [(Are these guys... an even huger organization than we thought...!?)]
219: 3426| [45] [The man continued as Natsuhiko found himself at a loss for words.]
220: 3434| [47] [Man 3]
221: 3437| [45] ["... Self-righteousness just leads to self-destruction."]
222: 3445| [47] [Man 3]
223: 3448| [45] ["Sorry, but we have to dispose of you."]
224: 3456| [47] [Natsuhiko]
225: 3459| [45] ["Y... you're gonna kill us?"]
226: 3464| [45] [The other man answered the question quite briefly.]
227: 3469| [47] [Man 2]
228: 3472| [45] ["Yeah, we will."]
229: 3480| [47] [Mashiro]
230: 3483| [45] ["Eep...!"]
231: 3491| [47] [Man 3]
232: 3494| [45] ["Wait, it'll be too conspicuous if we leave bodies behind."]
233: 3499| [47] [Man 2]
234: 3502| [45] ["But even so, we can't leave any insecurities in our plan before it hatches, can we?"]
235: 3510| [47] [Man 3]
236: 3513| [45] ["Of course not, so in that case--"]
237: 3521| [47] [Man 3]
238: 3524| [45] ["Let's just put you kids to sleep for now."]
239: 3563| [45] [Not one second after the man finished talking, he ran over to Mashiro.]
240: 3612| [45] [And swiftly hit her in the neck with a knifehand strike.]
241: 3670| [47] [Mashiro]
242: 3673| [45] ["Aah...!"]
243: 3693| [45] [Mashiro gasped before collapsing on the spot.]
244: 3701| [47] [Natsuhiko]
245: 3704| [45] ["Wh-what are you doing!?"]
246: 3712| [47] [Man 3]
247: 3715| [45] ["I said I'm putting you kids to sleep, didn't I?"]
248: 3723| [47] [Natsuhiko]
249: 3726| [45] ["How... how dare you! How dare you lay a hand on Mashiro!"]
250: 3791| [45] [Natsuhiko gave into his anger and tried to strike the man.]
251: 3796| [45] [But the man dodged all too easily and wrapped around behind him.]
252: 3822| [45] [And the very next moment, the man wrapped his thick arm around Natsuhiko's neck.]
253: 3830| [47] [Natsuhiko]
254: 3833| [45] ["Guh... ghah...!"]
255: 3838| [45] [Natsuhiko's breathing stopped. The man wrung out every last bit of air from his lungs.]
256: 3846| [47] [Natsuhiko]
257: 3849| [45] ["Damn... it..."]
258: 3857| [47] [Natsuhiko]
259: 3860| [45] ["Let... go...!"]
260: 3865| [45] [But all the strength in Natsuhiko's body was not enough to make the man budge one bit.]
261: 3870| [45] [The grip in the man's arm was enough to show Natsuhiko the hopeless difference in strength between them.]
262: 3880| [45] [His consciousness started to fade into the distance.]
263: 3885| [47] [Natsuhiko]
264: 3886| [45] [(D-dammit...!)]
265: 3891| [47] [Natsuhiko]
266: 3892| [45] [(Is this where it ends...!?)]
267: 3897| [45] [There was nothing more that Natsuhiko could do.]
268: 3902| [45] [As soon as he understood the extent of his own powerlessness, fury burst up from inside of him.]
269: 3907| [47] [Natsuhiko]
270: 3908| [45] [(At the very least...)]
271: 3913| [47] [Natsuhiko]
272: 3914| [45] [(Let me at least know what exactly these guys are plotting...!)]
273: 3919| [45] [He screamed from the depths of his mind not to let things end this way.]
274: 3924| [45] [A torrent of rage surged from inside Natsuhiko.]
275: 3929| [47] [Natsuhiko]
276: 3930| [45] [(Let me use empathy, or anything at all!)]
277: 3935| [47] [Natsuhiko]
278: 3936| [45] [(Show me what's in their minds--!)]
279: 3941| [45] [--As that thought crossed his mind--]
280: 4054| [45] [Natsuhiko's vision blacked out.]
281: 4212| [45] [And a bizarre vision arose from the back of his mind.]
282: 4217| [47] [Natsuhiko]
283: 4218| [45] [(!?)]
284: 4276| [45] [He saw an unfamiliar room.]
285: 4281| [45] [He heard someone's voice from right beside him.]
286: 4364| [47] [???]
287: 4367| [45] ["--Silence them, huh?"]
288: 4372| [45] [And then he heard someone else answer.]
289: 4380| [47] [???]
290: 4383| [45] ["Not like we've got a choice..."]
291: 4391| [47] [???]
292: 4394| [45] ["You're telling us... to kill children?"]
293: 4402| [47] [???]
294: 4405| [45] ["Don't go that far. Just threaten them and tie them up."]
295: 4413| [47] [???]
296: 4416| [45] ["The security department's mobilizing too. We don't want to draw their attention and we can't have LABO increasing their own level of security either."]
297: 4424| [47] [???]
298: 4427| [45] ["Because D-day is tomorrow--"]
299: 4432| [45] [Right as Natsuhiko heard up to that point, the voices quickly faded away--]
300: 4533| [45] [And the vision disappeared too.]
301: 4580| [47] [Natsuhiko]
302: 4581| [45] [(Wha...!)]
303: 4586| [45] [Natsuhiko gasped.]
304: 4591| [45] [What just happened? He had a feeling it was a little different from empathy.]
305: 4596| [45] [But one thing was for certain.]
306: 4601| [47] [Natsuhiko]
307: 4602| [45] [(So their real target... was LABO after all...!)]
308: 4607| [47] [Natsuhiko]
309: 4608| [45] [(And D-day is tomorrow...!?)]
310: 4613| [47] [Natsuhiko]
311: 4614| [45] [(S...to...p...)]
312: 4733| [45] [But Natsuhiko's consciousness faded away before he could tell anyone anything.]
313: 4738| [45] [His sight sank into darkness and his hearing fell silent too.]
314: 4743| [45] [And yet, for some reason--]
315: 4754| [45] [He heard the painfully loud ticking of a watch's second hand.]
316: 4759| [45] [And mixed in with that sound, he heard a faint voice.]
317: 4969| [85] [{... rin}]
318: 4970| [86] [Yuuri]
319: 4971| [86] [{... rin}]
320: 4999| [45] [It was Yuuri's voice.]
321: 5004| [47] [Natsuhiko]
322: 5005| [45] [(... Yuuri?)]
323: 5010| [45] [She sounded somehow sad.]
324: 5067| [85] [{... Hikorin, you've finally reached it, haven't you?}]
325: 5068| [86] [Yuuri]
326: 5069| [86] [{... Hikorin, you've finally reached it, haven't you?}]
327: 5097| [47] [Natsuhiko]
328: 5098| [45] [(Huh?)]
329: 5155| [85] [{The apex of a Communicator's journey...}]
330: 5156| [86] [Yuuri]
331: 5157| [86] [{The apex of a Communicator's journey...}]
332: 5172| [85] [{The ability beyond empathy. The power to connect minds rather than just brains.}]
333: 5173| [86] [Yuuri]
334: 5174| [86] [{The ability beyond empathy. The power to connect minds rather than just brains.}]
335: 5227| [85] [{But it would be best if you didn't use it anymore...]
336: 5229| [85] [For you might end up knowing something you'd rather not know.}]
337: 5230| [86] [Yuuri]
338: 5231| [86] [{But it would be for the best if you didn't use it anymore... For you might end up knowing something you'd rather not know.}]
339: 5259| [47] [Natsuhiko]
340: 5260| [45] [(No way... Like hell there's something I'd rather not know!)]
341: 5265| [45] [Natsuhiko shouted voicelessly.]
342: 5270| [47] [Natsuhiko]
343: 5271| [45] [(I learned what their goal was! Our conjecture was right!)]
344: 5276| [47] [Natsuhiko]
345: 5277| [45] [(So we have to do something!)]
346: 5282| [45] [But by the time he made that realization, it was too late. Natsuhiko's consciousness was blanking out.]
347: 5287| [45] [A short silence passed-- and then Yuuri seemed just a little bit happy.]
348: 5380| [85] [{... I see. Of course you'd think that way, Hikorin...}]
349: 5381| [86] [Yuuri]
350: 5382| [86] [{... I see. Of course you'd think that way, Hikorin...}]
351: 5433| [85] [{In that case, you mustn't give up...}]
352: 5434| [86] [Yuuri]
353: 5435| [86] [{In that case, you mustn't give up...}]
354: 5450| [85] [{For the truth is already right before you.}]
355: 5451| [86] [Yuuri]
356: 5452| [86] [{For the truth is already right before you.}]
357: 5467| [85] [{I'm sure you can reach it, Hikorin.}]
358: 5468| [86] [Yuuri]
359: 5469| [86] [{I'm sure you can reach it, Hikorin.}]
360: 5561| [45] [That voice faded into the distance.]
361: 5567| [45] [Eventually even the sound of the watch's second hand faded out--]
362: 5572| [45] [And ceased.]
