  0:   65| [45] [――それは９月１４日の夜。]
111: 1026| [45] [「『謎は決して解けない』って事を知る楽しさもあるかな」]
112: 1037| [45] [――ましろがそう言った時、部屋の外で足音がした。]
113: 1042| [47] [サリュ]
114: 1045| [45] [「ん……夏彦が帰ってきたみたい」]
115: 1071| [47] [ましろ]
116: 1074| [45] [「あ、やばい。寝たフリしよ」]
117: 1079| [47] [サリュ]
118: 1082| [45] [「どうして？」]
119: 1108| [47] [ましろ]
120: 1111| [45] [「恥ずかしいからだよ。いいから寝なさい」]
121: 1116| [47] [サリュ]
122: 1119| [45] [「ん」]
123: 1212| [45] [サリュは言われるままに、目をつぶった。]
124: 1217| [45] [ましろの言動はこの時に限って、最初から最後まで難解だった。]
125: 1286| [45] [夏彦が入室し、ソファに座る音を聞きながら、サリュは思う。]
126: 1291| [47] [サリュ]
127: 1292| [45] [（……決して解けない謎……ましろもそれを抱えているみたい）]
128: 1297| [47] [サリュ]
129: 1298| [45] [（でも、人にとって他人というものはいつも、『解けない謎』だと言うのなら……）]
130: 1303| [47] [サリュ]
131: 1304| [45] [（……私はむしろ、安心）]
132: 1309| [47] [サリュ]
133: 1310| [45] [（皆も、私と同じ悩みを抱えているという事になるから……）]
134: 1316| [45] [そんな事を思いながら、彼女は再び眠りについた。]
