  0:   53| [45] [そして、運命の日がやってきた。]
146: 1604| [45] [後ほど渡瀬たちが無事か確認しようと思いつつ、残りの爆弾を全て爆破する。]
147: 1671| [45] [中には不発だったものもあるようだが、それは仕方ない。]
148: 1676| [45] [そしてあらかじめ用意しておいたＡＤを投与した時、渡瀬たちがやってきた。]
149: 1715| [47] [宇喜多]
150: 1718| [45] [「遅かったじゃないか！　３人ともなんともないか！？」]
151: 1726| [47] [渡瀬]
152: 1729| [45] [「あ、ああ……とりあえず、大丈夫そうだが……」]
153: 1737| [47] [宇喜多]
154: 1740| [45] [「本当か……？」]
155: 1745| [45] [宇喜多が心配の声をかけると、渡瀬は不愉快そうに答えた。]
156: 1773| [47] [渡瀬]
157: 1776| [45] [「大丈夫だと言っているだろう。それより――」]
158: 1802| [47] [渡瀬]
159: 1805| [45] [「大変だ宇喜多さん！　Ｚｅｒｏエリアには、被験体が１人しかいなかった！」]
160: 1813| [47] [宇喜多]
161: 1816| [45] [「なに！？」]
162: 1827| [45] [そう尋ねると、渡瀬は事情を説明した。]
163: 1832| [45] [被験体ＹⅡの姿は、どこにもなかったという。]
164: 1837| [45] [さらに２名の上級研究員の姿も見えない事に気付き、それに対して問いを重ねると――信じ難い答えが返ってきた。]
165: 1842| [47] [宇喜多]
166: 1843| [45] [（『２人とも、Ｚｅｒｏエリアで殺してしまった』だと！？）]
167: 1850| [45] [思わず宇喜多は、渡瀬に食ってかかった。]
168: 1910| [47] [宇喜多]
169: 1913| [45] [「隊長さん、話が違うじゃないか！」]
170: 1921| [47] [宇喜多]
171: 1924| [45] [「人的被害は出さないんじゃなかったのか！？」]
172: 1950| [47] [渡瀬]
173: 1953| [45] [「ま、待て！　落ち着け宇喜多さん！」]
174: 1961| [47] [宇喜多]
175: 1964| [45] [「誰も傷つけないという話だったじゃないか！　騙していたのか！？」]
176: 1972| [47] [宇喜多]
177: 1975| [45] [「もしそうだと言うなら、僕は君たちを――」]
178: 1998| [45] [思わず宇喜多が渡瀬に掴み掛ろうとした、そのとたん――]
179: 2056| [47] [宇喜多]
180: 2059| [45] [「っ！」]
181: 2064| [45] [後頭部を痛打された。]
182: 2079| [47] [宇喜多]
183: 2082| [45] [「な、ぜ……」]
184: 2087| [45] [薄れゆく意識の中、渡瀬の声が聞こえる。]
185: 2156| [47] [渡瀬]
186: 2159| [45] [「……すまない、宇喜多さん」]
187: 2167| [47] [渡瀬]
188: 2170| [45] [「俺たちは……もう引き返すことができないんだ」]
189: 2175| [45] [『俺たち』と渡瀬は言った。]
190: 2182| [45] [どうやらそこに宇喜多は含まれていないらしい。]
191: 2187| [47] [宇喜多]
192: 2188| [45] [（僕は……裏切られたのか……？）]
193: 2193| [45] [失望感に溺れるように、宇喜多は意識を失った。]
194: 2208| [45] [――――――]
195: 2213| [45] [………………]
196: 2218| [45] [………それからどれくらい、時間が過ぎたのだろう。]
197: 2226| [47] [宇喜多]
198: 2229| [45] [「う……む……」]
199: 2255| [47] [宇喜多]
200: 2258| [45] [「僕は、いったい…………？」]
201: 2266| [47] [宇喜多]
202: 2269| [45] [「そ、そうだ……僕は、隊長さんに殴られて……」]
203: 2323| [45] [気付けば首から下げていたセキュリティカードと、ポケットにあったカードが、どちらも消えていた。]
204: 2338| [47] [宇喜多]
205: 2339| [45] [（彼らはどこへ……！？）]
206: 2345| [45] [宇喜多は現状を確認するために、監視モニターをチェックした。]
207: 2350| [45] [だが爆破の影響で大半のカメラが破損しており、とても役立ちそうにない。]
208: 2355| [47] [宇喜多]
209: 2356| [45] [（くそ、隊長さんたちはどこに行ったんだ！　僕を置き去りにして！）]
210: 2361| [47] [宇喜多]
211: 2362| [45] [（まさか……初めから僕を、スケープゴートにするつもりだったのか！？）]
212: 2367| [45] [宇喜多の中には、まだ渡瀬を『信じたい』という思いが残っている。]
213: 2372| [45] [だが彼らが殺人を犯した事と、宇喜多を気絶させた事――その２つの事実が、宇喜多の心に波紋を起こす。]
214: 2380| [47] [宇喜多]
215: 2383| [45] [「……い、いや……今はまず、できる事をしなければ……！」]
216: 2388| [45] [とにかく万が一に備え、自分がこの事件に関与した証拠を抹消しなければならない。]
217: 2399| [45] [そう思い、まずは監視カメラの映像記録を消し始めたのだが――]
218: 2449| [45] [――しばらくして、信じ難い映像を発見してしまった。]
219: 2511| [47] [宇喜多]
220: 2514| [45] [「こ、これは……！」]
221: 2519| [45] [宇喜多は慌てて、映像を停止した。]
222: 2537| [47] [宇喜多]
223: 2540| [45] [「なんだ、この映像は……！？　なんで彼らがここにいるんだ？」]
224: 2545| [45] [いるはずのない夏彦たちが、ここにいる！]
225: 2550| [45] [爆破の影響で映像に乱れはあるが、そこに映っていたのは、間違いなくあの３人の子供だった。]
226: 2555| [45] [それは宇喜多を激しく動揺させた。]
227: 2560| [47] [宇喜多]
228: 2561| [45] [（ま、まさか……あの後、ラボに直接やってきたのか！？）]
229: 2566| [47] [宇喜多]
230: 2567| [45] [（そして僕らのテロに巻き込まれて――！）]
231: 2574| [45] [数時間前、宇喜多は『人がいない場所』を狙って爆破を行った。]
232: 2579| [45] [だが忙しすぎて、モニターに映りこむのが誰かまでは確認しきれなかった。]
233: 2584| [45] [そのせいで夏彦たちがいるのに、気付かなかったのだ。]
234: 2589| [47] [宇喜多]
235: 2590| [45] [（まずい……まずい、まずいぞ！）]
236: 2595| [47] [宇喜多]
237: 2596| [45] [（もし彼らが脱出できていなかったとしたら、それは紛れもなく僕の責任だ！）]
238: 2601| [45] [――宇喜多がそう思った時。]
239: 2606| [45] [部屋の外から声が聞こえた。]
240: 2661| [47] [？？]
241: 2664| [45] [「おーい！　ここにいるのか！？」]
242: 2674| [47] [宇喜多]
243: 2677| [45] [「なっ！？」]
244: 2685| [47] [宇喜多]
245: 2688| [45] [「その声は――隊長さんか！？」]
246: 2696| [47] [渡瀬]
247: 2699| [45] [「なに！？　あ、あんたオレを知ってるのか！？」]
248: 2707| [47] [宇喜多]
249: 2710| [45] [「し、知ってるも何も……」]
250: 2748| [45] [扉を開けると、そこには渡瀬がいた。]
251: 2753| [45] [だが渡瀬以外にも、２人のレスキュー隊員と――全く見知らぬ女が、２人いた。]
252: 2779| [47] [恵那]
253: 2782| [45] [「私は椿山恵那。この施設に呼ばれてやってきた、高校教師よ」]
254: 2808| [47] [悠里]
255: 2811| [45] [「わたし、ユウリ……ラボの研究員の、家族です」]
256: 2816| [45] [その２人の存在を、宇喜多は訝しく思った。]
257: 2821| [47] [宇喜多]
258: 2822| [45] [（……おかしい。どんな事情があるにせよ、職員以外がラボに立ち入る事は禁止されているはずなのに）]
259: 2827| [47] [宇喜多]
260: 2828| [45] [（いや、それより『ユウリ』という少女……もしや、彼女が被験体ＹⅡなのではないか！？）]
261: 2927| [45] [だが現れた５人の中で宇喜多を最も慌てさせたのは、渡瀬だった。]
262: 2932| [45] [彼は何らかの記憶障害を起こしたらしく、宇喜多の事も覚えていないらしいのだ。]
263: 2937| [47] [宇喜多]
264: 2938| [45] [（いったい、どういう事なんだ！？　いるはずのない部下に遭遇して、とっさに嘘をついたのか！？）]
265: 2943| [47] [宇喜多]
266: 2944| [45] [（だがそうだとしても、堂島と桧山はどうなったんだ！？　被験体Ｎは！？　彼らはどこに行ったのだ！？）]
267: 2949| [45] [予想外の出来事の連続に、宇喜多は混乱したが――]
268: 3003| [45] [だが眼の前にいる被験体ＹⅡの存在が、]
269: 3053| [45] [地下に取り残されているかもしれない夏彦たちの存在が、]
270: 3092| [45] [――宇喜多を冷静に立ち返らせた。]
271: 3097| [47] [宇喜多]
272: 3098| [45] [（そうだ、落ち着け。そして思い出すんだ。僕がなぜ今日の行動を起こしたかを）]
273: 3103| [45] [何が起きてるのかはわからない。渡瀬たちに裏切られたのかもしれない。]
274: 3108| [45] [だが宇喜多は被験体を救うために、夏彦を守るために、今日の行動を起こしたのだった。]
275: 3113| [47] [宇喜多]
276: 3114| [45] [（だから僕さえ、僕の信念さえ揺るがなければ――きっと彼らをラボから救い出す事が出来るはずだ）]
277: 3119| [45] [宇喜多はあの雨の夜と同じように、心に熱い火を入れる。]
278: 3173| [45] [そうして、宇喜多たちは歩き出した。]
279: 3224| [45] [要救助者とＡＤと、そして脱出口を求めて……。]
