  0:   63| [45] [――それは、第５エリアを捜索中に起きた出来事の記憶だった。]
153: 3152| [47] [渡瀬]
154: 3155| [45] [「……なにやってんだ、あんたら？」]
155: 3160| [45] [その瞬間、恵那がぱっと離れて言う。]
156: 3186| [47] [恵那]
157: 3189| [45] [「知らないわよ。私がこのパソコンをいじっていたら、急に宇喜多さんが怒り出して……」]
158: 3197| [47] [恵那]
159: 3200| [45] [「腕を捕まれて、お説教されてたの」]
160: 3223| [47] [宇喜多]
161: 3226| [45] [「なっ……！」]
162: 3231| [45] [恵那の嘘に、宇喜多は一瞬愕然としたが――そこに風見が口を挟んだ。]
163: 3285| [47] [風見]
164: 3288| [45] [「宇喜多さん。どういう事か、ご説明願えますか？」]
165: 3296| [47] [宇喜多]
166: 3299| [45] [「あ、ああ、いや……」]
167: 3307| [47] [宇喜多]
168: 3310| [45] [「機密情報に触れないように、注意していたんだ」]
169: 3318| [47] [宇喜多]
170: 3321| [45] [「第５エリアから先は、機密のレベルも極めて高い」]
171: 3329| [47] [宇喜多]
172: 3332| [45] [「ここから生きて出る事ができたとしても、ここで見たことを外で公言しない方がいいだろう」]
173: 3340| [47] [宇喜多]
174: 3343| [45] [「思いもよらないトラブルに、巻き込まれる可能性があるからね……」]
175: 3348| [45] [そんな説明をしつつも、宇喜多の中では疑心が渦巻いていた。]
176: 3397| [47] [宇喜多]
177: 3398| [45] [（なんなんだ、この女は……？）]
178: 3403| [47] [宇喜多]
179: 3404| [45] [（さっきはどういうつもりで、あんな事を……！）]
180: 3559| [45] [恵那は先ほどまでとは打って変わって、平然としている。]
181: 3564| [45] [宇喜多に見せた態度など、忘れてしまったようだ。]
182: 3569| [47] [宇喜多]
183: 3570| [45] [（……男を誘惑して、自分の思うままに動かそうとしてるのか？）]
184: 3643| [45] [よく見れば恵那はかなりの美人で、しかもグラマラスだ。]
185: 3648| [45] [あの肉体を餌にされたら、たいていの男はクラっと来てしまうかもしれないが――]
186: 3653| [47] [宇喜多]
187: 3654| [45] [（しかし、なんのために誘惑など……！？）]
188: 3674| [45] [――だが結局、その疑問の答えらしきものは、見つからなかった……。]
189: 3728| [45] [――その記憶を見終えた夏彦は、思った。]
190: 3733| [47] [夏彦]
191: 3734| [45] [（……先生に対する記憶も、書きかえられてるみたいだな）]
192: 3739| [47] [夏彦]
193: 3740| [45] [（ここは先生に対しても、好意的な感情を注ぎ込んだほうがいいんだろう）]
194: 3745| [47] [夏彦]
195: 3746| [45] [（でも、どのくらいが妥当なんだ……？）]
196: 3780| [45] [――その記憶を見終えた夏彦は、思った。]
197: 3785| [47] [夏彦]
198: 3786| [45] [（おじさん、気持ちはわからないでもないけど……先生は多分、そんな人じゃないよ）]
199: 3791| [47] [夏彦]
200: 3792| [45] [（……それにしても、この修復はちょっと難しそうだな）]
201: 3797| [47] [夏彦]
202: 3798| [45] [（先生に対する感情を、自然な形に調整すればいいんだろうけど……）]
