  0:   53| [45] [――次に夏彦が見たのは、それからずっと先の事――]
 49:  705| [45] [記憶を少しいじっただけで、夏彦は強固にそれを信じ、現実認識さえも歪ませるようになったのだ。]
 50:  710| [45] [記憶操作が精神に及ぼす影響の大きさを、この９年間悠里は痛感してきた。]
 51:  718| [47] [悠里]
 52:  721| [45] [「……ねぇ博士、わたしがやった事は、正しかったんでしょうか？」]
 53:  747| [47] [美夜子]
 54:  750| [45] [「正しいとは断言できないけど、ああする以外に方法がなかったのも事実だわ」]
 55:  776| [47] [美夜子]
 56:  779| [45] [「そもそも夏彦の脳内にあるあなたの記憶を、完全に消去するのは難しかったでしょうしね」]
 57:  787| [47] [悠里]
 58:  790| [45] [「え？」]
 59:  816| [47] [美夜子]
 60:  819| [45] [「あの頃はまだよくわかっていなかったけど、研究が進むにつれ、記憶消去の問題点が判明したじゃない？」]
 61:  827| [47] [美夜子]
 62:  830| [45] [「『消去した記憶はたいていの場合、いずれは蘇ってしまう』という事が」]
 63:  838| [47] [悠里]
 64:  841| [45] [「確かに……」]
 65:  846| [45] [記憶とは、強力な情報エネルギーの塊だ。]
 66:  851| [45] [そして記憶消去は、その情報エネルギーの塊に、さらに強力なエネルギーをぶつけて破壊する能力なのだ。]
 67:  856| [45] [すると記憶は散り散りになり、思い出す事が不可能なほど断片化する。]
 68:  861| [45] [しかし断片化してしまっても、記憶そのものが、完全に消えてしまうわけではないらしい。]
 69:  866| [45] [時間の経過や何らかのきっかけによって、脳が断片化した情報を再構築し、記憶が蘇ってしまう事がある。]
 70:  871| [45] [それに対象者の反応も大きい。]
 71:  876| [45] [誰だって『記憶喪失』になったら愕然とし、なんとしても消えた記憶を思い出そうとするからだ。]
 72:  902| [47] [美夜子]
 73:  905| [45] [「……それに夏彦はあなたと出会ってから、いつもあなたと一緒にいたもの」]
 74:  913| [47] [美夜子]
 75:  916| [45] [「無理に記憶を消したとしても、いずれ誰かの口から、必ずあなたの話が出てしまう」]
 76:  942| [47] [美夜子]
 77:  945| [45] [「そうすれば夏彦は、自分の記憶と事実の矛盾に気付き、やがてはまた真実に行き当たるでしょう」]
 78:  953| [47] [美夜子]
 79:  956| [45] [「その繰り返しに陥らない方法は、あれしかなかったのよ……」]
 80:  961| [45] [博士の言う通り――記憶操作は記憶消去より、はるかに扱いやすい能力だと結論付けられている。]
 81:  966| [45] [ある記憶を改竄し、別の記憶に差し替えた際は、人間の脳は素直にそれを受け入れる。]
 82:  971| [45] [なぜなら『記憶喪失』という現象はめったに起こらないが、『記憶の捻じ曲げ・覚え違い』などは、いくらでも起こりうるからだ。]
 83:  976| [45] [だが、悠里は自覚している。]
 84:  981| [47] [悠里]
 85:  982| [45] [（ごめんなさい博士……それだけじゃないんです）]
 86:  987| [45] [幼い頃の悠里は、夏彦が自分を忘れてしまうという事に、耐えられなかっただけなのだ。]
 87:  992| [45] [だからこそ、己のした事の後始末をし続けなければならない。]
 88:  997| [45] [そう思った時、博士がふと腕時計を見た。]
 89: 1023| [47] [美夜子]
 90: 1026| [45] [「……あら、そろそろあの子が来る時間だわ」]
 91: 1034| [47] [悠里]
 92: 1037| [45] [「あ、はい」]
 93: 1063| [47] [美夜子]
 94: 1066| [45] [「行きましょう悠里ちゃん。１年ぶりの逢瀬よ」]
 95: 1080| [45] [悠里はうなずき、博士と一緒に部屋を出た。]
 96: 1129| [45] [――そして第５エリアの脳科学実験室に向かう。]
 97: 1139| [45] [そこで悠里は、夏彦と再会した。]
 98: 1200| [47] [悠里]
 99: 1203| [45] [「１年ぶりだね、ひこりん」]
100: 1208| [45] [悠里たちの前には、薬で眠らされている夏彦がいる。]
101: 1213| [45] [ラボの職員が、彼をここまで連れてきたのだ。]
102: 1221| [47] [美夜子]
103: 1224| [45] [「悠里ちゃん、２人きりの方がいいでしょう？　私は外で待っているわね」]
104: 1232| [47] [悠里]
105: 1235| [45] [「あ……は、はい。ありがとうございますっ」]
106: 1246| [45] [博士は不敵に笑い、部屋を出て行った。]
107: 1294| [45] [――ラボに幽閉される事を承諾したあの夜――]
108: 1299| [45] [悠里は博士に１つの願い事をした。]
109: 1367| [47] [悠里]
110: 1370| [45] [「ほんのたまにでいいから……いちねんにいちどとかでもいいから、ひこりんにあわせてください」]
111: 1378| [47] [悠里]
112: 1381| [45] [「それだけでわたしは、じゅうぶんです」]
113: 1407| [47] [美夜子]
114: 1410| [45] [「……約束するわ」]
115: 1459| [45] [――あの時の約束を、博士は守ってくれた。]
116: 1464| [45] [１年に１度、例の事故が起きた７月７日が来るたび、こうして彼と会わせてくれる。]
117: 1469| [45] [むろん夏彦は、この逢瀬を自覚していない。]
118: 1474| [45] [『年に１度の定期健診のため、鹿鳴市立病院に泊まっている』と思っている。]
119: 1479| [45] [そこで睡眠薬を投与された上で、ラボに移送され――目が覚める前に、また病院に戻されるのだ。]
120: 1579| [47] [悠里]
121: 1580| [45] [（こういう形でしか会えないけれど……それでも充分だよ）]
122: 1585| [45] [この再会は、ただ顔を見る事だけが目的ではない。]
123: 1590| [45] [１年に１度、彼の中にある『悠里の記憶』を更新するために、ここまで連れてきてもらっているのだ。]
124: 1595| [45] [夏彦が脳内に作り上げた幻影は、しょせんは幻に過ぎない。]
125: 1600| [45] [放置していれば、現実の悠里とは徐々にかけ離れていってしまう。]
126: 1605| [45] [その変化と差異を埋めるための、いわばメンテナンス――それが夏彦が受ける『年に１度の定期健診』の正体だった。]
127: 1610| [47] [悠里]
128: 1611| [45] [（……これがひこりんのためになるのか、わたしにもわからないけど……）]
129: 1616| [47] [悠里]
130: 1617| [45] [（正直、会える事が嬉しいの）]
131: 1622| [47] [悠里]
132: 1623| [45] [（許してね、ひこりん……）]
133: 1630| [45] [悠里は夏彦にそっと頭を下げ、歩み寄る。]
134: 1638| [47] [悠里]
135: 1641| [45] [「今年はどんな年だったかな……？」]
136: 1705| [45] [そうして悠里は、夏彦の記憶に潜った。]
137: 1862| [45] [――１年分の記憶が、夏彦の脳裏に浮かぶ。]
138: 1867| [45] [それはどうという事のない、日常の情景だった。]
139: 1930| [47] [ましろ]
140: 1933| [45] [「夏彦っ！　ごはん作りに来たよー！」]
141: 1941| [47] [夏彦]
142: 1944| [45] [「ああ、いつもすまないな」]
143: 1970| [47] [ましろ]
144: 1973| [45] [「いいのいいの、夏彦の喜ぶ顔が見たくてやってるんだからさ～」]
145: 1978| [45] [学校に行く前の、朝の情景だ。]
146: 1986| [47] [悠里]
147: 1987| [45] [（あ、ましろんだ！）]
148: 1992| [45] [悠里はましろの事も大好きである。]
149: 1997| [45] [記憶の中でとはいえ、ましろと再会できたことを、悠里は素直に喜んだ。]
150: 2008| [47] [夏彦]
151: 2011| [45] [「また適当なこと言って。ぼくのためってより、悠里のためだろ」]
152: 2037| [47] [ましろ]
153: 2040| [45] [「あ、バレた？」]
154: 2045| [45] [ましろはこの春から、夏彦の家に食事を作りに通っているらしい。]
155: 2050| [45] [だから近頃の記憶は、ましろの記憶で埋まっていた。]
156: 2206| [47] [ましろ]
157: 2209| [45] [「ほらほら夏彦、遅刻しちゃうよ」]
158: 2217| [47] [夏彦]
159: 2220| [45] [「わ、悪い。朝から食い過ぎた……」]
160: 2225| [45] [１つ１つは、些細な記憶だ。]
161: 2367| [47] [ましろ]
162: 2370| [45] [「夏彦、買い物つき合ってよ。ちょっと買いたいものあるからさ」]
163: 2378| [47] [夏彦]
164: 2381| [45] [「なんだよ、またアニメショップにでもいくのか？」]
165: 2407| [47] [ましろ]
166: 2410| [45] [「いーじゃん、暇でしょ？」]
167: 2415| [45] [だが記憶の中に映るましろの表情に、ひっかかるものを感じた。]
168: 2557| [47] [ましろ]
169: 2560| [45] [「夏彦夏彦、これ見てよ、可愛くない？」]
170: 2568| [47] [夏彦]
171: 2571| [45] [「『買いたいもの』って服かよ。ぼく女の子の服とか、よくわからないよ」]
172: 2597| [47] [ましろ]
173: 2600| [45] [「男の子の意見も聞きたいんだよ、一般論として」]
174: 2605| [45] [ましろが夏彦に向ける、視線にも言動にも態度にも――]
175: 2610| [45] [彼女の夏彦に対する恋慕は、色濃く滲んでいた。]
176: 2640| [47] [悠里]
177: 2641| [45] [（ましろん……）]
178: 2646| [47] [悠里]
179: 2647| [45] [（ましろんは、ひこりんの事を……？）]
180: 2800| [45] [――現実に戻ってきた悠里は、夏彦の寝顔を見つめながら呟く。]
181: 2850| [47] [悠里]
182: 2853| [45] [「……そうだよね」]
183: 2861| [47] [悠里]
184: 2864| [45] [「いつまでもわたしが、ひこりんを独占してたらダメなんだ……」]
185: 2869| [45] [それではましろが、あまりにも可哀想だ。]
186: 2923| [47] [悠里]
187: 2924| [45] [（わたしなんかより、ましろんの方がずっといい娘だし……）]
188: 2929| [47] [悠里]
189: 2930| [45] [（ひこりんはましろんと一緒になった方が……）]
190: 2945| [45] [どうせ自分は一生、まともな形では、夏彦に会えないだろう。]
191: 2950| [45] [そもそもこうして会っている事が、不自然なくらいなのだ。]
192: 2955| [45] [ならば夏彦もましろも、悠里の事など忘れてしまった方が幸せになれる。]
193: 2960| [45] [その思いは急速に、悠里の中で大きくなり始めていた。]
194: 3015| [45] [悠里が肩を落とし、実験室を出ると、廊下に博士が待っていた。]
195: 3048| [47] [美夜子]
196: 3051| [45] [「悠里ちゃん、１年ぶりの逢瀬はどうだった？」]
197: 3059| [47] [悠里]
198: 3062| [45] [「博士……」]
199: 3070| [47] [悠里]
200: 3073| [45] [「ひこりんの中にある、わたしの記憶……全部ましろんとの記憶に差し替えたほうがいいんじゃ……」]
201: 3099| [47] [美夜子]
202: 3102| [45] [「……え？　どうしてまたそんな事を？」]
203: 3110| [47] [悠里]
204: 3113| [45] [「だってそうじゃないと、ましろんが……」]
205: 3139| [47] [美夜子]
206: 3142| [45] [「……ましろちゃんの事を、気にかけているの？」]
207: 3147| [45] [こくりと悠里はうなずいた。]
208: 3152| [45] [だが、博士は少し考えた後、首を振って言う。]
209: 3178| [47] [美夜子]
210: 3181| [45] [「それも恐らく、まずいわ……」]
211: 3189| [47] [悠里]
212: 3192| [45] [「どうしてですか？」]
213: 3218| [47] [美夜子]
214: 3221| [45] [「悠里ちゃんに関する記憶を操作すれば、恐らく夏彦の心には、重大な問題が出ると思うの」]
215: 3229| [47] [悠里]
216: 3232| [45] [「そんな……？　でも、丁寧にやれば……」]
217: 3258| [47] [美夜子]
218: 3261| [45] [「いいえ、夏彦にとって悠里ちゃんの存在は大きすぎる」]
219: 3287| [47] [美夜子]
220: 3290| [45] [「そうでなくとも夏彦の精神は、すでに無数の問題を抱えているのよ」]
221: 3298| [47] [悠里]
222: 3301| [45] [「え？」]
223: 3309| [47] [美夜子]
224: 3312| [45] [「これまでに夏彦は幾度となく、悠里ちゃんの不在に気付きかけたんだけど、それを認めようとしない」]
225: 3320| [47] [美夜子]
226: 3323| [45] [「そのあまりに、奇妙な行動をとる事もあるわ」]
227: 3331| [47] [悠里]
228: 3334| [45] [「奇妙な行動……？」]
229: 3360| [47] [美夜子]
230: 3363| [45] [「例えば我が家のリビングで、夏彦が悠里ちゃんのためにホットミルクを入れるとするでしょう？」]
231: 3371| [47] [悠里]
232: 3374| [45] [「は、はい」]
233: 3382| [47] [美夜子]
234: 3385| [45] [「でも現実には悠里ちゃんはそこに存在しないから、悠里ちゃんのコップの中のミルクは、減りはしないわよね」]
235: 3411| [47] [美夜子]
236: 3414| [45] [「だけどその事に対し、夏彦は何の疑問も持たないの」]
237: 3422| [47] [美夜子]
238: 3425| [45] [「全く減らないまま冷めたミルクを、黙ってシンクに捨てるだけ」]
239: 3451| [47] [美夜子]
240: 3454| [45] [「試みに夏彦に『そのミルク、減ってないわね』と聞くと、『え、何が？』と心から不思議そうな顔をするわ」]
241: 3462| [47] [悠里]
242: 3465| [45] [「そ……そんな事ってあるんですか？」]
243: 3474| [47] [美夜子]
244: 3477| [45] [「あるのよ。『否認シンドローム』って言うんだけどね……」]
245: 3503| [47] [美夜子]
246: 3506| [45] [「他にも奇妙な行動は多いわ」]
247: 3514| [47] [美夜子]
248: 3517| [45] [「例えば毎日学校に行く前に、リビングの照明を点けてから家を出たり」]
249: 3525| [47] [悠里]
250: 3528| [45] [「照明？」]
251: 3554| [47] [美夜子]
252: 3557| [45] [「そうしないと、家に帰ってきた時、照明が消えたままになってしまうでしょう」]
253: 3565| [47] [美夜子]
254: 3568| [45] [「悠里ちゃんが家にいるはずなのに、照明が消えていると、つじつまが合わない」]
255: 3576| [47] [美夜子]
256: 3579| [45] [「それを避ける為に、照明をつけて家を出るのよ……こういう事を夏彦は、全て無意識に行っているの」]
257: 3584| [45] [それを聞き終えた悠里は、震える声で呟く。]
258: 3592| [47] [悠里]
259: 3595| [45] [「じゃあひこりんは、わたしのせいで……！」]
260: 3621| [47] [美夜子]
261: 3624| [45] [「違うわ、悠里ちゃんのせいなんかじゃない」]
262: 3632| [47] [美夜子]
263: 3635| [45] [「否認シンドロームは、脳に何らかの機能異常が起きたとき、容易に起こりうる事なの」]
264: 3661| [47] [美夜子]
265: 3664| [45] [「こうした症例は、世界中で報告されている……夏彦の取る奇妙な行動は、全て他の患者にも見られた行動なのよ」]
266: 3690| [47] [美夜子]
267: 3693| [45] [「だから……お願い、そんなこと言わないで」]
268: 3698| [45] [そう言われても、涙が出てきた。]
269: 3703| [45] [９年前に自分がした事の重さに、悠里は押しつぶされそうになる。]
270: 3711| [47] [悠里]
271: 3714| [45] [「博士……どうすればいいんでしょう……」]
272: 3740| [47] [美夜子]
273: 3743| [45] [「そうね……いつか夏彦が、事実を受け止められる強さを得たら……」]
274: 3751| [47] [美夜子]
275: 3754| [45] [「その時は、真実を教えてもいいのかもしれない」]
276: 3762| [47] [悠里]
277: 3765| [45] [「だけど、その時が来る保証なんて……」]
278: 3791| [47] [美夜子]
279: 3794| [45] [「ないわ。だから私は――」]
280: 3820| [47] [美夜子]
281: 3823| [45] [「いつかあなたを、ラボから解放してみせる」]
282: 3846| [47] [悠里]
283: 3849| [45] [「！？」]
284: 3854| [45] [悠里は耳を疑った。]
285: 3859| [45] [ＢＣ研究の第一人者である彼女が、そんな事を言う事が信じられなかった。]
286: 3867| [47] [美夜子]
287: 3870| [45] [「ＢＣの謎を全て解き明かす事ができたなら、ラボはもうあなたを拘束しておく理由はなくなる」]
288: 3878| [47] [美夜子]
289: 3881| [45] [「そのために私は、人生を捧げるつもりよ」]
290: 3907| [47] [美夜子]
291: 3910| [45] [「それであなたの人生を壊した罪が、償えるとは思えないけど……」]
292: 3918| [47] [悠里]
293: 3921| [45] [「そんな……」]
294: 3929| [47] [美夜子]
295: 3932| [45] [「そしてそれが仮に、叶わなかったとしても……」]
296: 3958| [47] [美夜子]
297: 3961| [45] [「いよいよになったら、私の命に替えても、あなたたちを外に出してあげるわ」]
298: 3969| [47] [悠里]
299: 3972| [45] [「え？」]
300: 3998| [47] [美夜子]
301: 4001| [45] [「実はね、密かにそのための準備を進めてるの」]
302: 4027| [47] [美夜子]
303: 4030| [45] [「１人ではできない事だから、難航してるんだけど……いつかは、必ず……」]
304: 4063| [45] [すまなそうに言う博士を、悠里はそっと抱きしめた。]
305: 4068| [45] [――悠里にはわかっている。]
306: 4073| [45] [それもまた叶わぬ願いだという事を。]
307: 4078| [45] [９年間も一緒に居続けたのだ。博士が絶望的な想いを抱えている事くらい、ＢＣを使わなくてもわかる。]
308: 4083| [47] [悠里]
309: 4084| [45] [（ＢＣの研究が終る事なんてない……）]
310: 4089| [47] [悠里]
311: 4090| [45] [（わたしが閉じ込められているのにも、きっと他の理由があるんだ）]
312: 4095| [47] [悠里]
313: 4096| [45] [（想像もつかないけど……）]
314: 4101| [45] [しかし、では自分はいつまでここにいなければならないのか。]
315: 4106| [45] [どうすれば夏彦とましろは、自分の呪縛から逃れられるのか。]
316: 4111| [45] [数々の疑問の答えは、何ひとつ見つからないまま――]
317: 4116| [45] [日々は過ぎていった。]
