  0:   64| [45] [――２０２１年、４月７日。]
230: 2489| [45] [これからもいつもいっしょだよ。]
231: 2493| [45] [だいすきだよ、おねえちゃん。]
232: 2497| [85] [　]
233: 2500| [45] [なぎさ]
234: 2526| [47] [風見]
235: 2529| [45] [「…………あ」]
236: 2534| [47] [風見]
237: 2537| [45] [「あ、あ、ああああ……」]
238: 2542| [45] [風見はその手紙を見た瞬間、嗚咽を漏らした。]
239: 2547| [45] [凪沙の死から、ずっと流れなかった涙が、そのとき不意に溢れ出した。]
240: 2557| [47] [風見]
241: 2560| [45] [「あああああっ！　わぁああああっ！」]
242: 2565| [45] [風見は人目もはばからず、大声で泣いた。]
243: 2570| [47] [風見]
244: 2573| [45] [「凪沙……凪沙ぁあああ！」]
245: 2578| [45] [声を枯らして叫ぶにつれ、凪沙の言葉が心に染み入ってくる。]
246: 2583| [45] [妹と過ごした日々が、脳裏に浮かんでは消える。]
247: 2588| [45] [風見は凪沙の贈り物を握り締め、いつまでもそこで泣き続けた。]
248: 2632| [45] [やがて、その涙も枯れた頃――]
249: 2637| [45] [風見は、決意した。]
250: 2642| [47] [風見]
251: 2643| [45] [（……生きよう……凪沙の分まで……）]
252: 2648| [45] [それが彼女のためにできる、ただ一つの事だ。]
253: 2653| [45] [その決意は風見の心に、希望をもたらした。]
254: 2714| [45] [――だが同時に、風見は後悔に縛られていた。]
255: 2719| [45] [もしあのとき、自分がもっと早く家に帰っていたら、凪沙を救えたかもしれない。]
256: 2724| [45] [いつしか風見は、そのことばかりを考えるようになっていた。]
257: 2729| [47] [風見]
258: 2730| [45] [（……ただ生きるだけでは、ダメだわ……）]
259: 2735| [47] [風見]
260: 2736| [45] [（この命を使って、何かできる事を）]
261: 2741| [47] [風見]
262: 2742| [45] [（救えなかった凪沙の代わりに、誰かを……！）]
263: 2747| [45] [やがて風見は考えた末に、己の生きる道を決めた。]
264: 2835| [47] [洵]
265: 2838| [45] [「――お姉ちゃんが、消防士に！？」]
266: 2843| [45] [洵と会った時、風見は彼女にその意思を告げてみた。]
267: 2869| [47] [洵]
268: 2872| [45] [「なんで急に、そんな事……」]
269: 2877| [47] [風見]
270: 2880| [45] [「急にじゃないわ。考え抜いた結果よ」]
271: 2906| [47] [洵]
272: 2909| [45] [「花屋の仕事は？」]
273: 2914| [47] [風見]
274: 2917| [45] [「あの仕事も好きだったけど……辞めて、消防学校に入るわ」]
275: 2922| [45] [団地の管理組合から、多額の賠償金が支払われたため、当座の生活費については問題なかった。]
276: 2927| [45] [だが洵はわずかな沈黙の後、風見をじっと見て言う。]
277: 2953| [47] [洵]
278: 2956| [45] [「ねぇ、お姉ちゃん……」]
279: 2964| [47] [洵]
280: 2967| [45] [「もしかして、それって――凪沙のことが関係してる？」]
281: 2972| [47] [風見]
282: 2975| [45] [「それは……」]
283: 3001| [47] [洵]
284: 3004| [45] [「もしそうだとしたら、あたしはお姉ちゃんが消防士になるのは反対だな」]
285: 3009| [47] [風見]
286: 3012| [45] [「どうして？」]
287: 3038| [47] [洵]
288: 3041| [45] [「だってお姉ちゃん、とんでもなく無茶しそうなんだもん」]
289: 3046| [47] [風見]
290: 3049| [45] [「……！」]
291: 3054| [45] [確かに洵の言葉には一理ある。]
292: 3059| [45] [風見はあのとき、凪沙を助けることができなかった。]
293: 3064| [45] [自分がいれば救えたかもしれないなどと言う事は、恐らくおこがましい考えだろう。]
294: 3069| [45] [だが、それでも風見は――これから多くの人の命を救うことで、その贖罪をしたいと考えていた。]
295: 3074| [47] [風見]
296: 3077| [45] [「あなたの心配はわかったわ」]
297: 3082| [47] [風見]
298: 3085| [45] [「でも駄目。この意思は変えません」]
299: 3111| [47] [洵]
300: 3114| [45] [「ど、どうしてさ？」]
301: 3119| [47] [風見]
302: 3122| [45] [「さぁ、どうしてかしらね……？」]
303: 3127| [45] [風見は静かに微笑んだ。]
304: 3132| [45] [凪沙ならきっと、応援してくれると思いながら――]
