  0:   53| [45] [――『明日からランニングをしよう！』と亘に提案された後――]
 72:  879| [47] [渡瀬]
 73:  882| [45] [「はぁ……心の声ねぇ……？」]
 74:  908| [47] [亘]
 75:  911| [45] [「それで超心研は大盛り上がりよ。これは科学の世界がひっくり返るような発見だ、この研究に力を入れていこうって」]
 76:  937| [47] [亘]
 77:  940| [45] [「鹿鳴市議会もそれを後押しして、市の予算をバカスカ注ぎ込む事にしたんだとさ」]
 78:  948| [47] [渡瀬]
 79:  951| [45] [「ふーん……」]
 80:  956| [45] [渡瀬は気のない返事をした。]
 81:  961| [45] [超能力などというよくわからないものの研究に、大人たちが真剣になっているのが、なんだか滑稽に思える。]
 82:  966| [47] [渡瀬]
 83:  967| [45] [（こんな立派な研究所で、そんな事をやってるのか……）]
 84:  972| [45] [そう思いながら、超心研の方に目をやると――]
 85:  977| [45] [建物の中に、人影が見えた。]
 86: 1176| [45] [３階の窓の向こうに、女の人が立っている。]
 87: 1181| [47] [渡瀬]
 88: 1182| [45] [（金髪……外国人か？）]
 89: 1187| [45] [彼女は暗い目で、演説をしている市民団体を見下ろしていた。]
 90: 1192| [45] [そして市民団体は、彼女にも届きそうな声で街頭演説を続けている。]
 91: 1236| [47] [スーツの男]
 92: 1239| [45] [「――超心研は研究のため、この春より国内外からＢＣの使い手『コミュニケーター』を集めているとの事ですが――」]
 93: 1244| [47] [スーツの男]
 94: 1247| [45] [「その誘致のための予算は、どこから出ているのでしょうか！？」]
 95: 1252| [47] [スーツの男]
 96: 1255| [45] [「そもそもこのような研究を、我が鹿鳴市で行う必要はあるのでしょうか！？」]
 97: 1260| [47] [スーツの男]
 98: 1263| [45] [「我々は言いたい！　鹿鳴市にＢＣの研究所はいらないと！」]
 99: 1268| [47] [スーツの男]
100: 1271| [45] [「議論なきまま、コミュニケーターが市民の一員となる事を、我々は認める事ができません！」]
101: 1354| [45] [そのヒステリックなわめきを聞き、渡瀬は呆れて言う。]
102: 1362| [47] [渡瀬]
103: 1365| [45] [「……しかしなんであの市民団体とやらは、あんな怒ってんだ？」]
104: 1373| [47] [渡瀬]
105: 1376| [45] [「超心研がなんの研究しようが、超能力者集めようが、関係ないじゃんか」]
106: 1402| [47] [亘]
107: 1405| [45] [「うーん、それは……なんだかんだ理由つけてるけど……」]
108: 1431| [47] [亘]
109: 1434| [45] [「要はあの人たち、怖いんだと思うよ」]
110: 1442| [47] [渡瀬]
111: 1445| [45] [「怖い？　何が？」]
112: 1471| [47] [亘]
113: 1474| [45] [「ＢＣを使える人……コミュニケーターがこの街に集まってくる事が」]
114: 1482| [47] [亘]
115: 1485| [45] [「自分にとって『よくわからない研究』が、この街で行われる事がさ」]
116: 1493| [47] [渡瀬]
117: 1496| [45] [「なんでそんなに？」]
118: 1522| [47] [亘]
119: 1525| [45] [「いや、実は他所の国ではこのＢＣ絡みの事件が、ちょこちょこ起こってるんだって」]
120: 1533| [47] [亘]
121: 1536| [45] [「イギリスだかフランスだかでは、コミュニケーターの住んでいた家が焼き討ちにあったり……ひどい事件が起きたりしてんだよ」]
122: 1544| [47] [渡瀬]
123: 1547| [45] [「……マジか」]
124: 1555| [47] [渡瀬]
125: 1558| [45] [「超能力者を恐れた一般人が、超能力者を襲うなんて……まるでどっかのＳＦ小説みたいだな」]
126: 1584| [47] [亘]
127: 1587| [45] [「２１世紀にもなってねぇ……そういうのが実際起こるなんて、信じられないよ」]
128: 1592| [45] [しかし、良く考えてみれば――]
129: 1597| [45] [確かに『心を読める超能力者』が、恐れられるのはわかる。]
130: 1602| [45] [信心深い国ならば、その超能力者は悪魔の手先のように思われるかもしれない。]
131: 1610| [47] [渡瀬]
132: 1613| [45] [「……怖い、か……」]
133: 1618| [45] [しかも鹿鳴市と超心研は、いま研究のために、そのコミュニケーターとやらを集めているらしい。]
134: 1623| [45] [渡瀬を含む市民に、充分な説明もないまま――。]
135: 1631| [47] [渡瀬]
136: 1634| [45] [「……ま、なんかわからんでもないな。あの市民団体の言う事も」]
137: 1695| [47] [亘]
138: 1698| [45] [「えっ！？　なにそれ本気？」]
139: 1706| [47] [渡瀬]
140: 1709| [45] [「だってそうだろ？　街のあちこちに心読める奴なんかがいたら、不気味じゃないか」]
141: 1717| [47] [渡瀬]
142: 1720| [45] [「プライバシーもクソもなくなるし、おちおちスケベな妄想もできない」]
143: 1746| [47] [亘]
144: 1749| [45] [「するの？　スケベな妄想」]
145: 1757| [47] [渡瀬]
146: 1760| [45] [「いやしないけど。まぁ要するに、『なにもうちの街でそんなもん研究しなくてもいいだろ』って話だよ」]
147: 1768| [47] [渡瀬]
148: 1771| [45] [「超能力者が実在しようがしまいが別に構わんが、鹿鳴市には集まらんで、どっかヨソの街に行ってくれってこった」]
149: 1776| [45] [渡瀬が言うと、亘は不機嫌そうな表情を浮かべた。]
150: 1802| [47] [亘]
151: 1805| [45] [「……案外あんたも、心狭いねぇ？」]
152: 1813| [47] [亘]
153: 1816| [45] [「コミュニケーターって言ったって、基本的には私たちと同じ、普通の人間だよ？　だったら別に集まってきたっていいじゃん」]
154: 1842| [47] [亘]
155: 1845| [45] [「鹿鳴市はのどかで平和な街だし、よその国とかで迫害されたコミュニケーターも、ここに集まってくれば――」]
156: 1853| [47] [渡瀬]
157: 1856| [45] [「いや、だからこそだよ」]
158: 1864| [47] [渡瀬]
159: 1867| [45] [「平和な街だからこそ、トラブルの種になるような人たちが来るのは困るって事だ」]
160: 1893| [47] [亘]
161: 1896| [45] [「もう、渡瀬はあれこれ考えすぎなんだよ！　このビビリ！」]
162: 1910| [45] [亘はそう言って、プイと横を向いてしまった。]
163: 1915| [47] [渡瀬]
164: 1916| [45] [（あーあ、スネちまったよ）]
165: 1924| [47] [渡瀬]
166: 1927| [45] [「……なんだよ、なんでそんなにコミュニケーターだかの肩持つんだ？」]
167: 1953| [47] [亘]
168: 1956| [45] [「だって可哀想でしょ。コミュニケーターだって、好きでコミュニケーターとして生まれたわけじゃないんだよ？」]
169: 1964| [47] [亘]
170: 1967| [45] [「なのに『普通の人と違う』ってだけでいじめられて……護ってあげたくなるじゃん」]
171: 1976| [47] [渡瀬]
172: 1979| [45] [「また亘の『人のためになんかしてやりたい病』が出たか。そういうのをナイチンゲール・コンプレックスっていうんだ」]
173: 2005| [47] [亘]
174: 2008| [45] [「……なにさ、悪い？　それが私の性分なんだよ」]
175: 2016| [47] [亘]
176: 2019| [45] [「レスキュー隊になりたいってのも、要はそれで――」]
177: 2027| [47] [渡瀬]
178: 2030| [45] [「別に悪いことじゃねーけど、だからってなんでレスキュー隊になりたいんだ？」]
179: 2038| [47] [渡瀬]
180: 2041| [45] [「まだしも看護師とかの方が向いてるんじゃないか？」]
181: 2046| [45] [姉弟の気安さから、渡瀬はズケズケと言う。]
182: 2051| [45] [こういう会話はいつもの事だし、亘も傷ついた風でもなく答える。]
183: 2077| [47] [亘]
184: 2080| [45] [「いや、自分でも短絡的だとは思うけど……私はさ、なりたいものがあるんだよ」]
185: 2088| [47] [渡瀬]
186: 2091| [45] [「わかってるよ、レスキュー隊だろ？」]
187: 2117| [47] [亘]
188: 2120| [45] [「いや、というかさ……実は私、『正義のヒーロー』になりたいんだよね」]
189: 2128| [47] [渡瀬]
190: 2131| [45] [「せ、正義のヒーロー？」]
191: 2136| [45] [突然の告白に、渡瀬は目を丸くした。]
192: 2144| [47] [渡瀬]
193: 2147| [45] [「正義のヒーローって……レスキュー隊がそうなのか？」]
194: 2173| [47] [亘]
195: 2176| [45] [「えーと、さっきの市民団体の話じゃないけどさ……」]
196: 2184| [47] [亘]
197: 2187| [45] [「世の中、色々な正義があるよね？」]
198: 2195| [47] [渡瀬]
199: 2198| [45] [「急になんの話だ？」]
200: 2224| [47] [亘]
201: 2227| [45] [「いいから聞いてよ。まずあの市民団体の人たちは、『ＢＣ排斥運動』を自分の正義だと思ってるよね？」]
202: 2235| [47] [渡瀬]
203: 2238| [45] [「あぁ」]
204: 2264| [47] [亘]
205: 2267| [45] [「一方超心研の人たちはたぶん、『ＢＣの研究をする事が正しいこと』だって信じてる」]
206: 2275| [47] [亘]
207: 2278| [45] [「コミュニケーターにも私たちにも、それぞれ個人の正義がある」]
208: 2286| [47] [亘]
209: 2289| [45] [「それぞれの正義について考えたり、個々の人に感情移入しちゃうと、何が正義だか悪だかわかんなくなっちゃうんだよ」]
210: 2297| [47] [渡瀬]
211: 2300| [45] [「ま……お前はすぐ感情移入するからなぁ。映画でもなんでも、見ればすぐ泣くし」]
212: 2326| [47] [亘]
213: 2329| [45] [「そーなんだよ。でもさ、諸々の正義や個人の価値観を飛び越えて――」]
214: 2355| [47] [亘]
215: 2358| [45] [「『人命を救う』って行為は、紛れもなく『正しいこと』でしょ？」]
216: 2366| [47] [渡瀬]
217: 2369| [45] [「あぁ、多分な」]
218: 2377| [47] [亘]
219: 2380| [45] [「命を救うって事は、その人の未来を護るって事だよ」]
220: 2388| [47] [亘]
221: 2391| [45] [「それってすごく尊いことなんじゃないかなぁって思って……だから、レスキュー隊になりたいって思ったんだ」]
222: 2417| [47] [亘]
223: 2420| [45] [「まぁ思いつきだし、別に命を救う系の仕事なら、消防士でも看護師でもいいんだけど……」]
224: 2425| [45] [照れたように言う亘を見て、渡瀬はほうと息をついた。]
225: 2433| [47] [渡瀬]
226: 2436| [45] [「なるほど……うん、お前の考えは理解できたよ」]
227: 2462| [47] [亘]
228: 2465| [45] [「わかってもらえた？」]
229: 2473| [47] [渡瀬]
230: 2476| [45] [「ああ、感服もした。でも、１点気になる事が――」]
231: 2484| [47] [渡瀬]
232: 2487| [45] [「なんでよりにもよって、レスキュー隊なんだ？」]
233: 2495| [47] [渡瀬]
234: 2498| [45] [「言ったらなんだけどお前、体力あんまないし、運動神経も切れてんじゃん」]
235: 2524| [47] [亘]
236: 2527| [45] [「う……」]
237: 2535| [47] [渡瀬]
238: 2538| [45] [「そんなお前がレスキュー隊なんかになったら、人を助ける前に自分の命落としちまうぞ」]
239: 2564| [47] [亘]
240: 2567| [45] [「そ、そうかもしれないけど……力不足の部分は、やる気と根性でカバーすんだよ」]
241: 2593| [47] [亘]
242: 2596| [45] [「ボンクラな私でも、身を削って頑張ればなんとかなるっしょ」]
243: 2604| [47] [渡瀬]
244: 2607| [45] [「身を削るって、お前な……」]
245: 2615| [47] [亘]
246: 2618| [45] [「大切なのは気持ちだよ。『人の命を護るためなら、自分の命も惜しくない！』っていう気持ち――」]
247: 2645| [47] [渡瀬]
248: 2648| [45] [「おい待て、亘」]
249: 2653| [45] [亘の言葉を、渡瀬は強く遮った。]
250: 2661| [47] [渡瀬]
251: 2664| [45] [「自分の命も惜しくないなんて、バカなこと言うな」]
252: 2672| [47] [渡瀬]
253: 2675| [45] [「お前がそんなこと言ったら、親父とお袋が泣くぞ」]
254: 2736| [47] [亘]
255: 2739| [45] [「……っ」]
256: 2744| [45] [不意に真剣な口調で言う渡瀬に、亘が息を呑む。]
257: 2770| [47] [亘]
258: 2773| [45] [「そ、そうだね……特にお母さんを悲しませちゃダメだよね……」]
259: 2781| [47] [渡瀬]
260: 2784| [45] [「当たり前だ」]
261: 2789| [45] [――渡瀬と亘は二卵性の双生児だが、その出産は相当な難産だったと言う。]
262: 2794| [45] [母体の安全も、一時は危ぶまれたほどだったのだ。]
263: 2799| [45] [そうして生まれたせいか、渡瀬たちに対する両親の愛情は深い。]
264: 2804| [45] [それを蔑ろにするような亘の発言に、渡瀬が怒るのも当然だった。]
265: 2830| [47] [亘]
266: 2833| [45] [「わ、わかったよ。自分の命を軽んずるような発言はやめるよ」]
267: 2841| [47] [渡瀬]
268: 2844| [45] [「あぁ、それでいい」]
269: 2870| [47] [亘]
270: 2873| [45] [「でもさ、『命を護る仕事に就く』っていう夢は諦めないし」]
271: 2881| [47] [亘]
272: 2884| [45] [「どのみちあんたの身がピンチになったら、その時だけは、私は命に替えてでもあんたを助けるよ」]
273: 2892| [47] [渡瀬]
274: 2895| [45] [「なっ……」]
275: 2903| [47] [渡瀬]
276: 2906| [45] [「お前、俺の話聞いてたか？　そんなこと言ったら、お袋が――」]
277: 2932| [47] [亘]
278: 2935| [45] [「そのお母さんから生まれた者同士、護り合うくらいはいいじゃない？」]
279: 2943| [47] [亘]
280: 2946| [45] [「それにホラ、私あんたのお姉ちゃんだからさ」]
281: 2951| [45] [にっこり笑う亘に、渡瀬はやれやれと首を振った。]
282: 2959| [47] [渡瀬]
283: 2962| [45] [「ま……そんな日が来ないことを祈ってるよ」]
284: 2988| [47] [亘]
285: 2991| [45] [「そだね、縁起でもないし」]
286: 2996| [45] [２人は笑みを交わす。]
287: 3004| [47] [渡瀬]
288: 3007| [45] [「……さ、すっかり体が冷えちまった。ランニングの続きをしようぜ」]
289: 3015| [47] [亘]
290: 3018| [45] [「うん、帰りがてら競走しよう」]
291: 3044| [47] [亘]
292: 3047| [45] [「負けた方、アイスオゴリね」]
293: 3055| [47] [渡瀬]
294: 3058| [45] [「やめとけ、その賭けは成立しねぇよ」]
295: 3078| [45] [渡瀬たちはそう言って、家に向けて駆け出した。]
296: 3213| [45] [２ｋｍほどの道を走ると、渡瀬たちの住むマンションが見えてきた。]
297: 3218| [45] [するとそれまで、渡瀬と亘は併走していたのだが――]
298: 3253| [47] [亘]
299: 3256| [45] [「お先！」]
300: 3261| [45] [亘がそう言って、いきなりダッシュした。]
301: 3287| [47] [亘]
302: 3290| [45] [「油断したね渡瀬、アイスはいただきだよ！」]
303: 3307| [47] [渡瀬]
304: 3310| [45] [「な、汚ぇぞ！」]
305: 3315| [45] [渡瀬が慌てて追おうとした時。]
306: 3323| [45] [――不意に道路のわき道から、車が現れた。]
307: 3328| [47] [渡瀬]
308: 3329| [45] [（！？）]
309: 3352| [45] [亘が驚いて立ちすくむ。]
310: 3363| [45] [ブレーキ音が聞こえたが、車は止まりきらず、亘の方に――！]
311: 3368| [47] [渡瀬]
312: 3369| [45] [（轢かれる！？）]
313: 3374| [45] [そう思った時には、体が動いていた。]
314: 3382| [47] [渡瀬]
315: 3385| [45] [「亘ッ！！」]
316: 3470| [47] [亘]
317: 3473| [45] [「あっ！！」]
318: 3478| [45] [渡瀬は弾かれたように亘に駆け寄り、彼女を突き飛ばしていた。]
319: 3523| [45] [一瞬の後、腿の辺りに衝撃が走る。]
320: 3528| [47] [渡瀬]
321: 3529| [45] [（ッ！！）]
322: 3534| [45] [渡瀬は車に撥ね飛ばされ、地面に叩きつけられた。]
323: 3602| [47] [渡瀬]
324: 3605| [45] [「ぐっ……ぅ」]
325: 3610| [45] [仰向けに倒れたまま、渡瀬はうめく。]
326: 3615| [45] [視界一杯に、綺麗な茜空が見えた。]
327: 3623| [47] [亘]
328: 3626| [45] [「わ……渡瀬ッ！！」]
329: 3631| [45] [どこかで亘の声が聞こえた。]
330: 3636| [45] [続いて車のドアが開く音と、運転手らしき男の声がする。]
331: 3641| [47] [運転手]
332: 3644| [45] [「あ、あ、たた大変だ……！」]
333: 3652| [47] [亘]
334: 3655| [45] [「きゅ、救急車呼んでください！　渡瀬が！　渡瀬が死んじゃう！！」]
335: 3660| [45] [渡瀬は彼女のわめき声を聞きながら、内心で呆れた。]
336: 3665| [47] [渡瀬]
337: 3666| [45] [（死なねぇよ……なんか脚スゲェ痛いけど）]
338: 3671| [45] [死の危険は感じない。]
339: 3676| [45] [だが轢かれた直後はさほど痛まなかった脚は、急速かつ猛烈に痛み始めていた。]
340: 3739| [45] [脳震盪も起こしたのか、意識が薄れていく。]
341: 3747| [47] [亘]
342: 3750| [45] [「いま救急車がくるから！　死なないで渡瀬！！」]
343: 3755| [47] [渡瀬]
344: 3756| [45] [（はっ……なにが『命に替えても俺を助ける』だよ）]
345: 3761| [47] [渡瀬]
346: 3762| [45] [（逆に俺に助けられてちゃ……世話、ない……）]
347: 3822| [45] [そんな事を考えながら――]
348: 3827| [45] [渡瀬は、気を失った。]
