  0:   68| [45] [――そうして、コミュニケーターへの親愛の情を取り戻した恵那は――]
107:  778| [45] [「その可能性が、極めて高いかと」]
108:  788| [45] [恵那の報告を聞き終えた黒田は、大きく息をついた。]
109:  793| [47] [黒田]
110:  796| [45] [「椿山……お前、１人でここまで調べたのか」]
111:  801| [47] [恵那]
112:  804| [45] [「教師生活の片手間ですが」]
113:  809| [47] [黒田]
114:  812| [45] [「参ったな……親父さんとはタイプが違うが、お前はお前で相当有能らしいな」]
115:  817| [45] [苦笑する黒田に、恵那は言葉を重ねた。]
116:  822| [47] [恵那]
117:  825| [45] [「……それより黒田室長、この件についてはどう処理しますか？」]
118:  830| [47] [恵那]
119:  833| [45] [「我々の責務は、あくまでコミュニケーターの保護……人体実験などが行われているのであれば、それは摘発せねばなりません」]
120:  838| [47] [黒田]
121:  841| [45] [「……あぁ、もちろんだ」]
122:  846| [47] [恵那]
123:  849| [45] [「ではただちに、ラボへの立入検査を」]
124:  854| [47] [恵那]
125:  857| [45] [「超科局の権限があれば、むろんその程度の事は――」]
126:  862| [47] [黒田]
127:  865| [45] [「できないんだよ、椿山」]
128:  870| [45] [黒田の言葉に、恵那は目を丸くした。]
129:  880| [47] [黒田]
130:  883| [45] [「ラボや鹿鳴市がキナ臭いことをやっている事は、俺も比嘉もすでに掴んでいた」]
131:  888| [47] [黒田]
132:  891| [45] [「だが強制捜査を上に進言しても、許可が下りないのさ」]
133:  896| [47] [恵那]
134:  899| [45] [「なぜ！？　我々は政府機関でしょう！？」]
135:  904| [47] [恵那]
136:  907| [45] [「なぜ地方自治体の運営する施設ごときの捜査ができないんですか！？」]
137:  912| [47] [黒田]
138:  915| [45] [「本来ならできて当然だ。我々は各政令指定機密都市と、研究機関を監査する立場だからな」]
139:  920| [47] [黒田]
140:  923| [45] [「だが、どういうわけか鹿鳴市のラボにだけは、捜査の許可が下りない」]
141:  928| [47] [黒田]
142:  931| [45] [「理由は『証拠不十分』、そして『ラボの機密を保持するため』だそうだ」]
143:  936| [47] [恵那]
144:  939| [45] [「バカな……ただ検査するだけですよ？　後ろめたい事がなければ、何も問題はないはず……」]
145:  944| [47] [黒田]
146:  947| [45] [「あぁ。だから恐らく……我が超科局の上層部も、ラボ側に転んでいるんだろうな」]
147:  952| [47] [黒田]
148:  955| [45] [「理由は金か、あるいは弱みでも握られているか」]
149:  960| [47] [恵那]
150:  963| [45] [「……っ！」]
151:  968| [45] [絶句する恵那に、黒田は続けて言う。]
152:  973| [47] [黒田]
153:  976| [45] [「……ラボは独立行政法人でな。厳密には我々政府機関の統治下にあるわけじゃない」]
154:  981| [47] [黒田]
155:  984| [45] [「設立当初はむろん国の指導を受け、国策に従って造られたんだが、徐々に我々のコントロールを離れた」]
156:  989| [47] [黒田]
157:  992| [45] [「現在ラボの運営は鹿鳴市によって行われているが、その研究成果はベテルギウス新薬という企業に売り渡されている」]
158:  997| [47] [黒田]
159: 1000| [45] [「要するにラボは、行政法人の皮をかぶった営利団体だよ」]
160: 1005| [47] [黒田]
161: 1008| [45] [「しかも市によって護られているため、様々なムチャが効く、極めてタチの悪い秘密研究所さ」]
162: 1013| [47] [恵那]
163: 1016| [45] [「では……父がコミュニケーターを護る為に、設立を望んだ施設は……」]
164: 1022| [47] [恵那]
165: 1025| [45] [「今は営利のために人体実験を行う、禍々しい研究所に成り果てたと……？」]
166: 1030| [47] [黒田]
167: 1033| [45] [「状況証拠だけだが、恐らくな」]
168: 1038| [45] [恵那はその言葉に、奥歯を噛んだ。]
169: 1043| [45] [――父が生きていた頃、父と共に過ごしたＢＣの研究者たちは、みな誠意をもってコミュニケーターに接していたはずだ。]
170: 1048| [45] [あれから１６年の間に、研究者たちの倫理は崩壊したのだろうか。]
171: 1053| [45] [施設の性質上、その気になればラボ内では、誰にも知られず非人道的な研究ができる。]
172: 1058| [45] [それを実行してしまうほど、彼らは腐ってしまったのか……！]
173: 1063| [47] [黒田]
174: 1066| [45] [「……そして上の連中が、強制捜査に及び腰なのは、もう１つ理由がある」]
175: 1071| [47] [恵那]
176: 1074| [45] [「え？」]
177: 1079| [47] [黒田]
178: 1082| [45] [「国益だ。ラボの内部で何が行われていたとしても、ラボは確かな成果を上げている」]
179: 1087| [47] [黒田]
180: 1090| [45] [「ＢＣ絶縁体やＡＤの開発によって、得られた外貨がいくらか知ってるか？　ざっと８０００億円だ」]
181: 1095| [47] [黒田]
182: 1098| [45] [「１人や２人コミュニケーターが拉致されても、それを補ってあまりあるほど日本は潤う」]
183: 1103| [47] [黒田]
184: 1106| [45] [「仮に幽閉されたコミュニケーターがＮ化したとしてもだ、最初から閉じ込めているから大丈夫。公共の治安は揺るがない」]
185: 1111| [47] [黒田]
186: 1114| [45] [「誰も悲しむ奴ぁいない。みんなハッピー、メデタシメデタシで――」]
187: 1124| [47] [恵那]
188: 1127| [45] [「ふざけないで下さい！」]
189: 1132| [45] [恵那の怒声が、黒田の嘲笑を遮った。]
190: 1137| [47] [恵那]
191: 1140| [45] [「拉致されたコミュニケーターはどうなるのですか……！？」]
192: 1145| [47] [恵那]
193: 1148| [45] [「確かにＮ化の危険性があるコミュニケーターは、幽閉するべきです。１６年前の悲劇を繰り返すわけにはいかないから」]
194: 1153| [47] [恵那]
195: 1156| [45] [「だけど琴乃悠里は、適性度Ｃだったんですよ！？　幽閉の憂き目に遭う必要はどこにもなかった！」]
196: 1161| [47] [恵那]
197: 1164| [45] [「そんな事を放置していたら、私の生徒たちだって、いつラボに拉致されるかわからないんです！」]
198: 1169| [47] [恵那]
199: 1172| [45] [「だから……私は誰がなんと言おうと、ラボの悪事を見過ごせません！」]
200: 1182| [45] [一息に叫んだ恵那を、黒田はじっと見つめた。]
201: 1187| [47] [黒田]
202: 1190| [45] [「……すっかり『先生』になっちまったな、椿山管理官？」]
203: 1195| [47] [恵那]
204: 1198| [45] [「え？　あっ……」]
205: 1203| [47] [黒田]
206: 1206| [45] [「じゃあお前は、国の方針よりも、幽閉されたコミュニケーター個人の尊厳を優先するというわけだな」]
207: 1211| [47] [恵那]
208: 1214| [45] [「……はい。いけませんか？」]
209: 1224| [47] [恵那]
210: 1227| [45] [「黒田室長はどうなんですか。比嘉管理官は？　心が痛まないのですか？」]
211: 1232| [47] [恵那]
212: 1235| [45] [「私たちの仕事は、コミュニケーターを護る事でしょう？」]
213: 1240| [45] [恵那の言葉に、黒田は答えた。]
214: 1245| [47] [黒田]
215: 1248| [45] [「……その通りだ」]
216: 1253| [45] [そしてそれまで黙っていた比嘉も、うなずいて言う。]
217: 1263| [47] [比嘉]
218: 1266| [45] [「椿山。お前が正しい」]
219: 1271| [47] [恵那]
220: 1274| [45] [「え……」]
221: 1279| [47] [比嘉]
222: 1282| [45] [「私はお前の父上を知らないが、彼の日記は何度も読んだ」]
223: 1287| [47] [比嘉]
224: 1290| [45] [「あの日記に書かれていたコミュニケーターＡは、紛れもなく『護るべき対象』だったよ。どれほど危険な存在だとしてもな」]
225: 1295| [47] [恵那]
226: 1296| [45] [「……」]
227: 1301| [47] [比嘉]
228: 1304| [45] [「私は公安から出向して来た身だ。立場上、国の方針が絶対だし、公共の安全を何よりも優先すべきだと思っている」]
229: 1309| [47] [比嘉]
230: 1312| [45] [「だが公共の安全に悪影響がないならば、個人の尊厳も極力護らねばならん」]
231: 1317| [47] [比嘉]
232: 1320| [45] [「この国には２種類の人間が住んでいる。真実を知らない大多数の者たちと、我々真実を知る者」]
233: 1325| [47] [比嘉]
234: 1328| [45] [「真実を知らぬものは、そのまま何も知らず、正義も悪も意識せず、安寧の中に暮らせばいい」]
235: 1333| [47] [比嘉]
236: 1336| [45] [「だが我々は違う。真実を知る者の中で、正義を実行できるのは、我々だけだ」]
237: 1341| [47] [比嘉]
238: 1344| [45] [「我々が正義を忘れたら、倫理は崩壊する。そうだろう椿山」]
239: 1354| [47] [恵那]
240: 1357| [45] [「は……はい！」]
241: 1362| [45] [恵那の返事に、黒田がにやりと笑った。]
242: 1367| [47] [黒田]
243: 1370| [45] [「ふっ、決まりだな……許可などもういらん。強制捜査に踏み切ろう」]
244: 1375| [47] [比嘉]
245: 1378| [45] [「人員は？」]
246: 1383| [47] [黒田]
247: 1386| [45] [「どこに鹿鳴市の息がかかってる奴がいるかわからんからな。この３人で行こう」]
248: 1391| [47] [黒田]
249: 1394| [45] [「危険な仕事だし、もちろんお嬢さんは同行しなくてもいいが……？」]
250: 1399| [47] [恵那]
251: 1402| [45] [「いえ。私も行きます」]
252: 1407| [45] [恵那は即座にそう答えた。]
253: 1412| [45] [父だってそれを望むはずだと思いながら……。]
254: 1469| [45] [――数日後、強制捜査の日付が決まった。]
255: 1474| [45] [９月１６日、早朝。]
256: 1479| [45] [恵那たちにとって因縁の日、父の命日だった。]
257: 1485| [45] [所持品は、偽造した捜査令状と、そして恵那のみ――護身用の拳銃も。]
258: 1490| [47] [黒田]
259: 1493| [45] [「ラボは伏魔殿だ。何が起きるかわからん」]
260: 1498| [47] [黒田]
261: 1501| [45] [「いよいよになったら、これを使う事を覚悟しておけ」]
262: 1506| [45] [黒田のその言葉が、恵那の心に鋼を入れた。]
