  0:   66| [45] [――それは、サリュが９歳の時の記憶――]
116: 1273| [45] [おてんばな少女が冒険を夢見て、宇宙に飛び出す話。]
117: 1278| [45] [そこで彼女はたった１人の、心を分かち合える友と出会う。]
118: 1283| [45] [広い宇宙の片隅で、奇跡のように生まれた絆の物語――]
119: 1288| [47] [サリュ]
120: 1291| [45] [「読んでて胸が締め付けられた。こんな経験は初めて」]
121: 1317| [47] [美夜子]
122: 1320| [45] [「意外ね。学術書だけでは味気ないと思って、戯れに入れたんだけど」]
123: 1325| [47] [サリュ]
124: 1328| [45] [「博士、こういう本をもっと持ってきてほしい。アポロ計画とかの本はもういらない」]
125: 1354| [47] [美夜子]
126: 1357| [45] [「わかったわ。ＳＦ小説が良いのね」]
127: 1362| [47] [サリュ]
128: 1365| [45] [「ＳＦ？」]
129: 1391| [47] [美夜子]
130: 1394| [45] [「サイエンス・フィクションよ。でもそれ、作り事よ？」]
131: 1399| [47] [サリュ]
132: 1402| [45] [「いい。虚構でも」]
133: 1407| [45] [それだけ言ってサリュは再び、持っていた本に目を移した。]
134: 1412| [45] [そこにはサリュが思い描いていたロマンの、全てがあった。]
135: 1417| [47] [サリュ]
136: 1418| [45] [（――こんな本があれば、ここにいながら、冒険の旅に出かけられる）]
137: 1423| [47] [サリュ]
138: 1424| [45] [（夜空に輝く星々に、私も飛んでいける）]
139: 1429| [45] [博士はまた明日になれば、たくさんの本を持ってきてくれるはずだ。]
140: 1434| [45] [そう思うとわくわくしてきた。]
141: 1439| [45] [明日はどんな冒険が待っているのだろうかと――。]
