  0:   61| [45] [１６年前、渡瀬が１６歳だった頃――。]
 73: 1095| [47] [亘]
 74: 1098| [45] [「やった♪　それじゃいつものパスタ屋に行こ」]
 75: 1103| [45] [そう言って歩き出す亘を、渡瀬は気だるげに追った。]
 76: 1111| [47] [渡瀬]
 77: 1114| [45] [「……しかしお前もさぁ、日曜に弟と遊んでていいのかよ」]
 78: 1140| [47] [亘]
 79: 1143| [45] [「いいじゃん、素晴らしい休日じゃん」]
 80: 1151| [47] [渡瀬]
 81: 1154| [45] [「彼氏とかいねーのか？」]
 82: 1180| [47] [亘]
 83: 1183| [45] [「そんなもんいらないもん。私には可愛い弟がいるからね」]
 84: 1191| [47] [渡瀬]
 85: 1194| [45] [「うぇ」]
 86: 1255| [47] [亘]
 87: 1258| [45] [「なんだその反応！？　可愛くない！」]
 88: 1263| [45] [悲痛な声を上げる亘に、渡瀬は苦笑する。]
 89: 1312| [45] [そうして渡瀬は、亘と食事をし――]
 90: 1361| [45] [その後、本屋で新刊を見たりしているうちに、やがて日が傾いてきた。]
 91: 1429| [47] [渡瀬]
 92: 1432| [45] [「日ぃ暮れてきたぞ。そろそろ帰らないか？」]
 93: 1458| [47] [亘]
 94: 1461| [45] [「だね。お母さんたちに何も言わないで出てきたし」]
 95: 1466| [45] [バス代を節約するために、渡瀬たちは徒歩で帰る事にした。]
 96: 1514| [45] [――その帰り道。]
 97: 1519| [45] [消防署の前を通りかかった時、亘が不意に声を上げた。]
 98: 1552| [47] [亘]
 99: 1555| [45] [「あっ！　渡瀬、あれ見てあれ！」]
100: 1563| [47] [渡瀬]
101: 1566| [45] [「ん？」]
102: 1581| [45] [見れば署の中から、オレンジ色の制服を着た男たちが出てくるところだった。]
103: 1589| [47] [渡瀬]
104: 1592| [45] [「なんだあれ、消防士にしちゃ派手だな」]
105: 1624| [47] [亘]
106: 1627| [45] [「レスキュー隊だよ」]
107: 1635| [47] [渡瀬]
108: 1638| [45] [「レスキュー隊？　そんなもん、うちの街にあったっけ？」]
109: 1664| [47] [亘]
110: 1667| [45] [「ないよ。たぶん防災指導かなんかのために、東京あたりから来たんじゃないかな」]
111: 1675| [47] [渡瀬]
112: 1678| [45] [「ふーん。で、それがどうしたんだ」]
113: 1704| [47] [亘]
114: 1707| [45] [「どうしたのじゃないよ、かっこいーじゃん！」]
115: 1715| [47] [渡瀬]
116: 1718| [45] [「え……なに亘、ああいうマッチョ系が好みだったのか？」]
117: 1744| [47] [亘]
118: 1747| [45] [「違う違う！　男性としての魅力がどうとかじゃなくって、純粋にあの仕事がかっこいいって言ってんだよ」]
119: 1773| [47] [亘]
120: 1776| [45] [「人の命を救うためなら、たとえ火の中水の中！　憧れるっしょそういうの」]
121: 1784| [47] [渡瀬]
122: 1787| [45] [「そうか？」]
123: 1813| [47] [亘]
124: 1816| [45] [「でも今のところ、女性のレスキュー隊員っていないんだよね」]
125: 1824| [47] [亘]
126: 1827| [45] [「なれるものなら、私がその座につきたいもんだ」]
127: 1835| [47] [渡瀬]
128: 1838| [45] [「なんだそれ、初耳だよ。お前そんなもんになろうと思ってたのか」]
129: 1864| [47] [亘]
130: 1867| [45] [「そんなもんとはなんだ！　立派な職業じゃないか！」]
131: 1875| [47] [渡瀬]
132: 1878| [45] [「いや失言。でも、レスキューねえ……」]
133: 1927| [45] [渡瀬は亘をしみじみと見る。]
134: 1932| [45] [彼女は性格は快活だが、別にスポーツなどは得意ではない。]
135: 1940| [47] [渡瀬]
136: 1943| [45] [「……亘には難しいと思うけどな」]
137: 1973| [47] [亘]
138: 1976| [45] [「なる前から心配してどうすんの。そういう事はなってから考えればいいんだよ」]
139: 1984| [47] [渡瀬]
140: 1987| [45] [「なれるかどうかが心配なんだよ」]
141: 1995| [47] [亘]
142: 1998| [45] [「なにさ渡瀬、人の夢を否定するのはよくないよ。あんたにも夢くらいあるでしょ？」]
143: 2006| [47] [渡瀬]
144: 2009| [45] [「特にない」]
145: 2035| [47] [亘]
146: 2038| [45] [「え～？　寂しい子だねおまいは」]
147: 2046| [47] [渡瀬]
148: 2049| [45] [「仕方ないだろ、世は不景気だし日本もどん詰まりだし。先を見たってたかが知れてるさ」]
149: 2075| [47] [亘]
150: 2078| [45] [「考え過ぎなんだよ、渡瀬は」]
151: 2104| [47] [亘]
152: 2107| [45] [「考え過ぎると臆病になって、なんにも考えられなくなっちゃうよ？」]
153: 2115| [47] [渡瀬]
154: 2118| [45] [「そういうもんかね。お前はむしろ、少し考えてから動いたほうがいいと思うけどなぁ」]
155: 2123| [45] [付き合わされる方はたまったものではないのだ。]
156: 2128| [45] [だがそう思う渡瀬を無視し、亘は拳を握って言う。]
157: 2154| [47] [亘]
158: 2157| [45] [「よーし、決めた！　明日からランニングを始めよう！」]
159: 2165| [47] [渡瀬]
160: 2168| [45] [「ふーん、いいね。三日坊主にならんよう頑張ってな」]
161: 2222| [47] [亘]
162: 2225| [45] [「なに他人事みたいに言ってんの？　あんたも付き合ってよ」]
163: 2233| [47] [渡瀬]
164: 2236| [45] [「え、えええ！？　なんで俺が？」]
165: 2262| [47] [亘]
166: 2265| [45] [「１人より２人の方が長続きするでしょ？　あんたもモヤシっ子なんだからちょうどいいじゃん」]
167: 2273| [47] [渡瀬]
168: 2276| [45] [「め、メンドクセーなぁ……」]
169: 2281| [45] [だが何を言おうと、例によって亘は引き下がらないだろう。]
170: 2286| [45] [それに渡瀬も運動不足なのは確かだ。]
171: 2294| [47] [渡瀬]
172: 2297| [45] [「……まぁいいか、ちょっとくらいは付き合うよ」]
173: 2323| [47] [亘]
174: 2326| [45] [「やった、持つべきものは弟だわ」]
175: 2331| [45] [亘は心から嬉しそうに笑った。]
176: 2352| [45] [――彼女が語ったのは、夢というほどのものではないかもしれない。]
177: 2357| [45] [だが彼女が、自分の未来に期待していた事は確かだろう。]
178: 2362| [45] [無邪気で純粋な、将来への希望……]
179: 2367| [45] [そういうものを何も持っていない渡瀬には、亘が少しだけ羨ましく見えた。]
