  0:   69| [45] [――第１エリアで渡瀬と再会した後――]
 79: 1779| [45] [「えぇ。外傷による逆行性健忘症は、ほとんどの場合は特に治療をしなくても、やがて自然に症状が消えるそうです」]
 80: 1805| [47] [渡瀬]
 81: 1808| [45] [「……じゃあ、これは一時的なものか」]
 82: 1813| [45] [渡瀬がほっとしたように言う。]
 83: 1818| [47] [風見]
 84: 1819| [45] [（もう少し詳しく事情を聞くべきかしら……？）]
 85: 1824| [47] [風見]
 86: 1825| [45] [（だけど、場合が場合だし……）]
 87: 1830| [45] [風見はそう思い、その事については流した。]
 88: 1835| [45] [だがそれは彼女の心に、かすかなわだかまりを生んだ。]
 89: 2004| [45] [――ともかく風見は渡瀬の身を案じ、彼を簡易基地に置いて行こうとした。]
 90: 2009| [45] [だが、その提案を渡瀬は呑まなかった。]
 91: 2035| [47] [渡瀬]
 92: 2038| [45] [「オレにも要救助者の捜索を手伝わせてくれ！」]
 93: 2043| [47] [風見]
 94: 2046| [45] [「え？　しかし――」]
 95: 2072| [47] [渡瀬]
 96: 2075| [45] [「腐ってもオレは、レスキュー隊なんだろ？　だったら１人だけ休んでいるなんて、耐えられないんだよ」]
 97: 2080| [45] [その言葉が、なんだか嬉しかった。]
 98: 2085| [45] [記憶を失ってもなお、渡瀬はレスキュー隊員なのだ。]
 99: 2090| [47] [風見]
100: 2093| [45] [「……全く、らしいと言うか……」]
101: 2098| [45] [――しかし、熱意だけではこの仕事は務まらない。]
102: 2103| [45] [渡瀬、洵、そしてユウリの命を護るため、風見はいつもよりなお厳しく振舞う事にした。]
103: 2108| [47] [風見]
104: 2111| [45] [「これは通常の現場ではありません。隊員として同行するならば、それ相応の覚悟をして頂きます」]
105: 2137| [47] [渡瀬]
106: 2140| [45] [「……！」]
107: 2145| [47] [風見]
108: 2148| [45] [「記憶が戻るまでは、隊長を新人隊員として扱います。隊長は守部と同様、私の指揮下に入ってください」]
109: 2153| [47] [風見]
110: 2156| [45] [「非礼は重々承知ですが、そうでもしなければ命に関わります……どうかご容赦を」]
111: 2184| [47] [渡瀬]
112: 2187| [45] [「あ……ああ、了解だ！」]
113: 2192| [45] [そう答える渡瀬に、風見は内心でエールを送った。]
114: 2197| [47] [風見]
115: 2198| [45] [（無理しないで下さいね……！）]
116: 2228| [45] [――その記憶を見終えた夏彦は、思った。]
117: 2233| [47] [夏彦]
118: 2234| [45] [（ちょっと渡瀬に対する好意的感情が、弱いかな……？）]
119: 2239| [47] [夏彦]
120: 2240| [45] [（もう少し調整した方が良さそうだ……）]
