  0:   64| [45] [――そうしてサリュたちは、テロを阻止するため、３人でラボに急いだ。]
 37:  970| [45] [「早く逃げないと隔壁が閉ざされ、脱出不可能になるぞ。火勢も激しさを増し、焼け死ぬかもしれん」]
 38:  978| [47] [渡瀬]
 39:  981| [45] [「どうやら子供の正義感で、俺たちの計画を阻止しようと思っているみたいだが――」]
 40:  989| [47] [渡瀬]
 41:  992| [45] [「自分の身を危険にさらしてまで、俺と戦って何になる？」]
 42:  997| [47] [サリュ]
 43: 1000| [45] [「……！」]
 44: 1005| [45] [言われて見れば確かに、この男と戦って何になるというのか。]
 45: 1010| [45] [これはもはや、サリュに与えられた役目を超えた行動だ。]
 46: 1015| [47] [サリュ]
 47: 1016| [45] [（私はどうして、こうまでして――）]
 48: 1094| [45] [サリュがそう思った時、銃声が彼女の思考を断ち切った。]
 49: 1099| [47] [サリュ]
 50: 1102| [45] [「ッ！！」]
 51: 1167| [45] [腕の辺りに、焼け付くような痛みが走った。]
 52: 1172| [47] [サリュ]
 53: 1173| [45] [（しまった……！）]
 54: 1178| [45] [はっとして振り向くと、先ほど投げ飛ばしたテロリストが、サリュに銃を向けていた。]
 55: 1186| [47] [渡瀬]
 56: 1189| [45] [「馬鹿、何をやっている！　子供に銃など――」]
 57: 1194| [47] [堂島]
 58: 1197| [45] [「お前こそ何やってるんだ！　こんなところでまごついているヒマはないだろう！」]
 59: 1202| [45] [テロリストたちが口論を始めた。]
 60: 1213| [45] [サリュはその隙に、その場から逃げ出した。]
 61: 1218| [47] [サリュ]
 62: 1219| [45] [（さすがに銃が出てきては勝てない！　私にも武器が必要……！）]
 63: 1279| [45] [そう思いながら夏彦たちを探し、]
 64: 1346| [45] [崩れた非常階段の上と下で、彼らと再会した。]
 65: 1351| [45] [心配げな夏彦たちに、サリュは言う。]
 66: 1356| [47] [サリュ]
 67: 1359| [45] [「敵は体格・腕力に優れ、数も不明……勝ち目は薄い」]
 68: 1473| [47] [夏彦]
 69: 1476| [45] [「じゃあサリュ、降りてきてくれ！　一緒に逃げよう！」]
 70: 1481| [47] [サリュ]
 71: 1484| [45] [「いや。この腕じゃここは降りられない。夏彦たちが上がってくるのも難しいと思う」]
 72: 1489| [47] [サリュ]
 73: 1492| [45] [「だから、別々に逃げよう」]
 74: 1518| [47] [ましろ]
 75: 1521| [45] [「そんな！　サリュは１人で大丈夫なの！？」]
 76: 1526| [47] [サリュ]
 77: 1529| [45] [「大丈夫。でも根拠を話している時間はない」]
 78: 1534| [47] [サリュ]
 79: 1537| [45] [「だから、ＢＣで」]
 80: 1542| [45] [夏彦たちがエンパシーを使ってくれることを期待し、サリュはそう言った。]
 81: 1547| [45] [それから心を落ち着けて、夏彦たちへのメッセージを、頭に思い浮かべる。]
 82: 1552| [47] [サリュ]
 83: 1553| [45] [（ようやく人生が面白くなってきたのに、こんなところで終わりたくない）]
 84: 1558| [47] [サリュ]
 85: 1559| [45] [（この６日間、本当に楽しかったから）]
 86: 1564| [47] [サリュ]
 87: 1565| [45] [（……これが私の本当の気持ち。あなたたちに伝えたかったこと）]
 88: 1570| [45] [――口下手なサリュも、想うだけなら素直になれた。]
 89: 1575| [45] [そして夏彦たちも、そのメッセージを受け取ってくれたらしい。]
 90: 1583| [47] [夏彦]
 91: 1586| [45] [「……わかった！　この２人の事はぼくに任せろ！」]
 92: 1612| [47] [夏彦]
 93: 1615| [45] [「もう１度約束だ！　全員生きて、外で会おう！」]
 94: 1620| [47] [サリュ]
 95: 1623| [45] [「……必ず」]
 96: 1678| [45] [サリュはそう言い残し、その場を去った。]
 97: 1739| [45] [上腕の傷から、だらだらと血が流れている。]
 98: 1744| [47] [サリュ]
 99: 1745| [45] [（上腕大静脈が損傷している……早急に手当てしなければ）]
100: 1806| [45] [テロリストたちが追って来られないよう、連絡通路を罠で塞ぐ。]
101: 1862| [45] [そして通路の先のエリアで、セキュリティカードや防災マニュアル、さらにホチキスを手に入れた。]
102: 1867| [47] [サリュ]
103: 1868| [45] [（これで一応、手当てはできる……）]
104: 1873| [45] [幸いな事に、弾丸は貫通していた。]
105: 1878| [45] [サリュは腕に出来た銃創に、ホチキスの針を当て――それで傷口を、縫いとめた。]
106: 1890| [47] [サリュ]
107: 1893| [45] [「――ッ！！」]
108: 1905| [45] [叫び声を堪えつつ、弾丸の出口にも――]
109: 1917| [47] [サリュ]
110: 1920| [45] [「ッッッ――……」]
111: 1925| [47] [サリュ]
112: 1928| [45] [「はぁっ、はぁっ……」]
113: 1933| [45] [荒い息をつき、床に座り込む。]
114: 1938| [45] [ひとまず急場は凌げたようだ。]
115: 1943| [47] [サリュ]
116: 1944| [45] [（……さて、これからどうするか……）]
117: 1949| [45] [先ほどのテロリストの言葉が、耳に蘇る。]
118: 2027| [47] [渡瀬]
119: 2030| [45] [「……悪い事は言わん。さっさと逃げろ」]
120: 2038| [47] [渡瀬]
121: 2041| [45] [「自分の身を危険にさらしてまで、俺と戦って何になる？」]
122: 2099| [45] [――彼が言うように、逃げる事もできる。]
123: 2104| [45] [だがテロリストの狙いが、原子炉メルトダウンによる街そのものの破壊だったら、ここで逃げてもどうにもならない。]
124: 2109| [47] [サリュ]
125: 2110| [45] [（……逃げるだけじゃダメ）]
126: 2115| [47] [サリュ]
127: 2116| [45] [（メルトダウンを阻止しなければ……）]
128: 2121| [47] [サリュ]
129: 2122| [45] [（奴らを止めなければ……！）]
130: 2127| [45] [街が、滅ぶ。]
131: 2132| [45] [夏彦もましろも天川博士も、みな死の灰をかぶる。]
132: 2137| [45] [それを阻止する方法は、１つしかなかった。]
133: 2142| [47] [サリュ]
134: 2143| [45] [（……私は、逃げない）]
135: 2148| [47] [サリュ]
136: 2149| [45] [（これから私がやるべき事は、逃げる事じゃなくて……！）]
137: 2154| [45] [――戦う事。]
138: 2159| [45] [テロリストを倒し、奴らの計画を阻止する事だ。]
139: 2164| [47] [サリュ]
140: 2167| [45] [「夏彦たちを、護るために……」]
141: 2172| [47] [サリュ]
142: 2175| [45] [「それが私の役目だから」]
143: 2180| [45] [サリュの頬に、かすかな笑みが浮かぶ。]
144: 2191| [45] [湧き上がる勇気を胸に、サリュは再び歩き出した。]
