  0:   63| [45] [――その記憶は、宇喜多たちがガスの中を潜り抜け――]
 58: 1795| [45] [「本当かね？」]
 59: 1800| [45] [宇喜多がそう言うと――渡瀬は低い声で言った。]
 60: 1826| [47] [渡瀬]
 61: 1829| [45] [「なあ、おっさん。あんたまだ、オレが記憶喪失かどうか疑ってるんじゃないだろうな？」]
 62: 1852| [47] [宇喜多]
 63: 1855| [45] [「っ！？　い、いやそんな事は……」]
 64: 1881| [47] [渡瀬]
 65: 1884| [45] [「まぁ、疑う気持ちもわかるがな……」]
 66: 1910| [47] [渡瀬]
 67: 1913| [45] [「しかし橘たちも、オレが記憶喪失だと認めているんだ」]
 68: 1921| [47] [渡瀬]
 69: 1924| [45] [「もしオレの言動行動に不審なところがあったとしたら、橘か守部が気付くだろ？」]
 70: 1932| [47] [宇喜多]
 71: 1935| [45] [「まぁ、確かに……」]
 72: 1943| [47] [渡瀬]
 73: 1946| [45] [「オレの事は信じられなくても、橘たちの事は信じてもいいんじゃないか？」]
 74: 1954| [47] [宇喜多]
 75: 1957| [45] [「……うむ、そうだな」]
 76: 2036| [45] [宇喜多はそう答えたが――内心では別の事を考えていた。]
 77: 2093| [47] [宇喜多]
 78: 2094| [45] [（……橘さんたちは、隊長さんの部下だ。態度から察するに、敬愛の念もあるだろう……）]
 79: 2099| [47] [宇喜多]
 80: 2100| [45] [（そんな彼女たちなら、隊長さんの言う事を、無条件に信じてしまうんじゃないか？）]
 81: 2105| [45] [そう、風見や洵がなんと言っていても、それが渡瀬の記憶喪失を否定する材料にはなりえないのだ。]
 82: 2169| [47] [宇喜多]
 83: 2170| [45] [（しかしなぜ同僚をたばかってまで、隊長さんは記憶喪失のフリをしているんだ）]
 84: 2175| [47] [宇喜多]
 85: 2176| [45] [（もしや何も知らない態を装い、僕を陥れようというのではないだろうな？）]
 86: 2181| [47] [宇喜多]
 87: 2182| [45] [（こうなったら皆に聞いてみるか。『隊長さんの記憶喪失は、実は演技だと思わないかね？』と）]
 88: 2187| [45] [しかしその考えを、宇喜多はすぐに否定した。]
 89: 2192| [45] [そんな事をすれば渡瀬自身も、他のメンバーから追及される事は目に見えている。]
 90: 2197| [47] [宇喜多]
 91: 2198| [45] [（くっ……なんという気持ちの悪い状況だ）]
 92: 2203| [47] [宇喜多]
 93: 2204| [45] [（だが――とにかく今は、姿の見えない桧山を探すことを優先しよう）]
 94: 2209| [47] [宇喜多]
 95: 2210| [45] [（おそらく彼が、被験体Ｎと一緒にいるはずだ）]
 96: 2270| [45] [ともかく無事に消火システムを作動させ、宇喜多らはラボの捜索を再開した。]
 97: 2275| [45] [そして第４エリア外周棟の、地下２階に辿り着いた時――]
 98: 2336| [47] [渡瀬]
 99: 2339| [45] [「まぁな」]
100: 2347| [47] [宇喜多]
101: 2350| [45] [「本当かね……？」]
102: 2355| [45] [宇喜多がそう言った瞬間――渡瀬がくっと笑った。]
103: 2381| [47] [渡瀬]
104: 2384| [45] [「おっさんよ、なんだその質問？」]
105: 2392| [47] [宇喜多]
106: 2395| [45] [「え？」]
107: 2423| [47] [渡瀬]
108: 2426| [45] [「まるで腹を探るみてぇじゃねぇかよ……なんか言いたい事でもあんのか？」]
109: 2449| [47] [宇喜多]
110: 2452| [45] [「！！」]
111: 2463| [45] [渡瀬の微笑には、禍々しいものが浮かんでいた。]
112: 2489| [47] [渡瀬]
113: 2492| [45] [「ひょっとしてあんた、俺の記憶喪失を疑ってんじゃねぇだろうな？」]
114: 2500| [47] [渡瀬]
115: 2503| [45] [「あえて、嘘をついていると？」]
116: 2511| [47] [宇喜多]
117: 2514| [45] [「い、いや、まさかそんな……」]
118: 2540| [47] [渡瀬]
119: 2543| [45] [「馬鹿くせぇ。そんなわきゃねぇだろう」]
120: 2551| [47] [渡瀬]
121: 2554| [45] [「だいたいそんな事して、俺になんのメリットがあるんだ？」]
122: 2580| [47] [渡瀬]
123: 2583| [45] [「賢いその頭で考えてみろよ。学者サンなんだろ、あんた」]
124: 2591| [47] [宇喜多]
125: 2594| [45] [「う、く……」]
126: 2620| [47] [渡瀬]
127: 2623| [45] [「答えられないのか？　じゃあ――」]
128: 2631| [47] [渡瀬]
129: 2634| [45] [「あんたはなんの根拠もなく、俺を疑ったって事だな？」]
130: 2685| [45] [渡瀬がゆっくりと宇喜多に歩み寄ってくる。]
131: 2690| [45] [宇喜多は思わず後ずさった。]
132: 2716| [45] [だがすぐに背中が何かにぶつかり、それ以上は下がれなくなった。]
133: 2742| [47] [渡瀬]
134: 2745| [45] [「……おいおっさん。学校で習わなかったか？」]
135: 2753| [47] [渡瀬]
136: 2756| [45] [「『人を疑うのは、よくない事です』ってよ」]
137: 2782| [47] [渡瀬]
138: 2785| [45] [「俺はほんのちょっぴりムカついてんだぜ？　いつもいつも、あんたに疑うような目で見られてよ」]
139: 2793| [47] [宇喜多]
140: 2796| [45] [「いや、違うんだ！　僕はただ……」]
141: 2822| [47] [渡瀬]
142: 2825| [45] [「ただ？」]
143: 2833| [47] [宇喜多]
144: 2836| [45] [「き……君が心配なだけなんだよ」]
145: 2841| [45] [宇喜多は卑屈な笑みを浮かべて言う。]
146: 2846| [45] [すると渡瀬は破顔した。]
147: 2900| [47] [渡瀬]
148: 2903| [45] [「はっ！　そうかそうか、俺が心配だったか！」]
149: 2911| [47] [宇喜多]
150: 2914| [45] [「そ、そうとも」]
151: 2940| [47] [渡瀬]
152: 2943| [45] [「ならいいけどな。疑われてたらどうしようと思ってたんだ」]
153: 2969| [47] [渡瀬]
154: 2972| [45] [「だって堂島みたいなゴツイ男を素手で殺せるのは、俺くらいだもんなぁ？」]
155: 2995| [47] [宇喜多]
156: 2998| [45] [「うっ……」]
157: 3024| [47] [渡瀬]
158: 3027| [45] [「でもな、それはありえねぇよ。俺は何しろ記憶喪失だし、あいつを殺す動機なんかない」]
159: 3035| [47] [渡瀬]
160: 3038| [45] [「違うか、おっさん？」]
161: 3046| [47] [宇喜多]
162: 3049| [45] [「あ、ああ……」]
163: 3075| [47] [渡瀬]
164: 3078| [45] [「おう、それでいい。それじゃさっさと消火システムを起動するぞ」]
165: 3086| [47] [渡瀬]
166: 3089| [45] [「さ、案内してくれ」]
167: 3094| [45] [そう言う渡瀬は、もういつもの渡瀬に戻っていた。]
168: 3102| [47] [宇喜多]
169: 3105| [45] [「わ、わかった。こっちだ」]
170: 3127| [45] [そう答えて歩き出しつつも、宇喜多は恐怖に足が震えていた。]
171: 3132| [45] [――さきほど渡瀬に迫られた時――]
172: 3187| [45] [ふと、中学時代にクラスにいた不良の事を思い出した。]
173: 3192| [45] [いつもは朗らかで優しげでもあったが、キレると何をするのかわからない男だった。]
174: 3197| [45] [宇喜多は彼に何度か因縁をつけられたが、その時と同様、生きた心地がしなかった。]
175: 3228| [47] [宇喜多]
176: 3229| [45] [（隊長さんが記憶喪失でもそうでなくとも……やっぱりどこか、危険な気がする……！）]
177: 3234| [47] [宇喜多]
178: 3235| [45] [（この男、何が目的なんだ……？）]
179: 3240| [45] [疑心は恐怖と共に、宇喜多の中で強くなっていった。]
180: 3304| [47] [宇喜多]
181: 3305| [45] [（だが……今は隊長さんには逆らわないようにしつつ……）]
182: 3310| [47] [宇喜多]
183: 3311| [45] [（姿の見えない桧山を探すことを優先しよう）]
184: 3316| [47] [宇喜多]
185: 3317| [45] [（おそらく彼が、被験体Ｎと一緒にいるはずだ）]
186: 3377| [45] [――だがその後、渡瀬は全くおかしな挙動を見せなかった。]
187: 3382| [45] [消火システムも作動させ、宇喜多らはラボの捜索を再開する。]
188: 3387| [45] [だが第４エリア外周棟の、地下２階に辿り着いた時――]
189: 3474| [47] [渡瀬]
190: 3477| [45] [「おっさん、聞いてくれ……桧山の死体が見つかった」]
191: 3485| [47] [宇喜多]
192: 3488| [45] [「なっ……そ、それは本当かね……！？」]
193: 3493| [45] [不意に告げられた言葉に、宇喜多は混乱した。]
194: 3547| [47] [宇喜多]
195: 3548| [45] [（しかし、それでは誰が堂島やあの２名の研究員を……？）]
196: 3553| [47] [宇喜多]
197: 3554| [45] [（いや……それともやはり桧山が犯人で、３人を殺した際に手傷を負い、そのあと火に巻かれて死んだのか……？）]
198: 3559| [45] [考えれば考えるほど、わけがわからなくなってくる。]
199: 3576| [45] [それでも宇喜多は、被験体Ｎや夏彦たちの捜索を、諦めるわけにはいかなかった……。]
200: 3607| [45] [――その記憶を見終えた夏彦は、思った。]
201: 3612| [47] [夏彦]
202: 3613| [45] [（……これでいいのかな？　多少は修復できた感じはするけど……）]
203: 3618| [47] [夏彦]
204: 3619| [45] [（渡瀬以外の人にも、もっと信頼の感情を注ぎ込まなきゃまずいか……？）]
205: 3653| [45] [――その記憶を見終えた夏彦は、思った。]
206: 3658| [47] [夏彦]
207: 3659| [45] [（なんだこれ！？　まるで渡瀬がチンピラじゃないか！）]
208: 3664| [47] [夏彦]
209: 3665| [45] [（もっと渡瀬に対する好意的な感情を注ぎ込まなきゃ、記憶は直りそうにないぞ！）]
