  0:   53| [45] [――それは、悠里が鹿鳴市に引っ越してきた最初の夏。]
 58:  774| [45] [「よ～し、きいておどろくな！」]
 59:  800| [47] [ましろ]
 60:  803| [45] [「ズバリ！　鹿鳴市さいきょーメンコつかいけっていせん！」]
 61:  829| [47] [夏彦]
 62:  832| [45] [「ぼくのマネじゃん！」]
 63:  840| [47] [悠里]
 64:  843| [45] [「あ、でもそれもかわいくていいかも」]
 65:  851| [47] [悠里]
 66:  854| [45] [「ましろちゃん、やっぱり女の子だね」]
 67:  880| [47] [ましろ]
 68:  883| [45] [「えへへ～」]
 69:  918| [47] [夏彦]
 70:  921| [45] [「へん！　そんなのぜんぜんすごくないやい！　ぼくのほうがすごい！」]
 71:  956| [47] [ましろ]
 72:  959| [45] [「なによ、私のほうがすごいもん！」]
 73:  994| [47] [夏彦]
 74:  997| [45] [「ぼく！」]
 75: 1032| [47] [ましろ]
 76: 1035| [45] [「私！」]
 77: 1070| [47] [夏彦]
 78: 1073| [45] [「う～……！」]
 79: 1108| [47] [ましろ]
 80: 1111| [45] [「がぅ……！」]
 81: 1116| [45] [２人が、威嚇するように睨み合う。いつも通りの光景だ。]
 82: 1124| [47] [悠里]
 83: 1127| [45] [「２人とも、ケンカはやめてよぅ……」]
 84: 1135| [47] [悠里]
 85: 1138| [45] [「もう、さいきん２人はなかよくなったと思ったのに……」]
 86: 1173| [47] [夏彦]
 87: 1176| [45] [「だってましろが……」]
 88: 1211| [47] [ましろ]
 89: 1214| [45] [「だって～夏彦が～……」]
 90: 1222| [47] [悠里]
 91: 1225| [45] [「う、う～ん……」]
 92: 1230| [45] [夏彦もましろも互いに譲らない。悠里は深く肩を落とした。]
 93: 1235| [45] [２人の間には、ライバル意識のようなものがあるのだろう。]
 94: 1282| [47] [悠里]
 95: 1283| [45] [（このままじゃせっかくの夏休みも、だいなしになっちゃうかも。どうしよう……）]
 96: 1288| [47] [悠里]
 97: 1289| [45] [（……あ、そうだ）]
 98: 1325| [47] [悠里]
 99: 1328| [45] [「２人であだなとかつけて、それでよびあったらどうかな？」]
100: 1336| [47] [悠里]
101: 1339| [45] [「そうすればすこし、きょりが近くなるかもしれないよ」]
102: 1365| [47] [夏彦]
103: 1368| [45] [「あだなって、たとえばどんな？」]
104: 1376| [47] [悠里]
105: 1379| [45] [「う～ん、たとえば～……」]
106: 1384| [45] [悠里はそう言ってしばらく黙った。]
107: 1389| [45] [２人には良いあだ名をつけてあげたいとは思うが、なかなか思いつかない。]
108: 1394| [45] [しばらく考えた後、悠里の頭の中に閃くものがあった。]
109: 1402| [47] [悠里]
110: 1405| [45] [「あ！　そ……そうだっ！」]
111: 1413| [47] [悠里]
112: 1416| [45] [「『ひこりん』と『ましろん』ってのはどうかな？」]
113: 1451| [47] [夏彦]
114: 1454| [45] [「え～！？　ひこりん～～～……？」]
115: 1480| [47] [ましろ]
116: 1483| [45] [「なによ夏彦、きにいらないの？」]
117: 1509| [47] [夏彦]
118: 1512| [45] [「いや、きにいらないってわけじゃないけどさぁ……」]
119: 1538| [47] [夏彦]
120: 1541| [45] [「ひこりんに、ましろん……うぅ～イヤだな～……」]
121: 1576| [47] [ましろ]
122: 1579| [45] [「悠里がつけてくれたんだから、もんくいわないの！」]
123: 1605| [47] [ましろ]
124: 1608| [45] [「かわいいじゃん。ね、夏彦？」]
125: 1634| [47] [夏彦]
126: 1637| [45] [「ましろだって、ひこりんってよんでないじゃないか……」]
127: 1672| [47] [ましろ]
128: 1675| [45] [「あっ……」]
129: 1680| [45] [そう言って、夏彦とましろは黙った。]
130: 1685| [45] [その様子を見ながら、クスクスと笑う悠里。]
131: 1690| [47] [悠里]
132: 1691| [45] [（うん。ケンカになってないから、さっきよりはマシだよね）]
133: 1696| [45] [色々違うような気もするが、とにかくそう思うことにした。]
134: 1701| [45] [本音を言えば、やっぱりましろと夏彦には、あだ名で呼び合ってもらいたい。]
135: 1706| [45] [悠里としては『ひこりん』と『ましろん』というあだ名は相当に気にいっているのだ。]
136: 1711| [45] [だが、とりあえず贅沢は言わないことにした。]
137: 1763| [47] [悠里]
138: 1764| [45] [（いつかそんな日が来るよね）]
139: 1769| [47] [悠里]
140: 1770| [45] [（いつか、きっと……）]
141: 1775| [45] [悠里には、その願いだけで十分だった。]
142: 1821| [45] [それから――ことあるごとに悠里は夏彦たちを『ましろん、ひこりん』と呼んだ。]
143: 1826| [45] [呼び続ければ、もっと仲良くなれると思ったからだ。]
144: 1831| [45] [しかし、いつまで経っても夏彦とましろに関しては相変わらずで――]
145: 1839| [47] [悠里]
146: 1842| [45] [「ねぇねぇひこりん、どうしてましろちゃんのこと『ましろん』ってよばないの？」]
147: 1868| [47] [夏彦]
148: 1871| [45] [「……なんか、くすぐったいんだもん」]
149: 1879| [47] [悠里]
150: 1882| [45] [「え～？　ま、ましろんは？」]
151: 1908| [47] [ましろ]
152: 1911| [45] [「……の、のーこめんと」]
153: 1919| [47] [悠里]
154: 1922| [45] [「うぅ～……２人とも、わたしによばれるのはイヤがらないのに～……」]
155: 1948| [47] [夏彦]
156: 1951| [45] [「悠里はいいんだ、悠里は。おねえさんだからな」]
157: 1977| [47] [ましろ]
158: 1980| [45] [「うん、夏彦のいうとおりだね」]
159: 1988| [47] [悠里]
160: 1991| [45] [「なんでこんなときばっかり、いきピッタリなのよぅ……」]
161: 1999| [47] [悠里]
162: 2002| [45] [「もう……」]
163: 2007| [45] [悠里は苦笑いを浮かべたが、悪い気はしなかった。]
164: 2012| [45] [夏彦とましろの仲が、少しずつ良くなっているような気がしたし――]
165: 2017| [45] [３人の距離が、より近づいた気がしたからだ。]
166: 2022| [47] [悠里]
167: 2023| [45] [（……ずっとずっとおとなになっても、３人なかよしでいられたらいいな）]
168: 2028| [47] [悠里]
169: 2029| [45] [（おとなになっても、あだなでよんだらへんかな……？）]
170: 2034| [45] [そんなことを思いながら、悠里は夏彦とましろの頭を撫でる。]
171: 2039| [45] [くすぐったそうにする２人の顔が、悠里にはとても可愛く見えた。]
172: 2090| [45] [――そのあだ名は結局、悠里以外には定着しなかったが――]
173: 2170| [45] [ましろがニックネーム魔になったのは、その時からだったように思う。]
174: 2175| [45] [仲良くなりたいと思う相手に、あだ名をつけるのだ。]
175: 2180| [45] [だがましろは悠里の事だけは、『もう親友だから』という理由で、ずっと名前で呼んでいた。]
176: 2196| [45] [それも嬉しく、誇らしかった。]
177: 2220| [45] [――そして、当の悠里は――]
178: 2225| [45] [１０年経った今も、夏彦たちをあだ名で呼び続けている。]
179: 2230| [45] [２人の仲が、もっと近くなるようにと願って……。]
