  0:  139| [55] [√Double Chapter3]
 87: 1541| [45] [パイプから脱出するためには、この削岩機が不可欠だった。]
 88: 1595| [45] [だが仮に修理できたとしても、排水パイプ内のポンプの破壊には３時間ほどかかる。]
 89: 1600| [45] [爆発までには間に合わないだろう。]
 90: 1605| [47] [渡瀬]
 91: 1606| [45] [（万が一の時のため……パイプ以外の脱出経路も、探す必要があるか？）]
 92: 1621| [45] [しかしそんなもの、どこかにあるのだろうか？]
 93: 1626| [45] [渡瀬はその事を頭の片隅に置きつつ、死体の部屋を出た。]
 94: 1785| [45] [部屋を出た渡瀬は、弾切れの拳銃２丁を床に置いた。]
 95: 1867| [45] [そして安全靴で思い切り何度も踏みつけ、銃身と弾倉を破壊する。]
 96: 1880| [45] [こうすれば誰かに拾われ、悪用される恐れもない。]
 97: 1934| [47] [渡瀬]
 98: 1935| [45] [（これで残るは、俺の銃とおっさんが持ってる銃だけか）]
 99: 1940| [45] [大勢の人間の手に銃が渡らなかった事は、不幸中の幸いだ。]
100: 1945| [45] [最低限の安全を確保したところで、渡瀬はいよいよ悪意感染者の捕獲を始める事にした。]
101: 1950| [47] [渡瀬]
102: 1951| [45] [（さて、最初につかまえるべきは、宇喜多のおっさんだ）]
103: 1956| [47] [渡瀬]
104: 1957| [45] [（この広い施設内から、おっさんを探すには――）]
105: 1972| [45] [渡瀬は考え、すぐに結論を出した。]
106: 2026| [45] [監視ルームだ。あそこにはまだいくつか、生きているモニターがある。]
107: 2031| [45] [あれを使えば多少は、施設内の様子がわかるだろう。]
108: 2046| [45] [渡瀬はそう思い、監視ルームに向けて歩き出した。]
109: 2100| [45] [――暗がりや物陰に気をつけながら、足音を立てないようにして階段を降りる。]
110: 2105| [45] [恐れるべきは、遠くからいきなり撃たれてしまう事だ。]
111: 2110| [45] [だが先に渡瀬が宇喜多を視認する事ができれば、むしろ渡瀬が有利になる。]
112: 2115| [47] [渡瀬]
113: 2116| [45] [（銃弾の詰め替えにも、時間がかかるだろう……）]
114: 2121| [47] [渡瀬]
115: 2122| [45] [（あとはおっさんに駆け寄り、ブン投げちまえばいい）]
116: 2127| [45] [渡瀬はＱに入ってから、格闘技の訓練を受けていた。]
117: 2132| [45] [そして記憶の回復と共に、それらの技術も思い出していた。]
118: 2137| [47] [渡瀬]
119: 2138| [45] [（まさかおっさんに対し、それを使うとは予想してなかったがな）]
120: 2190| [45] [そう思った時、階段の終わりに着いた。]
121: 2289| [45] [そして、階段室を出た途端――]
122: 2300| [45] [渡瀬の耳が、人の話し声を捉えた。]
123: 2308| [47] [恵那]
124: 2311| [45] [「……――さんも、仲間だっていうの！？」]
125: 2319| [47] [宇喜多]
126: 2322| [45] [「いや、奴は裏切り者――……」]
127: 2345| [47] [渡瀬]
128: 2348| [45] [「！！」]
129: 2353| [45] [声は階段室を出て、すぐそこにある部屋――監視ルームから聞こえてくるようだった。]
130: 2359| [47] [渡瀬]
131: 2360| [45] [（声の主は……おっさんと、先生！？）]
132: 2365| [47] [渡瀬]
133: 2366| [45] [（まずい、先生が危ない！）]
134: 2372| [45] [渡瀬は慌てて監視ルームの扉に駆け寄り、それを開けた。]
135: 2440| [47] [渡瀬]
136: 2443| [45] [「やめろおっさん！　先生に――……っ！？」]
137: 2449| [45] [渡瀬はそこまで言って、言葉を呑んだ。]
138: 2454| [45] [予想外の光景に絶句したのだ。]
139: 2509| [47] [恵那]
140: 2512| [45] [「！！」]
141: 2520| [47] [宇喜多]
142: 2523| [45] [「！！」]
143: 2528| [45] [恵那と宇喜多が、はっとして振り返る。]
144: 2533| [45] [宇喜多が恵那を襲っていたのではなく、恵那が宇喜多に銃をつきつけていたのだ。]
145: 2538| [47] [渡瀬]
146: 2539| [45] [（な、何だこれ！？　どうなってる！？）]
147: 2547| [47] [恵那]
148: 2550| [45] [「隊長さん……あなた……！」]
149: 2565| [45] [恵那は渡瀬を、敵意のこもった目で睨む。]
150: 2585| [47] [渡瀬]
151: 2586| [45] [（撃たれる！？）]
152: 2591| [45] [渡瀬がはっとして身をすくめると――]
153: 2670| [45] [恵那は一瞬迷った後、部屋を飛び出していった。]
154: 2678| [47] [渡瀬]
155: 2681| [45] [「な……なんだ今のは？」]
156: 2686| [45] [わけもわからず立ち尽くす渡瀬に、宇喜多が低い声で呟く。]
157: 2720| [47] [宇喜多]
158: 2723| [45] [「……あの女、ただの教師なんかじゃなかったんだ」]
159: 2731| [47] [渡瀬]
160: 2734| [45] [「なに？」]
161: 2763| [47] [宇喜多]
162: 2766| [45] [「あの女の弾倉を奪おうとしたら、逆に銃を奪われてね……」]
163: 2792| [47] [宇喜多]
164: 2795| [45] [「脅されたのさ。『知っている事を全て話さないと、今すぐ射殺する』と」]
165: 2824| [47] [渡瀬]
166: 2827| [45] [「……！」]
167: 2853| [47] [宇喜多]
168: 2856| [45] [「あの殺気は本物だった。思わず洗いざらいぶちまけてしまったよ……」]
169: 2882| [47] [宇喜多]
170: 2885| [45] [「このテロ計画も、君が途中で裏切った事も！」]
171: 2893| [47] [宇喜多]
172: 2896| [45] [「計画は失敗だ！　全て終わりだよ、君のせいでな！」]
173: 2958| [45] [宇喜多はそう叫び、渡瀬に飛び掛ってきた。]
174: 2981| [47] [渡瀬]
175: 2984| [45] [「なっ！？」]
176: 3028| [47] [宇喜多]
177: 3031| [45] [「君も銃を持ってるだろう！　よこせ、よこすんだ！」]
178: 3039| [47] [宇喜多]
179: 3042| [45] [「あの女は恐らく、ラボが差し向けた殺し屋だ！　今すぐあの女を追いかけて撃ち殺さなければ、僕らが殺されるぞ！」]
180: 3047| [45] [宇喜多は眼を血走らせて、渡瀬の銃を奪おうとする。完全に錯乱しているのが見て取れた。]
181: 3052| [47] [渡瀬]
182: 3053| [45] [（――くそ、これも悪意の影響か！）]
183: 3075| [45] [渡瀬は難なく宇喜多の体をいなし、背後に回りこむ。]
184: 3114| [45] [そして首に腕を回し、締め上げた。]
185: 3128| [47] [宇喜多]
186: 3131| [45] [「かっ……！」]
187: 3136| [45] [裸絞め――人体にダメージを与えずに、人を無力化させる技。]
188: 3141| [47] [宇喜多]
189: 3142| [45] [「……――」]
190: 3149| [45] [すぐに宇喜多の腕が、だらりと下がった。]
191: 3157| [47] [渡瀬]
192: 3160| [45] [「ふぅ……これでいいんだろ、夏彦？」]
193: 3209| [45] [渡瀬は大きく息をつき、宇喜多を担ぐ。]
194: 3220| [45] [そしてシェルターに向けて駆け出した。]
