  0:   79| [45] [それから１週間ほどが経った、ある晴れた日――]
228: 2366| [45] [言われて気がついた。]
229: 2371| [45] [いつの間にか周囲に煙が漂い、キナ臭いニオイが立ち込めている。]
230: 2376| [45] [――いや、それだけではない。]
231: 2381| [45] [背中に圧し掛かる瓦礫が、徐々に熱を帯び始め――]
232: 2386| [47] [洵]
233: 2387| [45] [（あ……熱い！？）]
234: 2392| [45] [燃えているのは、洵を押さえつけている瓦礫だった。]
235: 2397| [45] [瞬時に恐怖が走りぬける。]
236: 2402| [47] [洵]
237: 2403| [45] [（た、大変！　このままじゃ背中が焼けて――！）]
238: 2429| [45] [洵は思わず身をよじった。]
239: 2457| [45] [その途端、圧し掛かっていた瓦礫が崩れ、何かとてつもなく熱いものが洵の背に衝突した。]
240: 2537| [47] [洵]
241: 2540| [45] [「あああああッ！！」]
242: 2548| [47] [凪沙]
243: 2551| [45] [「じゅ、洵ちゃん！？」]
244: 2625| [47] [洵]
245: 2628| [45] [「ああああ熱い熱い熱い！！　いっ、ぎぃっ、ああああッ！」]
246: 2633| [45] [灼熱した鉄筋か何かが、背中に押し付けられたらしい。]
247: 2638| [45] [それは瞬時に洵の服を焼き、肌を焦がした。]
248: 2643| [45] [奥歯を噛み、身をよじり、なんとか背中から鉄筋を離す。]
249: 2648| [45] [それでも背中には熱と、ひりつくような激痛が残った。]
250: 2665| [47] [洵]
251: 2668| [45] [「はッ、はッ、はあッ……！」]
252: 2676| [47] [凪沙]
253: 2679| [45] [「だ、大丈夫……？」]
254: 2687| [47] [洵]
255: 2690| [45] [「大丈夫……心配しないで……」]
256: 2695| [45] [荒い息をつきつつ、洵は思う。]
257: 2700| [45] [この狭い部屋の中で火が出ている以上、早く助けが来ないと――自分も、凪沙も、死んでしまうと。]
258: 2708| [47] [洵]
259: 2711| [45] [「だ……誰か！！　誰か助けに来て！！」]
260: 2719| [47] [洵]
261: 2722| [45] [「ここに２人取り残されてる！」]
262: 2727| [45] [声を枯らして洵は叫ぶ。]
263: 2732| [45] [凪沙も弱々しい声を上げる。]
264: 2740| [47] [凪沙]
265: 2743| [45] [「だ、誰か……」]
266: 2751| [47] [凪沙]
267: 2754| [45] [《た……たすけて……》]
268: 2762| [47] [洵]
269: 2765| [45] [「ここに２人、閉じ込められてるの！」]
270: 2773| [47] [凪沙]
271: 2776| [45] [《わたしたち……３０３ごうしつにいます……》]
272: 2784| [47] [凪沙]
273: 2787| [45] [《はやく……火が……》]
274: 2795| [47] [洵]
275: 2798| [45] [「火が出てるの！　誰か――」]
276: 2806| [47] [洵]
277: 2809| [45] [「かはっ！　ごほごほっ！」]
278: 2814| [45] [そこで洵も咳き込んだ。]
279: 2819| [45] [煙がいよいよ、床に押し付けられている洵の口元をも覆い始めたのだ。]
280: 2827| [47] [洵]
281: 2830| [45] [「だ……誰か……」]
282: 2837| [45] [その声を最後に、洵が意識を失いかけた時――]
283: 2848| [45] [玄関の方から、ドアを開けるような音がした。]
284: 2854| [47] [洵]
285: 2855| [45] [（ッ！？）]
286: 2860| [45] [洵がはっとした時、さらに人の声が聞こえた。]
287: 2874| [47] [渡瀬]
288: 2877| [45] [「よ……要救助者発見！！」]
289: 2882| [47] [洵]
290: 2883| [45] [（た……助けが、来たの……？）]
291: 2888| [45] [朦朧とする意識の中、洵は声の方を見る。]
292: 2899| [45] [すると視界を覆っていた瓦礫が取り除かれ、誰かの影が見えた。]
293: 2994| [47] [渡瀬]
294: 2997| [45] [「大丈夫か！？」]
295: 3005| [47] [洵]
296: 3008| [45] [「う……」]
297: 3013| [45] [洵は答えられなかった。]
298: 3018| [45] [だが男は安堵したように微笑む。]
299: 3103| [47] [渡瀬]
300: 3106| [45] [「よく頑張ったな、もう大丈夫だからな」]
301: 3111| [47] [洵]
302: 3112| [45] [「……」]
303: 3117| [45] [洵もかすかに微笑を返す。]
304: 3122| [45] [ギリギリのところで、洵たちを救いに現れた彼は、まるで映画か何かに出てくるヒーローのように見えた。]
305: 3127| [45] [さらに部屋の隅から、別の男の声が聞こえた。]
306: 3132| [47] [堂島]
307: 3135| [45] [「こっちにもいるぞ！」]
308: 3143| [47] [渡瀬]
309: 3146| [45] [「よし、要救助者２名確保！」]
310: 3154| [47] [渡瀬]
311: 3157| [45] [「お嬢ちゃん、この家に他に人はいるか！？」]
312: 3165| [47] [洵]
313: 3168| [45] [「い……いない……あたしと、凪沙、だけ……」]
314: 3176| [47] [渡瀬]
315: 3179| [45] [「ありがとう！　それじゃ待ってろ、すぐ助けてやる！」]
316: 3225| [45] [男はそう叫ぶや、洵の背の瓦礫をどけ――]
317: 3231| [45] [瞬く間に、洵を助け出した。]
318: 3349| [45] [みしみしと軋む廊下を、男が洵を背負って歩く。]
319: 3354| [45] [少し後ろを別の男が、凪沙を背負って付いてくる。]
320: 3362| [47] [洵]
321: 3365| [45] [「な……凪沙は、無事なの……？」]
322: 3392| [47] [渡瀬]
323: 3395| [45] [「凪沙？　もう１人の子か？」]
324: 3403| [47] [洵]
325: 3406| [45] [「うん……あたしの、妹……」]
326: 3433| [47] [渡瀬]
327: 3436| [45] [「っ！？　妹だったのか？」]
328: 3441| [45] [そこで少し後ろを歩いていた男が、洵の問いに答えた。]
329: 3446| [47] [堂島]
330: 3449| [45] [「大丈夫だよお嬢ちゃん、ナギサちゃんは無事だ」]
331: 3454| [47] [堂島]
332: 3457| [45] [「今は気を失ってるが、命には別状はないはずさ」]
333: 3484| [47] [渡瀬]
334: 3487| [45] [「……だってさ。安心していい」]
335: 3495| [47] [洵]
336: 3498| [45] [「そう……」]
337: 3503| [45] [そう答えた時、不意に先ほどまで煙にいぶされていた喉が痛んだ。]
338: 3511| [47] [洵]
339: 3514| [45] [「う……げほっ、ごほっ……」]
340: 3541| [47] [渡瀬]
341: 3544| [45] [「大丈夫か！？　すぐに安全な場所に連れて行ってやるからな！」]
342: 3552| [47] [洵]
343: 3555| [45] [「で、でも……苦しいよ……」]
344: 3563| [47] [洵]
345: 3566| [45] [「背中もいたいし……頭も、目もいたいし……」]
346: 3574| [47] [洵]
347: 3577| [45] [「あたし……死ぬの……？」]
348: 3582| [45] [凪沙の無事が確認できると、不意に弱気が襲ってきた。]
349: 3587| [45] [だが男は力強い声で答える。]
350: 3614| [47] [渡瀬]
351: 3617| [45] [「いや、安心しろ。絶対に死んだりなんかしない」]
352: 3625| [47] [洵]
353: 3628| [45] [「え……？」]
354: 3655| [47] [渡瀬]
355: 3658| [45] [「俺たちはレスキュー隊だ。君らの命を救いに来たんだ」]
356: 3666| [47] [渡瀬]
357: 3669| [45] [「俺たちが来た以上、死なせなんかしない」]
358: 3674| [47] [洵]
359: 3675| [45] [（レスキュー隊……？）]
360: 3680| [45] [そう言えば聞いた事がある。]
361: 3685| [45] [この街には、人の命を救う事を専門に行う消防士がいると。]
362: 3715| [47] [洵]
363: 3716| [45] [（……そうか、だから……あっという間に、あたしたちを助けられたんだ……）]
364: 3721| [47] [洵]
365: 3722| [45] [（すごいな、レスキュー隊って……）]
366: 3727| [47] [洵]
367: 3728| [45] [（あたしにもそんな力があれば……もっと早くに、凪沙を助ける事が…………）]
368: 3790| [45] [そんな事を思いながら――]
369: 3795| [45] [洵は再び、意識を失った。]
