  0:   57| [45] [――夏彦が、その記憶を覗き込むと――]
 57: 1020| [45] [その不吉な通報と共に――洵の人生で一番長い日が、幕を開けた。]
 58: 1076| [45] [ラボのエントランスに、防護服を着た仲間たちが並ぶ。]
 59: 1084| [47] [風見]
 60: 1087| [45] [「隊長！　Ａチーム全員揃いました！」]
 61: 1095| [47] [渡瀬]
 62: 1098| [45] [「よし、全員そのまま聞け！」]
 63: 1106| [47] [渡瀬]
 64: 1109| [45] [「現在このラボの中には、無数の人が取り残されている！」]
 65: 1117| [47] [渡瀬]
 66: 1120| [45] [「そして、施設の性質上――これは通常の出場ではない」]
 67: 1128| [47] [渡瀬]
 68: 1131| [45] [「この現場ではなにが起こるかわからない。どんな不測の事態もだ」]
 69: 1139| [47] [洵]
 70: 1142| [45] [「……っ」]
 71: 1147| [45] [洵は防護服の中で息を呑んだ。]
 72: 1152| [47] [洵]
 73: 1153| [45] [（不測の事態って……！）]
 74: 1158| [45] [被曝、放射線障害、そして死――そんな単語が頭の中に浮かぶ。]
 75: 1163| [47] [洵]
 76: 1164| [45] [（いつも冷静な隊長が、こんな事を言うなんて……本当に今回の現場は、普通じゃないんだ）]
 77: 1169| [45] [洵もそう思い、気を引き締めていたのだが――]
 78: 1220| [45] [彼女の予測を遥かに上回るほど、次々に問題が発生した。]
 79: 1285| [45] [渡瀬たちとの連絡の断絶。]
 80: 1354| [45] [防護服の破損。]
 81: 1420| [45] [さらには『ケースＮ』の発令により、洵は風見と共に、ラボの地下に閉じ込められてしまった。]
 82: 1468| [45] [――それでも２人で力を合わせ、脱出口と要救助者の捜索を行った。]
 83: 1473| [45] [だがそのどちらも見つからないまま、第２エリア、第１エリアの捜索を終えようとした時――]
 84: 1529| [47] [洵]
 85: 1532| [45] [「……あ！　あれは――」]
 86: 1565| [47] [風見]
 87: 1568| [45] [「まさか、隊長！？」]
 88: 1573| [45] [第１エリアの廊下で、倒れている渡瀬と再会した。]
 89: 1580| [45] [３人のレスキュー隊員の奮闘が始まる……。]
 90: 1610| [45] [――と、その時ふと――]
 91: 1615| [45] [どこかで、花の香りが漂った。]
 92: 1620| [47] [夏彦]
 93: 1621| [45] [（花の香り……！）]
 94: 1626| [47] [夏彦]
 95: 1627| [45] [（ここから先の記憶が、歪められているんだ！）]
 96: 1651| [47] [悠里]
 97: 1654| [45] [《その記憶を修復すれば、洵さんも元に戻るはずだよ！》]
 98: 1659| [47] [夏彦]
 99: 1660| [45] [（あぁ！）]
100: 1709| [45] [夏彦はそう答え、再び記憶検索を行った。]
101: 1714| [45] [追加する条件は――『花の香りのする記憶』。]
