  0:   81| [45] [――それは、昨日の夜の事。]
 46:  485| [47] [美夜子]
 47:  488| [45] [「ねぇ、『意識』ってなんだと思う？」]
 48:  496| [47] [悠里]
 49:  499| [45] [「意識、ですか？　うーん、むつかしいですね……」]
 50:  507| [47] [悠里]
 51:  510| [45] [「思ったり、感じたりする心……魂って呼ばれるものでしょうか？」]
 52:  536| [47] [美夜子]
 53:  539| [45] [「魂ね、それも１つの答えだわ」]
 54:  547| [47] [美夜子]
 55:  550| [45] [「様々な答えがある哲学的な命題だけど、少なくとも私はこう思うの」]
 56:  576| [47] [美夜子]
 57:  579| [45] [「意識とは、『情報の集積』と、その『変容』。そしてその変容の仕方を自ら『取捨選択』できるという事よ」]
 58:  587| [47] [悠里]
 59:  590| [45] [「取捨選択……？」]
 60:  616| [47] [美夜子]
 61:  619| [45] [「それが重要なの。ただの情報と意識を分ける、決定的な一線」]
 62:  627| [47] [美夜子]
 63:  630| [45] [「情報をいくら集めたところで、そこに意識は生まれないわよね」]
 64:  638| [47] [美夜子]
 65:  641| [45] [「例えば大容量のハードディスクがあっても、それが意思を持つ事はない。そこに記録されている情報は、変容しないから」]
 66:  649| [47] [美夜子]
 67:  652| [45] [「ではそれが『変容』するとしたらどうかしら？　いいえ、これだけではまだ意識とは呼べない」]
 68:  660| [47] [美夜子]
 69:  663| [45] [「ハードディスクの内容を１０００回書き換えたところで、それは他者が行った事。意識とは全く別物よ」]
 70:  671| [47] [美夜子]
 71:  674| [45] [「コンピュータープログラムもしかり。決められた処理を行うだけで、自ら何か選ぶわけではない」]
 72:  700| [47] [美夜子]
 73:  703| [45] [「だけど、もし――その情報が、自らの変容の仕方を、取捨選択できるとしたら？」]
 74:  726| [47] [悠里]
 75:  729| [45] [「……っ」]
 76:  755| [47] [美夜子]
 77:  758| [45] [「それはもはやただの記録媒体じゃない。人間の脳内で起こる作用と変わりないわ」]
 78:  766| [47] [美夜子]
 79:  769| [45] [「そこには『意識が生まれた』と言っても、過言ではないと思うの」]
 80:  777| [47] [悠里]
 81:  780| [45] [「なるほど、わたしもそう思いますけど……それを作るって言うのは、どういう意味ですか？」]
 82:  785| [45] [悠里が問いを重ねると、博士は自分の頭を指差した。]
 83:  811| [47] [美夜子]
 84:  814| [45] [「人間の脳の中には、高エネルギーのＢＣ粒子が満ちているわ」]
 85:  822| [47] [美夜子]
 86:  825| [45] [「それは言わば、情報エネルギーの集合体。脳から作用を受け、常に変容していく」]
 87:  833| [47] [美夜子]
 88:  836| [45] [「逆にＢＣ粒子も、脳に作用を及ぼし、印象や感覚を変容させる」]
 89:  844| [47] [美夜子]
 90:  847| [45] [「つまり脳内のＢＣ粒子とは、脳と相互に影響を及ぼし続ける」]
 91:  873| [47] [美夜子]
 92:  876| [45] [「……それって、さっき悠里ちゃんが言ったものに似てない？」]
 93:  881| [45] [そこまで言われて、悠里もピンときた。]
 94:  889| [47] [悠里]
 95:  892| [45] [「魂……！？」]
 96:  918| [47] [美夜子]
 97:  921| [45] [「そう。魂なんてものが実在するとしたら、それは脳内に満ちるＢＣ粒子の事なんじゃないかって思うのよ」]
 98:  929| [47] [美夜子]
 99:  932| [45] [「太古から人類が存在を示唆し、探し続けて来たもの。その正体は、素粒子が伝播する情報エネルギーの集積だった」]
100:  958| [47] [美夜子]
101:  961| [45] [「――つまり魂は、概念なんかじゃない。『物理的に存在した』のよ」]
102:  984| [47] [悠里]
103:  987| [45] [「っ……！」]
104: 1013| [47] [美夜子]
105: 1016| [45] [「そこに長年謎だった、『意識の在り処』があると思うの」]
106: 1024| [47] [美夜子]
107: 1027| [45] [「つまり意識は、脳に発生するものではない……脳はただの記憶媒体であり、演算処理装置」]
108: 1035| [47] [美夜子]
109: 1038| [45] [「それを包み込む情報エネルギーの集積、即ち魂にこそ、意識が発生するの！」]
110: 1046| [47] [美夜子]
111: 1049| [45] [「魂に生じた意識は、脳を使って思考したり、行動を起こす」]
112: 1057| [47] [美夜子]
113: 1060| [45] [「その結果、脳が得た答えや刺激は、意識にフィードバックされ、魂に記憶や経験として書き加えられる」]
114: 1086| [47] [美夜子]
115: 1089| [45] [「それを科学的に証明出来たら、衝撃的じゃないかしら？」]
116: 1094| [45] [博士の頬に、かすかな笑みが浮かぶ。]
117: 1099| [45] [それはいつも悠里に向ける慈母の微笑とは違い、純粋な子供のような笑みだった。]
118: 1107| [47] [悠里]
119: 1110| [45] [「じゃ、じゃあ……」]
120: 1118| [47] [悠里]
121: 1121| [45] [「脳がなくても、意識は存在し得るんですか？」]
122: 1129| [47] [悠里]
123: 1132| [45] [「脳の外に、高エネルギーのＢＣ粒子の塊ができれば、それは魂になるんですか？」]
124: 1158| [47] [美夜子]
125: 1161| [45] [「勘がいいわね、悠里ちゃん。それを確認するのが、明日の実験よ」]
126: 1187| [47] [美夜子]
127: 1190| [45] [「明日やる事は、こう――」]
128: 1195| [45] [美夜子は実験の詳細について、語り始めた。]
129: 1252| [47] [美夜子]
130: 1255| [45] [「まずＮエリアに、５００ｍＳｖ前後のＷＸ粒子力場を発生させ、その状態を保つ」]
131: 1263| [47] [美夜子]
132: 1266| [45] [「だけどＷＸ粒子には、なんの情報も載っていない。それだけじゃただのエネルギーの塊が、Ｎエリアに現れるに過ぎない」]
133: 1274| [47] [美夜子]
134: 1277| [45] [「そこで悠里ちゃんに、Ｎエリアに入ってもらって、ＢＣを使い続けてもらう」]
135: 1319| [47] [悠里]
136: 1322| [45] [「ＢＣって、誰に対してですか？」]
137: 1348| [47] [美夜子]
138: 1351| [45] [「誰に対してでもない、無差別テレパシーでいいわ」]
139: 1359| [47] [美夜子]
140: 1362| [45] [「悠里ちゃんが発信した情報エネルギーは、絶縁体に阻まれ、Ｎエリアの外には出て行かない」]
141: 1370| [47] [美夜子]
142: 1373| [45] [「それでもなお悠里ちゃんは、延々とテレパシーを発信し、Ｎエリアの情報エネルギー量を高めていく……」]
143: 1381| [47] [美夜子]
144: 1384| [45] [「悠里ちゃんの頭の中の全記憶を、全て情報エネルギーとして発信するつもりでやるの」]
145: 1392| [47] [悠里]
146: 1395| [45] [「なんのために、そんな事を……？」]
147: 1421| [47] [美夜子]
148: 1424| [45] [「私が確かめたいのは、つまりこういう事よ」]
149: 1450| [47] [美夜子]
150: 1453| [45] [「『悠里ちゃんの脳内の全情報エネルギーを、ＢＣによって、Ｎエリアに放出した場合――』」]
151: 1461| [47] [美夜子]
152: 1464| [45] [「『そこには悠里ちゃんの魂が、もう１つできるのか？』」]
153: 1487| [47] [悠里]
154: 1490| [45] [「！！」]
155: 1495| [45] [悠里は絶句した。]
156: 1500| [45] [博士の口調は理路整然としていて、筋も通っている。]
157: 1505| [45] [しかし、そのやろうとしている事のあまりの大きさに、驚愕したのだ。]
158: 1531| [47] [美夜子]
159: 1534| [45] [「……もっともそうする事で、何が起きるのかはわからない」]
160: 1542| [47] [美夜子]
161: 1545| [45] [「それでも生まれるのは、単なる情報エネルギーの塊に過ぎないかもしれない」]
162: 1553| [47] [美夜子]
163: 1556| [45] [「あるいはその場にいる人間、例えば私や悠里ちゃんの脳と相互作用を及ぼし、変容していくかもしれない」]
164: 1564| [47] [美夜子]
165: 1567| [45] [「さらにはその変容の仕方を、取捨選択できるようになり――」]
166: 1575| [47] [美夜子]
167: 1578| [45] [「いずれ自我をも得て、自らその場にいる人間に干渉するかもしれない」]
168: 1604| [47] [美夜子]
169: 1607| [45] [「……もしそうなったら、それはまさに『意識の発生』、『魂の誕生』に他ならないわ」]
170: 1615| [47] [悠里]
171: 1618| [45] [「わたしの魂が、もう１つ生まれるって……」]
172: 1626| [47] [悠里]
173: 1629| [45] [「な、なんか、怖いです……！」]
174: 1655| [47] [美夜子]
175: 1658| [45] [「あ、心配しないで」]
176: 1684| [47] [美夜子]
177: 1687| [45] [「粒子増幅器を止めて、エネルギー量が減衰すれば、その魂も消えるはずだから」]
178: 1695| [47] [悠里]
179: 1698| [45] [「それも寂しいかも……」]
180: 1724| [47] [美夜子]
181: 1727| [45] [「……困った子ね。いいじゃないの、協力してよ。これは私の悲願なんだから」]
182: 1735| [47] [悠里]
183: 1738| [45] [「悲願？」]
184: 1743| [45] [そう尋ねると、博士は遠い目をした。]
185: 1769| [47] [美夜子]
186: 1772| [45] [「……この『魂は作れるのか？』っていう仮説は、私が１６年前に書いた――」]
187: 1781| [47] [美夜子]
188: 1784| [45] [「『情報力場仮説』という論文の中から、さらに展開した説なの」]
189: 1793| [47] [美夜子]
190: 1796| [45] [「この宇宙には、重力・電磁力・弱い力・強い力の４種類の力の他に、『情報』という第５の力が存在する」]
191: 1804| [47] [美夜子]
192: 1807| [45] [「そして人間の精神活動も、情報の一種。ならば情報エネルギーの集合体が、意識を持つ事もありえるのではないか？」]
193: 1815| [47] [美夜子]
194: 1818| [45] [「いわば自我を持った情報エネルギーのフィールド――『自我情報力場』が発生するのでは……！？」]
195: 1844| [47] [美夜子]
196: 1847| [45] [「若い頃の私は、そう思ったのよ。当時は証明のしようがなかったけどね」]
197: 1855| [47] [美夜子]
198: 1858| [45] [「でもあれから長い年月が経ち、ＷＸ粒子増幅器の性能も向上した」]
199: 1866| [47] [美夜子]
200: 1869| [45] [「長時間にわたり、危険性の薄い５００ｍＳｖ程度のエネルギーを保ち続ける事ができるようになった」]
201: 1895| [47] [美夜子]
202: 1898| [45] [「そして不世出のコミュニケーターである、悠里ちゃん……その２つが揃う事で、ようやく実験できるようになったのよ」]
203: 1924| [47] [美夜子]
204: 1927| [45] [「だからたまにはいいじゃない。寿命延長の研究でもない、ＢＣの解明でもない、自分がしたい実験をしても……」]
205: 1935| [47] [美夜子]
206: 1938| [45] [「宇宙の真理に触れる事ができるのかもしれないのよ。科学者の魂が、やるべきって言ってるの」]
207: 1943| [45] [博士が拗ねたように口を尖らせる。]
208: 1948| [45] [いつもの博士とは、色々と様子が違う気がした。]
209: 1956| [47] [悠里]
210: 1959| [45] [「あ、あの、博士……なにかあったんですか？」]
211: 1985| [47] [美夜子]
212: 1988| [45] [「……昼間、夏彦に怒鳴られたの。ちょっと泣いちゃったわよ」]
213: 1996| [47] [悠里]
214: 1999| [45] [「えっ！？」]
215: 2025| [47] [美夜子]
216: 2028| [45] [「ふっ、『家に帰ってこない親の言う事なんか聞けるか』ですって」]
217: 2054| [47] [美夜子]
218: 2057| [45] [「私はいつもあの子のために頑張ってるのに、ちっとも伝わらない……」]
219: 2065| [47] [悠里]
220: 2068| [45] [「ひ、ひこりんひどい！」]
221: 2076| [47] [悠里]
222: 2079| [45] [「わかりました、実験でもなんでも付き合います！」]
223: 2087| [47] [悠里]
224: 2090| [45] [「わたしはいつでも博士の味方ですからね！」]
225: 2116| [47] [美夜子]
226: 2119| [45] [「ありがとう悠里ちゃん。優衣が手を離れた今、私の味方はあなただけよ」]
227: 2144| [45] [博士が悠里をぎゅっと抱きしめた。]
228: 2149| [45] [悠里はその腕の中で、ふと気付く。]
229: 2157| [47] [悠里]
230: 2160| [45] [「あ、でも……博士、ちょっと思ったんですけど」]
231: 2187| [47] [美夜子]
232: 2190| [45] [「なぁに？」]
233: 2198| [47] [悠里]
234: 2201| [45] [「明日の実験の時には、Ｎエリアには５００ｍＳｖのＷＸ粒子の力場が発生するんですよね」]
235: 2209| [47] [悠里]
236: 2212| [45] [「じゃあわたしがＢＣを使うまでは、Ｎエリアには『空っぽの魂』があるって事になるんですか？」]
237: 2239| [47] [美夜子]
238: 2242| [45] [「まぁ無理やり例えると、そうなるかもね。空っぽの魂を『魂』と呼べるかは疑問だけど」]
239: 2269| [47] [美夜子]
240: 2272| [45] [「要は記憶も意識も持たないエネルギーの塊が、そこに漂ってるだけよ」]
241: 2280| [47] [悠里]
242: 2283| [45] [「その空っぽの魂に、わたしが情報エネルギーを注ぎ込む事で、意識が生まれる……」]
243: 2291| [47] [悠里]
244: 2294| [45] [「うーん……ここに何か重要な秘密が隠れてる気がするんですけど……」]
245: 2321| [47] [美夜子]
246: 2324| [45] [「あら、物理学に興味が出てきた？」]
247: 2332| [47] [悠里]
248: 2335| [45] [「はい、わたし博士の娘ですから」]
249: 2362| [47] [美夜子]
250: 2365| [45] [「可愛いこと言うじゃない」]
251: 2370| [45] [博士がつんと悠里の額をつつき、悠里はえへへと笑う。]
252: 2397| [47] [美夜子]
253: 2400| [45] [「まぁそれについても、明日の実験でわかるかもしれないわ」]
254: 2408| [47] [美夜子]
255: 2411| [45] [「今日はそれに備えて、早く寝ましょ」]
256: 2419| [47] [悠里]
257: 2422| [45] [「はいっ」]
258: 2429| [45] [悠里はそう答え、それきりその『秘密』については忘れてしまった。]
259: 2479| [45] [――思い出したのは、それからずっと後。]
260: 2484| [45] [渡瀬や風見と出会い、ラボ内を歩き回るようになってからだ。]
261: 2534| [45] [Ｎエリアに続くゲートの前で、渡瀬たちが話し合っていた。]
262: 2560| [47] [渡瀬]
263: 2563| [45] [「……何とかＮエリアに入って、火災を止められないかな？」]
264: 2589| [47] [風見]
265: 2592| [45] [「なに言ってるんですか！　それは危険過ぎます！」]
266: 2618| [47] [風見]
267: 2621| [45] [「たとえ鎮火することが出来たとしても、致死的被曝はまぬがれないでしょう」]
268: 2647| [47] [渡瀬]
269: 2650| [45] [「そうか、クソっ……！」]
270: 2699| [45] [そして渡瀬が、プロキオンをゲートに近づけると――]
271: 2766| [47] [渡瀬]
272: 2769| [45] [「……なっ！？」]
273: 2774| [45] [ディスプレイに表示された数値が、一気に上昇し始めた。]
274: 2782| [47] [渡瀬]
275: 2785| [45] [「に、『２４０６ｍＳｖ』だと！？」]
276: 2793| [47] [悠里]
277: 2796| [45] [「一気に１０００近くも――！」]
278: 2822| [47] [風見]
279: 2825| [45] [「危険です、お下がり下さい！！」]
280: 2867| [47] [渡瀬]
281: 2870| [45] [「あ、ああ！」]
282: 2875| [45] [渡瀬たちは慌てて飛び下がる。]
283: 2881| [45] [するとプロキオンの数値は元に戻った。]
284: 2907| [47] [渡瀬]
285: 2910| [45] [「ゲート越しでも、こんな有様かよ……！」]
286: 2936| [47] [風見]
287: 2939| [45] [「……鉛などでできたゲートであれば、放射線は完全に遮断できるはずなのですが……」]
288: 2947| [47] [風見]
289: 2950| [45] [「周囲の壁や天井などに、破損部があるのかもしれませんね」]
290: 2997| [45] [だが悠里はそれを聞いて、密かに思う。]
291: 3051| [47] [悠里]
292: 3052| [45] [（ＮエリアにあるＷＸ粒子が、ＢＣ絶縁体を超えて、ちょっとずつ外に漏れている……）]
293: 3057| [47] [悠里]
294: 3058| [45] [（という事は、『空っぽの魂』も、Ｎエリアを出て、ラボ内を漂ってるって事？）]
295: 3073| [45] [いま施設内には、１０００ｍＳｖを超えるＷＸ粒子が蔓延している。]
296: 3078| [45] [つまり悠里たちは、空っぽの魂の中を、歩き回っているようなものなのではないだろうか。]
297: 3083| [47] [悠里]
298: 3084| [45] [（するとどうなるの……？）]
299: 3089| [47] [悠里]
300: 3090| [45] [（その魂は、わたしたちに何か作用を及ぼすの？）]
301: 3095| [45] [悠里がＢＣを使えば、空っぽの魂もむろん、その情報エネルギーを受け取るだろう。]
302: 3100| [45] [いずれはそこに意識が生まれ――]
303: 3105| [47] [悠里]
304: 3106| [45] [（……うぅん、そう簡単にはいかないよね）]
305: 3111| [47] [悠里]
306: 3112| [45] [（あの実験は本当は、何時間もかけてやるはずの実験だったんだから）]
307: 3117| [45] [だいたいそうして生まれた意識が、悠里を手助けしてくれるとも思えない。]
308: 3122| [45] [しょせんは悠里のコピーに過ぎないのだから。]
309: 3155| [45] [そこまで考えたとき、風見が声を上げた。]
310: 3181| [47] [風見]
311: 3184| [45] [「隊長、ともかくこれで内周棟の捜索は終わりです。外周棟を手伝いましょう」]
312: 3191| [47] [悠里]
313: 3192| [45] [（そうだ、今はそんな事より、生き残る事が大事……！）]
314: 3197| [45] [悠里はそう思い、空っぽの魂について案ずるのをやめた。]
