  0:   60| [45] [――レスキュー試験を、気合と根性で合格した洵は――]
108: 1197| [45] [風見が怒る事は滅多にないが、怒るととんでもなく怖い事を洵は知っている。]
109: 1202| [45] [その兆候を感じた洵は、ビシッと敬礼して答えた。]
110: 1210| [47] [洵]
111: 1213| [45] [「し……失礼しました、副隊長！」]
112: 1238| [45] [こうして洵の、レスキュー隊員生活は幕を開けた。]
113: 1294| [45] [――偉そうに言うだけあって、渡瀬は極めて有能だった。]
114: 1327| [45] [消防学校でもレスキュー試験でも成績トップを突き進み、東消防署ではホープ扱いされていた洵だったが、渡瀬にはとても敵わない。]
115: 1332| [45] [洵を凌ぐ運動能力と、冷静沈着な頭脳、そして豊富な経験を兼ね備えた渡瀬は、まさに理想のレスキュー隊員だった。]
116: 1366| [47] [洵]
117: 1367| [45] [（ふ、ふぅ～ん……なかなかやるじゃん）]
118: 1372| [45] [冷淡すぎるその性格がいま一つ好きになれなかったが、彼の能力については、すぐに信頼するようになった。]
119: 1377| [45] [そして渡瀬と同タイプの風見・桧山と、野生派の堂島・洵の５人が揃うと、なかなかバランスの取れたチームだった。]
120: 1382| [47] [洵]
121: 1383| [45] [（人事もそれなりに、考えてるみたいだね……）]
122: 1433| [45] [――最初はどうなる事かと思ったが、シリウスで過ごす日々は悪くはなかった。]
123: 1438| [45] [だが、１つだけ気になる事がある。]
124: 1492| [47] [洵]
125: 1493| [45] [（……あの人、どこにいるのかな……）]
126: 1508| [45] [洵はシリウスに入ってから、自分を助けたレスキュー隊員が署内にいるかどうか探った。]
127: 1513| [45] [だが誰に聞いても、知らないという。]
128: 1518| [45] [風見に聞いても、『さぁ……隊長に聞いてみたらどうですか？』と言われるだけだ。]
129: 1523| [45] [だが勇気を出して渡瀬に尋ねると、『知らん』の一言で済まされた。]
130: 1528| [47] [洵]
131: 1529| [45] [（ま、むしろ隊長じゃなくて嬉しいくらいだけど）]
132: 1534| [45] [いずれにせよ、もう９年も前の事なのだ。]
133: 1539| [45] [異動になっていてもおかしくない。]
134: 1544| [47] [洵]
135: 1545| [45] [（……あの時のヒーローは、もうここにはいないんだね）]
136: 1550| [45] [成長した自分の姿を、彼に見せられない事が、洵は少しだけ寂しかった。]
