  0:   65| [45] [――それはまだましろと夏彦が、仲良くなる前の話――]
105: 1137| [45] [「あ、ううん！　うそうそ！　なるなる！」]
106: 1142| [45] [小動物のような哀願に、思わずましろも頷く。]
107: 1147| [45] [だがイヤイヤというわけではない。]
108: 1152| [45] [ましろにも、悠里に惹かれる所があったのだ。]
109: 1157| [47] [ましろ]
110: 1160| [45] [「お話でもする？」]
111: 1186| [47] [悠里]
112: 1189| [45] [「うんっ！」]
113: 1273| [45] [ベンチに座り、２人は話す。]
114: 1278| [45] [その間、ましろは悠里の仕草に見とれていた。]
115: 1283| [45] [悠里の仕草は一つ一つが可憐で、どこか細く、しかし美しかった。]
116: 1288| [47] [ましろ]
117: 1289| [45] [（それにくらべたら……）]
118: 1363| [45] [自分の姿を鑑みる。]
119: 1368| [45] [日に焼けかけた肌。飾り気のない服。女の子らしい仕草なんてできる気がしない。]
120: 1373| [45] [お母さんに結ってもらった髪だけが、ちょっとだけ自慢できるかなといった程度だ。]
121: 1378| [45] [そんなましろだからこそ悠里に憧れ、友達になりたいと思ったのだ。]
122: 1404| [47] [悠里]
123: 1407| [45] [「それからね……あれ？」]
124: 1412| [47] [ましろ]
125: 1415| [45] [「ん？　どうしたの？」]
126: 1441| [47] [悠里]
127: 1444| [45] [「あっ、なんかましろちゃん、ボーっとしてたみたいだから……」]
128: 1470| [47] [悠里]
129: 1473| [45] [「わたしのおはなし、つまらないかな……？」]
130: 1478| [47] [ましろ]
131: 1481| [45] [「え！？　ぜんぜんそんなことないよ！　ちょっといろいろかんがえてただけ！」]
132: 1486| [45] [見とれていたとは恥ずかしくて言えない。]
133: 1491| [47] [ましろ]
134: 1494| [45] [「も～……悠里ちゃんはもっと、じぶんにじしんもたなきゃダメだよ！」]
135: 1520| [47] [悠里]
136: 1523| [45] [「う、う～ん……わたしもそうおもうんだけど……」]
137: 1528| [47] [ましろ]
138: 1531| [45] [「だけど？」]
139: 1554| [47] [悠里]
140: 1555| [45] [「……」]
141: 1560| [45] [悠里は言葉を切り、少しうつむき――]
142: 1565| [45] [そして独り言のようにつぶやいた。]
143: 1573| [47] [悠里]
144: 1576| [45] [「あのね、わたしね……」]
145: 1581| [47] [ましろ]
146: 1584| [45] [「うん？」]
147: 1592| [47] [悠里]
148: 1595| [45] [「ずっとなやんでたの……ともだちができなくて……」]
149: 1603| [47] [悠里]
150: 1606| [45] [「夏彦くんがさいしょのともだちになってくれたけど、それからできなかったし……」]
151: 1614| [47] [悠里]
152: 1617| [45] [「だから、ともだちのつくりかたとか、わからなくって……」]
153: 1622| [47] [ましろ]
154: 1625| [45] [「ぬ～……こんなにかわいいのに、へんだね～」]
155: 1630| [45] [その言葉に、悠里の目が丸くなった。]
156: 1656| [47] [悠里]
157: 1659| [45] [「か、かわいい……？」]
158: 1664| [47] [ましろ]
159: 1667| [45] [「え、あれ？　なんかへんなこと言った？」]
160: 1675| [47] [悠里]
161: 1678| [45] [「あわわわ……そんなこと、はじめていわれたよ」]
162: 1704| [47] [悠里]
163: 1707| [45] [「でも、わたしなんかより、ましろちゃんのほうがかわいいよ」]
164: 1712| [47] [ましろ]
165: 1715| [45] [「へ？　へ！？」]
166: 1720| [45] [予想もしなかった言葉に、ましろは衝撃を受けた。]
167: 1725| [45] [あだ名が『おとこおんな』のましろは、当然周囲からもそういう風に扱われている。]
168: 1730| [45] [ましろも知らず知らずのうちに、自分とはそういう子なのだと思っていた。]
169: 1735| [45] [だからこそ初めて言われた『可愛い』という言葉は、ましろの胸に染みいった。]
170: 1740| [47] [ましろ]
171: 1743| [45] [「……いや！　でも！　悠里ちゃんのほうがかわいいよ！」]
172: 1769| [47] [悠里]
173: 1772| [45] [「ううん、ましろちゃんのほうがかわいいよ」]
174: 1777| [47] [ましろ]
175: 1780| [45] [「悠里ちゃんの方がかわいいよ！」]
176: 1806| [47] [悠里]
177: 1809| [45] [「ましろちゃんのほうが！」]
178: 1814| [47] [ましろ]
179: 1815| [45] [「……」]
180: 1838| [47] [悠里]
181: 1839| [45] [「……」]
182: 1844| [47] [ましろ]
183: 1847| [45] [「……ふふっ」]
184: 1873| [47] [悠里]
185: 1876| [45] [「クスクス」]
186: 1881| [47] [ましろ]
187: 1884| [45] [「なんか、おかしいね。私たち」]
188: 1910| [47] [悠里]
189: 1913| [45] [「でも、たのしいね」]
190: 1918| [47] [ましろ]
191: 1921| [45] [「うんっ！」]
192: 1926| [45] [ましろは素直に、喜んでいた。]
193: 1931| [45] [悠里と仲良くなれたというだけではなく、彼女に『可愛い』と言ってもらえたのが、何よりも嬉しかった。]
194: 1936| [47] [ましろ]
195: 1937| [45] [（こんなにかわいい女の子が、私をかわいいって言ってくれるなんて……）]
196: 2021| [45] [この日、生まれて初めて、女の子としての自信が持てたましろであった。]
