  0:   65| [45] [――それは今から９年前。]
112: 1374| [45] [（そっちはダメなの！　戻ってこられなくなるのよ！）]
113: 1379| [45] [そう叫ぼうとしたが、声は出なかった。]
114: 1404| [45] [それでも凪沙は、そっと振り返り――]
115: 1465| [45] [風見に、微笑みかけた。]
116: 1532| [47] [風見]
117: 1535| [45] [「――凪沙！」]
118: 1540| [45] [そこで風見は、目を覚ました。]
119: 1595| [47] [風見]
120: 1598| [45] [「あ、あれ……！？　凪沙は！？」]
121: 1603| [45] [風見は愕然とした。]
122: 1608| [45] [一瞬、夢が現実になったのかとでも思ったが――]
123: 1646| [45] [見回すと少し離れた所に、凪沙の姿があった。]
124: 1651| [45] [そばには近所の女の子『洵』もいる。]
125: 1656| [45] [風見が寝入った後、凪沙は洵と会い、２人で遊んでいたらしい。]
126: 1661| [47] [風見]
127: 1662| [45] [（いけない、私ったら！）]
128: 1674| [45] [風見は慌てて立ち上がり、２人の元に駆け寄った。]
129: 1764| [47] [風見]
130: 1767| [45] [「じゅ、洵ちゃん！　ごめんなさいね、凪沙を見ててくれたのね！」]
131: 1793| [47] [洵]
132: 1796| [45] [「あ、風見ちゃん。いいよいいよ、あたしも楽しいから」]
133: 1822| [47] [凪沙]
134: 1825| [45] [「お姉ちゃん、ぐっすりだったから、起こしちゃいけないとおもって……」]
135: 1876| [47] [風見]
136: 1879| [45] [「つい、うとうとしちゃったわ……あんまりぽかぽかしてるものだから……」]
137: 1884| [45] [恥ずかしげに言う風見に、凪沙と洵は笑った。]
138: 1889| [47] [風見]
139: 1892| [45] [「……いつの間にか、お昼過ぎちゃったわね。家に帰ってご飯にしましょうか」]
140: 1918| [47] [凪沙]
141: 1921| [45] [「うん！　おなかすいた！」]
142: 1926| [45] [そう言う凪沙と、そして洵に手を握られ、風見は家に向けて歩き出す。]
143: 2011| [45] [やがて洵が、すんすんと鼻をひくつかせて言った。]
144: 2037| [47] [洵]
145: 2040| [45] [「ねぇ、風見ちゃんっていい匂いするね？」]
146: 2045| [47] [風見]
147: 2048| [45] [「え、そう？　香水とかはつけてないんだけど」]
148: 2074| [47] [洵]
149: 2077| [45] [「でも、お花の匂いがするよ」]
150: 2082| [45] [そう言えば以前、凪沙にも同じ事を言われた。自分ではわからないのだが。]
151: 2087| [47] [風見]
152: 2090| [45] [「うーん、花に囲まれて働いてるからかしら」]
153: 2116| [47] [凪沙]
154: 2119| [45] [「きっとお花の匂いが、お肌にしみこんでるんだね。すてきだね」]
155: 2124| [45] [凪沙の子供らしい言葉に、風見は微笑む。]
156: 2129| [45] [それはほんの些細な、しかし暖かな思い出だった……。]
157: 2137| [45] [このささやかな平穏が、いつまでも続くものと、風見は信じていた……。]
