  0:   65| [45] [――ゆりかごに揺られているような感覚があった。]
126: 1297| [45] [「楽しそうな鳴き声……という事は、博士はいま喜んでる？」]
127: 1323| [47] [美夜子]
128: 1326| [45] [「ええ、優衣が喜んでいるみたいだからね」]
129: 1331| [47] [サリュ]
130: 1334| [45] [「……便利」]
131: 1360| [47] [美夜子]
132: 1363| [45] [「よかった、気にいったみたいね」]
133: 1368| [45] [博士は微笑み、それから話を替えた。]
134: 1394| [47] [美夜子]
135: 1397| [45] [「さて、近くにホテルを取ってあるの。今日はそこで、私と寝泊りしましょう」]
136: 1402| [47] [サリュ]
137: 1405| [45] [「博士の家に行くのではないの？」]
138: 1413| [47] [美夜子]
139: 1416| [45] [「いきなりだと、環境の変化に戸惑うと思うから……段階的に、慣らしていきましょう」]
140: 1421| [45] [博士はそう言って、サリュの手を引いて歩き出した。]
141: 1484| [45] [博士と共に、街中を歩く。]
142: 1489| [45] [故郷では見た事もないほど人がいて、サリュは身を震わせた。]
143: 1494| [47] [サリュ]
144: 1495| [45] [（なんだか……怖い……）]
145: 1500| [47] [サリュ]
146: 1503| [45] [「……あの、博士、ホテルにはまだ着かないの？」]
147: 1536| [47] [美夜子]
148: 1539| [45] [「いえ、先にこのショッピングエリアで、生活必需品を買おうと思ったのだけど――」]
149: 1544| [45] [博士がそう言った時。]
150: 1549| [45] [サリュの頭の中で、声が響いた。]
151: 1614| [85] [《離れろましろ！！　ガソリンだッ！！》]
152: 1615| [86] [？？]
153: 1616| [86] [《離れろましろ！！　ガソリンだッ！！》]
154: 1677| [47] [サリュ]
155: 1680| [45] [「ッ！？」]
156: 1691| [45] [突然の大声に、サリュは息を呑んだ。]
157: 1696| [47] [サリュ]
158: 1699| [45] [「博士、今のは？」]
159: 1704| [45] [博士にそう尋ねると――彼女の表情は、凍り付いていた。]
160: 1712| [47] [美夜子]
161: 1715| [45] [「い……今のは……！」]
162: 1723| [47] [美夜子]
163: 1726| [45] [「まさか、夏彦の！？」]
164: 1731| [45] [博士は慌てた様子で、あたりを見回した。]
165: 1757| [47] [美夜子]
166: 1760| [45] [「とうとう能力が……！？　いや、それよりどこで……！」]
167: 1765| [47] [サリュ]
168: 1768| [45] [「あの、博士？」]
169: 1794| [47] [美夜子]
170: 1797| [45] [「まずいわ……この事が上に知られたら……」]
171: 1802| [45] [博士がぶつぶつと呟く。かなり動転しているらしく、サリュの言葉も耳に入ってないようだ。]
172: 1813| [45] [やがて博士のＰＤＡが鳴った。]
173: 1836| [45] [博士ははっとして、電話に出る。]
174: 1869| [47] [美夜子]
175: 1872| [45] [「はい、天川です……」]
176: 1898| [47] [美夜子]
177: 1901| [45] [「……えぇ、さきほど私も知覚しました。恐らく特監ナ２号のテレパシーです……」]
178: 1927| [47] [美夜子]
179: 1930| [45] [「……処置を？　そんな、早計過ぎます！」]
180: 1956| [47] [美夜子]
181: 1959| [45] [「まだテレパシーだけですよ！？　超科局基準に照らせば――」]
182: 1964| [45] [博士は電話相手と、何事か議論を始めた。]
183: 2007| [45] [サリュはしばらくそこで待っていたが、１０分経っても２０分経っても終わらない。]
184: 2012| [47] [サリュ]
185: 2013| [45] [（何か問題でも起きたの……？）]
186: 2018| [45] [サリュにはまるでわからない。]
187: 2061| [45] [退屈しながら待っていると、やがて通りの向こうで人々のざわめきが聞こえた。]
188: 2066| [47] [サリュ]
189: 2067| [45] [（……なんだろう）]
190: 2072| [45] [サリュは博士からあまり離れないように気をつけながら、ざわめきの方に向けて歩き出した。]
191: 2206| [45] [通りを抜けた所には、街灯にぶつかって壊れている車があった。]
192: 2211| [45] [どうやら自動車事故があったらしい。消防車が走り去っていくのが遠くに見える。]
193: 2297| [45] [そして、野次馬の群れの中の１人に――サリュは目を止めた。]
194: 2302| [47] [サリュ]
195: 2303| [45] [（あの少年は、天川博士の息子……？）]
196: 2308| [45] [初めて見るはずの彼に、なぜか見覚えがあったのだ。]
197: 2313| [45] [いつか博士から、写真でも見せられたのだろうか。]
198: 2336| [45] [その時、彼もサリュの方を振り返った。]
199: 2398| [45] [目が合い、じっと睨まれる。]
200: 2403| [47] [アリス]
201: 2406| [45] [「きゅうきゅう！　きゅうきゅう！」]
202: 2411| [45] [すぐにＡＲＭＳが激しく鳴き出した。警報に近いような声だった。]
203: 2416| [47] [サリュ]
204: 2417| [45] [（いけない、敵視されてる……？）]
205: 2465| [45] [サリュはまた怖くなり、その場を素早く離れた。]
206: 2534| [45] [博士のところに戻ると、ちょうど彼女が電話を終えるところだった。]
207: 2542| [47] [美夜子]
208: 2545| [45] [「……ええ、ええ。わかりました、それではそのように……」]
209: 2550| [45] [博士がため息をつき、電話を切る。]
210: 2555| [45] [そしてサリュに気付き、言った。]
211: 2587| [47] [美夜子]
212: 2590| [45] [「……ごめんなさい、待たせたわね」]
213: 2595| [47] [サリュ]
214: 2598| [45] [「電話はもういいの？」]
215: 2624| [47] [美夜子]
216: 2627| [45] [「……ちょっと忙しくなりそうだけど……大丈夫よ、心配ないわ」]
217: 2653| [47] [美夜子]
218: 2656| [45] [「今の電話の件については、今後夏彦に会った時も、話さないでちょうだい」]
219: 2661| [47] [サリュ]
220: 2664| [45] [「？　……わからないけど、わかった」]
221: 2690| [47] [美夜子]
222: 2693| [45] [「ありがとう。とにかく一度、ホテルに行きましょう。買い物はあとで私がするから」]
223: 2698| [45] [博士はサリュの手を握り、また歩き始めた。]
224: 2703| [45] [歩きながら、サリュは博士に問う。]
225: 2708| [47] [サリュ]
226: 2711| [45] [「ところで博士、先ほどの話だけど」]
227: 2737| [47] [美夜子]
228: 2740| [45] [「え？」]
229: 2745| [47] [サリュ]
230: 2748| [45] [「博士の息子を護るという件について。なぜ私にそんな役目を？」]
231: 2753| [47] [サリュ]
232: 2756| [45] [「博士ほどの地位や財産があれば、いくらでも有能なボディーガードを雇えるはず。なのになぜ、この私に？」]
233: 2761| [45] [サリュがそう尋ねると、博士は静かに答えた。]
234: 2787| [47] [美夜子]
235: 2790| [45] [「あなたに、役目を与えたいのよ」]
236: 2795| [47] [サリュ]
237: 2798| [45] [「……役目？」]
238: 2806| [47] [美夜子]
239: 2809| [45] [「そう、役目」]
240: 2835| [47] [美夜子]
241: 2838| [45] [「この役目は息子のためだけじゃない。あなたのためでもあるの」]
242: 2846| [47] [美夜子]
243: 2849| [45] [「あなたも夏彦も、心に欠けた部分がある。でもだからこそ、共に補完しあえるはず」]
244: 2875| [47] [美夜子]
245: 2878| [45] [「私は期待しているの。私が夏彦に与えられないものを、優衣が与えてくれる事を」]
246: 2886| [47] [美夜子]
247: 2889| [45] [「私が優衣に与えられないものを、夏彦が与えてくれる事を」]
248: 2894| [47] [サリュ]
249: 2897| [45] [「……？　よくわからない」]
250: 2923| [47] [美夜子]
251: 2926| [45] [「そうよね……でも、いずれきっとわかるはずよ」]
252: 2952| [47] [美夜子]
253: 2955| [45] [「この役目を果たした時、あなたの空洞は埋まるんだって」]
254: 2960| [45] [博士はそう言って、微笑んだ。]
255: 3044| [45] [博士の真意はわからなかったが――その言葉には、心が強く惹きつけられた。]
256: 3049| [47] [サリュ]
257: 3050| [45] [（役目か……）]
258: 3055| [45] [警護などというつまらなそうな事に、なぜそんなにも惹きつけられるかはわからない。]
259: 3060| [45] [だがサリュは自覚した。自分がそれを渇望していた事を。]
260: 3065| [47] [サリュ]
261: 3066| [45] [（自信はないけれど……一生懸命、がんばってみよう）]
