  0:   61| [45] [――そして恵那の、コミュニケーター管理官としての日々が始まった。]
153: 2043| [45] [それが恵那に与えられた仕事の１つであり、国の規則でもあるのだ。]
154: 2126| [45] [そんな事を知らない夏彦たちは、恵那に親愛の目を向けている。]
155: 2152| [47] [夏彦]
156: 2155| [45] [「――あの、自信持って下さい。先生はいい先生だと思いますよ」]
157: 2163| [47] [夏彦]
158: 2166| [45] [「超心理学ニガテなぼくでも、先生の授業はわかりやすい気がしますし」]
159: 2192| [47] [ましろ]
160: 2195| [45] [「おやぁ？　夏彦が超心理学の先生を褒めるなんて、今までにない事だぞ？」]
161: 2221| [47] [ましろ]
162: 2224| [45] [「こいつはクセェーッ！　下心の臭いがプンプンするぜ！」]
163: 2247| [47] [恵那]
164: 2250| [45] [「えっ、下心？」]
165: 2276| [47] [ましろ]
166: 2279| [45] [「先生気をつけてくださいね？　こいつ生来の年上好きで、年上なら誰でも好意もっちゃう奴なんで」]
167: 2305| [47] [夏彦]
168: 2308| [45] [「ば、バカ！　なに言ってんだよましろ！」]
169: 2313| [47] [恵那]
170: 2316| [45] [「あ、あら、困っちゃうわそんなの……嬉しいけれど、立場の違いというものが……」]
171: 2342| [47] [夏彦]
172: 2345| [45] [「先生も真に受けないで下さい！」]
173: 2368| [45] [その言葉に、恵那は笑った。]
174: 2373| [45] [相変わらず笑顔は作り物だったが、そこには少しだけ、本物の微笑が混じっていた。]
175: 2489| [45] [――その日を境に、恵那の心は少しずつほぐれていった。]
176: 2494| [45] [最初はただの演技だったはずの『気さくな先生』としての態度は、徐々に本物に変わっていった。]
177: 2499| [45] [授業に関する質問をしてきた生徒には、できる限り親身に接した。]
178: 2504| [45] [もともと大学時代、かなり本気で超心理学を学んできた恵那だ。]
179: 2509| [45] [ＢＣウンチクならばいくらでも並べる事ができるし、生徒がそれを喜べば、自分も嬉しくなった。]
180: 2514| [45] [そうして彼女は、少しずつ学園になじんでいったのだ。]
181: 2579| [45] [――今日も生徒が、恵那にまとわりついてくる。]
182: 2605| [47] [ましろ]
183: 2608| [45] [「先生～、こないだの進路調査についてなんですけど～……決まらなくて、困ってるんですよ……」]
184: 2613| [47] [恵那]
185: 2616| [45] [「あら、将来の夢とかないの？」]
186: 2642| [47] [ましろ]
187: 2645| [45] [「んー、いまいちはっきりしないんですよね」]
188: 2653| [47] [ましろ]
189: 2656| [45] [「なんか人のためになる仕事で、自分の才能を活かせる仕事ならなんでもいいんですけど」]
190: 2682| [47] [ましろ]
191: 2685| [45] [「例えば料理人とか、カウンセラーとか……」]
192: 2690| [47] [恵那]
193: 2693| [45] [「あるいは、天川くんのお嫁さんとか？」]
194: 2754| [47] [ましろ]
195: 2757| [45] [「え！？　なななななにを言っちゃってるんですか先生！？」]
196: 2808| [47] [恵那]
197: 2811| [45] [「ふふ、わかりやすいわねぇ。若いっていいわぁ」]
198: 2816| [45] [その会話を聞いた夏彦が、恵那たちの方を振り向く。]
199: 2878| [47] [夏彦]
200: 2881| [45] [「ん？　先生さっき呼びました？」]
201: 2889| [47] [ましろ]
202: 2892| [45] [「呼んでない呼んでない！　あっち行ってて夏彦！」]
203: 2980| [47] [夏彦]
204: 2983| [45] [「な、なんだよ、なんでお前にそんな……」]
205: 3068| [45] [そう慌てる夏彦が可愛らしくて、少しからかってみる事にした。]
206: 3073| [47] [恵那]
207: 3076| [45] [「いえね、天川くんって素敵よねって話してたのよ」]
208: 3117| [47] [夏彦]
209: 3120| [45] [「なっ……」]
210: 3146| [47] [ましろ]
211: 3149| [45] [「こ、今度はなんの話ですか！？」]
212: 3154| [47] [恵那]
213: 3157| [45] [「え、そういう話をしていたじゃない。クラスの男女の恋愛状況についてとか」]
214: 3183| [47] [ましろ]
215: 3186| [45] [「してましたっけ！？」]
216: 3191| [47] [恵那]
217: 3194| [45] [「してた事にしましょう。で、どうなの天川くん？　女の子に人気あるんじゃない？」]
218: 3220| [47] [夏彦]
219: 3223| [45] [「いや、ぼくは……さっぱりモテないっていうか……」]
220: 3228| [47] [恵那]
221: 3231| [45] [「そうなの？　美形で秀才でメガネ男子で、隠れファンは多いと思うけど」]
222: 3257| [47] [ましろ]
223: 3260| [45] [「ダメですよ、こいつ暗いもん！　趣味の１つもないつまんない奴です！」]
224: 3286| [47] [夏彦]
225: 3289| [45] [「ってましろ、そりゃちょっと言いすぎじゃないか？」]
226: 3315| [47] [ましろ]
227: 3318| [45] [「そ、そうだね、言いすぎたね。ごめん」]
228: 3344| [47] [夏彦]
229: 3347| [45] [「ん？　なんか調子くるうな……なんか変だぞ今日のお前」]
230: 3352| [45] [そのやりとりを聞いて、恵那は微笑む。]
231: 3357| [47] [恵那]
232: 3358| [45] [（なんか楽しそうね……ちょっと妬けるわ）]
233: 3418| [45] [――恵那は学生時代、色恋沙汰とは無縁だった。]
234: 3423| [45] [女子校に通っていたため、男性との出会いがなかったのだ。]
235: 3428| [47] [恵那]
236: 3429| [45] [（……って違う違う、自分の青春を後悔してどうするの）]
237: 3434| [47] [恵那]
238: 3435| [45] [（いいじゃない、私。恋にうつつを抜かさず勉強した甲斐もあって、希望の仕事につけたんだから）]
239: 3524| [45] [恵那は即座に自分を取り戻し、夏彦たちに言う。]
240: 3529| [47] [恵那]
241: 3532| [45] [「まぁ２人とも、貴重な青春時代、恋も楽しみなさいよ」]
242: 3558| [47] [夏彦]
243: 3561| [45] [「は、はぁ……」]
244: 3587| [47] [ましろ]
245: 3590| [45] [「相手がいたらですね」]
246: 3595| [45] [この期に及んで取り繕うましろに、恵那は苦笑した。]
247: 3600| [47] [恵那]
248: 3601| [45] [（ホントに可愛い子たちね……）]
249: 3606| [47] [恵那]
250: 3607| [45] [（警戒しなければならないにせよ、やっぱり護るべき相手なんだわ）]
251: 3612| [45] [そのようにして恵那は、再び初心を取り戻していった。]
252: 3655| [45] [――たとえかりそめの平穏であっても、それを全力で護りたい。]
253: 3660| [45] [いつしか恵那は、そう思うようになっていった。]
254: 3665| [47] [恵那]
255: 3666| [45] [（叶うならば、この子たちがいつまでも穏やかに暮らせる世界を……）]
256: 3674| [45] [そのやりとりを聞いて、恵那は微笑む。]
257: 3679| [47] [恵那]
258: 3680| [45] [（……この子たちも、コミュニケーターである事を除けば、普通の子供なのよね）]
259: 3685| [47] [恵那]
260: 3686| [45] [（警戒しなければならないにせよ、やっぱり護るべき相手なんだわ……）]
261: 3691| [45] [いつしか恵那は、再び初心を取り戻していた。]
262: 3744| [45] [むろん、管理官の任務を放棄するわけにはいかない。]
263: 3749| [45] [もし夏彦に、Ｎ化の兆候が少しでも見られれば、恵那はためらわず彼を拘束するだろう。]
264: 3754| [45] [彼らの平穏は、危うい薄氷の上に成り立っている。]
265: 3759| [45] [ほんの小さな亀裂で薄氷は砕け散り、１６年前の悲劇が繰り返されてしまうかもしれないのだ。]
266: 3764| [47] [恵那]
267: 3765| [45] [（……そしてその事を隠し、私は彼らと接していかなければならない）]
268: 3770| [47] [恵那]
269: 3771| [45] [（だったら私は、せめてこの子たちのために……）]
270: 3776| [45] [このかりそめの平穏を、全力で守り抜こう。]
271: 3781| [45] [父が護れなかったものを、自分が護ってみせよう。]
272: 3825| [47] [恵那]
273: 3826| [45] [（叶うならば、この子たちがいつまでも穏やかに暮らせる世界を……）]
274: 4032| [45] [――そうして記憶を遡り、様々なものに対する想いが強くなるに従い――]
275: 4037| [45] [恵那の心の奥底から、新たな記憶が湧き上がってきた。]
