  0:   71| [45] [――夏彦がその記憶を覗き込むと――]
 34:  356| [45] [ある１人のコミュニケーターが悪意の塊となり、ＢＣによって悪意を街中に振りまいた事……。]
 35:  361| [45] [説明の中には、『センシズシンパシー』や『Ｎ化』など、恵那がそれまで聞いた事のない言葉が頻出した。]
 36:  417| [45] [愕然とする恵那に、黒田は問いを重ねた。]
 37:  422| [47] [黒田]
 38:  425| [45] [「――この仕事を通じて知った事実は、誰にも明かしてはならない」]
 39:  430| [47] [黒田]
 40:  433| [45] [「全てを心のうちに納め、仮面をかぶり、それでもなおコミュニケーターと接しなければならないんだよ」]
 41:  438| [47] [恵那]
 42:  441| [45] [「……っ」]
 43:  446| [47] [黒田]
 44:  449| [45] [「護るべき相手は、いつ怪物に変わるかわからん。保護と監視は表裏一体だ」]
 45:  454| [47] [黒田]
 46:  457| [45] [「コミュニケーターを護りたいなら、彼らに対し、決して警戒を怠るな。距離を置け。冷静に観察しろ」]
 47:  462| [47] [黒田]
 48:  465| [45] [「キツイ仕事だが……やれるな、『椿山恵那管理官』？」]
 49:  475| [45] [恵那はその言葉に、笑みを返す。]
 50:  480| [47] [恵那]
 51:  483| [45] [「キツイなんて、とんでもない。『やりがいのある仕事』ですよ」]
 52:  528| [45] [そして恵那は、コミュニケーターの管理と保護を行う役人――]
 53:  533| [45] [『コミュニケーター管理官』になったのだ。]
 54:  594| [45] [それからの２年間は、黒田や比嘉と共に、様々なＢＣ絡みの事件に取り組んできた。]
 55:  599| [45] [管理官の職務は、文科省の役人とは名ばかりで、警察や公安に近いものだった。]
 56:  604| [45] [自分の身を護る為に、射撃や護身術の訓練も受けた。]
 57:  609| [45] [２０２９年には北海道で、コミュニケーターを拉致監禁し、違法な実験を行っていた研究者を摘発した。]
 58:  614| [45] [――だが、時にはコミュニケーターが、加害者側に回る事もあった。]
 59:  619| [45] [ＢＣ能力を使う犯罪者……例えばエンパシーを用いて、企業の機密情報を盗む産業スパイなど。]
 60:  624| [45] [『保護と監視は表裏一体』……護るべきコミュニケーターは、同時に警戒すべき存在でもあるのだ。]
 61:  629| [45] [恵那の体は鍛えられ、そして同時に――心は冷たく研ぎ澄まされていった。]
 62:  634| [47] [恵那]
 63:  635| [45] [（『コミュニケーターは護るべき存在』という、一元的な考え方は危険だわ……）]
 64:  640| [47] [恵那]
 65:  641| [45] [（警戒を怠ってはいけないのよ。彼らは私たちとは違う力を持っている、別種の存在なのだから……）]
 66:  646| [45] [やがて恵那は自然と、コミュニケーターに対し、心を閉ざす習慣を身につけていた。]
 67:  690| [45] [――だが、そんなある日。]
 68:  695| [45] [恵那は新たな任務を、黒田から与えられた。]
 69:  755| [47] [恵那]
 70:  758| [45] [「……私が、教師に？」]
 71:  763| [47] [黒田]
 72:  766| [45] [「そうさ。まぁ正確には、ＢＣ特科学校に常駐し、コミュニケーターの保護・監視を行う管理官になれってことだな」]
 73:  771| [47] [黒田]
 74:  774| [45] [「それに忘れがちだが、我々はあくまで文部科学省の人間だ。教鞭をとってもおかしくないだろう？」]
 75:  779| [47] [恵那]
 76:  782| [45] [「し、しかし……そのような任務は想定してませんが……」]
 77:  787| [47] [黒田]
 78:  790| [45] [「いや、今のお前にこそ、こういう経験が必要なんだ。この２年ですっかり心が荒んじまったからな」]
 79:  795| [47] [恵那]
 80:  798| [45] [「……？」]
 81:  803| [47] [黒田]
 82:  806| [45] [「まぁ任務につけば、すぐにわかるさ。純粋な子供たちと接し、その心をちょっと洗ってもらえ」]
 83:  852| [45] [――かくして恵那は入局３年目にして、管理官としての転機を迎えた。]
 84:  919| [45] [配属先は、鹿鳴学園。]
 85:  924| [45] [恵那の故郷に設立された、ＢＣ特科学校だ。]
 86:  929| [47] [恵那]
 87:  930| [45] [（今日からここで私が、教師ゴッコを……？）]
 88:  935| [47] [恵那]
 89:  936| [45] [（これも仕事とは言え、面倒な事になったわ……）]
 90:  941| [45] [恵那はやれやれと首を振り、校舎に向けて歩き出す。]
 91:  946| [45] [いつものように、心を閉ざして、周囲を欺く仮面をかぶって。]
 92: 1050| [45] [――だが、教師生活は意外にも悪くなかった。]
 93: 1055| [45] [生徒たちはみな素直で、恵那を慕ってくれた。]
 94: 1060| [45] [とりわけましろや夏彦たちと接するうちに、恵那の凍てついた心は徐々に溶かされていった。]
 95: 1065| [47] [恵那]
 96: 1066| [45] [（……この子たちに罪はないものね）]
 97: 1071| [47] [恵那]
 98: 1072| [45] [（せめてこの子たちの事は、私が護ってあげなければ……）]
 99: 1077| [45] [黒田の言う通り、恵那は教師生活を通じ、徐々に初心に帰っていったのだ。]
100: 1185| [45] [――だがそんな穏やかな生活の傍ら、恵那はラボについて調べていた。]
101: 1190| [45] [ラボの運営状況にはいくつか不審な点があり、それが恵那の管理官としての勘を刺激したのだ。]
102: 1195| [45] [休日を潰して、独自に調査を進める日々。]
103: 1200| [45] [やがて恐るべき疑惑が湧き上がってきた。]
104: 1205| [47] [恵那]
105: 1206| [45] [（ラボは、業績を上げるため……人体実験を行っている可能性がある？）]
106: 1211| [45] [その疑惑は、調査を進めるにつれ、徐々に確信に変わっていった。]
107: 1276| [47] [黒田]
108: 1279| [45] [「……ラボが不当に、コミュニケーターを拉致・幽閉している可能性があると？」]
109: 1284| [47] [恵那]
110: 1287| [45] [「はい」]
111: 1292| [45] [恵那は自ら掴んだ証拠を揃え、黒田たちにラボの強制捜査を進言した。]
112: 1297| [45] [すると意外な事に、黒田はこう答えた。]
113: 1302| [47] [黒田]
114: 1305| [45] [「ラボや鹿鳴市がキナ臭いことをやっている事は、俺も比嘉もすでに掴んでいた」]
115: 1310| [47] [黒田]
116: 1313| [45] [「だが強制捜査を上に進言しても、許可が下りないのさ」]
117: 1318| [47] [恵那]
118: 1321| [45] [「なぜ！？　我々は政府機関でしょう！？」]
119: 1326| [47] [黒田]
120: 1329| [45] [「恐らく……我が超科局の上の人間も、ラボ側に転んでいるんだろうな」]
121: 1334| [47] [黒田]
122: 1337| [45] [「理由は金か、あるいは弱みでも握られているか」]
123: 1342| [45] [その言葉に恵那は憤った。]
124: 1347| [45] [ラボの悪事を暴けるのは、自分達だけだというのに――]
125: 1357| [47] [恵那]
126: 1360| [45] [「黒田室長は、比嘉管理官は、心が痛まないのですか？」]
127: 1365| [47] [恵那]
128: 1368| [45] [「私たちの仕事は、コミュニケーターを護る事でしょう？」]
129: 1373| [45] [恵那は黒田たちに詰め寄った。]
130: 1378| [45] [するとその言葉を待ち構えていたように、彼らは言ったのだ。]
131: 1383| [47] [黒田]
132: 1386| [45] [「……許可などもういらん。強制捜査に踏み切ろう」]
133: 1391| [47] [比嘉]
134: 1394| [45] [「人員は？」]
135: 1399| [47] [黒田]
136: 1402| [45] [「どこに鹿鳴市の息がかかってる奴がいるかわからんからな。この３人で行こう」]
137: 1407| [47] [黒田]
138: 1410| [45] [「危険な仕事だし、もちろんお嬢さんは同行しなくてもいいが……？」]
139: 1415| [47] [恵那]
140: 1418| [45] [「いえ。私も行きます」]
141: 1486| [45] [――そうして恵那は２人の上司と共に、ラボの強制捜査に向かった。]
142: 1491| [45] [所持品は、偽造した捜査令状と、そして恵那のみ――護身用の拳銃も。]
143: 1496| [47] [黒田]
144: 1499| [45] [「ラボは伏魔殿だ。何が起きるかわからん」]
145: 1504| [47] [黒田]
146: 1507| [45] [「いよいよになったら、これを使う事を覚悟しておけ」]
147: 1512| [45] [黒田のその言葉が、恵那の心に鋼を入れた。]
148: 1607| [45] [だがその後、恵那たちはテロに巻き込まれた。]
149: 1612| [45] [上司たちと分断され、脱出も叶わず……]
150: 1617| [45] [たった１人で、テロリストに立ち向かう事を余儀なくされたのだ。]
151: 1622| [45] [敵が誰かもわからない状況で――。]
152: 1648| [45] [――それが恵那の『正体』と、『今日ラボにいる理由』の全てだった。]
153: 1653| [45] [被験体Ｎに改竄された疑いのある記憶は、一切見当たらなかった。]
154: 1658| [45] [その記憶を見終えた夏彦は、思う。]
155: 1663| [47] [夏彦]
156: 1664| [45] [（……そうだったのか……）]
157: 1669| [47] [夏彦]
158: 1670| [45] [（だから先生は、ぼくらにも心を閉ざして……）]
159: 1675| [47] [夏彦]
160: 1676| [45] [（自分の正体を明かす事もできず、１人で戦い続けてたんだな……）]
161: 1681| [45] [恵那がずっと自分たちに正体を隠していたショックよりも、敬意の方が大きかった。]
162: 1686| [45] [恵那の不審な点は、その記憶を見る事で全て払拭された。]
163: 1691| [47] [夏彦]
164: 1692| [45] [（……心を閉ざしていたとか、そんな事はもうどうでもいい）]
165: 1697| [47] [夏彦]
166: 1698| [45] [（先生は、ぼくらの味方だ！）]
167: 1703| [45] [夏彦は嬉しさを胸に、恵那へのセンシズシンパシーを終えた。]
