  0:  170| [55] [√Current Chapter1]
 95: 1787| [45] [ＡＤとはラボから支給された薬で、あるレベルまでの放射線を６０分ほど防いでくれる物だという。]
 96: 1847| [45] [さらにレスキュー隊員たちは、同じくラボから支給された放射線計測器『プロキオン』を携帯し、救助活動を行っているらしい。]
 97: 1903| [45] [そして副隊長は説明の中で、男にこう告げた。]
 98: 1911| [47] [副隊長]
 99: 1914| [45] [「原子炉が、つい２時間ほど前――『メルトダウン』したのです」]
100: 2001| [45] [それを聞き、男も夏彦も強いショックを受けた。]
101: 2006| [47] [夏彦]
102: 2007| [45] [（そんな……結局、メルトダウンは起きてしまっていたなんて……！）]
103: 2012| [47] [夏彦]
104: 2013| [45] [（くそ！　こいつさえ倒せば、何とかなると思ったのに！）]
105: 2018| [45] [おそらく男の仲間が、原子炉を爆破でもしたのだろう。]
106: 2023| [47] [夏彦]
107: 2024| [45] [（だったら、ぼくは……ぼくらは何のために……？）]
108: 2039| [45] [無力感にさいなまれる夏彦をよそに、男が自分のポケットを確認する。]
109: 2044| [45] [するとそこにも、ＡＤが１本入っていた。]
110: 2091| [47] [洵]
111: 2094| [45] [「使い方は簡単だよ！　専用のカートリッジが付属してるから、それを装着して――」]
112: 2141| [47] [洵]
113: 2144| [45] [「あとは先端を折って静脈に密着させて、ノック部分を押すだけでいいから！」]
114: 2156| [45] [男が言われるままに、その薬を投与すると――]
115: 2280| [45] [夏彦の意識に、異変が訪れた。]
116: 2360| [47] [夏彦]
117: 2361| [45] [（ッ！？）]
118: 2413| [45] [不意に強烈な喪失感が襲ってきた。]
119: 2429| [45] [男と戦った後にも感じた、自分が消えるような感覚が――！]
120: 2445| [47] [夏彦]
121: 2446| [45] [（な、なんだこれ！？）]
122: 2462| [47] [夏彦]
123: 2463| [45] [（ぼくはこのまま消えるのか！？）]
124: 2479| [45] [五感が急速に遠くなって行く。]
125: 2529| [45] [２度目の死が音もなく迫ってくる。]
126: 2543| [45] [そのとき夏彦は強く願った。]
127: 2587| [45] [せめてましろとサリュの安否を確認できるまでは、]
128: 2641| [45] [そしてあの少女の正体がわかるまでは、]
129: 2655| [47] [夏彦]
130: 2656| [45] [（き……消えたくないッ……！！）]
131: 2670| [45] [だがその願いも虚しく――]
132: 2684| [45] [夏彦の意識は、闇の中に埋没した。]
