  0:  110| [55] []
 89: 27066| [85] [BGB12BA1A]
 90: 27109| [85] [BGB13AA1A]
 91: 27152| [85] [BGB13AA4A]
 92: 27195| [85] [BGB13BA1A]
 93: 27238| [85] [BGB15AA1A]
 94: 27281| [85] [BGB19AA1A]
 95: 27324| [85] [BGB22AA1A]
 96: 27367| [85] [BGB23AA1A]
 97: 27410| [85] [BGB23AA1B]
 98: 27453| [85] [BGB24AA1A]
 99: 27496| [85] [BGB24AA4A]
100: 27539| [85] [BGB25AA1A]
101: 27582| [85] [BGB25AA2A]
102: 27625| [85] [BGB26AA1A]
103: 27668| [85] [BGB27AA1A]
104: 27711| [85] [BGB28AA1A]
105: 27754| [85] [BGB28AA4A]
106: 27797| [85] [BGB28AA7A]
107: 27840| [85] [BGB29AA1A]
108: 27883| [85] [BGB30AA1A]
109: 27926| [85] [BGB32AA1A]
110: 27969| [85] [BGB32AB4A]
111: 28012| [85] [BGC01AA0A]
112: 28055| [85] [BGC01AA0B]
113: 28098| [85] [BGC02AA0A]
114: 28141| [85] [BGC03AA1A]
115: 28184| [85] [BGC03NA1A]
116: 28227| [85] [BGC04AA0A]
117: 28270| [85] [BGC04AA0B]
118: 28313| [85] [BGC04AA0C]
119: 28356| [85] [BGC04AA0E]
120: 28399| [85] [BGC04AA1A]
121: 28442| [85] [BGC04AR1A]
122: 28485| [85] [BGC04NA0A]
123: 28528| [85] [BGC04NA0B]
124: 28571| [85] [BGC04NA0C]
125: 28614| [85] [BGC04NA0D]
126: 28657| [85] [BGC04NA0E]
127: 28700| [85] [BGC04NA0F]
128: 28743| [85] [BGC04NA0G]
129: 28786| [85] [BGC04NA0H]
130: 28829| [85] [BGC04NA0I]
131: 28872| [85] [BGC04NA0J]
132: 28915| [85] [BGC04NA0K]
133: 28958| [85] [BGC04NA1A]
134: 29001| [85] [BGC05AA1A]
135: 29044| [85] [BGC05NA0A]
136: 29087| [85] [BGC05NA0B]
137: 29130| [85] [BGC05NA1A]
138: 29173| [85] [BGC06AA1A]
139: 29216| [85] [BGC07AA0A]
140: 29259| [85] [BGC07AA1A]
141: 29302| [85] [BGC07AA2A]
142: 29345| [85] [BGC08AA0A]
143: 29388| [85] [BGC08AA1A]
144: 29431| [85] [BGC08AA1B]
145: 29474| [85] [BGC08AA1C]
146: 29517| [85] [BGC09AA0A]
147: 29560| [85] [BGC09AA0B]
148: 29603| [85] [BGC09AA0C]
149: 29646| [85] [BGC09AA0D]
150: 29689| [85] [BGC09AA0E]
151: 29732| [85] [BGC09AA1B]
152: 29775| [85] [BGC09AA1C]
153: 29818| [85] [BGC09AA1D]
154: 29861| [85] [BGC09AR1A]
155: 29904| [85] [BGC09AR1C]
156: 29947| [85] [BGC09AR1D]
157: 29990| [85] [BGC10AA1A]
158: 30033| [85] [BGC10AA1B]
159: 30076| [85] [BGC11AA0A]
160: 30119| [85] [BGC11AA0B]
161: 30162| [85] [BGC11AA0C]
162: 30205| [85] [BGC11AA1A]
163: 30248| [85] [BGC11AA1B]
164: 30291| [85] [BGC11AA1C]
165: 30334| [85] [BGC12AA0A]
166: 30377| [85] [BGC12AA1A]
167: 30420| [85] [BGC13AA1A]
168: 30463| [85] [BGC14AA0A]
169: 30506| [85] [BGC14AA0B]
170: 30549| [85] [BGC14AA1A]
171: 30592| [85] [BGC14AA1B]
172: 30635| [85] [BGC15AA1A]
173: 30678| [85] [BGC16AA1A]
174: 30721| [85] [BGC17AA1A]
175: 30764| [85] [BGC17AA2A]
176: 30807| [85] [BGC17NA1A]
177: 30850| [85] [BGC22AA1B]
178: 30893| [85] [BGC22AR1A]
179: 30936| [85] [BGC23AA0A]
180: 30979| [85] [BGC23AA1A]
181: 31022| [85] [BGC26AA1A]
182: 31065| [85] [BGC26AA1B]
183: 31108| [85] [BGC27NA0A]
184: 31151| [85] [BGC28AA1A]
185: 31194| [85] [BGD01AA0A]
186: 31237| [85] [BGD03AR1A]
187: 31280| [85] [BGD03AR2A]
188: 31323| [85] [BGD04AA1A]
189: 31366| [85] [BGD04AA1B]
190: 31409| [85] [BGD04AA1C]
191: 31452| [85] [BGD04AA1D]
192: 31495| [85] [BGD04AA1E]
193: 31538| [85] [BGD04AA1F]
194: 31581| [85] [BGD04AA4A]
195: 31624| [85] [BGD04AA4C]
196: 31667| [85] [BGD04AA4E]
197: 31710| [85] [BGD04AB0A]
198: 31753| [85] [BGD04AB1A]
199: 31796| [85] [BGD04AB1E]
200: 31839| [85] [BGD04AB4C]
201: 31882| [85] [BGD04AD1A]
202: 31925| [85] [BGD04AD1D]
203: 31968| [85] [BGD04AE1D]
204: 32011| [85] [BGD04AG1F]
205: 32054| [85] [BGD04BE1D]
206: 32097| [85] [BGD04CA1A]
207: 32140| [85] [BGD04CA1E]
208: 32183| [85] [BGD04DA0A]
209: 32226| [85] [BGD04DA0B]
210: 32269| [85] [BGD04DA0C]
211: 32312| [85] [BGD04DA0D]
212: 32355| [85] [BGD04DA1E]
213: 32398| [85] [BGD04DA4E]
214: 32441| [85] [BGD05AA0A]
215: 32484| [85] [BGD05AA0B]
216: 32527| [85] [BGD05AA0C]
217: 32570| [85] [BGD05AA0D]
218: 32613| [85] [BGD05AA1A]
219: 32656| [85] [BGD05AA1B]
220: 32699| [85] [BGD05AA1L]
221: 32742| [85] [BGD05AA1R]
222: 32785| [85] [BGD06AA0A]
223: 32828| [85] [BGD06AA0B]
224: 32871| [85] [BGD06AA0C]
225: 32914| [85] [BGD06AA0D]
226: 32957| [85] [BGD06AA0E]
227: 33000| [85] [BGD06AA1A]
228: 33043| [85] [BGD06AA1C]
229: 33086| [85] [BGD06AA1D]
230: 33129| [85] [BGD06AA1E]
231: 33172| [85] [BGD06AA1G]
232: 33215| [85] [BGD06AB1A]
233: 33258| [85] [BGD06AB1C]
234: 33301| [85] [BGD06AB1E]
235: 33344| [85] [BGD06AB1G]
236: 33387| [85] [BGD07AA1A]
237: 33430| [85] [BGD07AA1B]
238: 33473| [85] [BGD07AA1C]
239: 33516| [85] [BGD07AA1D]
240: 33559| [85] [BGD07AA1E]
241: 33602| [85] [BGD07AA1G]
242: 33645| [85] [BGD07AA1I]
243: 33688| [85] [BGD07AB1A]
244: 33731| [85] [BGD07AB1C]
245: 33774| [85] [BGD07AB1G]
246: 33817| [85] [BGD07AB1I]
247: 33860| [85] [BGD08AA1A]
248: 33903| [85] [BGD08AA1C]
249: 33946| [85] [BGD08AB1A]
250: 33989| [85] [BGD09AA0A]
251: 34032| [85] [BGD09AA0B]
252: 34075| [85] [BGD09AA1A]
253: 34118| [85] [BGD10AA1A]
254: 34161| [85] [BGD10AA4A]
255: 34204| [85] [BGD11AA1A]
256: 34247| [85] [BGD11AA2A]
257: 34290| [85] [BGD11BA1A]
258: 34333| [85] [BGD11BA2A]
259: 34376| [85] [BGD12AA0A]
260: 34419| [85] [BGD12AA1A]
261: 34462| [85] [BGD12BA1A]
262: 34505| [85] [BGD13AA0A]
263: 34548| [85] [BGD13AA1A]
264: 34591| [85] [BGD13AA4A]
265: 34634| [85] [BGD13BA1A]
266: 34677| [85] [BGD19AA0A]
267: 34720| [85] [BGD19AA1A]
268: 34763| [85] [BGD22AA1A]
269: 34806| [85] [BGD23AA0A]
270: 34849| [85] [BGD23AA1A]
271: 34892| [85] [BGD24AA1A]
272: 34935| [85] [BGD24AA4A]
273: 34978| [85] [BGD25AA1A]
274: 35021| [85] [BGD25AA2A]
275: 35064| [85] [BGD26AA1A]
276: 35107| [85] [BGD27AA1A]
277: 35150| [85] [BGD28AA1A]
278: 35193| [85] [BGD28AA4A]
279: 35236| [85] [BGD28AA7A]
280: 35279| [85] [BGD29AA1A]
281: 35322| [85] [BGD30AA1A]
282: 35365| [85] [BGD32AA1A]
283: 35408| [85] [BGD32AA4A]
284: 35451| [85] [BGD32AA7A]
285: 35494| [85] [BGD32AB0A]
286: 35537| [85] [BGD32AB0B]
287: 35580| [85] [BGD32AB1A]
288: 35623| [85] [BGD32AB4A]
289: 35705| [85] [BGA01EA1B]
290: 35748| [85] [BGA06EA1A]
291: 35791| [85] [BGA07EA1A]
292: 35834| [85] [BGA12EA1A]
293: 35877| [85] [BGA14EA1B]
294: 35920| [85] [BGA16EA1A]
295: 35963| [85] [BGB23EA1B]
296: 36006| [85] [BGC03EA1A]
297: 36049| [85] [BGC04EA1A]
298: 36092| [85] [BGC06EA1A]
299: 36135| [85] [BGC07EA1A]
300: 36178| [85] [BGC07EA2A]
301: 36221| [85] [BGC12EA1A]
302: 36264| [85] [BGC14EA1B]
303: 36307| [85] [BGC16EA1A]
304: 36350| [85] [BGD23EA1B]
305: 36393| [85] [BGC12EA0A]
306: 36436| [85] [BGC12EA0B]
307: 36518| [85] [BGA01AR2B]
308: 36561| [85] [BGA03AR1A]
309: 36604| [85] [BGA06AR1A]
310: 36647| [85] [BGA07AR1A]
311: 36690| [85] [BGA12AR1A]
312: 36733| [85] [BGA13AR1A]
313: 36776| [85] [BGA14AR1A]
314: 36819| [85] [BGA14AR1B]
315: 36862| [85] [BGA23AR1A]
316: 36905| [85] [BGC03AR1A]
317: 36948| [85] [BGC06AR1A]
318: 36991| [85] [BGC07AR1A]
319: 37034| [85] [BGC08AR1A]
320: 37077| [85] [BGC08AR1B]
321: 37120| [85] [BGC08AR1C]
322: 37163| [85] [BGC10AR1A]
323: 37206| [85] [BGC10AR1B]
324: 37249| [85] [BGC12AR1A]
325: 37292| [85] [BGC13AR1A]
326: 37335| [85] [BGC14AR1A]
327: 37378| [85] [BGC23AR1A]
328: 37460| [85] [BGA01NA1A]
329: 37503| [85] [BGA06NA1A]
330: 37546| [85] [BGA07NA1A]
331: 37589| [85] [BGA12NA1A]
332: 37632| [85] [BGA14NA1A]
333: 37675| [85] [BGA20NA1A]
334: 37718| [85] [BGA24NA1A]
335: 37761| [85] [BGA27AA1A]
336: 37804| [85] [BGB01NR1A]
337: 37847| [85] [BGB02NR1A]
338: 37890| [85] [BGB23NA1A]
339: 37933| [85] [BGC06NA1A]
340: 37976| [85] [BGC07NA1A]
341: 38019| [85] [BGC12NA1A]
342: 38062| [85] [BGC13NA1A]
343: 38105| [85] [BGC14NA1A]
344: 38148| [85] [BGC14NA1B]
345: 38191| [85] [BGC20NA1A]
346: 38234| [85] [BGC24NA1A]
347: 38277| [85] [BGC27AA1A]
348: 38320| [85] [BGD02NR1A]
349: 38363| [85] [BGD23NA1A]
350: 38406| [85] [BGD23NA1B]
351: 38449| [85] [BGC06NA0A]
352: 38492| [85] [BGC12NA0A]
353: 38535| [85] [BGC06NA0B]
354: 38578| [85] [BGB01AR1A]
355: 38621| [85] [BGB02AR1A]
356: 38664| [85] [BGD02AR1A]
357: 38746| [85] [BGA01NR1A]
358: 38789| [85] [BGC06NR1A]
359: 38832| [85] [BGC07NR1A]
360: 38914| [85] [BGA04NA2A]
361: 38957| [85] [BGA15NA1A]
362: 39000| [85] [BGA17NA2A]
363: 39043| [85] [BGA19NA1A]
364: 39086| [85] [BGA27NA1A]
365: 39129| [85] [BGB20AA3A]
366: 39172| [85] [BGB32AA3A]
367: 39215| [85] [BGC04NA2A]
368: 39258| [85] [BGC05NA2A]
369: 39301| [85] [BGC15NA1A]
370: 39344| [85] [BGC19NA1A]
371: 39387| [85] [BGC27NA1A]
372: 39430| [85] [BGD20AA3A]
373: 39473| [85] [BGD30AA3A]
374: 39516| [85] [BGD32AA3A]
375: 39559| [85] [BGD32AA6A]
376: 39602| [85] [BGC05NA0C]
377: 39684| [85] [BGA19AA1A]
378: 39727| [85] [BGB04AA3A]
379: 39770| [85] [BGB04AA3B]
380: 39813| [85] [BGB04AA3C]
381: 39856| [85] [BGB04AA3E]
382: 39899| [85] [BGB04AA6A]
383: 39942| [85] [BGB05AA3R]
384: 39985| [85] [BGB06AA3A]
385: 40028| [85] [BGB06AA3E]
386: 40071| [85] [BGB06AB3C]
387: 40114| [85] [BGB07AA3A]
388: 40157| [85] [BGB07AB3I]
389: 40200| [85] [BGB08AA3A]
390: 40243| [85] [BGB09AA3A]
391: 40286| [85] [BGB10AA6A]
392: 40329| [85] [BGB14AA3A]
393: 40372| [85] [BGB17AA1A]
394: 40415| [85] [BGB20AA1A]
395: 40458| [85] [BGB22AA3A]
396: 40501| [85] [BGB28AA3A]
397: 40544| [85] [BGB31AA1A]
398: 40587| [85] [BGB31AA2A]
399: 40630| [85] [BGC19AA1A]
400: 40673| [85] [BGD04AA3E]
401: 40716| [85] [BGD05AA3L]
402: 40759| [85] [BGD06AA3A]
403: 40802| [85] [BGD06AA3B]
404: 40845| [85] [BGD07AA3A]
405: 40888| [85] [BGD07AB3I]
406: 40931| [85] [BGD08AB3A]
407: 40974| [85] [BGD09AA3A]
408: 41017| [85] [BGD10AA6A]
409: 41060| [85] [BGD13AA3A]
410: 41103| [85] [BGD14AA3A]
411: 41146| [85] [BGD17AA1A]
412: 41189| [85] [BGD20AA1A]
413: 41232| [85] [BGD22AA3A]
414: 41275| [85] [BGD27AA3A]
415: 41318| [85] [BGD28AA3A]
416: 41361| [85] [BGD28AA6A]
417: 41404| [85] [BGD31AA0A]
418: 41447| [85] [BGD20AA0A]
419: 41490| [85] [BGD20AA0B]
420: 41533| [85] [BGD20AA0C]
421: 41576| [85] [BGD17AA0A]
422: 41658| [85] [BGB04AF1A]
423: 41701| [85] [BGB04AF4A]
424: 41744| [85] [BGB04AF4E]
425: 41787| [85] [BGB04AF5A]
426: 41830| [85] [BGB06AF1A]
427: 41873| [85] [BGB06AF1C]
428: 41916| [85] [BGB07AF1A]
429: 41959| [85] [BGB07AF1G]
430: 42002| [85] [BGB07AF1I]
431: 42045| [85] [BGB08AF1A]
432: 42088| [85] [BGB08AF1C]
433: 42131| [85] [BGB12AF1A]
434: 42174| [85] [BGB13AF1A]
435: 42217| [85] [BGB20AF1A]
436: 42260| [85] [BGB21AA3A]
437: 42303| [85] [BGD04AF1A]
438: 42346| [85] [BGD04AF1E]
439: 42389| [85] [BGD04AF2A]
440: 42432| [85] [BGD04AF4A]
441: 42475| [85] [BGD04AF4E]
442: 42518| [85] [BGD04AF5A]
443: 42561| [85] [BGD06AF1A]
444: 42604| [85] [BGD06AF1C]
445: 42647| [85] [BGD07AF1A]
446: 42690| [85] [BGD07AF1D]
447: 42733| [85] [BGD07AF1E]
448: 42776| [85] [BGD07AF1G]
449: 42819| [85] [BGD07AF1I]
450: 42862| [85] [BGD08AF1A]
451: 42905| [85] [BGD13AF1A]
452: 42948| [85] [BGD20AF1A]
453: 42991| [85] [BGD21AA3A]
454: 43073| [85] [BGA21NA1A]
455: 43116| [85] [BGA21NR1A]
456: 43159| [85] [BGA25AA1A]
457: 43202| [85] [BGB04AA2A]
458: 43245| [85] [BGB04AA2C]
459: 43288| [85] [BGB04AA2E]
460: 43331| [85] [BGB04AA5A]
461: 43374| [85] [BGB04AA5E]
462: 43417| [85] [BGB05AA2A]
463: 43460| [85] [BGB05AA2L]
464: 43503| [85] [BGB05AA2R]
465: 43546| [85] [BGB06AA2E]
466: 43589| [85] [BGB06AA2G]
467: 43632| [85] [BGB06AB2A]
468: 43675| [85] [BGB07AA2A]
469: 43718| [85] [BGB07AA2B]
470: 43761| [85] [BGB07AA2I]
471: 43804| [85] [BGB08AA2A]
472: 43847| [85] [BGB08AA2C]
473: 43890| [85] [BGB09AA2A]
474: 43933| [85] [BGB10AA5A]
475: 43976| [85] [BGB13BA2A]
476: 44019| [85] [BGB22AA2A]
477: 44062| [85] [BGB24AA2A]
478: 44105| [85] [BGB24AA5A]
479: 44148| [85] [BGB27AA2A]
480: 44191| [85] [BGB28AA2A]
481: 44234| [85] [BGB28AA5A]
482: 44277| [85] [BGB28AA8A]
483: 44320| [85] [BGB29AA2A]
484: 44363| [85] [BGB32AA2A]
485: 44406| [85] [BGC21NA1A]
486: 44449| [85] [BGC25AA1A]
487: 44492| [85] [BGD04AA2A]
488: 44535| [85] [BGD04AA2D]
489: 44578| [85] [BGD04AA5A]
490: 44621| [85] [BGD04AD2A]
491: 44664| [85] [BGD04AD5A]
492: 44707| [85] [BGD06AA2A]
493: 44750| [85] [BGD07AA2A]
494: 44793| [85] [BGD07AA2I]
495: 44836| [85] [BGD08AA2C]
496: 44879| [85] [BGD09AA2A]
497: 44922| [85] [BGD10AA5A]
498: 44965| [85] [BGD13AA2A]
499: 45008| [85] [BGD13BA2A]
500: 45051| [85] [BGD22AA2A]
501: 45094| [85] [BGD29AA2A]
502: 45137| [85] [BGD32AA5A]
503: 45219| [85] [BGB10AA3A]
504: 45262| [85] [BGB16AA1A]
505: 45305| [85] [BGB18AA1A]
506: 45348| [85] [BGD16AA1A]
507: 45431| [85] [BGIA01A]
508: 45475| [85] [BGIA01B]
509: 45519| [85] [BGIA01C]
510: 45563| [85] [BGIA02A]
511: 45607| [85] [BGIA03A]
512: 45651| [85] [BGIA03B]
513: 45695| [85] [BGIA03C]
514: 45739| [85] [BGIA03D]
515: 45783| [85] [BGIA03E]
516: 45827| [85] [BGIA03F]
517: 45871| [85] [BGIA03G]
518: 45915| [85] [BGIA03H]
519: 45959| [85] [BGIA03I]
520: 46003| [85] [BGIA04A]
521: 46047| [85] [BGIA04B]
522: 46091| [85] [BGIA04C]
523: 46135| [85] [BGIA04D]
524: 46179| [85] [BGIA06A]
525: 46223| [85] [BGIA06B]
526: 46267| [85] [BGIA06C]
527: 46311| [85] [BGIA07A]
528: 46355| [85] [BGIA07B]
529: 46399| [85] [BGIA07D]
530: 46443| [85] [BGIA07E]
531: 46487| [85] [BGIA08A]
532: 46531| [85] [BGIA08B]
533: 46575| [85] [BGIA08C]
534: 46619| [85] [BGIA08D]
535: 46663| [85] [BGIA08E]
536: 46707| [85] [BGIA08F]
537: 46751| [85] [BGIA08G]
538: 46795| [85] [BGIA08H]
539: 46839| [85] [BGIA08I]
540: 46883| [85] [BGIA08J]
541: 46927| [85] [BGIA10A]
542: 46971| [85] [BGIA10B]
543: 47015| [85] [BGIA10C]
544: 47059| [85] [BGIA11A]
545: 47103| [85] [BGIA12A]
546: 47147| [85] [BGIA12B]
547: 47191| [85] [BGIA12C]
548: 47235| [85] [BGIA12D]
549: 47279| [85] [BGIA12E]
550: 47323| [85] [BGIA12F]
551: 47367| [85] [BGIA12G]
552: 47411| [85] [BGIA12H]
553: 47455| [85] [BGIA12I]
554: 47499| [85] [BGIA14A]
555: 47543| [85] [BGIB05A]
556: 47587| [85] [BGIB07A]
557: 47631| [85] [BGIB08A]
558: 47675| [85] [BGIB08B]
559: 47719| [85] [BGIB08C]
560: 47763| [85] [BGIB08D]
561: 47807| [85] [BGIB08E]
562: 47851| [85] [BGIB08I]
563: 47895| [85] [BGIB08J]
564: 47939| [85] [BGIB08K]
565: 47983| [85] [BGIB08L]
566: 48027| [85] [BGIB08N]
567: 48071| [85] [BGIB08O]
568: 48115| [85] [BGIB08P]
569: 48159| [85] [BGIB08Q]
570: 48203| [85] [BGIB08R]
571: 48247| [85] [BGIB08S]
572: 48291| [85] [BGIB08T]
573: 48335| [85] [BGIB09A]
574: 48379| [85] [BGIB10A]
575: 48423| [85] [BGIB10B]
576: 48467| [85] [BGIB10C]
577: 48511| [85] [BGIB10D]
578: 48555| [85] [BGIB10E]
579: 48599| [85] [BGIB10F]
580: 48643| [85] [BGIB10G]
581: 48687| [85] [BGIB11A]
582: 48731| [85] [BGIB13A]
583: 48775| [85] [BGIB13B]
584: 48819| [85] [BGIB13C]
585: 48863| [85] [BGIB14A]
586: 48907| [85] [BGIB14B]
587: 48951| [85] [BGIB16A]
588: 48995| [85] [BGIB16B]
589: 49039| [85] [BGIB17A]
590: 49083| [85] [BGIB18A]
591: 49127| [85] [BGIB18B]
592: 49171| [85] [BGIB18C]
593: 49215| [85] [BGIB19A]
594: 49259| [85] [BGIB19B]
595: 49303| [85] [BGIB23A]
596: 49347| [85] [BGIB28B]
597: 49391| [85] [BGIB28C]
598: 49435| [85] [BGIB28D]
599: 49479| [85] [BGIB29B]
600: 49523| [85] [BGIB29C]
601: 49567| [85] [BGIB29D]
602: 49611| [85] [BGIB29E]
603: 49655| [85] [BGIB29F]
604: 49699| [85] [BGIB29G]
605: 49743| [85] [BGIB29H]
606: 49787| [85] [BGIB29I]
607: 49831| [85] [BGIB30B]
608: 49875| [85] [BGIB30C]
609: 49919| [85] [BGIB30D]
610: 49963| [85] [BGIB31A]
611: 50007| [85] [BGIB31B]
612: 50051| [85] [BGIB31C]
613: 50095| [85] [BGIB31D]
614: 50139| [85] [BGIB31E]
615: 50183| [85] [BGIB31F]
616: 50227| [85] [BGIB31G]
617: 50271| [85] [BGIB32A]
618: 50315| [85] [BGIB32B]
619: 50359| [85] [BGIB32C]
620: 50403| [85] [BGIB32D]
621: 50447| [85] [BGIB32E]
622: 50491| [85] [BGIB32F]
623: 50535| [85] [BGIB32G]
624: 50579| [85] [BGIB32H]
625: 50623| [85] [BGIB32I]
626: 50667| [85] [BGIB32J]
627: 50711| [85] [BGIB32K]
628: 50755| [85] [BGIB32L]
629: 50799| [85] [BGIB32M]
630: 50843| [85] [BGIB32N]
631: 50887| [85] [BGIB32O]
632: 50931| [85] [BGIB33A]
633: 50975| [85] [BGIB34A]
634: 51019| [85] [BGIB35A]
635: 51063| [85] [BGIB36A]
636: 51107| [85] [BGIB37A]
637: 51151| [85] [BGIB38A]
638: 51195| [85] [BGIB38B]
639: 51239| [85] [BGIB38C]
640: 51283| [85] [BGIB38D]
641: 51327| [85] [BGIB38E]
642: 51371| [85] [BGIB38F]
643: 51415| [85] [BGIB38G]
644: 51459| [85] [BGIB40A]
645: 51503| [85] [BGIB42B]
646: 51547| [85] [BGIB42F]
647: 51591| [85] [BGIB42G]
648: 51635| [85] [BGIB42H]
649: 51679| [85] [BGIB42I]
650: 51723| [85] [BGIB42J]
651: 51767| [85] [BGIB42K]
652: 51811| [85] [BGIB44A]
653: 51855| [85] [BGIB44B]
654: 51899| [85] [BGIB44E]
655: 51943| [85] [BGIB45A]
656: 51987| [85] [BGIB45B]
657: 52031| [85] [BGIB45C]
658: 52075| [85] [BGIB45D]
659: 52119| [85] [BGIB45E]
660: 52163| [85] [BGIB45F]
661: 52207| [85] [BGIB45G]
662: 52251| [85] [BGIB45H]
663: 52295| [85] [BGIB45I]
664: 52339| [85] [BGIB45J]
665: 52383| [85] [BGIB45K]
666: 52427| [85] [BGIB45L]
667: 52471| [85] [BGIB45M]
668: 52515| [85] [BGIB45N]
669: 52559| [85] [BGIB45O]
670: 52603| [85] [BGIT01A]
671: 52647| [85] [BGIT01B]
672: 52691| [85] [BGIT01C]
673: 52735| [85] [BGIT01D]
674: 52779| [85] [BGIT02A]
675: 52823| [85] [BGIT02B]
676: 52867| [85] [BGIT03A]
677: 52911| [85] [BGI_CA1]
678: 52955| [85] [BGI_CA2]
679: 52999| [85] [BGI_CA3]
680: 53043| [85] [BGI_CA4]
681: 53087| [85] [BGI_CA5]
682: 53131| [85] [BGI_CA6]
683: 53175| [85] [BGI_CA_END]
684: 53219| [85] [BGI_CB1]
685: 53263| [85] [BGI_CB2]
686: 53307| [85] [BGI_CB3]
687: 53351| [85] [BGI_CB4]
688: 53395| [85] [BGI_CB5]
689: 53439| [85] [BGI_CB6]
690: 53483| [85] [BGI_CB7]
691: 53527| [85] [BGI_CB_END]
692: 53571| [85] [BGI_CC1]
693: 53615| [85] [BGI_CC2]
694: 53659| [85] [BGI_CC3]
695: 53703| [85] [BGI_CC_END]
696: 53747| [85] [BGI_CD1]
697: 53791| [85] [BGI_CD2]
698: 53835| [85] [BGI_CD3]
699: 53879| [85] [BGI_CD4]
700: 53923| [85] [BGI_CD5]
701: 53967| [85] [BGI_CD6]
702: 54011| [85] [BGI_CD_END]
703: 54055| [85] [BGI_CD_GEND]
704: 54099| [85] [BGI_C_GAMEOVER]
705: 54217| [85] [BGE02A]
706: 54261| [85] [BGIA13A]
707: 54305| [85] [BGIA13B]
708: 54349| [85] [BGIA13C]
709: 54393| [85] [BGIA15A]
710: 54437| [85] [BGIB06AZ]
711: 54481| [85] [BGIB06BZ]
712: 54525| [85] [BGIB06CZ]
