  0:   62| [47] [自動放送]
 93: 1483| [47] [美夜子]
 94: 1486| [45] [「覚えてないわよね？」]
 95: 1494| [47] [美夜子]
 96: 1497| [45] [「ラボで火事に遭ってから、丸一日眠っていたのよ」]
 97: 1502| [45] [悠里は辺りを見回す。]
 98: 1507| [45] [そこは病院の一室のようだが、夏彦の姿はなかった。]
 99: 1515| [47] [悠里]
100: 1518| [45] [「あの……ひこりんは？」]
101: 1541| [45] [だが博士はその質問には答えずに、悠里に問いかける。]
102: 1549| [47] [美夜子]
103: 1552| [45] [「ところで、悠里ちゃん」]
104: 1560| [47] [美夜子]
105: 1563| [45] [「目覚めて早々、申し訳ないんだけど……簡単な検査に、付き合ってもらえるかしら？」]
106: 1571| [47] [悠里]
107: 1574| [45] [「けんさ？」]
108: 1600| [47] [美夜子]
109: 1603| [45] [「今回の一件で、悠里ちゃんの体に問題が生じてないか、調べなくちゃいけないの」]
110: 1629| [47] [美夜子]
111: 1632| [45] [「悠里ちゃんたちは、危険な粒子を浴びてしまったから」]
112: 1637| [45] [『きけんなりゅうし』というのがなんだかわからないし、まだ少し頭がぐらぐらしたが――悠里は素直に答えた。]
113: 1645| [47] [悠里]
114: 1648| [45] [「わかりました」]
115: 1710| [45] [――その後、悠里は様々な検査を受けた。]
116: 1715| [45] [採血や採尿をされたり、大きな機械の中に入って頭の中の写真を撮ったり。]
117: 1720| [45] [天川博士は、最初はいつもと変わらない様子だったが――検査が進むにつれ、表情が強張っていった。]
118: 1790| [47] [美夜子]
119: 1793| [45] [「――悠里ちゃんの『ＩＧＦ２Ｒ遺伝子』が、タイプＳ……！？」]
120: 1798| [45] [検査結果が表示されたＰＤＡを見ながら、天川博士と助手らしき人が話している。]
121: 1806| [47] [美夜子]
122: 1809| [45] [「そんなわけはないわ。間違いではないの？」]
123: 1824| [47] [助手]
124: 1827| [45] [「し、しかし……何度検査しても同じ結果で、タイプＳと出るのです」]
125: 1835| [47] [美夜子]
126: 1838| [45] [「まさか、そんな……！」]
127: 1882| [45] [博士は悠里の方に向き直り、真顔で尋ねた。]
128: 1890| [47] [美夜子]
129: 1893| [45] [「悠里ちゃん、あなたＢＣの適性度っていくつだった？　学校とかで計った事あるでしょう？」]
130: 1901| [47] [悠里]
131: 1904| [45] [「え……『Ｃ』、ですけど」]
132: 1912| [47] [美夜子]
133: 1915| [45] [「……っ」]
134: 1920| [45] [黙り込む博士に、助手が耳打ちする。]
135: 1964| [47] [助手]
136: 1967| [45] [「彼女の言う事に、間違いはありません……」]
137: 1972| [47] [助手]
138: 1975| [45] [「過去の検査記録にも、彼女のＩＧＦ２Ｒ遺伝子は、タイプＣと記録されていました」]
139: 2022| [47] [美夜子]
140: 2025| [45] [「ちょ、ちょっと待ちなさい。と言う事は――」]
141: 2033| [47] [美夜子]
142: 2036| [45] [「遺伝子が変異したっていう事！？」]
143: 2041| [45] [その言葉に、助手の人の表情までもが変わった。]
144: 2088| [47] [美夜子]
145: 2091| [45] [「ゆ、悠里ちゃん！　テレパシー使ってみてくれる！？」]
146: 2099| [47] [悠里]
147: 2102| [45] [「え、でも、わたしテレパシーはまだ――」]
148: 2110| [47] [美夜子]
149: 2113| [45] [「そうだと思うけど、やってみてほしいの！」]
150: 2121| [47] [美夜子]
151: 2124| [45] [「おばさんに伝えたい事を、何でもいいから強く念じて！」]
152: 2129| [45] [急に言われてもよくわからなかったが――ひとまず悠里は言う通りにした。]
153: 2134| [47] [悠里]
154: 2135| [45] [（テレパシーがつかえたこと、いちどもないんだけどな……）]
155: 2140| [47] [悠里]
156: 2141| [45] [（えーと、それじゃ……）]
157: 2213| [47] [悠里]
158: 2216| [45] [《ひこりんは、だいじょうぶそうですか？》]
159: 2295| [47] [美夜子]
160: 2298| [45] [「！！」]
161: 2303| [45] [博士が息を呑むのがわかった。]
162: 2308| [45] [同時に悠里も奇妙に感じた。]
163: 2313| [45] [今のはいつもの、テレパシーを使おうとして失敗した時の感じと違う。]
164: 2318| [45] [――まるで、頭の中に思い浮かべた事が、外に吐き出されたような――]
165: 2367| [47] [美夜子]
166: 2370| [45] [「……悠里ちゃん、夏彦が心配なのね……」]
167: 2378| [47] [悠里]
168: 2381| [45] [「あ……は、はい」]
169: 2386| [45] [そして博士は、悠里の質問に答えた。]
170: 2391| [45] [『頭の中に思い浮かべただけの』質問に。]
171: 2399| [47] [美夜子]
172: 2402| [45] [「……では今から、その質問の答えを、私が頭に思い浮かべるわ」]
173: 2410| [47] [美夜子]
174: 2413| [45] [「それをＢＣで読み取ってみて」]
175: 2421| [47] [悠里]
176: 2424| [45] [「えっ？　それってエンパシー……」]
177: 2432| [47] [美夜子]
178: 2435| [45] [「いいからお願い」]
179: 2440| [47] [悠里]
180: 2441| [45] [（で、できるわけないのに……）]
181: 2446| [47] [悠里]
182: 2447| [45] [（エンパシーがつかえるこどもはほとんどいないって、ましろんがいってたのに……）]
183: 2505| [45] [それでも悠里は、博士の心を読もうと念じる。]
184: 2510| [45] [するとやがて――悠里の脳内に、声が響いた。]
185: 2799| [85] [《夏彦は別室で眠ってる。何も心配することはないわ》]
186: 2800| [86] [美夜子]
187: 2801| [86] [《夏彦は別室で眠ってる。何も心配することはないわ》]
188: 2951| [47] [悠里]
189: 2954| [45] [「！！」]
190: 2959| [45] [今度こそ悠里は本当に驚いた。]
191: 2964| [45] [今、博士は口を動かしていなかった。ならばいま聞こえた声は――！！]
192: 2969| [47] [悠里]
193: 2970| [45] [（こころのこえ……！）]
194: 2975| [45] [その声を悠里は、博士に伝える。]
195: 2983| [47] [悠里]
196: 2986| [45] [「ひ……ひこりんは、おやすみちゅう、なんですか？」]
197: 3034| [47] [美夜子]
198: 3037| [45] [「ッ……！！」]
199: 3045| [47] [美夜子]
200: 3048| [45] [「……そうよ、その通りよ」]
201: 3053| [45] [搾り出すように言う博士に、助手が尋ねる。]
202: 3097| [47] [助手]
203: 3100| [45] [「博士、これは……」]
204: 3108| [47] [美夜子]
205: 3111| [45] [「信じがたいけど……早くもテレパシーとエンパシーが発現しているようだわ」]
206: 3119| [47] [美夜子]
207: 3122| [45] [「もう疑う余地はない……後天性の、適性度Ｓコミュニケーターよ」]
208: 3127| [47] [助手]
209: 3130| [45] [「し、しかしなぜこんな事が！？」]
210: 3177| [47] [美夜子]
211: 3180| [45] [「事故発生当時、第５エリアのＷＸ粒子エネルギー量は、最大９５００ｍＳｖ――」]
212: 3188| [47] [美夜子]
213: 3191| [45] [「それによって破壊された遺伝子が、当該環境下に適合するように再構築されたのよ」]
214: 3199| [47] [美夜子]
215: 3202| [45] [「理論上起こりうるとされていた現象が、まさかこのような形で実現するとはね」]
216: 3207| [47] [助手]
217: 3210| [45] [「ならば、まさか―― 一緒にいた少年も！？」]
218: 3218| [47] [美夜子]
219: 3221| [45] [「その可能性も否めないわ……！」]
220: 3226| [45] [博士は悠里を見て、低い声で言った。]
221: 3273| [47] [美夜子]
222: 3276| [45] [「悠里ちゃん、悪いけどこのお部屋でちょっと待っててね」]
223: 3284| [47] [美夜子]
224: 3287| [45] [「おばさん、夏彦の検査もしてくるから」]
225: 3295| [47] [悠里]
226: 3298| [45] [「あの……なんか、よくなかったんでしょうか？」]
227: 3306| [47] [美夜子]
228: 3309| [45] [「……本来なら、いい結果なのだとは思うけど……」]
229: 3317| [47] [美夜子]
230: 3320| [45] [「とにかく、また後でね」]
231: 3325| [45] [そう言って、天川博士は助手と一緒に、部屋を出ていった。]
232: 3397| [47] [悠里]
233: 3398| [45] [（……）]
234: 3403| [45] [取り残された悠里は、不意に怖くなってきた。]
235: 3408| [45] [のんびり屋の彼女にもわかる。]
236: 3413| [45] [何か途方もない事が、進行しつつあるのだと……。]
