  0:  140| [55] [√After Chapter 5]
 79: 1078| [45] ["Make sure you don't cut too much off."]
 80: 1083| [45] [Watase cut open part of her uniform with the scissors, revealing a wound about 2 cm wide.]
 81: 1088| [45] [He rubbed Chiron on it, causing Jun's body to tremble with a start.]
 82: 1149| [47] [Jun]
 83: 1152| [45] ["Hwaah!"]
 84: 1160| [47] [Watase]
 85: 1163| [45] ["Hey, don't move!"]
 86: 1189| [47] [Jun]
 87: 1192| [45] ["B-but... it tickles..."]
 88: 1200| [47] [Watase]
 89: 1203| [45] ["I'm going easy on you, you know. Anyway, just put up with it for a little longer."]
 90: 1208| [45] [Jun's wound finally closed up after Watase had used half the tube on it.]
 91: 1261| [47] [Watase]
 92: 1264| [45] ["Whew... looks like we can relax for now."]
 93: 1290| [47] [Jun]
 94: 1293| [45] ["..."]
 95: 1298| [45] [But a gloomy expression rose to Jun's face in spite of the fact that Watase had finished treating her.]
 96: 1306| [47] [Watase]
 97: 1309| [45] ["Whoa, what's with that face, Moribe? Does it hurt?"]
 98: 1335| [47] [Jun]
 99: 1338| [45] ["No, that's not it, it's just..."]
100: 1343| [45] [Jun looked around the room after muttering that, then continued.]
101: 1369| [47] [Jun]
102: 1372| [45] ["By the way, where's Mr. Ukita?"]
103: 1380| [47] [Watase]
104: 1383| [45] ["He went on ahead to continue the search while I stayed to treat you."]
105: 1409| [47] [Jun]
106: 1412| [45] ["Wait... by himself?"]
107: 1417| [45] [Jun's face grew grim at those words.]
108: 1425| [47] [Jun]
109: 1428| [45] ["What were you thinking? Don't you know it's too dangerous to let a civilian act on his own?"]
110: 1436| [47] [Watase]
111: 1439| [45] ["That's what I told him, but he wouldn't listen."]
112: 1465| [47] [Jun]
113: 1468| [45] ["Then you need to go after him pronto. I'll come too."]
114: 1500| [45] [Jun then tried to stand up, but she staggered on her feet.]
115: 1508| [47] [Watase]
116: 1511| [45] ["No, you just got hit on the head. Just rest here for the time being."]
117: 1534| [47] [Jun]
118: 1535| [45] ["..."]
119: 1540| [45] [Jun paused for a moment, but then quickly nodded.]
120: 1548| [47] [Watase]
121: 1551| [45] ["I'm heading in the direction of Area 2. Catch up to me once you recover."]
122: 1577| [47] [Jun]
123: 1580| [45] ["Roger."]
124: 1588| [47] [Watase]
125: 1591| [45] ["Oh, and one more thing..."]
126: 1599| [47] [Jun]
127: 1602| [45] ["What?"]
128: 1610| [47] [Watase]
129: 1613| [45] ["Thanks for saving me back there."]
130: 1618| [45] [Jun finally smiled at that.]
131: 1644| [47] [Jun]
132: 1647| [45] ["Uh-uh, don't you worry 'bout that."]
133: 1652| [45] [Watase returned her smile and left the laboratory.]
134: 1749| [45] [--Watase took a quick run through Area 1 to look for Ukita.]
135: 1754| [45] [But he was nowhere to be found.]
136: 1762| [47] [Watase]
137: 1765| [45] ["Old man! You there!?"]
138: 1770| [45] [There was no answer to his shouts.]
139: 1775| [47] [Watase]
140: 1776| [45] [(Must have gone on ahead...)]
141: 1824| [45] [Watase then headed towards Area 2 in search of Ukita.]
