  0:   60| [45] [――そして、運命の日がやってきた。]
 84: 1396| [47] [宇喜多]
 85: 1399| [45] [「その数値を超えると、ＡＤの効果は消える……時間がないぞ、急げ！」]
 86: 1407| [47] [渡瀬]
 87: 1410| [45] [「ああ！」]
 88: 1415| [45] [渡瀬たちは宇喜多に削岩機を預け、監視ルームを飛び出した。]
 89: 1473| [45] [渡瀬は爆弾を抱え、堂島と桧山は幹部研究員を抱え、Ｎエリアを目指す。]
 90: 1478| [45] [やがて分厚いセキュリティゲートが見えてきた。]
 91: 1508| [47] [堂島]
 92: 1511| [45] [「ここが『Ｎエリア』か……」]
 93: 1541| [47] [桧山]
 94: 1544| [45] [「この先に、例の２人が閉じ込められてるっていうんですか？」]
 95: 1552| [47] [渡瀬]
 96: 1555| [45] [「そうさ……だから行こう」]
 97: 1560| [45] [渡瀬は同志たちに、そう告げた。]
 98: 1565| [45] [堂島も桧山も、１６年前の火災で、大事な者を失った。]
 99: 1570| [45] [この計画が成功したところで、死んだ者たちが戻ってくるわけではないが――]
100: 1578| [47] [渡瀬]
101: 1581| [45] [「あの時、俺たちは誰も救えなかった……」]
102: 1589| [47] [渡瀬]
103: 1592| [45] [「その贖罪をする時が、ようやく来たんだよ」]
104: 1597| [45] [その決意を胸に、渡瀬たちはＮエリアに足を踏み入れた。]
105: 1700| [45] [Ｎエリアに足を踏み入れても、プロキオンの警告音は鳴らなかった。]
106: 1705| [45] [まだＷＸ粒子とやらのエネルギー量は、人体に影響を与えるほどにはなっていないのだろう。]
107: 1710| [45] [そしてＮエリアの中央には、透明な筒状のエレベーターがあった。]
108: 1715| [45] [そこに備え付けられた端末に『レベルＮ』のカードを通し、幹部研究員２名の網膜を認証させれば――]
109: 1720| [45] [地下３階『Ｚｅｒｏエリア』への道が開くのだという。]
110: 1725| [47] [渡瀬]
111: 1726| [45] [（急ごう、幹部研究員たちが目を覚ます前に！）]
112: 1732| [45] [渡瀬たちはエレベーターに近づき、端末を操作した。]
113: 1743| [45] [セキュリティカードをスロットに通すと、自動音声が流れた。]
114: 1748| [47] [自動音声]
115: 1751| [45] [「登録者の網膜を確認します。センサーに目を近づけてください」]
116: 1756| [45] [言われるままに、気絶中の幹部研究員の目を開かせ、センサーに近づける。]
117: 1767| [47] [自動音声]
118: 1770| [45] [「――Ｚｅｒｏエリア担当管理官・江里口修也の網膜を確認しました」]
119: 1787| [47] [自動音声]
120: 1790| [45] [「Ｚｅｒｏエリア担当管理官・柏木諒謙の網膜を確認しました」]
121: 1795| [45] [認証を済ませると、渡瀬たちはエレベーターの中に乗り込む。]
122: 1806| [47] [自動音声]
123: 1809| [45] [「エレベーターが降下します。ＡＤの投与がお済みでない場合、直ちに投与してください」]
124: 1836| [45] [その声と共に、がくんと床が揺れ、エレベーターが降下し始めた。]
125: 1850| [45] [そしてそのエレベーターが下りた先に、待ち受けていたものは――]
126: 1855| [45] [渡瀬たちの、予想もしない光景だった。]
127: 2003| [47] [渡瀬]
128: 2006| [45] [「な……なんだこれは！？」]
129: 2076| [47] [堂島]
130: 2079| [45] [「ラボの地下に、こんなものが……？」]
131: 2112| [45] [それは巨大な地下庭園だった。]
132: 2130| [45] [施設外から採光されたと思しき陽光が、辺りを照らしている。]
133: 2135| [45] [そして天井と壁は、青空――いや、空の映像を投影した、巨大なスクリーンになっていた。]
134: 2140| [47] [渡瀬]
135: 2141| [45] [（なんのために、こんなものを……）]
136: 2148| [47] [渡瀬]
137: 2149| [45] [（……いや、そんなことより、早く被験体を救出せねば！）]
138: 2154| [45] [地下庭園の周囲を見回すと、壁面に６つの扉があった。]
139: 2159| [45] [扉の１つには『Ｒｅｌａｘ　Ｒｏｏｍ』。]
140: 2164| [45] [その隣の扉には『Ｐｌａｙ　Ｒｏｏｍ』と書いてある。これらは被験体の慰安用だろうか。]
141: 2169| [45] [その脇の２つは、何も書いてない扉だった。空室らしい。]
142: 2174| [45] [そして残る２つの扉に、それぞれ――]
143: 2179| [45] [『Ｓｕｂｊｅｃｔ　ＹⅡ』『Ｓｕｂｊｅｃｔ　Ｎ』と書かれていた。]
144: 2187| [47] [渡瀬]
145: 2190| [45] [「『Ｓｕｂｊｅｃｔ　ＹⅡ』……被験体ＹⅡか！」]
146: 2195| [45] [渡瀬たちはその扉に駆け寄った。]
147: 2200| [45] [扉にはまたもセキュリティスロットがある。]
148: 2211| [45] [試しにレベルＮのカードを通してみると、それは開いた。]
149: 2269| [45] [――扉の向こうにも、分厚そうな扉があった。]
150: 2274| [45] [そこにもまた網膜認証機があったので、研究員２名の網膜を認証させると――]
151: 2337| [45] [重々しい音と共に、扉が開いた。]
152: 2404| [47] [渡瀬]
153: 2407| [45] [「なっ……これが被験体ＹⅡの部屋か？」]
154: 2412| [45] [そこはまるで、普通の女の子の部屋のようだった。]
155: 2418| [45] [本棚、]
156: 2434| [45] [シングルベッド、]
157: 2447| [45] [編み物の道具、]
158: 2460| [45] [ドレッサー……。]
159: 2466| [45] [座敷牢のようなものを想像していたが、それなりにいい居室を与えられているらしい。]
160: 2471| [45] [内装品を見る限り、被験体ＹⅡは、どうやら年頃の少女のようだ。]
161: 2476| [45] [だが肝心の、被験体ＹⅡの姿が――どこにも、無い。]
162: 2484| [47] [渡瀬]
163: 2487| [45] [「バカな……誰もいないだって！？」]
164: 2492| [45] [見れば部屋の扉の内側にも、セキュリティスロットがある。]
165: 2497| [45] [被験体にセキュリティカードを渡すとは思えないし、自力で脱出する事は不可能だろう。]
166: 2533| [47] [堂島]
167: 2536| [45] [「騙されたのか、俺たちは！？」]
168: 2566| [47] [桧山]
169: 2569| [45] [「なぜ……誰に！？」]
170: 2592| [47] [堂島]
171: 2595| [45] [「まさか宇喜多さんの情報が、ガセで――」]
172: 2603| [47] [渡瀬]
173: 2606| [45] [「いや待て！　そんなワケはない！」]
174: 2611| [45] [渡瀬は幹部研究員たちを見た。]
175: 2619| [47] [渡瀬]
176: 2622| [45] [「異変を察したこいつらが、すでに被験体たちを逃がすか隠すかしたんじゃないか……！？」]
177: 2645| [47] [堂島]
178: 2648| [45] [「だとしたらまずいぞ！　ここまで来たのが無駄になる！　探そう！」]
179: 2653| [45] [渡瀬たちは慌てて、その部屋を出た。]
180: 2704| [45] [しかし『Ｐｌａｙ　Ｒｏｏｍ』や『Ｒｅｌａｘ　Ｒｏｏｍ』、それから空室の中も確認したが、被験体らしき者の姿はなかった。]
181: 2755| [47] [渡瀬]
182: 2758| [45] [「これは……ひょっとして、被験体Ｎも！？」]
183: 2763| [45] [被験体２名がどちらも見つからなければ、計画は大きく狂ってしまう。]
184: 2768| [45] [渡瀬たちは被験体Ｎの部屋に向かった。]
185: 2826| [45] [――だが、その扉の前に来たとき――]
186: 2831| [47] [江里口]
187: 2834| [45] [「……ぅ……くっ……！」]
188: 2839| [47] [柏木]
189: 2842| [45] [「こ……ここは！？」]
190: 2847| [45] [堂島と桧山が抱えていた研究員たちが、目を覚ました。]
191: 2870| [47] [渡瀬]
192: 2873| [45] [「！！」]
193: 2878| [45] [息を呑む渡瀬たちに、研究員たちが問う。]
194: 2883| [47] [江里口]
195: 2886| [45] [「き、君たちは……なんだ、何者だ！？」]
196: 2894| [47] [渡瀬]
197: 2897| [45] [「……レスキュー隊だ」]
198: 2902| [47] [江里口]
199: 2905| [45] [「レスキュー隊だと……？」]
200: 2910| [47] [江里口]
201: 2913| [45] [「い、いや、それよりここは――Ｚｅｒｏエリアじゃないか！」]
202: 2918| [47] [柏木]
203: 2921| [45] [「なんだこれは！　どうなってる！？」]
204: 2926| [47] [柏木]
205: 2929| [45] [「なぜレスキュー隊が、こんな最深部まで降りてくるんだ！？」]
206: 2934| [45] [２人に詰め寄られた渡瀬は、一瞬で覚悟を決めた。]
207: 2939| [47] [渡瀬]
208: 2940| [45] [（仕方ない……こんな真似はしたくなかったが！）]
209: 3047| [45] [渡瀬は懐に隠していた銃を抜き、研究員たちに突きつけた。]
210: 3055| [47] [渡瀬]
211: 3058| [45] [「騒ぐな！　騒ぐと撃つ！」]
212: 3063| [47] [江里口]
213: 3066| [45] [「なっ！？」]
214: 3074| [47] [渡瀬]
215: 3077| [45] [「俺たちはレスキュー隊員であると同時に、ある組織のメンバーでもあるんだ」]
216: 3085| [47] [渡瀬]
217: 3088| [45] [「『Ｑ』――この名前を聞いて、ピンとこないか？」]
218: 3093| [45] [その名を聞いて、研究員たちの表情が強張った。]
219: 3098| [47] [江里口]
220: 3101| [45] [「ま……まさか！」]
221: 3106| [47] [柏木]
222: 3109| [45] [「この爆弾騒ぎは、お前らが起こしたものか！？」]
223: 3117| [47] [渡瀬]
224: 3120| [45] [「その通りだ」]
225: 3128| [47] [渡瀬]
226: 3131| [45] [「俺たちの目的は、被験体を連れ去る事だ。邪魔しなければ、お前たちに危害は加えない」]
227: 3136| [47] [江里口]
228: 3139| [45] [「つ……連れ去るだと！？」]
229: 3144| [47] [江里口]
230: 3147| [45] [「バカな！　この中にいるコミュニケーターを、外に連れ出そうというのか！？」]
231: 3155| [47] [渡瀬]
232: 3158| [45] [「そのまさかだ。お前たちのやってきた事を、世間様に知ってもらうためにもな」]
233: 3163| [47] [江里口]
234: 3166| [45] [「やめろ！　お前たちは自分が何をしようとしてるか、わかってるのか！？」]
235: 3171| [47] [江里口]
236: 3174| [45] [「この中にいるのは、ただのコミュニケーターなんかじゃない！　正真正銘の怪物なんだぞ！」]
237: 3182| [47] [渡瀬]
238: 3185| [45] [「なんだそれは？　そんなことを言って、俺たちがビビるとでも？」]
239: 3190| [47] [江里口]
240: 3193| [45] [「悪意を増幅されて――」]
241: 3201| [47] [渡瀬]
242: 3204| [45] [「馬鹿が、俺たちはＡＤを投与してるんだよ」]
243: 3212| [47] [渡瀬]
244: 3215| [45] [「時間稼ぎのつもりなら無駄だ！　いいから早く扉を開けろ！」]
245: 3220| [47] [江里口]
246: 3223| [45] [「しかし――！」]
247: 3284| [45] [研究員の言葉は、銃声に遮られた。]
248: 3293| [45] [渡瀬が威嚇のために、天井を撃ったのだ。]
249: 3301| [47] [渡瀬]
250: 3304| [45] [「悠長に話している時間はないんだ。あまり手こずらせると、次は当てる」]
251: 3309| [47] [江里口]
252: 3312| [45] [「……っ」]
253: 3317| [45] [怯えた表情を浮かべる研究員をよそに、堂島と桧山に言う。]
254: 3325| [47] [渡瀬]
255: 3328| [45] [「堂島、桧山、こいつらの目を使って、網膜認証を済ませてくれ」]
256: 3336| [47] [渡瀬]
257: 3339| [45] [「またゴネたら、そいつの目を……な？」]
258: 3344| [45] [脅しの言葉を言うと、堂島たちがそれに乗った。]
259: 3384| [47] [堂島]
260: 3387| [45] [「おう。それでも多分、扉は開くだろうしな」]
261: 3392| [47] [桧山]
262: 3395| [45] [「ホラお前ら、こっちに来い！」]
263: 3400| [47] [江里口]
264: 3403| [45] [「よ、よせ！　何をする！」]
265: 3408| [47] [柏木]
266: 3411| [45] [「せめてＡＤを！　ＡＤを投与させてくれ！　そうしなければ我々は――」]
267: 3435| [47] [桧山]
268: 3438| [45] [「時間稼ぎもいい加減にしろ！　本当に撃たれたいのか！」]
269: 3443| [45] [暴れる研究員たちを、堂島たちが捕まえ、無理やり網膜を認証させる。]
270: 3507| [47] [江里口]
271: 3510| [45] [「やめろぉおおお！！」]
272: 3515| [45] [研究員の悲痛な声と共に――]
273: 3563| [45] [被験体Ｎの部屋の扉は開いた。]
274: 3615| [45] [その瞬間、胸を洗うような、清々しい『花の香り』が漂った。]
275: 3620| [45] [まるで花畑にでも来たかのように――]
276: 3625| [47] [渡瀬]
277: 3626| [45] [（なんだ……！？）]
278: 3631| [45] [だが、扉の向こうの光景は――]
279: 3636| [45] [無論、花畑などではなかった。]
280: 3750| [47] [渡瀬]
281: 3753| [45] [「…………なっ……」]
282: 3758| [45] [渡瀬はまたしても、言葉を失った。]
283: 3763| [47] [堂島]
284: 3766| [45] [「なん、だ、これは……！？」]
285: 3771| [45] [それはあまりにも、異様な光景だった。]
286: 3776| [45] [花の香りに満ち、たくさんのぬいぐるみが飾られたその部屋の中央に……]
287: 3781| [45] [少女が吊り下げられていたのだ。]
288: 3786| [45] [まるで獰猛な猛獣であるかのように、少女は拘束具でがんじがらめにされている。]
289: 3791| [45] [部屋の隅には芳香剤が置かれており、そこから香りが漂っているようだ。]
290: 3796| [45] [それに包まれて、彼女は虚空を見つめている。]
291: 3805| [47] [渡瀬]
292: 3808| [45] [「この娘が……被験体Ｎ……！？」]
293: 3813| [45] [――渡瀬はもう１度、彼女に声をかけた。]
294: 3821| [47] [渡瀬]
295: 3824| [45] [「お、おい……？」]
296: 3869| [45] [その声に反応したのか、少女が渡瀬を見た。]
297: 3889| [45] [だが彼女の虚ろな眼を覗いた途端、渡瀬は体温が２、３度下がった気がした。]
298: 3894| [45] [あらゆる感情を喪失したような、光無き双眸。]
299: 3899| [45] [覗いてはいけない深淵を、過って覗いてしまったかのような恐怖が――]
300: 3908| [47] [渡瀬]
301: 3911| [45] [「これは……いったい何なんだ！？」]
302: 3916| [47] [桧山]
303: 3919| [45] [「お前ら、この子に何をした！？」]
304: 3924| [47] [江里口]
305: 3925| [45] [「……」]
306: 3933| [47] [渡瀬]
307: 3936| [45] [「だんまりか……クソ、いいだろう！」]
308: 3944| [47] [渡瀬]
309: 3947| [45] [「堂島、こいつらを見張っといてくれ！　桧山は拘束を解くのを手伝ってくれ！」]
310: 3952| [47] [堂島・桧山]
311: 3955| [45] [「あ、ああ！」]
312: 3960| [45] [堂島と桧山は、我に返ったように動き出した。]
313: 3978| [45] [堂島が研究員たちを、室外の壁に押し付ける。]
314: 3983| [45] [そして扉が再び閉まらないように、開口部を固定した。]
315: 4041| [45] [その間に渡瀬たちは、拘束具から少女の解放を試みる。]
316: 4047| [45] [多少苦労したが、彼女の戒めを解く事に成功した。]
317: 4117| [47] [渡瀬]
318: 4120| [45] [「……大丈夫か？」]
319: 4125| [47] [少女]
320: 4126| [45] [「……」]
321: 4131| [45] [渡瀬たちはその部屋から、被験体Ｎを連れ出した。]
322: 4136| [45] [だが彼女は何も反応しない。]
323: 4141| [45] [むしろ声をかけられた事にさえ、気付いていないかのようだ。]
324: 4146| [47] [渡瀬]
325: 4147| [45] [（精神が……崩壊してるのか？）]
326: 4152| [47] [渡瀬]
327: 4153| [45] [（まさか、人体実験の影響で！？）]
328: 4158| [45] [渡瀬の心の中に、強烈な怒りの念が湧く。]
329: 4163| [45] [いくらなんでもか弱い女の子に、こんな仕打ちをするとは――！]
330: 4199| [47] [渡瀬]
331: 4202| [45] [「おい、お前ら！　この子は俺たちが連れていく！」]
332: 4210| [47] [渡瀬]
333: 4213| [45] [「この子の事が世に知れれば、お前たちは破滅だ！　法の裁きを受けて、自分らの罪を思い知れ！」]
334: 4218| [47] [江里口]
335: 4219| [45] [「……」]
336: 4224| [45] [だが、研究員たちは反応しなかった。]
337: 4229| [45] [かすかな声で、ぶつぶつと何か呟いている。]
338: 4234| [47] [江里口]
339: 4237| [45] [「破滅……破滅か……お前たちのせいで、なにもかも……」]
340: 4242| [47] [柏木]
341: 4245| [45] [「もうだめだ……ＡＤがないから、私たちは……」]
342: 4250| [47] [江里口]
343: 4253| [45] [「救出など……なにも知らないくせに、救出などと……」]
344: 4258| [47] [渡瀬]
345: 4259| [45] [（……なんだ？）]
346: 4266| [45] [渡瀬は何か訝しいものを感じた。研究員たちの様子がおかしい。]
347: 4296| [47] [堂島]
348: 4299| [45] [「……おい？　聞いてるのか！？」]
349: 4304| [45] [堂島が銃を手に、研究員に歩み寄った時――]
350: 4309| [47] [江里口]
351: 4312| [45] [「――Ｎの恐ろしさも知らない馬鹿どもがァ！！」]
352: 4382| [45] [研究員の１人が激昂し、堂島に飛び掛った。]
353: 4387| [47] [堂島]
354: 4390| [45] [「なっ！？」]
355: 4430| [45] [堂島は慌てて応戦しようとした。]
356: 4476| [45] [だが腕を掴まれ、銃を奪われかける。]
357: 4484| [47] [渡瀬]
358: 4487| [45] [「やめろ、何をしてる！」]
359: 4492| [47] [江里口]
360: 4495| [45] [「お前らこそ何が救出だ！　正義気取りの偽善者が！！」]
361: 4500| [47] [江里口]
362: 4503| [45] [「銃をよこせ、こいつを外に逃がすくらいなら今ここで――！！」]
363: 4508| [47] [堂島]
364: 4511| [45] [「よ、よせ、危ないッ！！」]
365: 4516| [45] [堂島がそう叫んだ時――]
366: 4593| [45] [銃声が、鳴り響いた。]
367: 4598| [47] [江里口]
368: 4601| [45] [「かっ……」]
369: 4612| [45] [研究員の片割れが、胸から血を噴いて、前のめりに崩れ落ちる。]
370: 4673| [45] [飛び散った返り血が、堂島の服にかかった。]
371: 4681| [47] [渡瀬]
372: 4684| [45] [「……あ……」]
373: 4689| [45] [渡瀬たちは凍りついたように、その場に立ち尽くした。]
374: 4694| [45] [やがてもう１人の研究員が、割れた声を上げる。]
375: 4699| [47] [柏木]
376: 4702| [45] [「あああああ死んだ殺した！　ひッ人殺し！！　人殺しィ！！」]
377: 4726| [47] [堂島]
378: 4729| [45] [「ち、違う！　今のは事故――！」]
379: 4734| [47] [柏木]
380: 4737| [45] [「何がレスキュー隊だ人を殺しておいて！　江里口の仇だお前も死ねェッ！」]
381: 4783| [47] [堂島]
382: 4786| [45] [「やめろ――ぐっ！」]
383: 4797| [45] [研究員が堂島に飛びつき、立ったまま両手で首を締めた。]
384: 4802| [45] [渡瀬は呆然と、その光景を見ていた。]
385: 4854| [47] [渡瀬]
386: 4855| [45] [（な、なんだこれ……なんなんだこいつら……！？）]
387: 4860| [47] [渡瀬]
388: 4861| [45] [（どうして急に、こんな風に！？）]
389: 4866| [47] [渡瀬]
390: 4867| [45] [（まさか例の『悪意』の影響か！？　こんなに早く――！？）]
391: 4872| [45] [混乱する思考は、堂島の苦しげな声で中断した。]
392: 4877| [47] [堂島]
393: 4880| [45] [「かっ、はっ……笠鷺、桧山……助、け……」]
394: 4885| [47] [桧山]
395: 4888| [45] [「！！」]
396: 4927| [45] [桧山がはっとして、銃を抜いた。]
397: 4957| [47] [桧山]
398: 4960| [45] [「堂島さんを放せ！！」]
399: 4965| [45] [そう脅しをかけた時――]
400: 4970| [45] [研究員がぐるりと桧山の方を振り向き、飛び掛ってきた。]
401: 5010| [47] [桧山]
402: 5013| [45] [「！！」]
403: 5018| [45] [その拍子に桧山の体がびくんと震え、]
404: 5095| [45] [再び銃声が響いた。]
405: 5100| [47] [柏木]
406: 5103| [45] [「っ」]
407: 5108| [47] [桧山]
408: 5111| [45] [「あ……」]
409: 5211| [45] [――研究員の喉の辺りに、小さな穴が開いていた。]
410: 5216| [47] [柏木]
411: 5219| [45] [「お、お前らは……」]
412: 5224| [47] [柏木]
413: 5227| [45] [「……ごぶっ」]
414: 5333| [45] [研究員は何か言いかけ、その直後大量の血を吐いた。]
415: 5360| [45] [そのままどさりと、床に倒れこむ。]
416: 5459| [45] [そして天井を虚ろな目で仰ぎ見て、かすかな声で呟いた。]
417: 5464| [47] [柏木]
418: 5467| [45] [「……我々の……崇高な目的……」]
419: 5472| [47] [柏木]
420: 5475| [45] [「……怪物は……この檻に……」]
421: 5480| [47] [柏木]
422: 5481| [45] [「………………」]
423: 5486| [45] [研究員は何かわけのわからない事を言い、そしてがくりとうなだれた。]
424: 5491| [45] [桧山が呆然と呟く。]
425: 5527| [47] [桧山]
426: 5530| [45] [「え……え？　オレ……オレが、殺したのか……？」]
427: 5538| [47] [渡瀬]
428: 5541| [45] [「お……落ち着け桧山……！」]
429: 5549| [47] [渡瀬]
430: 5552| [45] [「まだ死んだと決まったわけじゃ……！」]
431: 5585| [45] [渡瀬は研究員２名に駆け寄り、心肺蘇生を行った。]
432: 5590| [45] [だが見る間に生命反応が低下していく。]
433: 5595| [45] [救急の資格も持っている渡瀬には、すぐにわかった――これはもはや、手遅れだと。]
434: 5603| [47] [渡瀬]
435: 5606| [45] [「……ダメだ……２人とも、もう……」]
436: 5611| [45] [渡瀬は肩を落とし、そう呟いた。]
437: 5665| [47] [堂島]
438: 5668| [45] [「そんな……」]
439: 5673| [47] [桧山]
440: 5676| [45] [「畜生……どうしてこんな事に……！」]
441: 5681| [45] [桧山が泣きそうな声で言う。]
442: 5686| [45] [渡瀬も罪の意識に、崩れ落ちそうになったが――]
443: 5704| [47] [渡瀬]
444: 5707| [45] [「悔やむなお前ら、今は後悔する時じゃない」]
445: 5715| [47] [渡瀬]
446: 5718| [45] [「まだ任務は……続いているんだ」]
447: 5723| [45] [足を止めるわけにはいかない。]
448: 5728| [45] [この瞬間にもＮエリアのＷＸ粒子エネルギー量は増加しているだろう。もう本当に時間はない。]
449: 5733| [45] [渡瀬がそう思って被験体Ｎを見ると、]
450: 5741| [47] [渡瀬]
451: 5744| [45] [「……！」]
452: 5767| [45] [彼女は研究員の死体を見て、薄笑いを浮かべていた。]
453: 5772| [45] [――よほどこの研究員たちを恨んでいたのか――]
454: 5808| [47] [渡瀬]
455: 5811| [45] [「い、いや、それより……この子を連れて、早く脱出しよう」]
456: 5819| [47] [渡瀬]
457: 5822| [45] [「それと、そう……爆弾を仕掛けるのを忘れるな」]
458: 5827| [47] [堂島]
459: 5830| [45] [「あ……ああ」]
460: 5897| [45] [渡瀬たちはテトリル爆弾をその部屋に仕掛け、被験体Ｎを連れて部屋を出た。]
461: 5951| [45] [血塗れの研究員たちをエレベーターまで運び、網膜認証を行う。]
462: 5956| [45] [半死人の網膜で認証ができるかどうか不安だったが、エレベーターはちゃんと動いてくれた。]
463: 5964| [47] [渡瀬]
464: 5967| [45] [「この２人を……上に連れて行くか？」]
465: 5972| [47] [堂島]
466: 5975| [45] [「……よそう。２人とも、もう助からない……」]
467: 5980| [45] [そう言われ、渡瀬は沈んだ気持ちでうなずく。]
468: 5985| [45] [完璧だったはずの計画は、もはや何もかも狂い始めていた――。]
