  0:  109| [55] [√Current Chapter2]
 70: 1484| [45] [――夏彦もましろも、渡瀬に銃撃されたのだから。]
 71: 1619| [47] [夏彦]
 72: 1620| [45] [（ッ……！！！）]
 73: 1625| [45] [ましろの泣き声が、サリュの傷ついた姿が、夏彦の意識に甦る。]
 74: 1630| [47] [夏彦]
 75: 1631| [45] [（でも……今のぼくは、渡瀬とは運命共同体なんだ）]
 76: 1636| [47] [夏彦]
 77: 1637| [45] [（それに悔しいけど、今の渡瀬はレスキュー隊員として頼りになる……）]
 78: 1642| [47] [夏彦]
 79: 1643| [45] [（肉体のないぼくが、サリュやユウリを救うためには、どうしたって渡瀬の力が必要なんだ……！）]
 80: 1648| [47] [夏彦]
 81: 1649| [45] [（だから今は、なんとかこいつの疑惑を晴らさなきゃ……！）]
 82: 1654| [45] [そう思ったが、方法が思いつかない。]
 83: 1659| [45] [しかし、その直後――意外な人物が、渡瀬を庇った。]
 84: 1740| [47] [恵那]
 85: 1743| [45] [「待ちなさい、２人とも。あなたたち、少しおかしいわよ」]
 86: 1801| [47] [恵那]
 87: 1804| [45] [「なんなのよ、ＡＤがなくなったとたん手のひら返したように。それがまともな人間のする事？」]
 88: 1809| [47] [夏彦]
 89: 1810| [45] [（ッ！　ダメだよ先生、こんな時に渡瀬を庇ったら――！）]
 90: 1815| [45] [すると洵と宇喜多が、ぎろりと恵那を睨みつける。]
 91: 1841| [47] [洵]
 92: 1844| [45] [「今の話聞いてどうして、椿山さんは隊長の味方するの？　よく知りもしない他人でしょ？」]
 93: 1870| [47] [洵]
 94: 1873| [45] [「まさか……２人はグルだったとか？」]
 95: 1899| [47] [宇喜多]
 96: 1902| [45] [「そうか、なるほど、道理で行動がおかしいと思ったら……！」]
 97: 1928| [47] [宇喜多]
 98: 1931| [45] [「ようやくわかったぞ！　君たちは２人だけで、助かろうというつもりなんだな！」]
 99: 1939| [47] [宇喜多]
100: 1942| [45] [「ＡＤを隠したのは君たちか！？　２人でＡＤを独占しているんだ！」]
101: 2060| [45] [洵と宇喜多が、渡瀬と恵那ににじり寄ってくる。とっさに夏彦は、渡瀬に告げた。]
102: 2127| [47] [夏彦]
103: 2130| [45] [《危険だ……先生を連れて逃げろ！》]
104: 2210| [47] [渡瀬]
105: 2213| [45] [「っ！」]
106: 2218| [45] [夏彦の声を受け、渡瀬が恵那の手を引く。]
107: 2311| [47] [洵]
108: 2314| [45] [「逃げるつもり！？」]
109: 2322| [47] [宇喜多]
110: 2325| [45] [「いかん！　取り押さえろ！」]
111: 2373| [45] [その声を背に聞きながら、渡瀬と恵那は逃げ出した。]
