  0:   64| [45] [夏彦が自失状態に陥った事を知った悠里は――]
238: 7532| [45] [３ヶ月前、夏彦が悠里の死を知った時の記憶に――]
239: 7676| [47] [美夜子]
240: 7679| [45] [「――夏彦、落ち着いて聞いて……」]
241: 7705| [47] [美夜子]
242: 7708| [45] [「悠里ちゃんは……」]
243: 7716| [47] [美夜子]
244: 7719| [45] [「……昨夜、息を引き取ったわ……」]
245: 7727| [47] [夏彦]
246: 7730| [45] [「……え？」]
247: 7738| [47] [夏彦]
248: 7741| [45] [「…………そんな」]
249: 7749| [47] [夏彦]
250: 7752| [45] [「どうして、悠里が……！」]
251: 7774| [45] [――現実では、夏彦はこのあと絶叫していた。]
252: 7779| [45] [そして恐らくその瞬間から、心の平衡を失ったのだ。]
253: 7784| [47] [悠里]
254: 7785| [45] [（だから、このおもいでを――かえちゃえばいいんだ！）]
255: 7790| [45] [悠里はそう念じた。]
256: 7795| [45] [この記憶を、別の記憶に差し替えようと――！]
257: 7837| [45] [――すると夏彦は、涙を堪えて叫んだ。]
258: 7845| [47] [夏彦]
259: 7848| [45] [「うそだっ！　悠里がしんだわけない！」]
260: 7902| [45] [彼はベッドから飛び降り、駆け出した。]
261: 7907| [45] [廊下に出て、悠里を探す。]
262: 7915| [47] [夏彦]
263: 7918| [45] [「悠里っ！　いるんだろ、でてきてくれ！」]
264: 7923| [45] [あたりの病室に呼びかけても、答えはない。]
265: 7934| [45] [夏彦は悠里を探して、病院を飛び出した。]
266: 7986| [45] [あてどなく街をさまよう。]
267: 8039| [45] [だがどこにも、彼女はいない。]
268: 8092| [45] [悠里の自宅にも、２人が出逢った公園にも、思い出の秘密基地にも。]
269: 8148| [47] [夏彦]
270: 8151| [45] [「悠里……悠里……！」]
271: 8156| [45] [探し疲れて、夏彦が最後に向かったのは――]
272: 8167| [45] [夏彦自身の、家だった。]
273: 8225| [45] [家の中は闇に沈んでいた。]
274: 8230| [45] [うつろな声で、夏彦は声をかける。]
275: 8238| [47] [夏彦]
276: 8241| [45] [「……悠里」]
277: 8246| [45] [無論、答えを期待しての事ではない。]
278: 8251| [45] [なのにその時、部屋の薄闇の彼方から――]
279: 8293| [47] [悠里]
280: 8296| [45] [「ひこりん」]
281: 8301| [45] [悠里の声が返ってきた。]
282: 8309| [47] [夏彦]
283: 8312| [45] [「悠里っ！？」]
284: 8336| [45] [夏彦は悠里に駆け寄った。]
285: 8344| [47] [夏彦]
286: 8347| [45] [「よかった……いきてたんだね……」]
287: 8373| [47] [悠里]
288: 8376| [45] [「ふふ、わたしがしんだとおもってたの？」]
289: 8384| [47] [夏彦]
290: 8387| [45] [「だってお母さんが、へんなこというから……」]
291: 8413| [47] [悠里]
292: 8416| [45] [「しんでなんかいないよ」]
293: 8421| [45] [悠里は夏彦に微笑みかける。]
294: 8447| [47] [悠里]
295: 8450| [45] [「ねぇひこりん。わたしはいつでも、ここにいるよ」]
296: 8458| [47] [悠里]
297: 8461| [45] [「ひこりんとずっと、いっしょにいるよ」]
298: 8487| [47] [悠里]
299: 8490| [45] [「だから、わすれないで。どうかわたしのことを」]
300: 8495| [45] [それは現実には語られなかった言葉。]
301: 8500| [45] [しかし悠里と夏彦が望んだ言葉。]
302: 8505| [45] [たとえ虚構であろうと、その言葉は夏彦の心に染み渡り――]
303: 8529| [45] [――そして真実を、駆逐した。]
304: 8537| [47] [夏彦]
305: 8540| [45] [「わすれるもんか」]
306: 8708| [45] [――全てを終えた悠里は、現実に帰ってきた。]
307: 8713| [45] [博士が虚ろな声で呟く。]
308: 8739| [47] [美夜子]
309: 8742| [45] [「悠里ちゃん……」]
310: 8750| [47] [悠里]
311: 8753| [45] [「はかせ、ごめんなさい……わたしには、できませんでした」]
312: 8758| [45] [悠里は本当に申し訳なく思った。]
313: 8763| [45] [自分のした事は、恐らく許される事ではないが――]
314: 8789| [47] [美夜子]
315: 8792| [45] [「……それでいいわ」]
316: 8797| [45] [博士の声は優しくて、だからこそ悠里の胸は痛む。]
317: 8823| [47] [美夜子]
318: 8826| [45] [「夏彦が目覚める前に、行きましょう……」]
319: 8834| [47] [悠里]
320: 8837| [45] [「……はい」]
321: 8842| [45] [悠里たちは、そっと実験室を去った。]
322: 8903| [45] [――夏彦を残して。]
