  0:  102| [55] [√Current Chapter2]
 41: 1023| [47] [夏彦]
 42: 1024| [45] [（……いや、待てよ？　よく考えたら、それって変じゃないか？）]
 43: 1029| [47] [夏彦]
 44: 1030| [45] [（おじさんがテロリストの仲間なら、メルトダウンを起こした時点で、さっさと逃げてるはずだ……）]
 45: 1035| [47] [夏彦]
 46: 1036| [45] [（……でもどのみち、おじさんが地下に残ってる理由がわからないな）]
 47: 1135| [47] [夏彦]
 48: 1136| [45] [（それに先生がいるのだっておかしい……高校教師が、なんでこんなところにいるんだ？）]
 49: 1141| [45] [疑問はそれだけにとどまらない。]
 50: 1195| [45] [悠里そっくりの少女が何者で、なぜここにいるのかも、夏彦には謎のままなのだ。]
 51: 1200| [47] [夏彦]
 52: 1201| [45] [（ダメだ！　わからないことが多すぎる！）]
 53: 1206| [47] [夏彦]
 54: 1207| [45] [（仕方ない、こうなったら――！）]
 55: 1212| [45] [夏彦はましろの記憶に潜った時の事を思い出しながら、]
 56: 1217| [45] [『知りたい！』]
 57: 1222| [45] [全身全霊を集中させ、強くそう願った。]
 58: 1606| [45] [――その瞬間、男が目覚めてからの記憶が、次々と眼前に浮かんだ。]
 59: 1611| [45] [それは絶望的な状況下での、壮絶な戦いの記憶だった。]
 60: 1952| [45] [ケースＮの発令にともなう、隔壁の完全閉鎖。]
 61: 1957| [45] [取り残されていた恵那や、宇喜多との遭遇。]
 62: 2204| [45] [迫りくる炎。広がり続ける放射線汚染。不足するＡＤ。難航する要救助者の捜索。]
 63: 2497| [45] [そして脱出不可能なラボ内で起きていた、凄惨な殺人事件――！]
 64: 2790| [45] [無数の苦難を乗り越えるため、男は自ら危険に身を投じ、傷つき、それでも前に進み続けた。]
 65: 2945| [45] [やがてたどりついた脱出口。第６エリアの、資材搬出用リフト。]
 66: 3101| [45] [そこで彼らを待ち受けていたのは、夏彦が破壊したコントロールパネルと――]
 67: 3256| [45] [――見知らぬ少女の死体だった。]
 68: 3405| [45] [――――――]
 69: 3410| [45] [――……]
 70: 3415| [45] [……男の記憶に潜っていた夏彦の感覚が、再び現実とリンクする。]
 71: 3420| [45] [気づけば皆が、男の顔を見つめていた。]
 72: 3434| [47] [恵那]
 73: 3437| [45] [「な、なによ急に黙って」]
 74: 3494| [85] [《……なんだ、今のは……！？》]
 75: 3495| [86] [渡瀬]
 76: 3496| [86] [《……なんだ、今のは……！？》]
 77: 3524| [45] [男自身も、強い戸惑いを感じているようだった。]
 78: 3646| [45] [その様子に、夏彦ははっとした。]
 79: 3651| [47] [夏彦]
 80: 3652| [45] [（もしかして……こいつもぼくと一緒に、記憶を思い出していたのか？）]
 81: 3657| [45] [だとすると今の数秒間で、男も約３時間の記憶を追体験したことになる。]
 82: 3662| [45] [テロリストなどではなく、『笠鷺渡瀬』という名の、レスキュー隊員としての記憶を。]
 83: 3667| [45] [現在の『渡瀬』は、あの殺人鬼のような男とは、まるで別人だった。]
 84: 3672| [47] [夏彦]
 85: 3673| [45] [（人は記憶を失っただけで、こうも変わるものなのか？）]
 86: 3678| [47] [夏彦]
 87: 3679| [45] [（記憶を失う前のあの男が本物だとしたら、今の『渡瀬』の人格はいったいどこから……？）]
 88: 3684| [45] [だが夏彦には、他にも考えなければならないことがあった。]
 89: 3689| [47] [夏彦]
 90: 3690| [45] [（それにしても――殺人事件なんて、このラボで何が起こってるんだ！？）]
 91: 3695| [47] [夏彦]
 92: 3696| [45] [（死んでいた２人のレスキュー隊員は、たぶん、あの時のテロリストだと思うけど――）]
 93: 3701| [47] [夏彦]
 94: 3702| [45] [（ラボの研究員やあんな少女まで殺すなんて、誰が何の目的で……？）]
 95: 3707| [47] [夏彦]
 96: 3708| [45] [（もし全ての事件が、隔壁が降りた後に起こったんだとしたら、もしかして犯人はこの中に……？）]
 97: 3713| [45] [その疑問に呼応するかのように、渡瀬が皆を見回した。]
 98: 3743| [45] [――まず、宇喜多。]
 99: 3748| [47] [夏彦]
100: 3749| [45] [（おじさんは内通者なのか？　それとも単に巻き込まれただけなのか……？）]
101: 3754| [47] [夏彦]
102: 3755| [45] [（もしおじさんが内通者で、何かの理由があってテロリストたちを裏切ったんだとしたら――）]
103: 3760| [47] [夏彦]
104: 3761| [45] [（少なくともテロリストの２人を殺した可能性が出てくるぞ……！）]
105: 3799| [45] [――次に恵那。]
106: 3804| [47] [夏彦]
107: 3805| [45] [（先生が人殺しだなんて考えたくないけど……でも本当に、どうしてこんな所にいるんだろう？）]
108: 3810| [47] [夏彦]
109: 3811| [45] [（ぼくらが助けを求めに行ったあの時は、何も協力してくれなかったのに……）]
110: 3816| [47] [夏彦]
111: 3817| [45] [（みんなには『ここの職員に呼ばれて来た』って説明してたみたいだけど、それもよくわからないし……）]
112: 3879| [45] [――さらにレスキュー隊員の２人。]
113: 3884| [47] [夏彦]
114: 3885| [45] [（洵さんと副隊長さんは、こいつと同じレスキュー隊員だけど……）]
115: 3890| [47] [夏彦]
116: 3891| [45] [（今までの行動を見る限り、信用してもよさそうだよな。特に洵さんなんて、ぜったい人殺しには見えないし）]
117: 3995| [45] [そして渡瀬が最後に、『ユウリ』と名乗るあの少女を見ようとした時――]
118: 4001| [47] [夏彦]
119: 4002| [45] [（っ！？）]
120: 4016| [47] [渡瀬]
121: 4019| [45] [「――ユウリが、いない！」]
122: 4090| [47] [洵]
123: 4093| [45] [「ほ、ホントだ！　どうして！？」]
124: 4136| [45] [渡瀬が慌てて周囲を見回すと、彼女の背中がちらりと見えた。]
125: 4231| [47] [渡瀬]
126: 4234| [45] [「いた！　第５エリアに行った！」]
127: 4428| [45] [――第５エリアに逃げて行ったユウリを、渡瀬たちは散り散りになって捜索した。]
128: 4485| [85] [《ユウリは内周棟が汚染区域だと言う事を知らない！》]
129: 4486| [86] [渡瀬]
130: 4487| [86] [《ユウリは内周棟が汚染区域だと言う事を知らない！》]
131: 4502| [85] [《もし、そこに逃げていたとしたら――！》]
132: 4503| [86] [渡瀬]
133: 4504| [86] [《もし、そこに逃げていたとしたら――！》]
134: 4532| [45] [そこには『人を救いたい』という、当たり前の正義があった。]
135: 4540| [47] [夏彦]
136: 4543| [45] [《行け！　彼女を助けろ！》]
137: 4548| [45] [夏彦は彼の意思に同調し、共に汚染区域へと駆け込んだ。]
