  0:   49| [55] [√Current Chapter 3]
138: 2111| [45] ["There was an obstruction in the pipe... I couldn't even make it to Lake Rokumei...!"]
139: 2137| [47] [Kazami]
140: 2140| [45] ["--!"]
141: 2145| [45] [--His plan resulted in failure.]
142: 2150| [47] [Natsuhiko]
143: 2151| [45] [(Dammit... Just when I finally thought we had a glimmer of hope...!)]
144: 2159| [47] [Watase]
145: 2162| [45] ["... Let's try starting all over from the beginning."]
146: 2170| [47] [Watase]
147: 2173| [45] ["We'll think of a way to open the bulkhead by Area 2's emergency staircase..."]
148: 2336| [45] [No sooner had they reached the bulkhead than did all of LABO switch from main to emergency power. And at that moment--]
149: 2391| [45] [--Salyu woke up and bared her fangs at Kazami.]
