  0:   53| [45] [――『７月７日』。]
 61: 1030| [45] [「『悠里ならこう言うだろう』『悠里ならこう動くだろう』という風に判断してね」]
 62: 1035| [45] [確かに博士の言う通り、現実の悠里と幻の間には、さほどの差異はない。]
 63: 1040| [45] [それはこの『定期健診』のおかげだろう。]
 64: 1058| [45] [悠里は定期健診の際、自分が１年間に得た知識、例えば本の感想などを、夏彦の記憶に書き込む。]
 65: 1063| [45] [するとその知識は幻にも反映され、彼女は新たに読んだ本の感想を述べるのだ。]
 66: 1068| [47] [悠里]
 67: 1069| [45] [（……これってもう、ただの幻覚じゃないよね）]
 68: 1074| [47] [悠里]
 69: 1075| [45] [（この子はわたしの……『分身』だよ）]
 70: 1080| [45] [そして彼女は１年３６５日を、本物の悠里の代わりに、夏彦のそばで過ごしている。]
 71: 1085| [45] [夏彦にとっては、幻こそが本物だろう。]
 72: 1092| [45] [……悠里はそう思いつつ、１年分の記憶を見て行き――]
 73: 1097| [45] [そして最後に、自分に関する情報を更新した。]
 74: 1216| [45] [――これで夏彦は、また１年間、新しい悠里の分身と過ごすだろう。]
 75: 1221| [45] [しかし……と、悠里は思う。]
 76: 1226| [47] [悠里]
 77: 1227| [45] [（わたしがひこりんの記憶を更新すると、それまで頑張ってくれた分身は、新しい分身に生まれ変わる……）]
 78: 1232| [47] [悠里]
 79: 1233| [45] [（つまり、わたしのやってる事は……古いわたしを消して、新しいわたしを作ってるって事？）]
 80: 1238| [45] [そうかもしれないし、違うかもしれない。]
 81: 1243| [45] [結局のところ、夏彦の脳内で何が起きているのか、悠里にもわからないのだ。]
 82: 1248| [45] [しかしだとしたら、あの幻はもう何度も、消えては生まれてを繰り返している事になる。]
 83: 1253| [45] [そう考えると、なんだか切なくなった。]
 84: 1314| [47] [悠里]
 85: 1315| [45] [（いつかひこりんが、幻が幻でしかない事に気付いたら……）]
 86: 1320| [47] [悠里]
 87: 1321| [45] [（あの子も、本当に消えてしまうかもしれない）]
 88: 1359| [47] [悠里]
 89: 1360| [45] [（それってなんだか……かわいそうだよね）]
 90: 1403| [45] [――せめて何か、幻が存在した痕跡を残せればいいのだが、それは難しいだろう。]
 91: 1408| [45] [彼女は夏彦の心以外には、何一つ世界に影響を及ぼせないのだから。]
 92: 1413| [47] [悠里]
 93: 1414| [45] [（……何か工夫しようかな……）]
 94: 1419| [47] [悠里]
 95: 1420| [45] [（例えばもう１人のわたしに、何か形が残るものを作ってもらって……）]
 96: 1425| [47] [悠里]
 97: 1426| [45] [（そしてわたしがラボの中で、同じものを作って……）]
 98: 1431| [47] [悠里]
 99: 1432| [45] [（博士を通じて、それを渡したりしたら？）]
100: 1437| [45] [幻が存在した痕跡は、辛うじて残ったといえるかもしれない。]
101: 1442| [47] [悠里]
102: 1443| [45] [（うん、いいアイディアかも。それじゃ何にしようかな……？）]
103: 1448| [45] [悠里は考えたが、すぐには思いつかない。]
104: 1454| [45] [１年後の定期健診のときまでの、宿題にしようと思った。]
