  0:   68| [45] [――そしてそれから時が流れ、凪沙の死から２年ほどが過ぎた頃――]
 64:  634| [45] [（……やっぱり、覚えてないか……あれから６年も経つものね）]
 65:  639| [45] [風見は苦笑する。]
 66:  644| [45] [――『笠鷺渡瀬』の名は、東消防署にも届いていた。]
 67:  649| [45] [曰く、『シリウスのエース』『鋼の男』『霊長類最強のレスキュー隊員』など。]
 68:  654| [45] [だがそれらの異名はどうでもいい。]
 69:  659| [45] [風見にとって彼は、特別なレスキュー隊員――]
 70:  664| [47] [風見]
 71:  665| [45] [（６年前、団地で私を呼び止め……凪沙を救助してくれた、あの人……）]
 72:  670| [45] [そして凪沙の遺したロケットを届けようと、何度も風見を訪ねてきてくれた人だった。]
 73:  675| [45] [もっともその時の事を、風見は覚えていない。渡瀬ももう忘れているようだ。]
 74:  686| [45] [だがあの時のロケットは、今も風見の首にかけられている。]
 75:  691| [45] [お礼を言おうと、ずっと思っていたのだが……]
 76:  696| [45] [追い返した事が申し訳なくて言い出せない内に、こんなにも月日が経ってしまった。]
 77:  701| [45] [今さらあの時の事を告げられても、渡瀬は過去を思い出し、悔やむだけだろう。]
 78:  706| [45] [しかしいつかお礼を言える日が来ればいいと、風見はずっと思っていた。]
 79:  711| [47] [風見]
 80:  712| [45] [（シリウスに入隊した動機の１つが、あの人と同じ職場に行きたかったからだって言ったら……凪沙は怒るかしら？）]
 81:  717| [45] [そう思い、風見は空を見る。]
 82:  801| [47] [風見]
 83:  802| [45] [（ねぇ、凪沙……）]
 84:  807| [47] [風見]
 85:  808| [45] [（久しぶりに会ったあの人は、厳しそうに見えたけど、やっぱり優しい人だったわ）]
 86:  813| [47] [風見]
 87:  814| [45] [（お姉ちゃん頑張るから……これからも、応援してね）]
 88:  819| [45] [渡瀬との短いやりとりの中で、風見の緊張はほぐれていた。]
 89:  824| [45] [そして同時に、新たな職場に対しても、少しだけ楽しみになっていたのだった――。]
 90:  876| [45] [だが、シリウスに入った後は、そんな事を考えている余裕は無かった。]
 91:  881| [45] [仕事中の渡瀬は厳しく、冷徹で、感傷を差し挟むような余地はなかった。]
 92:  886| [45] [対して風見は直情径行で、現場では自ら危険なところに飛び込むような所がある。]
 93:  891| [45] [２人はたびたび意見を戦わせ、そのせいでますます礼を言う機会は遅れた。]
 94:  896| [45] [そして、そんなある日――]
 95:  901| [45] [風見は現場で、怪我を負ってしまった。]
 96:  981| [45] [――現場から署に戻ると同時に、渡瀬が風見に説教を始めた。]
 97:  989| [47] [渡瀬]
 98:  992| [45] [「橘ァ！　お前、ちょっと無謀過ぎるぞ！」]
 99: 1000| [47] [渡瀬]
100: 1003| [45] [「俺の制止が聞こえなかったのか！？　深入りしすぎだと言ったろう！」]
101: 1008| [47] [風見]
102: 1011| [45] [「……申し訳ございません」]
103: 1016| [45] [風見は釈然としない思いを隠しつつ、そう答える。]
104: 1021| [45] [今回の現場は、高層マンションの火災。]
105: 1026| [45] [そこで人命救助を焦るあまり、顔をちょっと火傷したのだ。]
106: 1031| [45] [むろん跡が残るほどではない。]
107: 1036| [45] [なのにクドクドと説教する渡瀬に、若干の不満を覚えていた。]
108: 1062| [47] [渡瀬]
109: 1065| [45] [「その軽症で済んだのは、ただの幸運だ。２度と今日のような失策がないよう、重々気をつけろ」]
110: 1070| [47] [風見]
111: 1073| [45] [「しかし……マンション内には、５歳の少女が取り残されているという情報があったんですよ？」]
112: 1078| [47] [風見]
113: 1081| [45] [「子供の行動は予測不能です。不測の事態が起こる前に、救助してしまわなければ――」]
114: 1107| [47] [渡瀬]
115: 1110| [45] [「人命救助のためなら、自分の身を危険にさらしてもいいと？」]
116: 1136| [47] [渡瀬]
117: 1139| [45] [「そんなのは馬鹿者の考えだ」]
118: 1144| [47] [風見]
119: 1147| [45] [「っ……！」]
120: 1152| [45] [その言葉に、風見の頭に血が上った。]
121: 1176| [47] [風見]
122: 1179| [45] [「お言葉ですが、隊長……我々の職責は、人の命を救うことでは？」]
123: 1184| [47] [風見]
124: 1187| [45] [「今の発言、シリウスの隊長のお言葉とは思えません」]
125: 1213| [47] [渡瀬]
126: 1216| [45] [「わかった風な事を言うな！　それが馬鹿だと言ってるんだ！」]
127: 1236| [47] [風見]
128: 1239| [45] [「！！」]
129: 1265| [47] [渡瀬]
130: 1268| [45] [「いいか橘。自己犠牲的行動が賞賛されるのは、アマチュアの世界の話だ」]
131: 1276| [47] [渡瀬]
132: 1279| [45] [「俺たちは人の命を救う使命があるからこそ、自分の命を粗末にしちゃいけないんだよ」]
133: 1287| [47] [渡瀬]
134: 1290| [45] [「人命救助を仕事にしている以上、仮に誰かを救えなかったとしても……生きている限り、多くの命を救う事ができる」]
135: 1316| [47] [渡瀬]
136: 1319| [45] [「お前が現場で死ぬって事は、その後救うはずの多くの命を見捨てるって事だぞ？」]
137: 1345| [47] [風見]
138: 1348| [45] [「……！」]
139: 1353| [45] [風見はその言葉に、衝撃を受けた。]
140: 1358| [45] [そんな事を考えた事はなかった。]
141: 1363| [45] [目の前に救える命があれば、とにかく救いたいとだけ思って、ここまで走って来たのだ。]
142: 1368| [47] [風見]
143: 1369| [45] [（でも……隊長が言っている事は、正論だわ）]
144: 1395| [47] [渡瀬]
145: 1398| [45] [「……むろん、救える命を見捨てていいというわけではない。だが勇気と無謀を履き違えるな」]
146: 1424| [47] [渡瀬]
147: 1427| [45] [「お前は有能だが、若干不安定なところがある」]
148: 1453| [47] [渡瀬]
149: 1456| [45] [「危なっかしくて見てられんよ。その点だけは改めろ」]
150: 1461| [47] [風見]
151: 1464| [45] [「は……はい」]
152: 1469| [45] [風見は自分の浅はかさを恥じ、俯いた。]
153: 1492| [45] [渡瀬はふぅと息をつき、そして風見の肩をポンと叩く。]
154: 1500| [47] [渡瀬]
155: 1503| [45] [「……だが、ま、心情は理解できるよ」]
156: 1509| [47] [風見]
157: 1512| [45] [「え……？」]
158: 1544| [47] [渡瀬]
159: 1547| [45] [「妹さんの事を、気にしてるんだろ」]
160: 1552| [47] [風見]
161: 1555| [45] [「っっっ……」]
162: 1560| [45] [風見はその言葉に、目を見開いた。]
163: 1565| [47] [風見]
164: 1568| [45] [「た、隊長、もしかして……私の事、覚えてて下さったんですか？」]
165: 1594| [47] [渡瀬]
166: 1597| [45] [「ん、あぁ……」]
167: 1623| [47] [渡瀬]
168: 1626| [45] [「忘れるわけないさ……あんなに弱ってる女、見たことなかったからな」]
169: 1631| [47] [風見]
170: 1634| [45] [「……！」]
171: 1642| [47] [渡瀬]
172: 1645| [45] [「触れてほしくないんだろうと思って、今まで言い出さなかったが……」]
173: 1650| [47] [風見]
174: 1653| [45] [「い、いえ、申し訳ございません！」]
175: 1658| [45] [風見は深々と頭を下げた。]
176: 1663| [47] [風見]
177: 1666| [45] [「私も、ずっとあの時のお礼を言いたかったんです……！」]
178: 1671| [47] [風見]
179: 1674| [45] [「妹の贈り物を届けてくださって、ありがとうございました！」]
180: 1700| [47] [渡瀬]
181: 1703| [45] [「いや、いいさ」]
182: 1711| [47] [渡瀬]
183: 1714| [45] [「堂島にも言っておいてやってくれ。あの子を背負ったのはあいつだからな」]
184: 1719| [47] [風見]
185: 1722| [45] [「は、はい！」]
186: 1727| [45] [もう１度頭を下げる風見に、渡瀬は苦笑して言う。]
187: 1753| [47] [渡瀬]
188: 1756| [45] [「……でも、まぁどんな過去があろうと、自己犠牲的行動は危険だ」]
189: 1764| [47] [渡瀬]
190: 1767| [45] [「これからはなるべく、その熱情は抑えて行動しろ。常に冷静沈着にだ」]
191: 1772| [47] [風見]
192: 1775| [45] [「は、了解しました！」]
193: 1801| [47] [渡瀬]
194: 1804| [45] [「よろしい！　ではすぐ医務室に行って、火傷の手当てをしろ！」]
195: 1809| [47] [風見]
196: 1812| [45] [「はい、失礼します！」]
197: 1817| [45] [風見は踵を返し、歩き出した。]
198: 1822| [45] [叱られたというのに、心はどこか晴れやかだった。]
199: 1877| [45] [それからの風見は、渡瀬の言う通り、努めて冷静に行動するようになった。]
200: 1882| [45] [もともとレスキューと言う仕事は、どれほど能力があろうと、冷静でなければ務まらない。]
201: 1887| [45] [その冷静さを手に入れた事で、渡瀬たちも風見を仲間と認め――]
202: 1892| [45] [彼女は名実共に、シリウスの一員となれたのだった。]
