  0:  221| [55] [√Before Chapter1]
 59: 1632| [45] [「さぁそれじゃあ皆さん、手を合わせて――」]
 60: 1674| [47] [３人]
 61: 1677| [45] [「いただきま～す」]
 62: 1682| [45] [いつものようにそう言って、彼らは朝食に取り掛かった。]
 63: 1714| [47] [悠里]
 64: 1717| [45] [「う～ん、おいし～っ。さすがましろんだよー」]
 65: 1725| [47] [夏彦]
 66: 1728| [45] [「あぁ、よくあんな短時間でこれほどのものを作れるもんだ」]
 67: 1754| [47] [ましろ]
 68: 1757| [45] [「はは、慣れだよ慣れ。もう半年も作ってるんだもん」]
 69: 1762| [45] [夏彦たちの賛辞に、ましろが照れ笑いする。]
 70: 1767| [45] [これもいつもの、天川家の朝食の様子だった。]
 71: 1772| [47] [夏彦]
 72: 1773| [45] [（考えてみれば、変な感じだよな……家族でもないのに）]
 73: 1778| [45] [同じ食卓を囲んでいても、この場にいる人々は、全員赤の他人だった。]
 74: 1891| [45] [――夏彦には、家族が母親しかいない。]
 75: 1896| [45] [父は夏彦が物心つく前に、他界した。]
 76: 1901| [45] [母は女の細腕で夏彦たちを養っているが、反動でワーカーホリックになってしまっている。]
 77: 1906| [45] [生活のほとんどを職場で過ごし、家に戻る事はほとんどない。]
 78: 1982| [45] [その事について考えていると、心配げな声がかけられた。]
 79: 1990| [47] [悠里]
 80: 1993| [45] [「あれ？　ひこりん、ごはんがすすんでないね。おなかでも痛いの？」]
 81: 2001| [47] [夏彦]
 82: 2004| [45] [「あ、いや大丈夫。じっくり味わって食べていただけさ」]
 83: 2046| [47] [悠里]
 84: 2049| [45] [「そう？　よかったぁ」]
 85: 2255| [45] [――この娘は『琴乃悠里』。]
 86: 2259| [45] [夏彦の幼馴染で、年齢は２つ上だ。]
 87: 2264| [45] [彼女と夏彦は昔から、とある事情により、この家で一緒に暮らしている。]
 88: 2268| [45] [２人は姉弟同然に育ち、今では実の家族と思えるような関係だ。]
 89: 2273| [45] [心優しい女の子で、いつも夏彦を気にかけてくれるが、心配性なのがタマに傷である。]
 90: 2335| [47] [夏彦]
 91: 2338| [45] [「……ぼくはこう見えて、体は頑丈なんだ。食欲はいつも旺盛だよ」]
 92: 2361| [45] [そう答えてパンをほおばると、今度は嬉しげな声がかけられた。]
 93: 2387| [47] [ましろ]
 94: 2390| [45] [「おっ、いい食べっぷりだねぇ夏彦、こっちも腕の振るい甲斐があるよ」]
 95: 2596| [45] [――こちらの娘は『鳥羽ましろ』。]
 96: 2601| [45] [この娘は、夏彦と一緒に暮らしているわけではない。]
 97: 2606| [45] [ましろも夏彦の幼馴染ではあるが、朝食を共にするようになったのは、ここ半年の事だ。]
 98: 2610| [45] [母が不在がちな天川家では、家事のほとんどは夏彦がしている。]
 99: 2614| [45] [だが、器用で何でもそつなくこなす夏彦も、料理だけは苦手なのだ。]
100: 2618| [45] [中学生の頃までは、通いの家政婦が料理を作ってくれていたのだが、この春に一身上の都合で辞めてしまった。]
101: 2622| [45] [そこで近所に住んでいたましろが、母に頼まれ、朝夜と食事を作りにやってくる事になったのだった。]
102: 2682| [45] [――ましろの声に頷きつつ、夏彦はぽつりと言った。]
103: 2690| [47] [夏彦]
104: 2693| [45] [「それにしても……いつも悪いな、ましろ」]
105: 2719| [47] [ましろ]
106: 2722| [45] [「なーに言ってんの。夏彦のお母さんからお礼も頂いているし、バイトみたいなもんだよ」]
107: 2748| [47] [ましろ]
108: 2751| [45] [「それにあんたのためじゃーない。どっちかって言えば悠里のためだよ。ね、悠里？」]
109: 2793| [47] [悠里]
110: 2796| [45] [「ん～、そう言ってくれるのは嬉しいけど……」]
111: 2804| [47] [夏彦]
112: 2807| [45] [「あーそうかい。まぁぼくはどっちでも、美味しい料理が食べれれば満足だけどさ」]
113: 2812| [45] [そんなのどかな会話を遮るように、不穏な声が聞こえてきた。]
114: 2817| [47] [キャスター]
115: 2820| [45] [「それでは次のニュースです」]
116: 2825| [47] [キャスター]
117: 2828| [45] [「昨夜、鹿鳴市内の研究施設『ＢＣ開発センター』で火災があり、研究棟６棟が全焼しました」]
118: 2872| [47] [悠里]
119: 2875| [45] [「火事……？」]
120: 2924| [45] [不意に緊張が走った食卓に、淡々とした声が流れる。]
121: 2929| [47] [キャスター]
122: 2932| [45] [「出火時、屋内には数名の職員・研究員が残っておりましたが――」]
123: 2937| [47] [キャスター]
124: 2940| [45] [「出動した消防レスキュー隊により全員無事に救出され、幸い死者は出なかった模様です」]
125: 3036| [47] [悠里]
126: 3039| [45] [「助かったんだ。よかったね～」]
127: 3047| [47] [夏彦]
128: 3050| [45] [「ん？　あぁ、そうだな」]
129: 3076| [47] [ましろ]
130: 3079| [45] [「あれ、なんか適当～。冷たいんだ夏彦」]
131: 3087| [47] [夏彦]
132: 3090| [45] [「そうか？　テレビの向こう側の話に、一喜一憂しても仕方がないじゃないか」]
133: 3132| [47] [悠里]
134: 3135| [45] [「うーん……でもこの街で起きた出来事だし、全く無関係とも言えないんじゃないかなぁ……」]
135: 3143| [47] [悠里]
136: 3146| [45] [「近頃物騒だし、何か事件に巻き込まれたりとか……」]
137: 3154| [47] [夏彦]
138: 3157| [45] [「考えすぎさ。大丈夫だと思うよ、この街ではね」]
139: 3162| [45] [夏彦たちの住んでいる街は、治安が極めていい。]
140: 3167| [45] [事件に巻き込まれるなんて、そうあるとは思えないのだ。]
141: 3233| [45] [しかし、その時悠里は――]
142: 3238| [45] [静かに首を振って、言った。]
143: 3264| [47] [悠里]
144: 3267| [45] [「……ひこりん、安心してばかりいちゃだめだよ」]
145: 3281| [47] [夏彦]
146: 3284| [45] [「え？」]
147: 3292| [47] [悠里]
148: 3295| [45] [「恐ろしい出来事は、テレビの向こうでしか起きないわけじゃないんだよ」]
149: 3321| [47] [悠里]
150: 3324| [45] [「ひこりんの身にだって、予想もつかない事が起きるかもしれない……」]
151: 3329| [45] [不吉な予言めいた事を言われ、夏彦の表情は強張った。]
152: 3334| [47] [夏彦]
153: 3335| [45] [（そんな事、あるわけない……）]
154: 3340| [45] [そう言いたかったが、声は出なかった。]
155: 3406| [47] [――恐ろしい出来事など、２度と起きない。]
156: 3413| [47] [日常はいつまでも平穏に続き、小さな異変さえも起こらない。]
157: 3420| [47] [ずっとそう思っていたのに――]
158: 3472| [47] [夏彦]
159: 3473| [45] [（……っ？）]
160: 3690| [45] [その時、夏彦の眼がかすかな異変を捕らえた。]
161: 3695| [45] [長年使っている、大切な腕時計。]
162: 3700| [45] [それがいつの間にか、壊れてしまっていた。]
163: 3705| [47] [夏彦]
164: 3706| [45] [（どうして……いつの間に……？）]
165: 3772| [47] [――夏彦はまだ知らない。]
166: 3779| [47] [その時計がいつ、どうして壊れたのかを。]
167: 3786| [47] [時計が指し示している日付と時刻は――]
168: 3801| [47] [『９　月　１　６　日』]
169: 3809| [47] [『６　時　１　９　分』]
170: 3825| [47] [夏彦の時計は、そのとき壊れたのだ。]
